airport,report_date,Hour,Scheduled Departures,Scheduled Arrivals,Average Taxi Out Time,Average Taxi Out Delay,Average Airborne Delay,Average Taxi In Delay,DATE
ATL,2019-01-01,0,1,7,13.0,0.0,0.0,6.17,2019-01-01 00:00:00
ATL,2019-01-01,1,0,0,0.0,0.0,0.0,0.0,2019-01-01 01:00:00
ATL,2019-01-01,4,0,0,25.0,12.9,4.0,1.0,2019-01-01 04:00:00
ATL,2019-01-01,5,1,8,13.0,0.9,1.18,1.95,2019-01-01 05:00:00
ATL,2019-01-01,6,22,9,14.5,2.78,0.0,0.45,2019-01-01 06:00:00
ATL,2019-01-01,7,17,40,15.26,3.05,1.15,1.15,2019-01-01 07:00:00
ATL,2019-01-01,8,50,79,13.72,1.55,3.28,1.14,2019-01-01 08:00:00
ATL,2019-01-01,9,89,67,15.72,3.22,2.83,1.81,2019-01-01 09:00:00
ATL,2019-01-01,10,73,44,15.0,2.67,1.36,2.54,2019-01-01 10:00:00
ATL,2019-01-01,11,58,42,15.42,3.07,3.02,1.48,2019-01-01 11:00:00
ATL,2019-01-01,12,63,40,14.15,1.92,1.77,0.99,2019-01-01 12:00:00
ATL,2019-01-01,13,51,55,14.52,2.45,1.85,1.07,2019-01-01 13:00:00
ATL,2019-01-01,14,44,74,14.28,1.91,1.53,1.01,2019-01-01 14:00:00
ATL,2019-01-01,15,63,67,13.6,1.54,2.29,1.42,2019-01-01 15:00:00
ATL,2019-01-01,16,55,54,13.81,1.72,1.16,1.49,2019-01-01 16:00:00
ATL,2019-01-01,17,59,64,13.95,1.69,1.35,0.7,2019-01-01 17:00:00
ATL,2019-01-01,18,46,84,15.87,3.37,1.46,4.0,2019-01-01 18:00:00
ATL,2019-01-01,19,76,70,14.07,1.88,0.74,3.28,2019-01-01 19:00:00
ATL,2019-01-01,20,37,50,15.08,3.48,1.18,2.03,2019-01-01 20:00:00
ATL,2019-01-01,21,50,35,13.3,1.65,1.64,2.57,2019-01-01 21:00:00
ATL,2019-01-01,22,74,15,15.88,3.13,0.73,3.81,2019-01-01 22:00:00
ATL,2019-01-01,23,1,11,22.0,8.2,1.31,4.9,2019-01-01 23:00:00
ATL,2019-01-02,0,1,11,15.0,2.03,0.0,2.76,2019-01-02 00:00:00
ATL,2019-01-02,1,0,3,16.0,3.9,0.0,0.0,2019-01-02 01:00:00
ATL,2019-01-02,2,0,0,0.0,0.0,0.0,2.0,2019-01-02 02:00:00
ATL,2019-01-02,3,0,1,0.0,0.0,0.0,0.0,2019-01-02 03:00:00
ATL,2019-01-02,4,0,1,12.0,0.0,1.2,1.8,2019-01-02 04:00:00
ATL,2019-01-02,5,4,11,17.63,5.39,50.4,1.42,2019-01-02 05:00:00
ATL,2019-01-02,6,23,16,14.46,2.54,0.94,2.32,2019-01-02 06:00:00
ATL,2019-01-02,7,35,60,16.3,3.97,1.7,0.69,2019-01-02 07:00:00
ATL,2019-01-02,8,89,90,18.06,5.49,1.65,1.98,2019-01-02 08:00:00
ATL,2019-01-02,9,106,83,18.36,5.68,1.65,1.95,2019-01-02 09:00:00
ATL,2019-01-02,10,81,63,22.01,8.94,1.41,2.07,2019-01-02 10:00:00
ATL,2019-01-02,11,71,58,19.76,6.79,2.6,1.07,2019-01-02 11:00:00
ATL,2019-01-02,12,68,55,14.49,2.34,3.5,1.28,2019-01-02 12:00:00
ATL,2019-01-02,13,64,74,15.7,3.56,3.27,1.25,2019-01-02 13:00:00
ATL,2019-01-02,14,61,89,16.69,4.51,3.84,3.29,2019-01-02 14:00:00
ATL,2019-01-02,15,87,78,18.7,5.83,4.87,3.7,2019-01-02 15:00:00
ATL,2019-01-02,16,68,62,14.87,2.52,5.17,4.03,2019-01-02 16:00:00
ATL,2019-01-02,17,74,65,18.26,5.7,3.53,3.06,2019-01-02 17:00:00
ATL,2019-01-02,18,47,85,21.34,8.48,4.05,4.11,2019-01-02 18:00:00
ATL,2019-01-02,19,86,94,20.57,7.94,3.43,5.68,2019-01-02 19:00:00
ATL,2019-01-02,20,57,90,19.45,6.89,5.38,5.33,2019-01-02 20:00:00
ATL,2019-01-02,21,80,57,18.64,6.0,3.42,5.82,2019-01-02 21:00:00
ATL,2019-01-02,22,66,29,16.55,4.42,2.61,6.55,2019-01-02 22:00:00
ATL,2019-01-02,23,6,14,14.64,2.67,4.71,4.59,2019-01-02 23:00:00
ATL,2019-01-03,0,1,7,14.25,1.75,2.75,3.41,2019-01-03 00:00:00
ATL,2019-01-03,1,1,0,24.0,11.9,1.5,0.25,2019-01-03 01:00:00
ATL,2019-01-03,2,2,0,0.0,0.0,2.33,2.0,2019-01-03 02:00:00
ATL,2019-01-03,3,0,0,0.0,0.0,8.0,3.0,2019-01-03 03:00:00
ATL,2019-01-03,4,0,1,18.33,6.3,2.8,1.8,2019-01-03 04:00:00
ATL,2019-01-03,5,5,8,17.4,5.06,29.0,2.15,2019-01-03 05:00:00
ATL,2019-01-03,6,26,14,15.29,3.29,2.53,1.01,2019-01-03 06:00:00
ATL,2019-01-03,7,31,55,15.91,3.26,2.4,1.28,2019-01-03 07:00:00
ATL,2019-01-03,8,77,81,22.26,9.43,3.57,2.49,2019-01-03 08:00:00
ATL,2019-01-03,9,96,84,19.7,6.69,4.32,3.17,2019-01-03 09:00:00
ATL,2019-01-03,10,82,59,21.0,8.18,3.21,2.99,2019-01-03 10:00:00
ATL,2019-01-03,11,68,58,22.67,9.68,3.08,2.23,2019-01-03 11:00:00
ATL,2019-01-03,12,65,59,18.14,5.21,3.28,2.23,2019-01-03 12:00:00
ATL,2019-01-03,13,67,66,17.06,4.49,3.09,2.7,2019-01-03 13:00:00
ATL,2019-01-03,14,52,88,17.24,4.55,3.27,2.1,2019-01-03 14:00:00
ATL,2019-01-03,15,79,69,15.19,2.97,3.14,2.59,2019-01-03 15:00:00
ATL,2019-01-03,16,66,56,16.82,4.08,2.73,1.8,2019-01-03 16:00:00
ATL,2019-01-03,17,68,70,17.59,4.97,2.88,1.43,2019-01-03 17:00:00
ATL,2019-01-03,18,46,83,25.87,12.9,4.12,2.95,2019-01-03 18:00:00
ATL,2019-01-03,19,84,86,16.91,4.09,3.17,4.12,2019-01-03 19:00:00
ATL,2019-01-03,20,51,82,16.79,4.0,5.33,4.51,2019-01-03 20:00:00
