airport,report_date,Hour,Scheduled Departures,Scheduled Arrivals,DATE
JFK,2019-01-01,0,8,9,2019-01-01 00:00:00
JFK,2019-01-01,1,5,2,2019-01-01 01:00:00
JFK,2019-01-01,2,3,4,2019-01-01 02:00:00
JFK,2019-01-01,3,1,0,2019-01-01 03:00:00
JFK,2019-01-01,4,0,4,2019-01-01 04:00:00
JFK,2019-01-01,5,10,25,2019-01-01 05:00:00
JFK,2019-01-01,6,23,19,2019-01-01 06:00:00
JFK,2019-01-01,7,33,22,2019-01-01 07:00:00
JFK,2019-01-01,8,47,16,2019-01-01 08:00:00
JFK,2019-01-01,9,36,17,2019-01-01 09:00:00
JFK,2019-01-01,10,23,23,2019-01-01 10:00:00
JFK,2019-01-01,11,27,20,2019-01-01 11:00:00
JFK,2019-01-01,12,21,23,2019-01-01 12:00:00
JFK,2019-01-01,13,23,45,2019-01-01 13:00:00
JFK,2019-01-01,14,25,42,2019-01-01 14:00:00
JFK,2019-01-01,15,37,35,2019-01-01 15:00:00
JFK,2019-01-01,16,30,39,2019-01-01 16:00:00
JFK,2019-01-01,17,30,30,2019-01-01 17:00:00
JFK,2019-01-01,18,33,36,2019-01-01 18:00:00
JFK,2019-01-01,19,46,28,2019-01-01 19:00:00
JFK,2019-01-01,20,25,43,2019-01-01 20:00:00
JFK,2019-01-01,21,35,30,2019-01-01 21:00:00
JFK,2019-01-01,22,25,32,2019-01-01 22:00:00
JFK,2019-01-01,23,18,28,2019-01-01 23:00:00
JFK,2019-01-02,0,13,11,2019-01-02 00:00:00
JFK,2019-01-02,1,6,2,2019-01-02 01:00:00
JFK,2019-01-02,2,1,4,2019-01-02 02:00:00
JFK,2019-01-02,3,1,0,2019-01-02 03:00:00
JFK,2019-01-02,4,0,5,2019-01-02 04:00:00
JFK,2019-01-02,5,11,25,2019-01-02 05:00:00
JFK,2019-01-02,6,23,23,2019-01-02 06:00:00
JFK,2019-01-02,7,37,30,2019-01-02 07:00:00
JFK,2019-01-02,8,52,18,2019-01-02 08:00:00
JFK,2019-01-02,9,41,22,2019-01-02 09:00:00
JFK,2019-01-02,10,24,23,2019-01-02 10:00:00
JFK,2019-01-02,11,32,20,2019-01-02 11:00:00
JFK,2019-01-02,12,24,23,2019-01-02 12:00:00
JFK,2019-01-02,13,24,44,2019-01-02 13:00:00
JFK,2019-01-02,14,27,46,2019-01-02 14:00:00
JFK,2019-01-02,15,37,33,2019-01-02 15:00:00
JFK,2019-01-02,16,35,39,2019-01-02 16:00:00
JFK,2019-01-02,17,35,34,2019-01-02 17:00:00
JFK,2019-01-02,18,37,37,2019-01-02 18:00:00
JFK,2019-01-02,19,46,29,2019-01-02 19:00:00
JFK,2019-01-02,20,31,50,2019-01-02 20:00:00
JFK,2019-01-02,21,32,34,2019-01-02 21:00:00
JFK,2019-01-02,22,27,32,2019-01-02 22:00:00
JFK,2019-01-02,23,20,28,2019-01-02 23:00:00
JFK,2019-01-03,0,10,13,2019-01-03 00:00:00
JFK,2019-01-03,1,4,2,2019-01-03 01:00:00
JFK,2019-01-03,2,3,3,2019-01-03 02:00:00
JFK,2019-01-03,3,2,0,2019-01-03 03:00:00
JFK,2019-01-03,4,1,4,2019-01-03 04:00:00
JFK,2019-01-03,5,10,25,2019-01-03 05:00:00
JFK,2019-01-03,6,20,22,2019-01-03 06:00:00
JFK,2019-01-03,7,41,31,2019-01-03 07:00:00
JFK,2019-01-03,8,47,16,2019-01-03 08:00:00
JFK,2019-01-03,9,38,19,2019-01-03 09:00:00
JFK,2019-01-03,10,25,21,2019-01-03 10:00:00
JFK,2019-01-03,11,29,20,2019-01-03 11:00:00
JFK,2019-01-03,12,20,25,2019-01-03 12:00:00
JFK,2019-01-03,13,23,43,2019-01-03 13:00:00
JFK,2019-01-03,14,25,43,2019-01-03 14:00:00
JFK,2019-01-03,15,36,38,2019-01-03 15:00:00
JFK,2019-01-03,16,36,40,2019-01-03 16:00:00
JFK,2019-01-03,17,30,33,2019-01-03 17:00:00
JFK,2019-01-03,18,35,38,2019-01-03 18:00:00
JFK,2019-01-03,19,48,30,2019-01-03 19:00:00
JFK,2019-01-03,20,29,46,2019-01-03 20:00:00
JFK,2019-01-03,21,34,32,2019-01-03 21:00:00
JFK,2019-01-03,22,25,30,2019-01-03 22:00:00
JFK,2019-01-03,23,20,22,2019-01-03 23:00:00
JFK,2019-01-04,0,13,13,2019-01-04 00:00:00
JFK,2019-01-04,1,5,2,2019-01-04 01:00:00
JFK,2019-01-04,2,2,2,2019-01-04 02:00:00
JFK,2019-01-04,3,1,0,2019-01-04 03:00:00
JFK,2019-01-04,4,0,3,2019-01-04 04:00:00
JFK,2019-01-04,5,9,25,2019-01-04 05:00:00
JFK,2019-01-04,6,20,21,2019-01-04 06:00:00
JFK,2019-01-04,7,39,29,2019-01-04 07:00:00
JFK,2019-01-04,8,47,16,2019-01-04 08:00:00
JFK,2019-01-04,9,38,19,2019-01-04 09:00:00
JFK,2019-01-04,10,21,22,2019-01-04 10:00:00
JFK,2019-01-04,11,30,16,2019-01-04 11:00:00
JFK,2019-01-04,12,21,24,2019-01-04 12:00:00
JFK,2019-01-04,13,21,43,2019-01-04 13:00:00
JFK,2019-01-04,14,23,44,2019-01-04 14:00:00
JFK,2019-01-04,15,37,34,2019-01-04 15:00:00
JFK,2019-01-04,16,35,37,2019-01-04 16:00:00
JFK,2019-01-04,17,33,33,2019-01-04 17:00:00
JFK,2019-01-04,18,36,36,2019-01-04 18:00:00
JFK,2019-01-04,19,48,30,2019-01-04 19:00:00
JFK,2019-01-04,20,29,46,2019-01-04 20:00:00
JFK,2019-01-04,21,32,30,2019-01-04 21:00:00
JFK,2019-01-04,22,29,29,2019-01-04 22:00:00
JFK,2019-01-04,23,19,22,2019-01-04 23:00:00
JFK,2019-01-05,0,10,9,2019-01-05 00:00:00
JFK,2019-01-05,1,5,1,2019-01-05 01:00:00
JFK,2019-01-05,2,3,3,2019-01-05 02:00:00
JFK,2019-01-05,3,2,0,2019-01-05 03:00:00
JFK,2019-01-05,4,0,6,2019-01-05 04:00:00
JFK,2019-01-05,5,5,19,2019-01-05 05:00:00
JFK,2019-01-05,6,15,21,2019-01-05 06:00:00
JFK,2019-01-05,7,32,28,2019-01-05 07:00:00
