airport,report_date,Hour,Scheduled Departures,Scheduled Arrivals,Average Taxi Out Time,Average Taxi Out Delay,Average Airborne Delay,Average Taxi In Delay,DATE
JFK,2023-01-01,0,7,5,22.57,5.66,1.6,5.7,2023-01-01 00:00:00
JFK,2023-01-01,1,3,3,19.0,1.33,0.75,7.02,2023-01-01 01:00:00
JFK,2023-01-01,2,3,2,21.5,4.2,3.0,6.7,2023-01-01 02:00:00
JFK,2023-01-01,3,3,1,22.0,5.13,5.5,4.7,2023-01-01 03:00:00
JFK,2023-01-01,4,0,5,0.0,0.0,4.43,7.26,2023-01-01 04:00:00
JFK,2023-01-01,5,6,16,18.4,2.88,0.17,8.12,2023-01-01 05:00:00
JFK,2023-01-01,6,16,12,19.59,3.69,1.91,8.43,2023-01-01 06:00:00
JFK,2023-01-01,7,32,26,20.2,3.24,1.68,8.55,2023-01-01 07:00:00
JFK,2023-01-01,8,37,15,20.49,3.61,1.29,5.96,2023-01-01 08:00:00
JFK,2023-01-01,9,36,13,19.43,3.31,2.38,4.11,2023-01-01 09:00:00
JFK,2023-01-01,10,21,16,24.0,6.93,1.38,2.78,2023-01-01 10:00:00
JFK,2023-01-01,11,22,20,18.73,2.82,1.79,3.63,2023-01-01 11:00:00
JFK,2023-01-01,12,25,21,19.44,3.05,2.64,1.51,2023-01-01 12:00:00
JFK,2023-01-01,13,20,29,18.19,2.52,2.07,2.52,2023-01-01 13:00:00
JFK,2023-01-01,14,23,40,21.96,5.16,2.17,3.41,2023-01-01 14:00:00
JFK,2023-01-01,15,27,29,20.18,3.72,3.26,2.75,2023-01-01 15:00:00
JFK,2023-01-01,16,20,28,18.48,2.11,2.42,3.74,2023-01-01 16:00:00
JFK,2023-01-01,17,37,29,21.65,4.51,2.03,3.82,2023-01-01 17:00:00
JFK,2023-01-01,18,34,37,28.43,10.74,2.44,10.34,2023-01-01 18:00:00
JFK,2023-01-01,19,35,22,21.31,3.62,1.96,2.66,2023-01-01 19:00:00
JFK,2023-01-01,20,27,27,21.71,4.83,1.25,4.9,2023-01-01 20:00:00
JFK,2023-01-01,21,31,37,22.22,5.35,4.76,4.52,2023-01-01 21:00:00
JFK,2023-01-01,22,18,29,17.85,2.16,2.87,2.5,2023-01-01 22:00:00
JFK,2023-01-01,23,14,22,16.94,1.27,1.23,4.75,2023-01-01 23:00:00
JFK,2023-01-02,0,5,5,21.75,4.15,1.67,5.63,2023-01-02 00:00:00
JFK,2023-01-02,1,6,5,15.5,0.0,0.0,3.6,2023-01-02 01:00:00
JFK,2023-01-02,2,2,2,12.5,0.0,0.67,4.7,2023-01-02 02:00:00
JFK,2023-01-02,3,1,0,16.0,1.13,5.0,1.9,2023-01-02 03:00:00
JFK,2023-01-02,4,0,4,26.0,8.4,0.0,4.34,2023-01-02 04:00:00
JFK,2023-01-02,5,7,17,14.86,0.5,5.25,1.78,2023-01-02 05:00:00
JFK,2023-01-02,6,22,16,17.26,1.68,1.29,1.48,2023-01-02 06:00:00
JFK,2023-01-02,7,36,31,19.0,2.25,3.9,2.78,2023-01-02 07:00:00
JFK,2023-01-02,8,39,22,24.5,7.7,4.29,3.11,2023-01-02 08:00:00
JFK,2023-01-02,9,35,19,27.79,11.21,1.64,4.15,2023-01-02 09:00:00
JFK,2023-01-02,10,24,16,20.46,3.55,1.75,4.18,2023-01-02 10:00:00
JFK,2023-01-02,11,22,18,22.21,5.53,2.89,2.66,2023-01-02 11:00:00
