airport,report_date,Hour,Scheduled Departures,Scheduled Arrivals,Average Taxi Out Time,Average Taxi Out Delay,Average Airborne Delay,Average Taxi In Delay
JFK,2019-01-01,0,8,9,22.5,5.05,5.29,3.56
JFK,2019-01-01,1,5,2,20.4,3.24,0.0,6.23
JFK,2019-01-01,2,3,4,18.5,2.7,2.4,5.28
JFK,2019-01-01,3,1,0,16.0,0.0,0.0,0.0
JFK,2019-01-01,4,0,4,0.0,0.0,5.0,3.13
JFK,2019-01-01,5,10,25,16.22,1.78,0.86,8.46
JFK,2019-01-01,6,23,19,17.52,1.94,22.0,13.95
JFK,2019-01-01,7,33,22,18.26,2.37,5.1,9.79
JFK,2019-01-01,8,47,16,19.64,2.6,2.29,6.75
JFK,2019-01-01,9,36,17,19.42,3.28,1.12,4.58
JFK,2019-01-01,10,23,23,19.59,3.19,3.17,2.2
JFK,2019-01-01,11,27,20,16.41,0.83,0.53,1.94
JFK,2019-01-01,12,21,23,18.62,2.68,0.38,3.0
JFK,2019-01-01,13,23,45,19.18,2.92,2.54,2.59
JFK,2019-01-01,14,25,42,23.08,6.88,1.78,2.26
JFK,2019-01-01,15,37,35,29.29,11.27,2.97,2.99
JFK,2019-01-01,16,30,39,27.61,9.83,2.68,3.25
JFK,2019-01-01,17,30,30,19.52,2.54,2.31,4.56
JFK,2019-01-01,18,33,36,25.22,7.06,1.17,8.56
JFK,2019-01-01,19,46,28,26.77,8.51,2.25,4.67
JFK,2019-01-01,20,25,43,22.58,5.54,2.16,4.37
JFK,2019-01-01,21,35,30,21.51,4.85,2.52,5.17
JFK,2019-01-01,22,25,32,20.5,3.81,3.73,3.23
JFK,2019-01-01,23,18,28,20.37,4.09,0.83,4.1
JFK,2019-01-02,0,13,11,19.46,2.46,0.22,3.72
JFK,2019-01-02,1,6,2,21.0,4.13,0.0,9.35
JFK,2019-01-02,2,1,4,17.0,0.0,0.25,5.1
JFK,2019-01-02,3,1,0,17.0,0.0,0.0,0.0
JFK,2019-01-02,4,0,5,0.0,0.0,0.0,8.36
JFK,2019-01-02,5,11,25,15.82,0.54,8.96,2.94
JFK,2019-01-02,6,23,23,20.83,4.62,13.21,2.88
JFK,2019-01-02,7,37,30,20.68,4.24,2.72,6.3
JFK,2019-01-02,8,52,18,26.31,8.24,1.4,5.26
JFK,2019-01-02,9,41,22,28.49,11.53,0.73,2.86
JFK,2019-01-02,10,24,23,20.43,3.99,2.25,2.38
JFK,2019-01-02,11,32,20,26.06,7.74,0.7,1.75
JFK,2019-01-02,12,24,23,22.48,5.99,1.59,2.69
JFK,2019-01-02,13,24,44,21.48,4.54,2.02,2.4
JFK,2019-01-02,14,27,46,22.69,6.35,2.13,1.59
JFK,2019-01-02,15,37,33,25.47,7.95,1.27,2.29
JFK,2019-01-02,16,35,39,23.18,6.04,1.94,2.65
JFK,2019-01-02,17,35,34,21.23,3.79,1.56,1.46
JFK,2019-01-02,18,37,37,27.0,8.98,2.41,5.06
JFK,2019-01-02,19,46,29,26.58,8.47,1.45,2.57
JFK,2019-01-02,20,31,50,25.94,8.57,2.24,5.85
JFK,2019-01-02,21,32,34,22.47,5.4,1.71,6.44
JFK,2019-01-02,22,27,32,20.9,4.14,1.34,4.47
