airport,report_date,Hour,Scheduled Departures,Scheduled Arrivals,Average Taxi Out Time,Average Taxi Out Delay,Average Airborne Delay,Average Taxi In Delay
ORD,2024-01-01,0,5,6,17.0,5.84,5.14,2.33
ORD,2024-01-01,1,1,1,26.33,14.93,6.5,2.1
ORD,2024-01-01,2,3,1,24.5,13.1,0.0,0.0
ORD,2024-01-01,3,1,0,11.0,0.0,0.0,0.0
ORD,2024-01-01,4,2,4,0.0,0.0,1.4,5.24
ORD,2024-01-01,5,6,15,15.67,3.93,0.0,1.77
ORD,2024-01-01,6,21,10,17.14,5.69,0.13,4.54
ORD,2024-01-01,7,43,58,18.07,6.42,1.12,4.67
ORD,2024-01-01,8,70,54,19.24,7.82,1.7,5.97
ORD,2024-01-01,9,69,86,20.32,8.8,3.08,9.97
ORD,2024-01-01,10,81,14,20.17,8.82,0.0,5.97
ORD,2024-01-01,11,29,35,17.16,5.72,1.68,5.61
ORD,2024-01-01,12,37,65,19.28,7.93,1.49,5.32
ORD,2024-01-01,13,76,55,21.47,9.95,2.29,8.71
ORD,2024-01-01,14,59,59,20.87,9.31,1.47,7.28
ORD,2024-01-01,15,45,35,20.16,8.72,1.71,7.31
ORD,2024-01-01,16,43,61,19.58,8.14,2.52,5.52
ORD,2024-01-01,17,35,80,20.16,8.77,2.42,7.18
ORD,2024-01-01,18,96,85,24.95,13.41,1.77,13.26
ORD,2024-01-01,19,57,77,20.48,8.8,1.04,10.12
ORD,2024-01-01,20,81,29,17.49,6.14,0.59,8.2
ORD,2024-01-01,21,30,12,16.22,4.73,0.0,3.79
ORD,2024-01-01,22,3,21,11.0,0.0,1.35,2.4
ORD,2024-01-01,23,3,22,19.0,7.6,1.17,3.1
ORD,2024-01-02,0,4,7,0.0,0.0,0.63,2.4
ORD,2024-01-02,1,1,1,21.0,9.6,0.0,0.0
ORD,2024-01-02,2,2,0,33.0,21.6,0.0,0.0
ORD,2024-01-02,3,2,0,0.0,0.0,0.0,0.0
ORD,2024-01-02,4,0,4,0.0,0.0,0.0,2.13
ORD,2024-01-02,5,8,16,15.5,3.98,0.08,3.16
ORD,2024-01-02,6,27,12,21.41,10.11,0.0,3.44
ORD,2024-01-02,7,56,91,28.82,17.09,0.13,7.35
ORD,2024-01-02,8,96,44,27.61,16.18,0.33,10.31
ORD,2024-01-02,9,74,80,23.42,11.91,0.01,12.46
ORD,2024-01-02,10,78,19,18.84,7.36,0.0,3.49
ORD,2024-01-02,11,27,40,17.73,6.66,0.3,4.73
ORD,2024-01-02,12,40,76,15.2,3.75,2.2,5.24
ORD,2024-01-02,13,78,63,18.86,7.4,2.12,6.2
ORD,2024-01-02,14,60,57,20.59,8.86,1.95,6.73
ORD,2024-01-02,15,46,38,17.14,5.74,1.43,5.73
ORD,2024-01-02,16,45,61,18.09,6.76,2.69,6.08
ORD,2024-01-02,17,35,80,18.11,6.52,3.3,6.51
ORD,2024-01-02,18,96,89,27.18,15.61,1.18,13.54
ORD,2024-01-02,19,54,71,18.82,7.19,2.14,8.97
ORD,2024-01-02,20,80,35,20.49,9.05,1.41,9.08
ORD,2024-01-02,21,32,11,17.32,5.87,1.17,6.75
ORD,2024-01-02,22,3,20,16.0,4.6,1.76,2.91
ORD,2024-01-02,23,4,23,20.75,9.36,0.91,2.84
ORD,2024-01-03,0,3,8,15.25,3.95,0.25,1.71
ORD,2024-01-03,1,2,1,17.67,6.4,0.0,4.5
ORD,2024-01-03,2,3,1,0.0,0.0,0.0,0.0
ORD,2024-01-03,3,2,0,17.67,6.4,0.0,6.1
ORD,2024-01-03,4,1,4,22.0,10.6,0.09,3.88
ORD,2024-01-03,5,8,16,28.38,16.71,0.0,2.82
ORD,2024-01-03,6,29,11,29.13,17.26,1.75,3.39
ORD,2024-01-03,7,56,93,31.69,19.96,4.12,7.44
ORD,2024-01-03,8,95,41,36.03,24.62,2.35,8.08
ORD,2024-01-03,9,73,81,32.42,20.88,1.88,13.54
