airport,report_date,Hour,Scheduled Departures,Scheduled Arrivals,Departures For Metric Computation,Arrivals For Metric Computation,% On-Time Gate Departures,% On-Time Airport Departures,% On-Time Gate Arrivals,Average Gate Departure Delay,Average Taxi Out Time,Average Taxi Out Delay,Average Airport Departure Delay,Average Airborne Delay,Average Taxi In Delay,Average Block Delay,Average Gate Arrival Delay
BWI,2019-01-01,0,0,7,0,4,0.0,0.0,100.0,0.0,0.0,0.0,0.0,3.75,0.63,0.0,0.0
BWI,2019-01-01,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BWI,2019-01-01,2,0,0,1,2,0.0,0.0,50.0,17.0,11.0,1.2,18.0,2.0,0.7,4.0,21.5
BWI,2019-01-01,4,0,2,0,2,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,3.2,0.0,0.0
BWI,2019-01-01,5,3,4,3,2,100.0,100.0,100.0,1.0,12.67,2.3,0.67,0.0,3.1,0.0,0.0
BWI,2019-01-01,6,29,4,28,4,96.43,96.43,100.0,3.07,11.82,2.37,4.0,0.25,3.05,0.0,0.0
BWI,2019-01-01,7,9,15,9,15,100.0,100.0,80.0,0.0,15.11,4.76,3.22,1.13,2.69,2.4,6.33
BWI,2019-01-01,8,33,15,33,16,90.91,81.82,93.75,3.3,13.18,4.0,6.33,0.69,4.47,1.44,2.06
BWI,2019-01-01,9,17,13,21,13,95.24,95.24,69.23,6.62,11.62,2.49,8.81,0.0,2.68,1.15,39.69
BWI,2019-01-01,10,15,21,16,21,68.75,68.75,90.48,9.06,11.75,2.84,11.13,0.67,1.27,0.14,6.76
BWI,2019-01-01,11,17,13,18,14,77.78,77.78,92.86,15.78,11.22,2.36,16.83,0.93,1.57,0.43,4.71
BWI,2019-01-01,12,16,19,18,20,77.78,77.78,95.0,9.67,11.06,1.62,10.39,1.1,2.14,0.15,6.65
BWI,2019-01-01,13,20,13,20,14,80.0,55.0,92.86,18.4,12.55,3.46,21.35,1.36,0.68,0.57,1.43
BWI,2019-01-01,14,12,20,12,20,83.33,66.67,100.0,13.0,11.33,2.43,14.33,1.15,2.5,0.6,0.7
BWI,2019-01-01,15,18,21,18,21,83.33,77.78,76.19,9.56,12.17,3.13,11.78,1.52,2.03,1.71,12.29
BWI,2019-01-01,16,25,13,25,16,76.0,72.0,75.0,13.32,12.28,3.17,15.48,0.69,0.67,0.63,16.38
BWI,2019-01-01,17,16,16,18,18,72.22,72.22,77.78,12.28,11.72,2.0,14.0,1.11,1.16,2.72,8.28
BWI,2019-01-01,18,12,32,13,32,61.54,61.54,68.75,12.15,11.08,1.92,12.92,0.69,1.85,1.13,17.25
BWI,2019-01-01,19,28,14,27,15,55.56,44.44,66.67,22.81,12.3,3.22,25.81,0.73,3.87,1.6,19.33
BWI,2019-01-01,20,15,14,15,15,46.67,46.67,80.0,18.73,13.6,4.77,22.93,0.67,4.31,0.27,4.4
BWI,2019-01-01,21,4,22,4,22,100.0,100.0,72.73,1.5,8.25,0.03,1.5,0.68,1.9,1.0,17.14
BWI,2019-01-01,22,17,10,17,10,64.71,64.71,80.0,19.82,10.94,2.07,20.94,0.2,2.59,0.6,10.1
BWI,2019-01-01,23,0,15,0,17,0.0,0.0,82.35,0.0,0.0,0.0,0.0,0.82,3.03,0.88,9.53
BWI,2019-01-02,0,0,15,0,8,0.0,0.0,87.5,0.0,0.0,0.0,0.0,0.5,0.4,0.63,6.25
BWI,2019-01-02,1,0,2,1,1,0.0,0.0,100.0,25.0,11.0,1.2,26.0,0.0,0.0,0.0,0.0
BWI,2019-01-02,2,0,0,2,1,100.0,100.0,100.0,0.0,18.5,8.7,8.5,0.0,0.7,0.0,0.0
BWI,2019-01-02,3,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BWI,2019-01-02,4,0,2,0,3,0.0,0.0,66.67,0.0,0.0,0.0,0.0,0.0,3.37,0.33,7.67
BWI,2019-01-02,5,4,4,5,8,80.0,80.0,100.0,9.0,11.8,1.82,9.6,0.5,2.56,1.75,3.63
BWI,2019-01-02,6,28,5,28,6,96.43,92.86,66.67,1.86,14.0,4.46,4.64,1.33,0.45,0.5,22.67
BWI,2019-01-02,7,14,19,20,19,95.0,95.0,94.74,4.7,10.9,1.66,5.75,0.74,2.14,0.42,7.21
BWI,2019-01-02,8,29,13,30,14,93.33,93.33,85.71,4.77,13.63,4.19,6.83,0.71,0.64,1.36,7.86
BWI,2019-01-02,9,19,26,20,29,85.0,85.0,89.66,5.65,11.55,2.3,7.0,1.45,0.98,1.86,4.1
BWI,2019-01-02,10,27,14,28,15,78.57,78.57,93.33,14.32,12.18,3.16,16.75,1.53,0.71,1.33,2.93
BWI,2019-01-02,11,14,15,15,16,80.0,80.0,81.25,12.4,10.47,1.61,13.67,0.5,1.42,2.0,5.44
BWI,2019-01-02,12,14,25,14,26,71.43,71.43,88.46,14.14,11.14,1.77,15.43,1.58,2.89,1.42,6.42
BWI,2019-01-02,13,27,9,28,10,57.14,57.14,50.0,24.75,11.61,2.71,26.96,1.1,7.97,4.4,46.2
BWI,2019-01-02,14,7,17,9,18,22.22,22.22,88.89,43.22,11.44,2.34,45.44,1.72,4.61,2.56,7.39
BWI,2019-01-02,15,23,25,24,26,66.67,62.5,92.31,19.63,12.33,3.2,22.29,2.15,1.99,1.15,5.65
BWI,2019-01-02,16,22,20,22,22,68.18,68.18,72.73,8.82,12.27,2.7,10.77,1.14,0.9,1.27,27.09
BWI,2019-01-02,17,27,25,27,26,40.74,37.04,53.85,43.93,14.48,5.14,47.56,2.08,1.22,3.42,18.5
BWI,2019-01-02,18,16,22,16,22,56.25,50.0,54.55,17.75,12.44,3.66,19.81,1.68,1.79,2.68,20.82
BWI,2019-01-02,19,19,21,19,22,47.37,36.84,54.55,17.95,12.47,3.47,20.84,1.59,1.41,0.77,16.18
BWI,2019-01-02,20,24,14,25,16,16.0,16.0,62.5,39.72,14.16,5.23,44.72,1.5,4.01,2.25,27.81
BWI,2019-01-02,21,9,23,10,24,40.0,30.0,62.5,44.8,13.5,4.52,48.6,1.25,2.25,0.46,20.67
BWI,2019-01-02,22,25,15,32,15,18.75,12.5,26.67,44.59,11.81,2.85,47.06,1.13,8.71,7.53,31.07
BWI,2019-01-02,23,0,17,1,20,0.0,0.0,75.0,17.0,18.0,8.2,25.0,1.0,3.32,3.15,11.55
