airport,report_date,Hour,Scheduled Departures,Scheduled Arrivals,Departures For Metric Computation,Arrivals For Metric Computation,% On-Time Gate Departures,% On-Time Airport Departures,% On-Time Gate Arrivals,Average Gate Departure Delay,Average Taxi Out Time,Average Taxi Out Delay,Average Airport Departure Delay,Average Airborne Delay,Average Taxi In Delay,Average Block Delay,Average Gate Arrival Delay
DCA,2019-01-01,0,0,2,0,2,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0
DCA,2019-01-01,6,20,0,20,0,100.0,95.0,0.0,0.8,13.45,2.97,1.85,0.0,0.0,0.0,0.0
DCA,2019-01-01,7,14,5,14,5,85.71,85.71,100.0,6.21,15.57,4.13,7.5,1.2,1.24,0.0,1.8
DCA,2019-01-01,8,16,6,16,6,100.0,87.5,83.33,0.0,17.44,6.17,3.38,1.17,1.02,6.0,4.83
DCA,2019-01-01,9,15,20,14,20,92.86,78.57,90.0,7.07,15.79,4.38,9.5,1.9,0.84,0.1,23.35
DCA,2019-01-01,10,17,19,17,21,88.24,82.35,85.71,12.76,13.47,2.2,13.94,2.1,0.62,0.19,17.52
DCA,2019-01-01,11,25,17,24,15,87.5,83.33,86.67,5.5,14.88,3.79,7.46,2.0,0.9,1.07,9.47
DCA,2019-01-01,12,19,22,21,22,85.71,85.71,86.36,10.57,13.95,3.01,12.0,2.18,2.53,2.95,6.68
DCA,2019-01-01,13,16,17,17,18,82.35,82.35,94.44,16.88,15.29,3.61,18.41,2.5,0.66,0.78,2.83
DCA,2019-01-01,14,21,23,20,22,90.0,85.0,86.36,10.55,16.55,4.79,13.35,2.55,1.4,0.32,6.36
DCA,2019-01-01,15,20,23,22,26,81.82,77.27,80.77,11.05,16.68,5.29,13.32,7.04,0.55,2.08,6.85
DCA,2019-01-01,16,23,28,20,25,70.0,60.0,72.0,14.05,16.45,5.53,18.2,7.24,5.4,5.6,15.88
DCA,2019-01-01,17,28,9,31,9,77.42,77.42,77.78,13.03,15.84,4.22,14.35,1.78,0.73,2.0,14.67
DCA,2019-01-01,18,14,27,14,28,57.14,57.14,60.71,26.79,14.14,2.91,28.21,3.61,2.95,3.79,18.0
DCA,2019-01-01,19,25,16,21,16,80.95,71.43,75.0,11.48,13.86,2.4,12.33,2.75,2.24,2.25,13.88
DCA,2019-01-01,20,12,18,16,18,75.0,75.0,83.33,18.88,13.31,1.84,19.06,1.94,1.84,1.11,4.56
DCA,2019-01-01,21,4,26,4,26,50.0,50.0,73.08,13.25,11.75,1.45,13.25,2.12,2.11,2.77,9.04
