airport,report_date,Hour,Scheduled Departures,Scheduled Arrivals,Departures For Metric Computation,Arrivals For Metric Computation,% On-Time Gate Departures,% On-Time Airport Departures,% On-Time Gate Arrivals,Average Gate Departure Delay,Average Taxi Out Time,Average Taxi Out Delay,Average Airport Departure Delay,Average Airborne Delay,Average Taxi In Delay,Average Block Delay,Average Gate Arrival Delay
HOU,2019-01-01,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HOU,2019-01-01,3,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HOU,2019-01-01,5,6,0,6,0,83.33,83.33,0.0,3.67,9.17,1.5,4.5,0.0,0.0,0.0,0.0
HOU,2019-01-01,6,12,1,13,1,84.62,84.62,100.0,4.85,9.85,1.92,5.77,2.0,0.0,0.0,0.0
HOU,2019-01-01,7,4,11,6,11,66.67,66.67,100.0,10.17,9.5,2.13,12.0,1.09,2.16,0.45,1.64
HOU,2019-01-01,8,16,3,17,3,88.24,76.47,100.0,6.41,9.18,1.84,7.71,2.67,4.23,2.33,2.0
HOU,2019-01-01,9,6,19,7,20,57.14,57.14,75.0,11.14,10.86,3.06,14.0,2.15,3.48,5.65,11.6
HOU,2019-01-01,10,18,5,22,6,54.55,54.55,66.67,14.5,11.41,3.68,17.77,4.0,2.87,4.33,10.5
HOU,2019-01-01,11,8,10,8,10,75.0,75.0,100.0,7.25,10.88,2.8,8.88,0.7,0.88,0.0,1.6
HOU,2019-01-01,12,8,6,9,8,66.67,66.67,87.5,10.11,8.89,1.4,11.33,1.5,0.3,1.0,4.38
HOU,2019-01-01,13,7,18,8,21,75.0,62.5,71.43,12.13,9.13,1.63,13.13,2.14,0.07,1.76,8.48
HOU,2019-01-01,14,18,8,22,11,54.55,54.55,63.64,14.41,10.09,2.48,16.32,2.0,0.64,3.82,15.0
HOU,2019-01-01,15,7,8,8,9,75.0,75.0,100.0,6.0,9.63,2.5,7.88,2.11,0.0,2.33,3.78
HOU,2019-01-01,16,9,19,11,22,90.91,90.91,77.27,4.09,8.27,0.71,4.27,2.0,0.66,5.32,20.05
HOU,2019-01-01,17,13,6,13,7,76.92,69.23,28.57,7.92,9.15,1.62,8.77,4.86,0.24,5.0,31.0
HOU,2019-01-01,18,8,19,9,19,77.78,77.78,78.95,7.0,8.89,1.58,7.78,2.32,0.07,4.0,14.79
HOU,2019-01-01,19,14,5,15,7,53.33,53.33,57.14,17.07,8.73,1.27,17.87,1.57,0.0,2.71,16.43
HOU,2019-01-01,20,4,10,4,10,50.0,50.0,70.0,24.5,8.25,0.45,24.75,1.0,0.41,2.1,11.3
HOU,2019-01-01,21,3,15,3,15,100.0,100.0,66.67,0.0,9.0,1.73,0.0,1.8,0.71,0.47,13.93
HOU,2019-01-01,22,14,8,14,8,50.0,50.0,50.0,24.64,8.21,0.93,24.86,1.63,1.23,1.88,43.13
HOU,2019-01-01,23,0,4,0,6,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.62,1.33,20.0
HOU,2019-01-02,0,0,4,1,0,100.0,100.0,0.0,0.0,19.0,11.2,11.0,0.0,0.0,0.0,0.0
HOU,2019-01-02,1,0,6,0,2,0.0,0.0,50.0,0.0,0.0,0.0,0.0,6.0,0.0,5.0,49.0
HOU,2019-01-02,2,0,0,0,2,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.5
HOU,2019-01-02,3,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0
HOU,2019-01-02,4,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HOU,2019-01-02,5,9,0,10,0,100.0,100.0,0.0,1.7,10.9,3.26,3.4,0.0,0.0,0.0,0.0
HOU,2019-01-02,6,10,2,11,2,100.0,90.91,100.0,0.18,15.09,6.96,5.0,0.5,0.0,0.0,0.0
HOU,2019-01-02,7,7,11,10,11,70.0,70.0,100.0,6.7,12.8,5.0,10.9,2.91,0.37,0.64,2.73
HOU,2019-01-02,8,15,3,15,3,93.33,86.67,100.0,6.2,14.87,7.07,12.53,3.67,5.13,4.67,8.0
HOU,2019-01-02,9,4,21,5,22,40.0,40.0,72.73,21.0,9.6,1.8,22.6,7.95,0.4,5.86,16.77
HOU,2019-01-02,10,20,3,23,6,47.83,43.48,66.67,18.17,10.13,2.3,20.22,4.17,0.75,8.83,26.33
HOU,2019-01-02,11,8,11,11,12,54.55,36.36,75.0,18.0,10.73,2.84,20.55,4.92,0.28,2.75,15.5
HOU,2019-01-02,12,11,8,12,9,33.33,25.0,33.33,31.67,8.67,0.9,32.08,27.67,0.0,25.44,51.44
HOU,2019-01-02,13,7,19,7,25,14.29,0.0,36.0,34.0,9.71,2.37,35.71,5.92,0.06,10.04,29.2
HOU,2019-01-02,14,18,5,20,11,20.0,10.0,27.27,36.7,13.4,5.64,42.1,7.91,1.83,15.0,49.55
HOU,2019-01-02,15,5,11,9,14,22.22,22.22,28.57,45.33,9.33,1.62,46.67,7.64,1.84,8.93,57.64
HOU,2019-01-02,16,12,16,13,18,30.77,23.08,50.0,49.46,11.69,3.77,52.92,7.17,4.27,6.94,33.17
HOU,2019-01-02,17,12,9,12,14,0.0,0.0,21.43,64.92,11.67,3.87,68.58,5.93,2.65,15.29,55.21
HOU,2019-01-02,18,14,12,15,13,40.0,33.33,7.69,52.53,12.73,4.49,56.73,9.54,0.83,14.54,51.46
HOU,2019-01-02,19,4,14,5,14,20.0,20.0,35.71,78.8,12.6,4.96,83.4,11.29,4.23,13.64,38.79
HOU,2019-01-02,20,14,8,14,8,0.0,0.0,25.0,77.14,10.0,2.26,79.14,8.63,25.15,28.25,34.25
HOU,2019-01-02,21,5,18,6,20,0.0,0.0,35.0,76.83,8.83,1.17,77.67,9.95,13.94,13.7,39.75
HOU,2019-01-02,22,15,8,16,11,6.25,6.25,18.18,64.38,10.69,2.94,67.06,7.09,13.91,17.09,56.91
HOU,2019-01-02,23,1,3,3,3,66.67,66.67,66.67,28.33,12.67,4.87,33.0,0.33,7.8,0.33,8.33
HOU,2019-01-03,0,0,0,1,4,100.0,100.0,25.0,0.0,14.0,6.2,6.0,3.25,0.43,3.75,50.0
HOU,2019-01-03,1,0,0,0,6,0.0,0.0,66.67,0.0,0.0,0.0,0.0,1.67,0.0,0.67,12.83
HOU,2019-01-03,2,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HOU,2019-01-03,3,0,0,1,0,100.0,100.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0
HOU,2019-01-03,4,0,0,1,0,0.0,0.0,0.0,27.0,10.0,2.2,29.0,0.0,0.0,0.0,0.0
HOU,2019-01-03,5,4,0,4,0,100.0,100.0,0.0,0.75,10.75,3.15,3.25,0.0,0.0,0.0,0.0
HOU,2019-01-03,6,11,0,11,0,90.91,72.73,0.0,19.0,16.09,8.04,26.64,0.0,0.0,0.0,0.0
HOU,2019-01-03,7,5,13,5,13,80.0,80.0,84.62,6.4,11.2,3.4,9.4,3.69,2.4,10.92,15.54
HOU,2019-01-03,8,20,3,22,5,54.55,22.73,60.0,17.14,18.91,11.11,28.05,2.6,0.34,10.8,19.4
HOU,2019-01-03,9,1,20,4,22,25.0,25.0,77.27,20.5,12.75,4.95,24.5,6.18,1.73,7.18,12.32
HOU,2019-01-03,10,20,4,24,6,45.83,29.17,66.67,29.63,13.88,5.98,35.33,4.33,2.23,4.5,22.0
HOU,2019-01-03,11,7,5,8,7,50.0,25.0,71.43,14.38,19.5,11.38,25.63,2.14,1.06,0.86,10.86
HOU,2019-01-03,12,7,11,8,13,37.5,25.0,61.54,25.0,10.13,2.2,25.63,6.69,0.24,5.23,20.0
HOU,2019-01-03,13,9,16,15,16,60.0,60.0,50.0,18.4,8.87,1.59,19.53,8.94,0.79,6.81,14.69
HOU,2019-01-03,14,18,7,19,11,26.32,15.79,45.45,22.63,13.95,6.19,28.58,5.45,0.06,2.73,18.82
HOU,2019-01-03,15,6,10,8,14,25.0,12.5,50.0,31.5,8.63,1.25,32.13,10.29,0.69,3.14,48.0
HOU,2019-01-03,16,11,18,12,18,41.67,41.67,38.89,20.83,10.17,2.32,23.0,5.72,0.74,2.39,27.5
HOU,2019-01-03,17,13,8,13,11,7.69,7.69,36.36,35.08,9.69,2.08,36.77,3.45,4.99,4.45,31.64
