airport,report_date,Hour,Scheduled Departures,Scheduled Arrivals,Departures For Metric Computation,Arrivals For Metric Computation,% On-Time Gate Departures,% On-Time Airport Departures,% On-Time Gate Arrivals,Average Gate Departure Delay,Average Taxi Out Time,Average Taxi Out Delay,Average Airport Departure Delay,Average Airborne Delay,Average Taxi In Delay,Average Block Delay,Average Gate Arrival Delay
JAX,2019-01-01,0,0,1,0,1,0.0,0.0,100.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
JAX,2019-01-01,5,1,0,1,0,100.0,100.0,0.0,0.0,12.0,0.1,0.0,0.0,0.0,0.0,0.0
JAX,2019-01-01,6,10,0,10,0,90.0,90.0,0.0,13.9,13.0,2.3,15.1,0.0,0.0,0.0,0.0
JAX,2019-01-01,7,6,0,6,0,83.33,83.33,0.0,16.0,13.0,1.63,16.67,0.0,0.0,0.0,0.0
JAX,2019-01-01,8,2,2,3,4,66.67,66.67,100.0,14.67,14.33,2.6,16.0,0.0,0.35,1.0,3.25
JAX,2019-01-01,9,6,2,7,4,85.71,85.71,75.0,9.71,12.43,2.01,10.86,1.5,0.35,2.0,9.25
JAX,2019-01-01,10,5,8,11,8,100.0,81.82,100.0,2.18,16.0,5.43,6.82,1.38,0.77,4.63,3.88
JAX,2019-01-01,11,8,7,10,7,100.0,100.0,100.0,1.4,13.4,2.98,3.7,2.0,4.34,0.0,0.0
JAX,2019-01-01,12,7,3,11,4,54.55,54.55,75.0,24.18,12.0,1.29,25.0,0.0,1.2,2.0,14.5
JAX,2019-01-01,13,6,11,6,11,100.0,83.33,81.82,0.67,15.0,3.65,3.17,1.64,3.01,0.82,12.0
JAX,2019-01-01,14,7,7,8,7,62.5,62.5,71.43,91.0,14.38,3.4,93.5,2.71,0.47,1.86,8.43
JAX,2019-01-01,15,8,2,8,3,62.5,62.5,66.67,9.13,13.5,2.91,10.63,18.0,0.6,17.33,49.0
JAX,2019-01-01,16,3,5,3,5,100.0,100.0,80.0,0.0,13.67,2.43,0.0,2.0,4.84,1.6,7.2
JAX,2019-01-01,17,3,2,3,3,33.33,33.33,33.33,91.67,11.0,0.4,91.33,2.67,0.8,11.67,20.67
JAX,2019-01-01,18,3,8,5,8,40.0,20.0,50.0,22.0,14.2,3.54,25.6,0.5,0.74,1.63,17.0
