airport,report_date,Hour,Scheduled Departures,Scheduled Arrivals,Departures For Metric Computation,Arrivals For Metric Computation,% On-Time Gate Departures,% On-Time Airport Departures,% On-Time Gate Arrivals,Average Gate Departure Delay,Average Taxi Out Time,Average Taxi Out Delay,Average Airport Departure Delay,Average Airborne Delay,Average Taxi In Delay,Average Block Delay,Average Gate Arrival Delay
JFK,2019-01-01,0,8,9,8,7,100.0,100.0,71.43,1.38,22.5,5.05,6.0,5.29,3.56,13.29,24.14
JFK,2019-01-01,1,5,2,5,3,80.0,80.0,33.33,11.6,20.4,3.24,14.6,0.0,6.23,0.67,29.67
JFK,2019-01-01,2,3,4,2,5,50.0,50.0,40.0,290.5,18.5,2.7,291.0,2.4,5.28,5.8,24.6
JFK,2019-01-01,3,1,0,1,0,100.0,100.0,0.0,7.0,16.0,0.0,5.0,0.0,0.0,0.0,0.0
JFK,2019-01-01,4,0,4,0,3,0.0,0.0,66.67,0.0,0.0,0.0,0.0,5.0,3.13,5.33,22.0
JFK,2019-01-01,5,10,25,9,21,44.44,55.56,80.95,30.11,16.22,1.78,31.44,0.86,8.46,7.19,7.71
JFK,2019-01-01,6,23,19,23,16,65.22,65.22,62.5,23.0,17.52,1.94,23.78,22.0,13.95,15.31,17.56
JFK,2019-01-01,7,33,22,34,21,79.41,82.35,90.48,12.44,18.26,2.37,13.71,5.1,9.79,6.9,5.71
JFK,2019-01-01,8,47,16,44,17,86.36,81.82,76.47,14.23,19.64,2.6,15.75,2.29,6.75,1.88,24.12
JFK,2019-01-01,9,36,17,36,17,61.11,50.0,94.12,28.31,19.42,3.28,30.25,1.12,4.58,0.24,2.53
JFK,2019-01-01,10,23,23,22,23,86.36,72.73,95.65,13.05,19.59,3.19,15.18,3.17,2.2,0.48,2.65
JFK,2019-01-01,11,27,20,27,19,85.19,85.19,84.21,9.81,16.41,0.83,10.0,0.53,1.94,2.05,6.84
JFK,2019-01-01,12,21,23,21,21,71.43,71.43,76.19,32.71,18.62,2.68,34.05,0.38,3.0,1.81,15.29
JFK,2019-01-01,13,23,45,22,48,68.18,68.18,81.25,19.18,19.18,2.92,21.59,2.54,2.59,2.23,17.29
JFK,2019-01-01,14,25,42,26,41,84.62,73.08,80.49,9.27,23.08,6.88,14.46,1.78,2.26,2.37,7.54
JFK,2019-01-01,15,37,35,38,35,71.05,50.0,82.86,22.0,29.29,11.27,30.87,2.97,2.99,2.69,5.63
JFK,2019-01-01,16,30,39,31,37,83.87,70.97,86.49,10.19,27.61,9.83,16.71,2.68,3.25,1.22,10.95
JFK,2019-01-01,17,30,30,31,29,80.65,77.42,79.31,6.97,19.52,2.54,8.29,2.31,4.56,2.07,11.83
JFK,2019-01-01,18,33,36,32,35,84.38,75.0,65.71,11.44,25.22,7.06,15.78,1.17,8.56,2.4,22.11
JFK,2019-01-01,19,46,28,47,28,78.72,65.96,89.29,16.28,26.77,8.51,22.89,2.25,4.67,0.39,9.61
JFK,2019-01-01,20,25,43,26,45,73.08,65.38,75.56,11.23,22.58,5.54,15.46,2.16,4.37,1.53,13.93
JFK,2019-01-01,21,35,30,35,31,77.14,74.29,67.74,16.14,21.51,4.85,19.0,2.52,5.17,2.19,20.55
JFK,2019-01-01,22,25,32,24,30,79.17,66.67,56.67,14.0,20.5,3.81,16.63,3.73,3.23,5.5,23.43
JFK,2019-01-01,23,18,28,19,29,68.42,68.42,79.31,9.16,20.37,4.09,11.79,0.83,4.1,1.38,10.17
JFK,2019-01-02,0,13,11,13,9,100.0,100.0,77.78,0.62,19.46,2.46,2.77,0.22,3.72,0.56,10.33
