airport,report_date,Hour,Scheduled Departures,Scheduled Arrivals,Departures For Metric Computation,Arrivals For Metric Computation,% On-Time Gate Departures,% On-Time Airport Departures,% On-Time Gate Arrivals,Average Gate Departure Delay,Average Taxi Out Time,Average Taxi Out Delay,Average Airport Departure Delay,Average Airborne Delay,Average Taxi In Delay,Average Block Delay,Average Gate Arrival Delay
LGB,2019-01-01,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LGB,2019-01-01,2,0,0,1,0,0.0,0.0,0.0,18.0,12.0,1.3,19.0,0.0,0.0,0.0,0.0
LGB,2019-01-01,6,4,0,4,0,100.0,100.0,0.0,0.0,20.0,8.88,4.25,0.0,0.0,0.0,0.0
LGB,2019-01-01,7,3,0,3,0,66.67,66.67,0.0,7.0,15.67,5.03,11.33,0.0,0.0,0.0,0.0
LGB,2019-01-01,8,2,2,3,2,66.67,66.67,50.0,7.0,12.67,1.97,7.0,0.0,1.7,8.5,8.0
LGB,2019-01-01,9,3,2,3,2,66.67,100.0,100.0,5.0,9.33,0.0,4.67,3.0,0.0,0.0,0.0
LGB,2019-01-01,10,3,5,3,5,66.67,66.67,60.0,6.33,10.67,1.83,7.33,2.0,1.96,3.8,30.2
LGB,2019-01-01,11,4,3,4,3,75.0,75.0,66.67,21.5,12.25,1.72,23.0,3.33,1.8,4.67,7.67
LGB,2019-01-01,12,2,3,2,3,50.0,50.0,100.0,11.0,12.0,1.3,11.5,1.67,1.63,0.0,1.33
LGB,2019-01-01,13,4,1,4,1,100.0,100.0,100.0,1.5,14.75,4.05,2.25,2.0,0.0,0.0,0.0
LGB,2019-01-01,14,2,2,2,2,100.0,100.0,50.0,5.0,7.5,0.0,3.5,0.0,1.35,4.5,29.5
LGB,2019-01-01,15,1,1,1,1,0.0,0.0,0.0,37.0,19.0,8.3,45.0,4.0,0.5,0.0,58.0
LGB,2019-01-01,16,3,6,3,6,66.67,66.67,50.0,11.67,14.33,3.6,13.67,4.33,0.68,2.17,33.17
LGB,2019-01-01,17,4,2,4,2,25.0,25.0,100.0,34.25,13.0,2.9,36.5,0.0,3.25,0.0,0.0
LGB,2019-01-01,18,2,1,2,2,100.0,100.0,50.0,0.0,8.5,0.0,0.0,10.0,0.25,10.0,20.0
LGB,2019-01-01,19,2,4,2,6,100.0,100.0,50.0,2.0,8.5,0.0,0.0,0.33,0.7,0.33,13.17
LGB,2019-01-01,20,2,4,2,5,0.0,0.0,60.0,26.5,11.0,0.65,26.5,0.8,1.58,5.8,84.6
LGB,2019-01-01,21,1,6,1,6,100.0,100.0,66.67,0.0,9.0,0.0,0.0,2.17,0.82,1.83,23.17
LGB,2019-01-01,22,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LGB,2019-01-02,4,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LGB,2019-01-02,6,4,0,4,0,75.0,75.0,0.0,6.0,18.5,7.38,10.0,0.0,0.0,0.0,0.0
LGB,2019-01-02,7,4,0,5,0,100.0,100.0,0.0,0.0,12.0,1.92,0.8,0.0,0.0,0.0,0.0
LGB,2019-01-02,8,2,3,3,4,100.0,100.0,50.0,0.0,10.33,0.43,0.0,1.0,2.23,10.5,19.75
LGB,2019-01-02,9,3,2,3,3,66.67,66.67,66.67,18.0,12.33,1.93,18.0,2.67,0.93,4.67,8.0
LGB,2019-01-02,10,3,6,4,7,100.0,100.0,100.0,0.75,12.75,3.2,2.25,1.86,2.49,2.29,2.29
LGB,2019-01-02,11,5,2,5,2,80.0,80.0,50.0,19.4,8.8,0.0,18.6,0.0,1.35,2.5,26.5
LGB,2019-01-02,12,2,3,2,3,50.0,50.0,66.67,23.0,13.5,2.8,25.5,1.67,2.3,0.0,11.33
LGB,2019-01-02,13,3,1,5,4,60.0,60.0,75.0,10.2,11.4,1.32,9.6,3.25,0.5,4.75,9.25
LGB,2019-01-02,14,2,2,2,2,100.0,100.0,50.0,2.0,7.5,0.0,0.5,0.0,0.25,0.0,42.0
LGB,2019-01-02,15,1,1,1,1,100.0,100.0,0.0,0.0,12.0,1.3,0.0,0.0,0.5,0.0,121.0
LGB,2019-01-02,16,3,5,3,5,33.33,33.33,80.0,30.67,14.67,4.3,33.33,0.0,1.02,1.4,9.2
LGB,2019-01-02,17,4,3,4,6,100.0,100.0,83.33,0.0,11.25,1.4,0.5,1.5,2.53,2.83,7.0
LGB,2019-01-02,18,2,2,3,3,100.0,100.0,66.67,0.0,10.0,0.1,0.0,2.0,0.17,0.0,11.0
LGB,2019-01-02,19,1,3,3,4,100.0,100.0,75.0,0.0,11.33,0.53,0.0,0.5,0.43,1.25,7.75
LGB,2019-01-02,20,3,4,4,4,100.0,100.0,50.0,3.5,10.0,1.07,2.5,4.75,2.1,4.0,21.5
LGB,2019-01-02,21,1,6,1,6,100.0,100.0,100.0,0.0,13.0,2.3,0.0,0.5,1.07,0.0,0.5
LGB,2019-01-02,23,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LGB,2019-01-03,6,4,0,4,0,100.0,100.0,0.0,0.0,21.25,10.13,4.0,0.0,0.0,0.0,0.0
LGB,2019-01-03,7,4,0,5,0,80.0,80.0,0.0,10.0,13.0,2.58,10.6,0.0,0.0,0.0,0.0
LGB,2019-01-03,8,2,3,2,3,100.0,100.0,100.0,0.0,13.0,3.15,3.0,6.0,1.8,6.33,2.67
LGB,2019-01-03,9,4,2,4,2,100.0,100.0,100.0,0.25,12.25,1.77,0.0,1.0,1.25,0.0,0.0
LGB,2019-01-03,10,3,5,3,5,100.0,100.0,100.0,0.0,10.67,1.27,1.0,1.8,1.46,1.6,0.0
LGB,2019-01-03,11,3,3,4,3,50.0,50.0,100.0,14.5,12.0,2.4,16.25,1.0,1.63,0.33,0.0
LGB,2019-01-03,12,3,3,3,4,100.0,100.0,100.0,0.0,13.67,3.2,1.67,1.75,1.93,0.75,0.0
LGB,2019-01-03,13,3,1,4,1,100.0,100.0,100.0,0.0,10.5,0.4,0.0,0.0,0.0,0.0,0.0
LGB,2019-01-03,14,1,2,1,4,100.0,100.0,50.0,0.0,8.0,0.0,0.0,2.5,0.55,3.5,20.0
LGB,2019-01-03,15,2,1,3,1,33.33,33.33,100.0,19.0,9.67,0.1,18.0,0.0,0.5,0.0,0.0
LGB,2019-01-03,16,3,5,3,5,100.0,100.0,80.0,4.0,11.33,1.43,3.0,0.0,1.22,0.2,3.6
LGB,2019-01-03,17,3,1,3,3,100.0,100.0,100.0,0.0,12.33,2.87,2.33,2.67,3.23,4.33,4.33
LGB,2019-01-03,18,3,4,4,6,100.0,100.0,83.33,0.0,9.75,0.45,0.0,0.33,1.13,0.33,4.5
LGB,2019-01-03,19,2,3,3,3,100.0,100.0,66.67,1.67,10.0,0.0,1.33,0.67,0.0,0.0,6.67
LGB,2019-01-03,20,2,4,2,4,100.0,50.0,75.0,14.0,15.0,5.15,18.0,0.25,0.55,0.25,22.75
LGB,2019-01-03,21,1,6,1,6,100.0,100.0,83.33,0.0,10.0,0.0,0.0,1.33,3.38,2.83,4.33
LGB,2019-01-03,22,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LGB,2019-01-04,6,4,0,4,1,100.0,75.0,0.0,0.0,27.25,16.13,10.0,4.0,0.5,7.0,47.0
LGB,2019-01-04,7,4,0,4,0,100.0,100.0,0.0,0.0,12.75,2.97,0.0,0.0,0.0,0.0,0.0
LGB,2019-01-04,8,2,3,2,3,50.0,50.0,66.67,28.5,11.5,2.15,30.5,0.67,0.57,1.67,31.67
LGB,2019-01-04,9,4,2,4,2,75.0,75.0,100.0,25.0,12.5,2.95,26.0,1.0,0.4,1.5,2.5
LGB,2019-01-04,10,2,5,2,5,100.0,100.0,100.0,2.5,11.0,0.75,3.0,0.4,0.38,1.2,0.6
