airport,report_date,Hour,Scheduled Departures,Scheduled Arrivals,Departures For Metric Computation,Arrivals For Metric Computation,% On-Time Gate Departures,% On-Time Airport Departures,% On-Time Gate Arrivals,Average Gate Departure Delay,Average Taxi Out Time,Average Taxi Out Delay,Average Airport Departure Delay,Average Airborne Delay,Average Taxi In Delay,Average Block Delay,Average Gate Arrival Delay
MSP,2019-01-01,0,1,4,1,4,100.0,100.0,50.0,0.0,10.0,0.0,0.0,0.5,0.1,3.0,33.25
MSP,2019-01-01,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MSP,2019-01-01,2,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MSP,2019-01-01,4,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MSP,2019-01-01,5,3,5,3,2,100.0,66.67,100.0,0.0,26.33,12.93,9.33,1.5,1.2,12.0,5.0
MSP,2019-01-01,6,23,2,23,2,95.65,86.96,100.0,2.83,18.7,6.05,6.78,0.0,2.7,0.0,0.0
MSP,2019-01-01,7,11,21,12,21,83.33,75.0,66.67,6.42,19.42,6.56,10.42,0.48,0.59,2.29,84.05
MSP,2019-01-01,8,26,24,27,24,74.07,70.37,87.5,25.44,16.81,4.67,28.85,1.71,1.34,2.33,17.42
MSP,2019-01-01,9,23,12,28,12,64.29,50.0,91.67,19.07,18.39,6.14,24.36,0.92,0.03,0.17,8.92
MSP,2019-01-01,10,25,33,26,33,69.23,61.54,66.67,18.46,14.54,2.65,19.96,1.61,0.69,1.06,35.67
MSP,2019-01-01,11,43,20,43,20,72.09,55.81,70.0,27.81,19.33,7.15,34.07,1.95,0.42,4.7,40.6
MSP,2019-01-01,12,14,19,15,21,66.67,60.0,90.48,8.07,14.0,2.09,9.47,1.62,1.36,2.33,4.81
MSP,2019-01-01,13,16,19,16,21,87.5,93.75,80.95,4.63,13.19,1.73,5.56,3.19,1.61,3.38,5.57
MSP,2019-01-01,14,22,46,23,46,82.61,82.61,82.61,10.17,13.61,1.4,10.87,2.26,0.42,1.11,15.7
