airport,report_date,Hour,Scheduled Departures,Scheduled Arrivals,Departures For Metric Computation,Arrivals For Metric Computation,% On-Time Gate Departures,% On-Time Airport Departures,% On-Time Gate Arrivals,Average Gate Departure Delay,Average Taxi Out Time,Average Taxi Out Delay,Average Airport Departure Delay,Average Airborne Delay,Average Taxi In Delay,Average Block Delay,Average Gate Arrival Delay
OAK,2019-01-01,0,1,2,2,2,50.0,50.0,0.0,26.5,11.5,1.65,27.5,0.0,0.1,26.0,18.0
OAK,2019-01-01,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OAK,2019-01-01,2,0,0,1,0,0.0,0.0,0.0,88.0,12.0,3.9,92.0,0.0,0.0,0.0,0.0
OAK,2019-01-01,4,0,0,1,1,100.0,100.0,100.0,0.0,8.0,0.0,0.0,0.0,7.0,4.0,2.0
OAK,2019-01-01,5,6,0,8,1,75.0,75.0,0.0,14.63,12.25,4.6,17.13,0.0,0.0,21.0,72.0
OAK,2019-01-01,6,12,1,13,1,92.31,92.31,100.0,3.54,13.62,5.35,6.92,1.0,0.0,7.0,5.0
OAK,2019-01-01,7,9,10,12,10,100.0,100.0,90.0,0.0,11.17,3.01,2.0,0.9,1.05,1.2,5.0
OAK,2019-01-01,8,10,11,12,12,75.0,75.0,91.67,7.17,10.58,2.78,9.08,0.33,1.38,2.25,4.17
OAK,2019-01-01,9,14,8,15,9,73.33,66.67,77.78,14.8,10.87,2.88,17.13,0.56,4.16,3.56,9.33
OAK,2019-01-01,10,11,10,13,10,76.92,69.23,90.0,9.62,11.62,3.83,13.23,0.4,0.71,0.0,4.6
OAK,2019-01-01,11,9,7,11,9,81.82,72.73,88.89,6.27,12.09,4.33,9.82,1.11,1.21,0.78,5.22
OAK,2019-01-01,12,7,11,8,13,75.0,75.0,69.23,6.38,9.88,2.05,8.13,0.77,0.58,0.54,24.23
OAK,2019-01-01,13,11,7,12,7,75.0,75.0,42.86,18.83,13.33,5.38,23.58,0.86,0.53,5.86,11.29
OAK,2019-01-01,14,10,7,12,8,58.33,58.33,75.0,12.25,9.5,1.9,13.75,1.0,0.83,0.13,6.5
