airport,report_date,Hour,Scheduled Departures,Scheduled Arrivals,Departures For Metric Computation,Arrivals For Metric Computation,% On-Time Gate Departures,% On-Time Airport Departures,% On-Time Gate Arrivals,Average Gate Departure Delay,Average Taxi Out Time,Average Taxi Out Delay,Average Airport Departure Delay,Average Airborne Delay,Average Taxi In Delay,Average Block Delay,Average Gate Arrival Delay
ORD,2019-01-01,0,2,10,2,7,100.0,50.0,85.71,0.0,25.0,15.3,11.0,0.0,2.74,0.0,7.0
ORD,2019-01-01,1,2,0,4,1,100.0,75.0,100.0,0.0,19.75,8.55,8.0,0.0,3.1,0.0,0.0
ORD,2019-01-01,2,0,3,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ORD,2019-01-01,3,0,1,2,1,100.0,50.0,100.0,0.0,26.5,15.3,15.5,0.0,9.1,0.0,5.0
ORD,2019-01-01,4,1,5,0,3,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,1.67,0.0,1.33
ORD,2019-01-01,5,8,13,7,9,71.43,42.86,77.78,84.14,28.57,17.3,98.29,1.56,2.34,5.33,6.44
ORD,2019-01-01,6,18,27,18,25,88.89,61.11,80.0,4.39,26.22,14.32,15.83,2.08,8.02,4.92,8.08
ORD,2019-01-01,7,62,55,63,56,82.54,53.97,85.71,17.6,26.35,14.73,29.65,1.57,6.31,1.75,21.84
ORD,2019-01-01,8,73,62,73,60,79.45,43.84,81.67,9.96,25.23,13.77,21.79,3.28,11.72,6.07,25.1
ORD,2019-01-01,9,61,58,59,61,69.49,37.29,70.49,18.34,30.76,19.23,35.83,12.74,13.65,17.28,26.74
ORD,2019-01-01,10,98,60,99,59,69.7,27.27,84.75,17.98,35.39,23.78,40.24,1.71,11.29,4.07,30.44
ORD,2019-01-01,11,55,65,56,63,69.64,25.0,85.71,18.55,33.77,22.27,39.14,1.37,8.43,3.76,7.81
ORD,2019-01-01,12,73,86,73,86,57.53,16.44,75.58,21.1,33.47,21.96,41.79,2.84,9.93,4.77,19.83
ORD,2019-01-01,13,61,52,64,50,54.69,14.06,70.0,33.39,37.95,26.39,58.23,2.22,14.4,8.16,19.46
ORD,2019-01-01,14,78,108,79,109,45.57,5.06,52.29,40.14,39.46,27.94,67.16,3.17,12.71,8.41,28.72
ORD,2019-01-01,15,80,38,81,38,55.56,11.11,50.0,33.63,37.32,25.74,58.33,1.66,12.71,6.0,19.53
ORD,2019-01-01,16,60,77,61,75,50.82,21.31,60.0,36.7,31.93,20.38,56.31,2.04,13.34,7.69,26.57
ORD,2019-01-01,17,54,76,53,77,41.51,11.32,55.84,52.83,38.43,26.72,78.58,1.58,11.65,4.4,39.09
ORD,2019-01-01,18,98,93,96,92,50.0,15.63,42.39,38.51,33.59,22.1,60.04,3.84,13.31,11.97,38.4
ORD,2019-01-01,19,73,72,70,74,38.57,12.86,51.35,38.13,36.76,25.05,62.61,2.7,14.07,6.26,35.89
ORD,2019-01-01,20,61,67,58,68,50.0,10.34,41.18,28.6,33.71,22.32,50.41,3.18,22.51,13.34,35.32
