airport,report_date,Hour,Scheduled Departures,Scheduled Arrivals,Departures For Metric Computation,Arrivals For Metric Computation,% On-Time Gate Departures,% On-Time Airport Departures,% On-Time Gate Arrivals,Average Gate Departure Delay,Average Taxi Out Time,Average Taxi Out Delay,Average Airport Departure Delay,Average Airborne Delay,Average Taxi In Delay,Average Block Delay,Average Gate Arrival Delay
PBI,2019-01-01,0,0,5,0,3,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,2.37,1.33,0.0
PBI,2019-01-01,1,0,1,0,1,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,1.2,0.0,0.0
PBI,2019-01-01,4,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PBI,2019-01-01,6,13,0,11,0,100.0,90.91,0.0,0.0,17.64,7.1,4.82,0.0,0.0,0.0,0.0
PBI,2019-01-01,7,5,0,6,1,100.0,100.0,100.0,0.0,13.33,2.28,1.67,0.0,0.2,0.0,14.0
PBI,2019-01-01,8,3,0,5,0,80.0,80.0,0.0,6.8,13.4,1.4,7.0,0.0,0.0,0.0,0.0
PBI,2019-01-01,9,3,5,9,5,55.56,55.56,60.0,23.33,11.67,1.34,23.56,0.0,1.36,5.0,31.6
PBI,2019-01-01,10,7,9,11,12,54.55,45.45,66.67,31.0,15.27,4.67,35.55,0.5,1.18,3.08,16.0
PBI,2019-01-01,11,9,9,15,14,66.67,60.0,85.71,10.87,17.6,6.34,15.53,4.21,1.35,4.79,8.21
PBI,2019-01-01,12,11,4,17,8,70.59,58.82,75.0,15.94,18.24,6.39,20.88,3.13,0.55,3.13,11.75
PBI,2019-01-01,13,4,7,8,17,25.0,25.0,82.35,22.13,18.0,6.77,28.25,1.47,1.01,1.47,9.06
PBI,2019-01-01,14,8,7,17,8,52.94,41.18,75.0,19.06,16.88,5.58,24.12,3.13,1.22,6.0,11.0
PBI,2019-01-01,15,7,5,11,6,36.36,36.36,50.0,39.36,13.36,1.92,40.82,1.33,0.53,0.83,42.0
PBI,2019-01-01,16,4,4,7,12,57.14,42.86,50.0,16.71,17.14,5.11,21.86,2.17,0.54,4.67,20.67
PBI,2019-01-01,17,4,5,8,12,50.0,37.5,33.33,18.38,16.13,4.47,22.25,3.25,1.7,7.58,26.58
PBI,2019-01-01,18,4,11,8,16,37.5,37.5,75.0,21.25,13.25,2.13,23.25,1.88,1.51,2.06,9.88
PBI,2019-01-01,19,12,7,14,9,78.57,78.57,77.78,23.0,13.36,1.94,24.36,1.33,2.68,1.22,9.78
PBI,2019-01-01,20,5,4,5,6,40.0,40.0,33.33,44.2,11.6,0.64,45.0,1.17,1.02,2.67,57.33
PBI,2019-01-01,21,1,4,1,7,100.0,100.0,42.86,0.0,11.0,0.0,0.0,0.43,0.27,1.0,25.43
PBI,2019-01-01,22,1,9,2,10,50.0,50.0,70.0,21.0,10.5,0.0,20.5,0.9,0.99,1.4,22.3
PBI,2019-01-01,23,0,1,0,2,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,1.2,1.0,17.0
PBI,2019-01-02,0,0,6,0,5,0.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,0.68,0.4,29.6
PBI,2019-01-02,1,0,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2,0.0,16.0
PBI,2019-01-02,2,0,1,0,1,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0
PBI,2019-01-02,5,2,0,2,2,100.0,100.0,50.0,0.0,11.0,0.45,0.0,0.0,0.1,0.0,10.5
PBI,2019-01-02,6,14,0,15,0,93.33,93.33,0.0,1.93,12.87,1.95,2.93,0.0,0.0,0.0,0.0
PBI,2019-01-02,7,4,0,6,3,66.67,66.67,33.33,17.33,16.83,5.78,22.17,3.67,0.2,7.33,15.33
PBI,2019-01-02,8,3,1,9,4,77.78,77.78,50.0,6.67,14.89,3.78,10.56,4.0,0.15,4.25,17.5
PBI,2019-01-02,9,3,5,11,9,54.55,45.45,77.78,26.45,16.91,5.55,31.64,0.0,0.29,2.78,9.67
PBI,2019-01-02,10,8,10,19,13,42.11,31.58,61.54,23.37,16.89,5.55,28.16,0.62,0.42,2.38,19.62
PBI,2019-01-02,11,10,10,18,14,66.67,66.67,71.43,10.0,17.11,5.82,14.33,1.64,0.19,1.57,7.64
PBI,2019-01-02,12,11,6,17,10,70.59,47.06,50.0,11.59,22.71,10.71,20.82,3.5,0.32,11.2,18.5
PBI,2019-01-02,13,3,8,10,12,50.0,20.0,50.0,21.2,26.9,15.98,37.3,4.42,0.41,6.0,22.5
PBI,2019-01-02,14,10,9,15,11,46.67,46.67,54.55,22.27,20.0,8.22,29.87,5.09,1.24,10.0,20.91
PBI,2019-01-02,15,8,5,11,10,72.73,45.45,60.0,17.91,20.18,8.72,25.36,6.8,1.72,9.5,20.8
PBI,2019-01-02,16,5,6,6,12,66.67,66.67,66.67,13.5,12.83,1.1,14.0,1.67,0.62,2.0,20.17
PBI,2019-01-02,17,6,6,6,8,83.33,66.67,62.5,7.17,13.0,1.6,7.67,2.63,0.51,8.25,12.63
PBI,2019-01-02,18,4,10,6,12,83.33,83.33,58.33,16.67,12.33,1.3,17.67,4.17,0.89,9.17,15.25
PBI,2019-01-02,19,10,4,11,6,63.64,63.64,33.33,15.27,15.18,3.55,18.0,2.0,0.52,2.33,22.33
PBI,2019-01-02,20,5,5,7,9,57.14,57.14,33.33,19.71,14.0,3.33,21.43,1.89,0.13,2.89,57.44
PBI,2019-01-02,21,0,4,0,5,0.0,0.0,80.0,0.0,0.0,0.0,0.0,0.8,0.36,1.8,6.4
PBI,2019-01-02,22,1,8,2,8,50.0,50.0,75.0,31.0,13.5,2.2,33.5,1.0,0.41,0.63,12.25
PBI,2019-01-02,23,0,3,0,4,0.0,0.0,75.0,0.0,0.0,0.0,0.0,0.75,0.1,2.75,60.25
PBI,2019-01-03,0,0,5,0,7,0.0,0.0,57.14,0.0,0.0,0.0,0.0,1.57,1.0,3.14,12.86
PBI,2019-01-03,1,0,0,1,2,100.0,100.0,50.0,0.0,14.0,2.8,3.0,0.0,0.2,2.0,57.5
PBI,2019-01-03,2,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PBI,2019-01-03,3,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PBI,2019-01-03,5,1,0,1,1,100.0,100.0,100.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,8.0
PBI,2019-01-03,6,12,0,12,2,83.33,83.33,50.0,6.58,14.58,3.54,8.75,1.0,0.0,10.0,36.0
PBI,2019-01-03,7,6,0,9,0,55.56,66.67,0.0,15.22,13.33,2.14,16.78,0.0,0.0,0.0,0.0
PBI,2019-01-03,8,2,1,9,2,44.44,33.33,50.0,16.11,14.67,4.11,19.89,0.0,0.1,2.5,10.0
PBI,2019-01-03,9,3,6,11,7,45.45,45.45,57.14,18.18,14.73,3.43,21.27,2.0,0.94,1.43,46.14
PBI,2019-01-03,10,8,10,15,13,40.0,40.0,61.54,43.8,17.67,6.55,50.27,5.69,0.52,7.77,45.23
PBI,2019-01-03,11,10,10,17,17,70.59,58.82,47.06,18.76,20.71,9.24,26.76,4.59,0.42,5.41,23.94
PBI,2019-01-03,12,12,4,19,8,57.89,52.63,37.5,36.37,18.53,6.74,42.79,4.0,1.05,4.75,51.25
PBI,2019-01-03,13,2,6,5,11,20.0,20.0,72.73,69.4,13.8,2.78,72.4,1.82,0.81,3.27,18.36
PBI,2019-01-03,14,8,8,9,8,88.89,66.67,75.0,4.89,19.22,7.81,11.56,3.0,0.53,2.63,13.38
PBI,2019-01-03,15,6,4,9,8,66.67,66.67,50.0,22.78,15.11,3.37,26.0,2.88,1.48,4.0,19.75
PBI,2019-01-03,16,2,3,6,3,50.0,50.0,66.67,19.0,13.67,2.47,21.33,3.33,1.5,0.0,20.33
PBI,2019-01-03,17,4,5,8,8,75.0,75.0,62.5,9.5,15.38,4.01,12.63,4.75,0.54,6.0,19.13
PBI,2019-01-03,18,6,9,7,14,71.43,71.43,64.29,8.29,13.86,2.43,9.86,3.21,1.26,3.0,36.93
PBI,2019-01-03,19,9,5,9,9,66.67,55.56,66.67,47.67,14.22,2.51,50.11,1.0,0.67,5.44,11.78
PBI,2019-01-03,20,3,2,4,4,50.0,50.0,25.0,13.5,13.0,2.17,15.75,0.25,0.9,3.0,61.25
PBI,2019-01-03,21,0,4,1,4,100.0,100.0,100.0,0.0,9.0,0.0,0.0,1.5,1.43,4.25,6.5
PBI,2019-01-03,22,0,8,1,9,100.0,100.0,77.78,0.0,9.0,0.0,0.0,2.22,0.34,0.78,5.89
PBI,2019-01-03,23,0,3,0,4,0.0,0.0,75.0,0.0,0.0,0.0,0.0,3.0,1.82,4.25,8.0
PBI,2019-01-04,0,0,4,0,6,0.0,0.0,66.67,0.0,0.0,0.0,0.0,0.83,0.95,0.0,24.0
PBI,2019-01-04,1,0,0,1,0,0.0,0.0,0.0,73.0,13.0,1.8,75.0,0.0,0.0,0.0,0.0
PBI,2019-01-04,2,0,0,0,1,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0
PBI,2019-01-04,5,1,0,2,2,100.0,100.0,50.0,0.0,15.0,4.4,4.5,0.0,1.2,0.0,12.5
PBI,2019-01-04,6,11,0,12,2,100.0,100.0,50.0,0.67,11.42,1.18,0.75,0.5,1.2,5.0,25.5
PBI,2019-01-04,7,5,0,9,1,44.44,33.33,100.0,34.56,14.33,3.18,37.44,0.0,0.2,0.0,7.0
PBI,2019-01-04,8,2,1,6,2,66.67,66.67,100.0,11.83,15.17,4.25,15.5,3.5,0.1,4.5,4.0
PBI,2019-01-04,9,3,4,5,5,60.0,60.0,60.0,10.4,12.6,1.78,12.0,2.6,0.98,7.8,19.2
PBI,2019-01-04,10,6,10,11,11,63.64,54.55,90.91,14.55,14.64,3.4,17.55,0.0,1.4,1.64,4.55
PBI,2019-01-04,11,11,10,13,12,69.23,69.23,66.67,8.0,14.46,3.12,10.0,2.0,2.27,3.67,18.5
PBI,2019-01-04,12,12,4,17,12,94.12,82.35,58.33,4.18,16.65,4.91,8.35,2.75,1.93,4.75,24.33
PBI,2019-01-04,13,2,4,7,8,42.86,28.57,75.0,28.71,17.0,5.93,34.86,1.0,0.36,2.25,9.0
PBI,2019-01-04,14,6,9,11,18,72.73,72.73,66.67,13.91,14.27,2.86,16.55,1.72,1.23,2.94,16.83
PBI,2019-01-04,15,7,5,7,9,71.43,71.43,33.33,6.86,10.71,0.37,6.29,12.89,0.68,19.22,31.44
PBI,2019-01-04,16,3,4,8,7,62.5,62.5,71.43,36.13,14.63,3.74,39.13,0.57,0.76,1.43,12.29
PBI,2019-01-04,17,5,5,9,9,55.56,55.56,44.44,15.22,12.44,1.7,16.22,5.67,0.61,9.44,34.78
PBI,2019-01-04,18,5,8,5,15,60.0,60.0,60.0,15.0,15.8,4.08,18.2,5.2,1.37,6.67,20.2
PBI,2019-01-04,19,8,3,8,7,100.0,87.5,71.43,3.38,14.38,2.98,5.13,6.71,0.83,6.29,17.43
PBI,2019-01-04,20,2,1,4,4,75.0,50.0,75.0,4.75,22.25,10.0,13.5,2.0,0.55,3.25,8.75
PBI,2019-01-04,21,0,4,0,6,0.0,0.0,66.67,0.0,0.0,0.0,0.0,2.33,0.23,2.5,20.67
PBI,2019-01-04,22,0,9,2,9,50.0,50.0,88.89,73.0,10.5,0.0,72.5,1.0,0.44,1.56,6.11
PBI,2019-01-04,23,0,3,0,4,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.75,0.83,1.75,42.25
PBI,2019-01-05,0,0,5,0,5,0.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,0.72,2.0,26.8
PBI,2019-01-05,1,0,0,1,0,0.0,0.0,0.0,56.0,13.0,1.8,58.0,0.0,0.0,0.0,0.0
PBI,2019-01-05,2,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,25.0
PBI,2019-01-05,5,2,0,2,0,100.0,100.0,0.0,0.0,11.5,0.1,0.0,0.0,0.0,0.0,0.0
PBI,2019-01-05,6,10,0,12,2,83.33,75.0,0.0,5.25,15.75,4.76,8.67,0.0,4.7,2.5,23.0
