airport,report_date,Hour,Scheduled Departures,Scheduled Arrivals,Departures For Metric Computation,Arrivals For Metric Computation,% On-Time Gate Departures,% On-Time Airport Departures,% On-Time Gate Arrivals,Average Gate Departure Delay,Average Taxi Out Time,Average Taxi Out Delay,Average Airport Departure Delay,Average Airborne Delay,Average Taxi In Delay,Average Block Delay,Average Gate Arrival Delay
PDX,2019-01-01,0,0,6,0,2,0.0,0.0,100.0,0.0,0.0,0.0,0.0,1.5,0.15,2.0,0.0
PDX,2019-01-01,1,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PDX,2019-01-01,2,0,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,2.0,29.0
PDX,2019-01-01,5,11,4,11,3,100.0,63.64,100.0,1.36,20.64,11.4,10.45,0.0,2.27,5.0,2.67
PDX,2019-01-01,6,26,4,26,4,88.46,53.85,75.0,5.19,27.65,17.75,20.54,0.0,5.53,16.0,7.5
PDX,2019-01-01,7,15,7,16,7,75.0,18.75,85.71,23.94,32.81,22.82,44.75,1.29,6.0,6.57,39.57
PDX,2019-01-01,8,12,11,12,10,83.33,33.33,90.0,19.92,31.75,21.69,38.0,1.8,1.84,3.8,4.2
PDX,2019-01-01,9,15,14,15,13,86.67,66.67,84.62,12.27,19.27,9.99,20.87,1.08,5.3,5.85,9.38
PDX,2019-01-01,10,19,19,19,20,52.63,36.84,65.0,25.95,13.47,4.43,29.05,2.45,1.77,2.65,32.5
PDX,2019-01-01,11,14,12,14,12,92.86,64.29,75.0,4.5,12.71,4.03,8.07,2.42,2.08,2.33,15.5
PDX,2019-01-01,12,16,16,16,16,68.75,68.75,93.75,12.25,11.44,2.11,13.81,2.44,1.05,1.38,3.31
PDX,2019-01-01,13,14,14,14,14,85.71,85.71,57.14,8.0,10.14,0.95,8.57,0.86,1.61,4.29,18.71
PDX,2019-01-01,14,14,16,14,16,64.29,64.29,81.25,25.86,11.07,2.1,27.5,0.44,1.28,2.06,11.38
PDX,2019-01-01,15,15,10,15,10,73.33,73.33,80.0,8.27,11.07,2.46,9.93,1.1,1.01,1.9,10.9
PDX,2019-01-01,16,14,13,14,13,78.57,71.43,92.31,9.0,10.79,1.89,9.79,0.62,1.34,0.92,2.08
PDX,2019-01-01,17,12,12,12,12,75.0,83.33,83.33,11.08,12.33,3.88,12.58,0.75,1.22,3.42,5.58
PDX,2019-01-01,18,12,12,13,12,76.92,76.92,75.0,16.54,10.92,1.51,17.62,0.08,1.12,1.08,7.75
PDX,2019-01-01,19,9,15,10,16,80.0,50.0,93.75,9.3,14.3,4.69,13.8,1.0,1.51,1.56,8.56
PDX,2019-01-01,20,12,22,13,23,76.92,76.92,86.96,27.54,11.46,2.25,28.77,0.35,1.14,2.61,13.26
PDX,2019-01-01,21,9,16,9,16,88.89,88.89,68.75,3.78,11.33,2.53,5.44,1.06,2.78,3.31,9.13
PDX,2019-01-01,22,5,14,5,14,100.0,100.0,85.71,0.0,21.6,11.46,2.0,1.21,1.24,3.86,5.43
PDX,2019-01-01,23,6,13,7,14,85.71,85.71,64.29,7.14,11.14,1.14,8.0,1.71,1.21,1.79,22.93
PDX,2019-01-02,0,3,10,4,6,75.0,75.0,100.0,14.75,13.75,3.97,17.25,0.17,1.85,2.83,1.67
PDX,2019-01-02,1,0,0,0,2,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,1.1,0.0,0.0
PDX,2019-01-02,2,0,1,0,1,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PDX,2019-01-02,3,0,0,0,1,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,4.6,13.0,14.0
PDX,2019-01-02,4,0,0,1,2,100.0,100.0,50.0,0.0,9.0,0.0,0.0,0.0,7.6,4.5,18.0
PDX,2019-01-02,5,10,3,11,6,63.64,36.36,83.33,21.27,22.73,13.35,33.64,1.5,6.43,10.83,11.0
