airport,report_date,Hour,Scheduled Departures,Scheduled Arrivals,Departures For Metric Computation,Arrivals For Metric Computation,% On-Time Gate Departures,% On-Time Airport Departures,% On-Time Gate Arrivals,Average Gate Departure Delay,Average Taxi Out Time,Average Taxi Out Delay,Average Airport Departure Delay,Average Airborne Delay,Average Taxi In Delay,Average Block Delay,Average Gate Arrival Delay
PIT,2019-01-01,0,0,5,0,2,0.0,0.0,100.0,0.0,0.0,0.0,0.0,4.0,0.75,3.0,1.5
PIT,2019-01-01,1,0,0,1,0,100.0,100.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0
PIT,2019-01-01,3,0,1,1,0,100.0,100.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0
PIT,2019-01-01,5,4,1,4,1,100.0,100.0,100.0,0.0,9.5,0.4,0.5,3.0,0.4,6.0,5.0
PIT,2019-01-01,6,16,5,16,5,100.0,100.0,60.0,0.38,13.19,2.95,1.5,0.8,0.7,14.2,44.2
PIT,2019-01-01,7,9,2,9,2,100.0,100.0,50.0,0.0,11.11,1.11,0.56,0.0,2.5,14.5,19.0
PIT,2019-01-01,8,9,1,11,1,81.82,81.82,100.0,13.09,10.73,0.87,13.0,11.0,4.5,6.0,1.0
PIT,2019-01-01,9,4,5,4,5,100.0,100.0,60.0,0.0,10.5,0.95,0.0,3.2,1.0,6.0,13.2
PIT,2019-01-01,10,7,4,8,4,75.0,75.0,75.0,15.25,12.25,2.1,16.38,1.5,0.88,3.5,11.5
PIT,2019-01-01,11,6,5,6,5,100.0,100.0,80.0,0.0,10.33,0.9,0.67,1.4,0.5,4.6,8.0
PIT,2019-01-01,12,9,9,9,11,88.89,88.89,90.91,2.22,11.22,1.47,2.22,2.82,0.86,5.09,10.09
PIT,2019-01-01,13,10,14,10,14,60.0,60.0,71.43,24.9,12.6,2.64,26.8,2.36,1.93,3.71,19.5
PIT,2019-01-01,14,9,9,9,9,77.78,77.78,88.89,15.89,10.33,0.96,16.44,1.44,0.89,3.0,4.89
PIT,2019-01-01,15,12,8,13,7,84.62,84.62,85.71,7.69,13.31,2.67,8.92,1.29,0.36,4.86,6.43
PIT,2019-01-01,16,9,11,8,11,87.5,87.5,72.73,9.0,10.5,0.84,9.63,3.09,1.13,7.73,19.73
PIT,2019-01-01,17,10,9,11,9,81.82,72.73,88.89,14.55,15.36,5.41,17.64,2.22,2.98,4.67,3.11
PIT,2019-01-01,18,9,10,9,11,88.89,88.89,90.91,2.0,11.0,0.6,2.44,1.18,0.86,3.27,5.55
PIT,2019-01-01,19,9,6,9,7,77.78,77.78,57.14,28.78,10.44,0.53,28.44,2.57,1.64,8.57,40.71
PIT,2019-01-01,20,7,5,8,6,100.0,100.0,33.33,2.88,13.63,3.25,5.63,1.17,0.5,7.67,13.67
PIT,2019-01-01,21,2,5,2,6,50.0,50.0,50.0,10.5,17.0,5.45,11.0,3.0,0.72,0.0,18.0
PIT,2019-01-01,22,0,10,0,10,0.0,0.0,80.0,0.0,0.0,0.0,0.0,1.8,0.64,0.0,5.9
PIT,2019-01-01,23,0,13,0,13,0.0,0.0,84.62,0.0,0.0,0.0,0.0,1.46,3.22,1.85,11.62
PIT,2019-01-02,0,0,5,0,5,0.0,0.0,60.0,0.0,0.0,0.0,0.0,3.2,1.3,5.0,18.8
PIT,2019-01-02,1,0,3,0,1,0.0,0.0,100.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
PIT,2019-01-02,3,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.5,0.0,23.0
PIT,2019-01-02,4,0,0,1,1,0.0,0.0,100.0,92.0,14.0,3.4,95.0,0.0,3.5,3.0,0.0
PIT,2019-01-02,5,6,1,6,4,100.0,83.33,75.0,1.0,14.67,4.25,4.83,2.25,0.1,2.75,8.5
PIT,2019-01-02,6,25,5,26,4,88.46,80.77,25.0,5.42,16.77,5.83,9.31,4.75,0.5,15.75,48.5
PIT,2019-01-02,7,7,2,9,3,77.78,77.78,33.33,17.44,15.22,3.78,20.33,2.0,1.17,9.0,27.0
PIT,2019-01-02,8,12,3,14,4,85.71,78.57,100.0,3.71,16.5,5.84,7.21,2.75,1.38,0.25,1.0
PIT,2019-01-02,9,4,8,5,8,60.0,60.0,75.0,11.6,14.2,3.84,14.0,7.13,0.25,5.38,7.5
PIT,2019-01-02,10,8,9,9,10,66.67,66.67,90.0,15.56,11.67,1.96,15.67,3.0,0.2,2.0,7.1
PIT,2019-01-02,11,9,9,9,10,88.89,88.89,60.0,3.89,11.56,1.39,4.11,3.5,0.7,7.8,19.2
