airport,report_date,Hour,Scheduled Departures,Scheduled Arrivals,Departures For Metric Computation,Arrivals For Metric Computation,% On-Time Gate Departures,% On-Time Airport Departures,% On-Time Gate Arrivals,Average Gate Departure Delay,Average Taxi Out Time,Average Taxi Out Delay,Average Airport Departure Delay,Average Airborne Delay,Average Taxi In Delay,Average Block Delay,Average Gate Arrival Delay
PSP,2019-01-01,1,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PSP,2019-01-01,6,8,0,7,0,100.0,100.0,0.0,0.0,15.43,5.13,2.14,0.0,0.0,0.0,0.0
PSP,2019-01-01,7,2,0,4,0,75.0,75.0,0.0,30.75,12.75,3.3,33.5,0.0,0.0,0.0,0.0
PSP,2019-01-01,8,1,1,5,2,60.0,60.0,50.0,14.2,13.4,2.92,16.0,4.0,0.7,3.0,12.0
PSP,2019-01-01,9,2,2,3,2,66.67,66.67,50.0,99.67,8.67,0.0,99.0,2.0,1.5,17.5,45.5
PSP,2019-01-01,10,4,5,5,6,40.0,40.0,50.0,27.6,15.2,4.88,32.6,4.83,0.4,3.83,20.67
PSP,2019-01-01,11,7,4,8,5,75.0,75.0,80.0,7.88,15.0,4.54,10.25,3.6,3.8,2.8,9.2
PSP,2019-01-01,12,2,6,3,8,66.67,66.67,75.0,17.33,12.33,2.07,17.33,1.5,0.9,1.13,4.5
PSP,2019-01-01,13,5,5,8,6,75.0,75.0,66.67,6.13,12.13,1.7,6.75,1.0,0.4,0.0,22.83
PSP,2019-01-01,14,5,3,6,4,83.33,83.33,50.0,14.67,12.83,3.07,16.83,0.75,0.8,0.0,14.0
PSP,2019-01-01,15,3,2,3,2,33.33,33.33,50.0,28.0,9.33,0.03,26.67,0.0,15.2,9.5,22.0
PSP,2019-01-01,16,2,2,2,2,50.0,50.0,50.0,17.5,8.5,0.0,15.0,0.0,5.6,0.0,58.0
PSP,2019-01-01,17,2,5,2,5,50.0,50.0,60.0,57.5,11.5,1.05,58.5,0.4,1.72,0.0,20.8
PSP,2019-01-01,18,5,3,5,3,60.0,60.0,100.0,19.2,20.4,9.94,28.4,0.0,6.8,0.0,2.0
PSP,2019-01-01,19,3,2,3,2,100.0,66.67,100.0,4.67,11.67,1.2,5.67,1.5,2.7,0.0,0.0
PSP,2019-01-01,20,0,3,0,3,0.0,0.0,100.0,0.0,0.0,0.0,0.0,1.0,0.47,0.0,0.0
PSP,2019-01-01,21,0,4,0,4,0.0,0.0,50.0,0.0,0.0,0.0,0.0,1.75,0.35,2.75,33.5
PSP,2019-01-01,22,1,2,1,2,0.0,0.0,100.0,30.0,9.0,0.0,28.0,6.5,2.6,4.0,10.5
PSP,2019-01-01,23,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PSP,2019-01-02,1,0,0,0,1,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,10.0
PSP,2019-01-02,6,7,0,7,0,85.71,71.43,0.0,5.43,21.0,11.09,13.43,0.0,0.0,0.0,0.0
PSP,2019-01-02,7,2,0,2,1,100.0,100.0,100.0,0.0,10.5,0.75,0.0,1.0,0.2,8.0,11.0
PSP,2019-01-02,8,1,2,1,2,100.0,100.0,100.0,0.0,10.0,0.3,0.0,6.0,2.6,1.0,5.0
PSP,2019-01-02,9,2,2,3,2,100.0,100.0,100.0,0.0,11.67,1.07,0.67,0.0,0.5,0.5,0.0
PSP,2019-01-02,10,4,8,6,8,66.67,50.0,87.5,9.5,13.67,3.12,11.33,1.13,1.63,1.38,3.88
PSP,2019-01-02,11,9,5,9,8,88.89,77.78,87.5,3.11,16.67,6.08,7.0,0.75,1.43,0.75,3.38
