airport,report_date,Hour,Scheduled Departures,Scheduled Arrivals,Departures For Metric Computation,Arrivals For Metric Computation,% On-Time Gate Departures,% On-Time Airport Departures,% On-Time Gate Arrivals,Average Gate Departure Delay,Average Taxi Out Time,Average Taxi Out Delay,Average Airport Departure Delay,Average Airborne Delay,Average Taxi In Delay,Average Block Delay,Average Gate Arrival Delay
RSW,2019-01-01,0,0,4,0,3,0.0,0.0,66.67,0.0,0.0,0.0,0.0,4.33,0.8,3.33,15.33
RSW,2019-01-01,5,1,0,1,0,100.0,100.0,0.0,0.0,18.0,7.2,6.0,0.0,0.0,0.0,0.0
RSW,2019-01-01,6,11,1,11,1,100.0,36.36,0.0,1.18,26.18,15.71,12.91,0.0,3.9,13.0,21.0
RSW,2019-01-01,7,10,0,9,0,77.78,77.78,0.0,51.44,11.89,2.38,53.0,0.0,0.0,0.0,0.0
RSW,2019-01-01,8,5,1,6,1,83.33,83.33,100.0,7.5,12.0,2.08,8.83,5.0,0.0,3.0,2.0
RSW,2019-01-01,9,1,13,2,13,50.0,50.0,69.23,24.5,11.0,0.7,25.0,1.15,2.09,4.54,56.31
RSW,2019-01-01,10,12,7,12,7,66.67,58.33,85.71,61.75,11.17,1.67,62.42,0.71,0.59,3.86,6.0
RSW,2019-01-01,11,13,10,13,10,69.23,61.54,70.0,26.23,13.54,3.3,27.92,3.1,3.27,2.7,40.8
RSW,2019-01-01,12,12,8,13,8,76.92,61.54,100.0,28.31,14.85,4.38,31.85,1.88,3.76,4.25,3.88
RSW,2019-01-01,13,7,13,7,14,71.43,71.43,78.57,8.86,13.43,2.94,10.29,2.64,1.61,5.71,7.29
RSW,2019-01-01,14,12,5,12,5,75.0,75.0,60.0,17.17,16.83,6.13,20.83,2.2,1.74,6.8,17.0
RSW,2019-01-01,15,6,8,6,9,66.67,66.67,100.0,9.5,15.0,4.6,11.83,2.56,0.1,0.22,1.11
RSW,2019-01-01,16,7,9,8,9,87.5,75.0,66.67,4.25,15.13,4.46,7.88,2.44,0.81,2.33,17.33
RSW,2019-01-01,17,10,8,11,9,63.64,54.55,66.67,18.45,13.18,3.01,21.27,1.33,2.36,2.44,23.78
RSW,2019-01-01,18,12,18,12,18,75.0,66.67,72.22,15.0,15.58,5.44,18.67,1.89,1.92,2.44,27.06
RSW,2019-01-01,19,14,8,14,8,64.29,64.29,75.0,38.21,13.07,2.94,40.0,1.88,2.08,2.0,12.0
RSW,2019-01-01,20,7,7,7,7,42.86,57.14,42.86,18.0,10.0,0.47,18.0,0.29,2.9,6.0,41.57
RSW,2019-01-01,21,6,6,6,6,50.0,50.0,83.33,41.17,15.17,5.15,46.17,2.0,1.28,0.33,24.67
RSW,2019-01-01,22,1,2,1,2,0.0,0.0,100.0,127.0,30.0,19.1,146.0,0.0,1.45,0.0,0.0
RSW,2019-01-01,23,0,14,0,14,0.0,0.0,64.29,0.0,0.0,0.0,0.0,0.36,1.21,4.14,15.43
RSW,2019-01-02,0,0,2,0,4,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.5,0.35,5.0,48.0
RSW,2019-01-02,1,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RSW,2019-01-02,2,0,1,0,1,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,1.2,0.0,0.0
RSW,2019-01-02,4,0,0,0,1,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,2.9,0.0,0.0
RSW,2019-01-02,5,3,0,3,0,100.0,100.0,0.0,3.0,15.67,6.67,8.67,0.0,0.0,0.0,0.0
RSW,2019-01-02,6,10,1,10,3,90.0,80.0,100.0,45.4,18.4,8.01,50.1,0.0,1.9,2.0,4.33
RSW,2019-01-02,7,11,2,13,2,100.0,100.0,100.0,0.54,11.62,1.56,0.92,1.5,0.3,0.0,0.0
RSW,2019-01-02,8,6,2,6,2,100.0,100.0,100.0,0.0,11.83,1.97,0.5,0.5,0.95,0.0,0.5
RSW,2019-01-02,9,5,15,6,15,83.33,83.33,93.33,5.83,10.17,1.05,6.33,0.27,1.1,1.93,4.53
RSW,2019-01-02,10,12,10,12,10,91.67,83.33,90.0,5.83,14.17,4.12,8.0,0.9,1.75,1.6,2.2
RSW,2019-01-02,11,12,11,12,13,91.67,75.0,69.23,3.33,14.5,4.23,6.5,3.54,1.35,3.31,23.92
