airport,report_date,Hour,Scheduled Departures,Scheduled Arrivals,Departures For Metric Computation,Arrivals For Metric Computation,% On-Time Gate Departures,% On-Time Airport Departures,% On-Time Gate Arrivals,Average Gate Departure Delay,Average Taxi Out Time,Average Taxi Out Delay,Average Airport Departure Delay,Average Airborne Delay,Average Taxi In Delay,Average Block Delay,Average Gate Arrival Delay
SDF,2019-01-01,0,0,3,0,44,0.0,0.0,75.0,0.0,0.0,0.0,0.0,1.18,1.79,3.52,11.05
SDF,2019-01-01,1,0,0,0,25,0.0,0.0,80.0,0.0,0.0,0.0,0.0,3.16,2.26,8.32,11.24
SDF,2019-01-01,2,0,0,0,7,0.0,0.0,71.43,0.0,0.0,0.0,0.0,2.0,0.43,3.57,16.14
SDF,2019-01-01,3,0,1,3,5,100.0,100.0,80.0,0.0,12.33,2.8,1.33,3.4,0.94,6.8,11.2
SDF,2019-01-01,4,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SDF,2019-01-01,5,0,0,0,1,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0
SDF,2019-01-01,6,10,0,10,0,100.0,100.0,0.0,0.0,13.0,2.92,2.5,0.0,0.0,0.0,0.0
SDF,2019-01-01,7,2,0,4,0,75.0,75.0,0.0,3.75,14.0,1.57,4.0,0.0,0.0,0.0,0.0
SDF,2019-01-01,8,5,1,5,1,100.0,80.0,100.0,1.8,14.2,4.36,5.4,0.0,2.1,0.0,0.0
SDF,2019-01-01,9,5,1,5,1,100.0,80.0,100.0,3.4,16.8,6.4,7.6,2.0,0.1,9.0,8.0
SDF,2019-01-01,10,3,4,3,4,66.67,66.67,100.0,23.33,13.67,4.2,26.0,1.25,3.28,4.25,4.75
SDF,2019-01-01,11,5,5,5,5,60.0,40.0,100.0,29.2,18.8,8.96,37.8,4.6,0.44,0.0,0.0
SDF,2019-01-01,12,5,1,5,1,100.0,100.0,100.0,0.6,11.4,1.72,2.0,0.0,0.0,7.0,4.0
SDF,2019-01-01,13,3,5,3,5,66.67,66.67,60.0,6.33,13.33,2.93,8.67,3.6,2.68,5.2,20.4
SDF,2019-01-01,14,3,4,3,6,33.33,33.33,50.0,15.67,12.0,2.53,18.0,0.33,0.33,0.17,53.17
SDF,2019-01-01,15,4,2,4,3,75.0,75.0,66.67,9.25,14.25,4.2,10.75,6.0,0.4,5.67,13.67
SDF,2019-01-01,16,3,4,3,5,66.67,66.67,40.0,35.33,13.0,3.53,37.33,4.8,4.12,6.0,77.4
SDF,2019-01-01,17,4,6,5,7,60.0,60.0,71.43,6.6,15.8,6.52,11.4,1.57,1.34,6.86,8.57
SDF,2019-01-01,18,8,5,9,5,55.56,44.44,60.0,33.56,16.78,6.07,38.89,2.4,3.48,11.8,17.6
SDF,2019-01-01,19,3,3,3,3,100.0,66.67,100.0,5.33,14.0,4.53,10.0,0.0,1.37,0.0,1.67
SDF,2019-01-01,20,0,2,1,2,100.0,100.0,100.0,0.0,11.0,0.0,0.0,2.0,2.5,4.0,3.0
SDF,2019-01-01,21,2,6,2,7,100.0,100.0,100.0,0.5,13.5,3.1,2.5,2.57,2.21,0.57,2.86
SDF,2019-01-01,22,0,4,0,4,0.0,0.0,25.0,0.0,0.0,0.0,0.0,1.0,4.05,9.25,33.25
SDF,2019-01-01,23,0,8,1,12,0.0,0.0,75.0,15.0,14.0,3.6,19.0,1.92,1.79,3.83,8.67
SDF,2019-01-02,0,0,4,0,6,0.0,0.0,83.33,0.0,0.0,0.0,0.0,5.5,3.3,10.0,17.17
SDF,2019-01-02,1,0,1,3,1,66.67,66.67,100.0,14.67,9.67,0.57,12.67,0.0,5.1,0.0,0.0
SDF,2019-01-02,2,0,0,10,0,100.0,100.0,0.0,0.0,9.3,1.11,1.0,0.0,0.0,0.0,0.0
SDF,2019-01-02,3,0,0,51,5,58.82,49.02,100.0,12.1,13.98,3.36,15.14,2.6,0.88,0.2,0.0
SDF,2019-01-02,4,0,0,61,1,62.3,44.26,100.0,14.26,14.59,3.84,17.79,0.0,0.0,0.0,0.0
SDF,2019-01-02,5,2,0,5,0,100.0,80.0,0.0,1.2,16.6,5.92,6.8,0.0,0.0,0.0,0.0
SDF,2019-01-02,6,11,0,12,0,83.33,66.67,0.0,10.83,16.58,6.14,15.33,0.0,0.0,0.0,0.0
SDF,2019-01-02,7,4,0,4,1,100.0,100.0,100.0,0.0,10.5,1.25,0.0,5.0,3.9,7.0,0.0
SDF,2019-01-02,8,4,1,6,5,100.0,83.33,80.0,0.0,20.83,11.42,10.33,2.0,0.82,2.2,17.4
SDF,2019-01-02,9,5,2,5,14,80.0,80.0,78.57,13.0,14.6,4.76,15.4,2.07,0.89,3.43,13.57
SDF,2019-01-02,10,2,4,3,26,100.0,66.67,53.85,3.67,19.67,9.27,11.0,1.08,0.68,4.96,20.31
SDF,2019-01-02,11,4,6,5,16,60.0,60.0,56.25,11.0,17.6,7.76,15.0,1.69,1.55,11.0,21.5
SDF,2019-01-02,12,8,4,8,13,62.5,50.0,69.23,6.38,18.5,8.45,12.25,0.77,0.78,6.23,14.31
SDF,2019-01-02,13,4,5,7,16,57.14,57.14,68.75,23.14,14.14,4.16,25.86,1.94,1.75,4.0,15.13
SDF,2019-01-02,14,3,3,12,4,91.67,91.67,100.0,4.92,12.08,1.53,6.25,3.0,1.27,3.75,3.25
