airport,report_date,Hour,Scheduled Departures,Scheduled Arrivals,Departures For Metric Computation,Arrivals For Metric Computation,% On-Time Gate Departures,% On-Time Airport Departures,% On-Time Gate Arrivals,Average Gate Departure Delay,Average Taxi Out Time,Average Taxi Out Delay,Average Airport Departure Delay,Average Airborne Delay,Average Taxi In Delay,Average Block Delay,Average Gate Arrival Delay
SEA,2019-01-01,0,5,5,5,2,100.0,100.0,50.0,0.4,16.2,5.0,2.0,0.0,2.45,0.0,13.5
SEA,2019-01-01,1,1,1,1,0,100.0,100.0,0.0,0.0,26.0,14.0,14.0,0.0,0.0,0.0,0.0
SEA,2019-01-01,2,0,3,0,2,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SEA,2019-01-01,4,0,3,0,3,0.0,0.0,66.67,0.0,0.0,0.0,0.0,0.0,0.3,7.0,6.33
SEA,2019-01-01,5,23,6,22,6,100.0,100.0,66.67,0.32,16.0,4.29,3.36,2.67,8.53,11.33,10.17
SEA,2019-01-01,6,21,16,21,16,90.48,85.71,75.0,3.48,17.86,6.14,6.71,1.13,4.86,6.13,12.81
SEA,2019-01-01,7,42,19,43,20,88.37,83.72,80.0,7.7,17.09,4.7,10.51,2.5,8.95,9.4,7.7
SEA,2019-01-01,8,31,33,30,34,86.67,83.33,85.29,5.57,16.8,4.62,8.13,3.56,3.78,4.09,21.68
SEA,2019-01-01,9,43,20,41,21,95.12,70.73,90.48,3.56,20.54,8.42,9.85,2.05,3.09,4.9,3.86
SEA,2019-01-01,10,29,50,31,49,77.42,54.84,81.63,12.9,22.97,11.0,21.81,3.69,6.12,3.55,24.94
SEA,2019-01-01,11,47,26,47,26,85.11,70.21,88.46,5.68,16.77,4.61,9.4,1.46,7.78,1.46,6.0
SEA,2019-01-01,12,30,34,30,34,83.33,80.0,91.18,6.97,16.5,4.13,9.57,1.24,3.81,0.68,8.62
SEA,2019-01-01,13,35,16,35,14,82.86,82.86,78.57,6.43,13.89,2.14,7.29,2.14,4.04,0.0,11.07
SEA,2019-01-01,14,17,42,17,43,76.47,64.71,88.37,12.59,15.88,4.69,16.47,1.81,4.03,1.53,7.67
SEA,2019-01-01,15,41,16,44,17,79.55,77.27,88.24,11.64,15.09,3.58,13.55,1.88,3.82,2.24,4.29
SEA,2019-01-01,16,10,39,11,39,90.91,90.91,89.74,4.64,14.45,3.48,6.55,1.97,3.04,1.77,3.79
SEA,2019-01-01,17,45,24,45,25,88.89,84.44,72.0,6.4,16.8,5.16,9.6,1.12,5.1,3.56,8.8
SEA,2019-01-01,18,20,34,20,34,75.0,75.0,88.24,8.1,14.95,3.27,9.7,1.41,4.2,3.06,4.71
SEA,2019-01-01,19,30,23,33,22,90.91,87.88,90.91,4.09,15.76,3.94,6.39,0.68,4.44,1.23,3.82
SEA,2019-01-01,20,15,48,15,48,100.0,80.0,85.42,1.47,17.47,6.16,4.93,1.73,3.16,1.6,13.92
SEA,2019-01-01,21,31,27,32,28,84.38,78.13,89.29,5.03,18.06,6.12,9.19,1.5,6.87,2.5,7.46
SEA,2019-01-01,22,10,42,10,41,100.0,90.0,85.37,0.2,19.7,7.18,4.5,1.39,4.85,3.46,9.22
SEA,2019-01-01,23,22,12,22,13,86.36,86.36,84.62,13.5,14.77,2.82,14.55,1.0,5.04,3.62,5.77
SEA,2019-01-02,0,8,7,8,5,75.0,62.5,100.0,8.63,17.75,5.6,12.63,2.2,2.32,0.0,1.4
SEA,2019-01-02,1,0,1,2,1,100.0,100.0,0.0,0.0,12.0,0.0,0.0,3.0,5.5,0.0,25.0
SEA,2019-01-02,2,1,3,1,3,100.0,100.0,66.67,0.0,12.0,0.0,0.0,0.0,0.13,0.0,11.33
SEA,2019-01-02,3,0,0,0,2,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,3.6,7.5,1.5
SEA,2019-01-02,4,0,3,0,5,0.0,0.0,100.0,0.0,0.0,0.0,0.0,1.6,2.34,2.0,1.4
SEA,2019-01-02,5,21,5,23,5,91.3,91.3,80.0,2.91,15.48,3.97,5.17,1.4,0.44,5.0,12.8
SEA,2019-01-02,6,23,16,25,18,92.0,84.0,72.22,2.0,18.04,5.85,5.48,1.28,2.29,5.89,14.22
SEA,2019-01-02,7,50,23,52,25,84.62,76.92,84.0,6.98,20.21,7.98,13.77,1.8,3.81,2.56,21.12
SEA,2019-01-02,8,33,37,32,37,96.88,40.63,89.19,1.91,30.94,18.6,18.59,2.86,5.51,2.59,7.59
SEA,2019-01-02,9,42,25,48,26,91.67,77.08,80.77,5.67,18.19,6.17,10.25,3.15,4.48,3.08,10.54
SEA,2019-01-02,10,33,50,31,50,90.32,83.87,80.0,3.35,19.81,7.99,8.81,4.9,4.83,2.56,7.84
SEA,2019-01-02,11,48,29,50,28,80.0,74.0,89.29,8.6,18.36,6.11,13.1,5.57,4.2,1.54,6.75
