airport,report_date,Hour,Scheduled Departures,Scheduled Arrivals,Departures For Metric Computation,Arrivals For Metric Computation,% On-Time Gate Departures,% On-Time Airport Departures,% On-Time Gate Arrivals,Average Gate Departure Delay,Average Taxi Out Time,Average Taxi Out Delay,Average Airport Departure Delay,Average Airborne Delay,Average Taxi In Delay,Average Block Delay,Average Gate Arrival Delay
SJC,2019-01-01,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SJC,2019-01-01,6,18,1,18,1,94.44,94.44,100.0,5.5,15.17,6.12,8.33,1.0,1.6,2.0,0.0
SJC,2019-01-01,7,11,8,13,9,76.92,76.92,100.0,6.23,15.38,6.02,9.62,0.0,0.24,0.33,0.33
SJC,2019-01-01,8,18,11,20,10,85.0,85.0,100.0,45.15,13.7,4.53,47.4,0.6,0.73,2.9,1.0
SJC,2019-01-01,9,16,15,18,15,77.78,77.78,100.0,6.94,12.28,3.24,8.28,1.47,4.19,1.0,0.2
SJC,2019-01-01,10,11,8,12,8,83.33,83.33,87.5,5.67,12.17,3.51,7.33,1.0,0.83,1.5,8.38
SJC,2019-01-01,11,9,12,10,17,80.0,70.0,64.71,8.1,18.1,9.26,15.0,1.24,0.74,1.12,18.35
SJC,2019-01-01,12,13,14,15,15,80.0,80.0,93.33,9.13,11.73,2.47,10.47,1.6,0.55,0.93,8.27
SJC,2019-01-01,13,14,12,16,14,93.75,87.5,92.86,6.56,10.19,1.2,7.38,0.93,3.19,0.71,2.5
SJC,2019-01-01,14,10,7,11,8,90.91,90.91,75.0,2.73,10.64,1.95,3.27,1.5,0.55,1.5,9.0
SJC,2019-01-01,15,9,14,9,16,55.56,55.56,87.5,10.11,11.11,2.92,12.22,1.44,0.52,1.75,8.5
SJC,2019-01-01,16,12,10,15,11,73.33,66.67,81.82,11.27,12.53,3.8,13.93,1.27,0.48,3.64,16.64
SJC,2019-01-01,17,11,8,13,9,92.31,76.92,88.89,3.69,14.31,5.62,6.38,3.22,0.71,1.33,4.56
SJC,2019-01-01,18,11,14,11,14,90.91,90.91,92.86,2.45,13.64,4.5,5.45,0.43,1.13,0.0,3.14
SJC,2019-01-01,19,10,11,11,13,63.64,54.55,69.23,16.73,10.18,1.59,17.82,1.38,0.61,4.0,19.08
SJC,2019-01-01,20,11,15,11,16,81.82,81.82,81.25,7.82,11.0,2.52,9.27,1.31,1.69,3.81,16.56
SJC,2019-01-01,21,7,15,7,15,71.43,71.43,66.67,15.14,9.71,1.76,16.0,1.67,2.29,6.4,12.27
SJC,2019-01-01,22,2,18,2,18,100.0,100.0,77.78,0.0,12.0,1.75,0.0,0.56,0.54,2.17,21.5
SJC,2019-01-01,23,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SJC,2019-01-02,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SJC,2019-01-02,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SJC,2019-01-02,3,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SJC,2019-01-02,4,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,31.0
SJC,2019-01-02,5,0,0,0,1,0.0,0.0,100.0,0.0,0.0,0.0,0.0,3.0,0.6,8.0,0.0
SJC,2019-01-02,6,16,1,18,1,77.78,77.78,100.0,11.33,14.89,5.33,14.94,3.0,0.6,2.0,0.0
SJC,2019-01-02,7,14,5,15,5,86.67,86.67,100.0,4.8,13.13,4.07,6.87,0.0,3.62,0.0,0.0
SJC,2019-01-02,8,17,11,16,10,93.75,87.5,100.0,2.88,14.13,4.93,5.31,0.2,0.45,1.9,0.8
SJC,2019-01-02,9,16,19,16,21,93.75,87.5,80.95,4.56,12.88,3.78,6.38,8.19,0.86,7.05,29.48
SJC,2019-01-02,10,12,8,13,10,76.92,76.92,80.0,18.62,11.54,2.65,20.23,1.2,1.84,1.4,7.7
SJC,2019-01-02,11,13,16,15,17,66.67,60.0,64.71,39.47,13.93,4.87,42.67,1.24,0.66,2.53,40.18
SJC,2019-01-02,12,13,15,15,15,86.67,86.67,73.33,7.0,12.33,2.63,8.27,0.67,0.97,0.2,42.4
SJC,2019-01-02,13,13,9,15,11,66.67,66.67,72.73,41.8,11.8,2.39,43.93,1.64,1.47,3.09,16.82
SJC,2019-01-02,14,10,7,9,7,77.78,77.78,71.43,6.56,11.44,2.88,8.11,0.43,0.39,0.0,14.29
SJC,2019-01-02,15,7,11,9,13,77.78,77.78,53.85,15.56,11.56,2.91,17.11,2.0,2.53,5.62,19.62
SJC,2019-01-02,16,11,11,11,13,72.73,72.73,69.23,17.91,11.09,2.49,18.91,1.31,1.71,2.77,11.08
SJC,2019-01-02,17,11,9,13,12,69.23,46.15,50.0,8.23,14.38,5.78,13.0,1.42,0.8,0.75,21.75
SJC,2019-01-02,18,14,16,16,17,81.25,75.0,82.35,9.0,12.81,3.86,11.88,0.82,2.02,1.59,9.29
SJC,2019-01-02,19,8,11,9,10,100.0,100.0,70.0,0.67,10.56,1.66,1.67,1.3,0.6,3.6,11.6
SJC,2019-01-02,20,11,13,11,14,81.82,72.73,71.43,15.82,12.09,3.89,18.09,1.07,2.19,4.21,20.5
SJC,2019-01-02,21,4,14,5,15,80.0,80.0,60.0,13.8,9.6,1.28,13.8,1.07,0.43,2.47,13.8
SJC,2019-01-02,22,7,21,7,21,71.43,71.43,71.43,12.29,9.71,1.24,12.43,0.14,1.12,1.38,16.43
SJC,2019-01-02,23,0,1,0,2,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,1.35,0.0,41.5
SJC,2019-01-03,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SJC,2019-01-03,5,0,0,1,1,100.0,100.0,0.0,0.0,22.0,12.5,13.0,6.0,0.6,21.0,67.0
SJC,2019-01-03,6,15,1,15,1,93.33,86.67,100.0,7.4,17.4,7.52,12.6,2.0,1.6,3.0,1.0
SJC,2019-01-03,7,14,4,14,4,92.86,92.86,100.0,2.14,13.57,4.46,4.07,0.0,0.45,0.0,0.0
SJC,2019-01-03,8,16,12,18,11,88.89,88.89,100.0,18.56,15.28,5.94,21.22,0.73,0.94,0.82,0.27
SJC,2019-01-03,9,17,16,19,20,78.95,73.68,80.0,10.53,13.47,4.41,12.53,1.2,2.45,3.45,9.5
SJC,2019-01-03,10,12,12,13,14,92.31,84.62,78.57,4.15,13.92,4.91,8.0,0.43,1.24,1.36,6.93
SJC,2019-01-03,11,12,13,16,16,81.25,62.5,75.0,5.06,17.06,7.77,11.5,2.81,1.23,5.31,34.25
SJC,2019-01-03,12,13,18,15,21,86.67,73.33,76.19,15.4,14.67,5.07,18.93,0.76,3.9,2.9,8.14
SJC,2019-01-03,13,18,8,22,10,81.82,81.82,80.0,5.77,12.41,3.22,8.32,0.8,1.41,1.6,15.4
SJC,2019-01-03,14,8,10,10,12,70.0,70.0,75.0,43.8,11.3,2.52,45.4,0.0,1.13,0.58,9.5
