airport,report_date,Hour,Scheduled Departures,Scheduled Arrivals,Departures For Metric Computation,Arrivals For Metric Computation,% On-Time Gate Departures,% On-Time Airport Departures,% On-Time Gate Arrivals,Average Gate Departure Delay,Average Taxi Out Time,Average Taxi Out Delay,Average Airport Departure Delay,Average Airborne Delay,Average Taxi In Delay,Average Block Delay,Average Gate Arrival Delay
SLC,2019-01-01,0,0,5,1,3,100.0,100.0,66.67,0.0,13.0,0.0,0.0,1.67,1.23,2.67,12.67
SLC,2019-01-01,1,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.2,7.0,32.0
SLC,2019-01-01,2,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SLC,2019-01-01,3,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SLC,2019-01-01,5,4,0,4,0,100.0,75.0,0.0,0.0,20.75,8.0,6.5,0.0,0.0,0.0,0.0
SLC,2019-01-01,6,6,0,7,0,85.71,57.14,0.0,5.14,19.57,7.61,11.86,0.0,0.0,0.0,0.0
SLC,2019-01-01,7,8,17,8,17,75.0,62.5,88.24,8.0,21.63,8.08,13.75,0.12,0.83,4.06,4.29
SLC,2019-01-01,8,21,19,23,21,86.96,78.26,71.43,8.43,21.09,7.1,14.22,0.43,1.75,3.0,49.19
SLC,2019-01-01,9,24,7,29,9,82.76,75.86,88.89,6.66,19.86,5.75,11.07,4.67,1.37,2.11,6.0
SLC,2019-01-01,10,6,40,8,41,62.5,62.5,95.12,16.0,17.88,5.55,19.63,2.49,3.27,2.07,6.07
SLC,2019-01-01,11,51,10,54,12,81.48,75.93,75.0,25.46,17.26,4.26,28.56,1.33,2.16,5.17,14.17
SLC,2019-01-01,12,9,8,14,10,64.29,64.29,60.0,13.93,12.29,0.68,14.07,1.6,2.04,2.5,15.7
SLC,2019-01-01,13,18,27,19,28,78.95,68.42,89.29,14.89,16.0,2.78,16.47,3.39,0.58,4.71,12.04
SLC,2019-01-01,14,12,27,15,27,40.0,46.67,74.07,18.47,12.4,1.4,19.0,2.15,1.46,4.15,18.3
SLC,2019-01-01,15,25,11,25,13,84.0,84.0,61.54,16.32,15.12,2.56,17.92,2.31,1.03,6.92,27.31
SLC,2019-01-01,16,7,32,7,35,28.57,28.57,80.0,33.71,16.71,4.23,37.57,1.6,0.99,3.63,6.77
SLC,2019-01-01,17,40,8,41,15,87.8,82.93,73.33,12.85,17.56,3.87,15.63,1.2,2.53,2.47,16.93
SLC,2019-01-01,18,4,11,6,15,50.0,50.0,86.67,21.67,15.83,3.13,24.17,2.07,1.17,5.0,13.8
SLC,2019-01-01,19,6,41,8,42,37.5,37.5,76.19,36.63,17.25,5.25,41.0,0.86,2.11,3.69,30.19
SLC,2019-01-01,20,51,8,51,8,82.35,52.94,75.0,6.82,24.65,10.56,15.12,2.88,5.29,1.63,21.13
SLC,2019-01-01,21,2,18,2,19,100.0,100.0,68.42,0.0,22.0,8.4,3.0,1.16,4.03,4.05,60.89
SLC,2019-01-01,22,8,5,8,6,100.0,100.0,50.0,1.63,17.5,4.1,4.25,0.5,1.95,4.17,37.0
SLC,2019-01-01,23,5,12,5,12,100.0,80.0,58.33,1.4,14.6,2.34,3.4,1.17,0.84,4.42,27.92
SLC,2019-01-02,0,3,7,3,5,100.0,100.0,80.0,0.0,24.0,8.67,4.67,1.0,0.54,0.0,6.6
SLC,2019-01-02,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SLC,2019-01-02,2,0,1,1,1,100.0,100.0,100.0,5.0,9.0,0.0,0.0,0.0,0.3,0.0,0.0
SLC,2019-01-02,3,0,0,0,1,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,2.2,5.0,0.0
SLC,2019-01-02,4,0,0,0,3,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,4.53,4.0,3.67
SLC,2019-01-02,5,5,0,7,0,57.14,57.14,0.0,38.29,24.71,11.47,48.14,0.0,0.0,0.0,0.0
SLC,2019-01-02,6,7,0,17,1,58.82,47.06,100.0,25.59,27.41,14.04,38.59,0.0,2.2,0.0,8.0
SLC,2019-01-02,7,11,23,25,23,68.0,36.0,86.96,14.48,30.56,17.15,30.88,0.17,1.3,7.87,10.78
SLC,2019-01-02,8,26,21,36,23,86.11,52.78,91.3,18.17,26.31,12.05,27.94,1.91,4.73,5.78,7.91
SLC,2019-01-02,9,34,12,37,14,81.08,64.86,85.71,33.03,23.27,9.04,40.22,0.57,3.0,2.5,13.0
SLC,2019-01-02,10,13,44,16,48,68.75,68.75,85.42,25.19,17.25,3.99,28.19,1.63,8.44,3.79,7.63
SLC,2019-01-02,11,51,7,58,9,82.76,60.34,77.78,12.47,21.84,7.72,19.0,3.33,2.91,6.33,29.11
SLC,2019-01-02,12,6,11,8,12,37.5,37.5,75.0,25.38,13.75,1.45,25.75,3.42,3.1,4.17,22.33
SLC,2019-01-02,13,24,31,25,32,72.0,64.0,87.5,22.48,16.48,3.66,25.28,0.91,0.74,1.72,5.69
SLC,2019-01-02,14,14,27,17,27,88.24,88.24,81.48,4.59,15.53,2.1,5.53,1.78,3.19,1.04,11.81
SLC,2019-01-02,15,32,15,34,18,76.47,73.53,83.33,14.12,15.82,2.61,16.0,1.39,1.61,1.33,7.61
SLC,2019-01-02,16,10,35,12,38,58.33,58.33,84.21,14.5,14.25,2.43,16.83,1.42,1.01,0.76,20.53
SLC,2019-01-02,17,37,6,39,11,87.18,84.62,45.45,16.59,16.46,2.97,18.0,0.45,0.72,2.0,20.82
SLC,2019-01-02,18,6,11,6,21,66.67,66.67,42.86,8.0,13.17,2.27,8.83,1.38,1.03,4.19,26.57
SLC,2019-01-02,19,4,51,4,59,50.0,25.0,83.05,46.5,14.25,3.42,49.75,1.78,1.4,1.95,7.46
SLC,2019-01-02,20,39,11,42,12,80.95,69.05,83.33,31.4,22.05,8.36,38.14,3.17,3.02,1.08,25.08
SLC,2019-01-02,21,4,36,6,37,83.33,66.67,81.08,5.33,18.0,5.67,8.17,1.65,2.47,1.68,12.78
SLC,2019-01-02,22,30,7,31,9,93.55,93.55,44.44,2.61,16.61,2.66,4.42,2.56,6.21,6.22,27.0
SLC,2019-01-02,23,7,11,8,13,87.5,87.5,76.92,5.38,13.25,0.63,5.25,3.85,0.68,1.85,8.0
SLC,2019-01-03,0,2,4,3,7,66.67,66.67,57.14,6.0,19.0,4.57,10.33,0.57,0.0,3.0,38.71
SLC,2019-01-03,1,0,0,0,1,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,1.2,0.0,0.0
SLC,2019-01-03,2,0,0,1,0,100.0,100.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0
SLC,2019-01-03,3,0,0,0,1,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,1.8,0.0,0.0
SLC,2019-01-03,4,0,0,0,6,0.0,0.0,16.67,0.0,0.0,0.0,0.0,1.0,1.7,2.67,54.5
SLC,2019-01-03,5,6,0,11,3,54.55,45.45,33.33,66.73,23.73,10.79,76.27,0.0,3.2,0.33,14.0
SLC,2019-01-03,6,6,0,19,1,47.37,21.05,100.0,55.0,25.37,12.32,66.42,3.0,1.2,9.0,10.0
SLC,2019-01-03,7,11,22,17,23,82.35,47.06,86.96,24.29,27.47,14.05,36.94,0.52,0.87,3.61,4.48
SLC,2019-01-03,8,24,19,31,20,83.87,51.61,95.0,8.84,26.32,11.98,19.26,0.75,4.24,6.25,6.35
SLC,2019-01-03,9,28,12,32,14,87.5,84.38,85.71,6.75,20.59,6.67,11.22,1.79,4.88,3.07,21.36
