airport,report_date,Hour,Scheduled Departures,Scheduled Arrivals,Departures For Metric Computation,Arrivals For Metric Computation,% On-Time Gate Departures,% On-Time Airport Departures,% On-Time Gate Arrivals,Average Gate Departure Delay,Average Taxi Out Time,Average Taxi Out Delay,Average Airport Departure Delay,Average Airborne Delay,Average Taxi In Delay,Average Block Delay,Average Gate Arrival Delay
ANC,2023-01-01,0,1,3,4,4,50.0,50.0,50.0,16.25,16.5,5.95,22.25,6.5,1.2,11.25,16.25
ANC,2023-01-01,1,2,1,6,2,66.67,50.0,100.0,15.0,17.83,7.42,20.5,0.5,2.15,2.5,4.0
ANC,2023-01-01,2,1,2,3,2,66.67,66.67,50.0,11.0,12.33,1.7,12.67,7.5,1.2,15.5,11.0
ANC,2023-01-01,3,0,3,3,8,100.0,100.0,62.5,0.0,15.0,4.7,5.0,4.38,1.42,2.63,88.5
ANC,2023-01-01,4,3,1,6,3,66.67,66.67,0.0,6.67,11.67,1.73,7.83,12.33,1.2,16.67,77.67
ANC,2023-01-01,5,2,1,2,2,100.0,100.0,0.0,5.5,14.0,3.05,8.5,4.0,1.2,15.0,60.5
ANC,2023-01-01,6,3,3,6,2,66.67,50.0,50.0,8.5,24.67,14.52,23.0,0.0,1.15,0.0,21.5
ANC,2023-01-01,7,2,0,7,5,85.71,71.43,100.0,7.86,17.0,6.37,13.29,0.6,2.18,1.4,1.4
ANC,2023-01-01,8,3,1,5,1,60.0,60.0,100.0,62.6,16.6,6.16,67.0,0.0,5.2,0.0,0.0
ANC,2023-01-01,9,2,1,0,4,0.0,0.0,75.0,0.0,0.0,0.0,0.0,3.5,1.43,7.75,6.0
ANC,2023-01-01,10,2,2,4,2,75.0,50.0,50.0,6.25,22.0,11.05,10.25,10.5,2.15,13.5,11.5
ANC,2023-01-01,11,3,5,3,4,100.0,100.0,75.0,0.0,15.33,4.8,2.67,2.0,0.4,2.0,15.25
ANC,2023-01-01,12,2,2,5,3,80.0,80.0,100.0,7.0,17.6,7.1,9.6,2.0,1.17,0.0,0.0
ANC,2023-01-01,13,4,5,7,6,42.86,42.86,83.33,63.43,13.43,3.46,67.0,1.5,1.98,3.33,51.33
ANC,2023-01-01,14,1,3,3,5,100.0,100.0,80.0,0.0,11.67,1.23,1.33,1.0,2.76,0.6,7.0
ANC,2023-01-01,15,2,3,5,7,60.0,60.0,71.43,77.6,20.4,8.6,85.4,4.43,1.01,5.0,30.14
ANC,2023-01-01,16,4,3,6,3,83.33,83.33,33.33,11.67,18.33,7.82,17.67,0.0,0.83,1.67,15.0
ANC,2023-01-01,17,4,0,3,2,66.67,66.67,50.0,6.67,15.67,4.6,10.67,4.0,11.7,20.5,16.5
ANC,2023-01-01,18,4,7,5,8,40.0,40.0,75.0,21.6,16.2,5.96,27.2,7.25,5.93,7.88,11.38
ANC,2023-01-01,19,2,3,9,9,55.56,44.44,100.0,9.44,19.89,9.33,16.67,2.22,5.4,5.0,1.56
ANC,2023-01-01,20,4,5,3,6,66.67,66.67,100.0,90.0,18.0,7.27,96.33,4.33,1.45,0.83,0.0
ANC,2023-01-01,21,2,3,8,8,87.5,75.0,87.5,7.25,18.13,7.54,12.38,6.88,0.39,6.13,2.63
ANC,2023-01-01,22,4,5,6,4,50.0,50.0,75.0,10.17,15.33,3.78,14.0,0.0,1.55,0.5,28.0
ANC,2023-01-01,23,3,5,5,8,80.0,40.0,100.0,30.8,21.2,9.86,40.0,3.38,3.4,5.63,3.38
ANC,2023-01-02,0,4,4,3,7,66.67,66.67,71.43,138.67,13.33,3.93,139.0,5.71,2.33,4.86,22.71
ANC,2023-01-02,1,2,2,7,4,85.71,85.71,75.0,4.57,13.86,3.64,8.29,2.5,2.92,3.0,11.25
ANC,2023-01-02,2,1,1,2,4,100.0,50.0,75.0,0.0,24.5,13.55,12.5,2.5,3.43,5.0,12.25
ANC,2023-01-02,3,4,3,5,7,80.0,80.0,100.0,13.6,11.8,1.68,14.0,0.14,3.17,0.0,0.0
ANC,2023-01-02,4,1,1,6,2,83.33,66.67,100.0,7.17,19.5,9.03,14.0,6.5,1.2,4.0,0.0
ANC,2023-01-02,5,5,1,9,4,100.0,100.0,100.0,0.0,14.78,4.21,1.78,0.5,2.45,5.5,0.75
ANC,2023-01-02,6,7,4,11,5,81.82,63.64,80.0,43.73,20.55,9.45,52.27,3.2,1.16,6.0,3.8
ANC,2023-01-02,7,6,2,5,3,80.0,80.0,100.0,7.8,18.4,7.7,13.6,0.0,1.2,1.33,0.0
