airport,report_date,Hour,Scheduled Departures,Scheduled Arrivals,Departures For Metric Computation,Arrivals For Metric Computation,% On-Time Gate Departures,% On-Time Airport Departures,% On-Time Gate Arrivals,Average Gate Departure Delay,Average Taxi Out Time,Average Taxi Out Delay,Average Airport Departure Delay,Average Airborne Delay,Average Taxi In Delay,Average Block Delay,Average Gate Arrival Delay
BUF,2023-01-01,0,0,2,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,19.6,1.0,91.0
BUF,2023-01-01,2,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BUF,2023-01-01,5,4,0,4,0,75.0,75.0,0.0,26.25,11.0,2.15,27.75,0.0,0.0,0.0,0.0
BUF,2023-01-01,6,7,0,7,0,57.14,57.14,0.0,14.57,13.71,2.96,15.43,0.0,0.0,0.0,0.0
BUF,2023-01-01,7,2,3,2,3,50.0,50.0,100.0,21.5,23.5,13.3,34.0,1.0,10.0,1.0,0.0
BUF,2023-01-01,8,3,0,3,1,100.0,66.67,100.0,1.67,17.0,8.27,10.0,7.0,0.6,9.0,0.0
BUF,2023-01-01,9,1,1,3,1,66.67,66.67,0.0,13.33,12.0,1.87,15.33,1.0,7.6,1.0,246.0
BUF,2023-01-01,10,2,1,2,2,50.0,50.0,50.0,113.0,12.0,2.9,116.0,4.5,0.25,0.0,21.0
BUF,2023-01-01,11,1,3,2,4,100.0,100.0,75.0,0.0,13.0,2.9,0.0,1.25,1.55,0.0,6.75
BUF,2023-01-01,12,3,3,4,3,100.0,100.0,100.0,2.5,9.25,0.4,2.75,7.33,1.93,0.0,0.0
BUF,2023-01-01,13,3,3,4,4,75.0,75.0,75.0,6.75,11.75,0.65,7.0,5.25,1.1,0.75,24.25
BUF,2023-01-01,14,4,1,6,2,50.0,50.0,50.0,29.0,11.33,1.23,29.17,3.0,2.6,6.5,17.5
BUF,2023-01-01,15,0,2,0,2,0.0,0.0,50.0,0.0,0.0,0.0,0.0,5.5,0.3,0.0,13.5
BUF,2023-01-01,16,3,3,4,4,50.0,50.0,75.0,23.5,12.25,2.55,25.25,3.0,1.27,3.75,18.25
BUF,2023-01-01,17,5,4,5,4,80.0,80.0,50.0,6.8,11.2,0.98,7.8,3.75,1.05,0.0,19.25
BUF,2023-01-01,18,1,5,1,5,0.0,0.0,100.0,38.0,12.0,3.6,42.0,7.4,2.72,4.6,5.8
BUF,2023-01-01,19,4,1,4,1,100.0,100.0,0.0,7.0,11.25,1.5,8.25,2.0,2.4,0.0,159.0
BUF,2023-01-01,20,1,0,1,0,0.0,0.0,0.0,154.0,12.0,0.0,153.0,0.0,0.0,0.0,0.0
BUF,2023-01-01,21,0,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9,0.0,96.0
BUF,2023-01-01,22,0,3,0,3,0.0,0.0,100.0,0.0,0.0,0.0,0.0,4.67,0.17,0.33,0.0
