airport,report_date,Hour,Scheduled Departures,Scheduled Arrivals,Departures For Metric Computation,Arrivals For Metric Computation,% On-Time Gate Departures,% On-Time Airport Departures,% On-Time Gate Arrivals,Average Gate Departure Delay,Average Taxi Out Time,Average Taxi Out Delay,Average Airport Departure Delay,Average Airborne Delay,Average Taxi In Delay,Average Block Delay,Average Gate Arrival Delay
BUR,2023-01-01,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BUR,2023-01-01,2,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BUR,2023-01-01,5,0,0,1,0,0.0,0.0,0.0,31.0,16.0,6.7,38.0,0.0,0.0,0.0,0.0
BUR,2023-01-01,6,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BUR,2023-01-01,7,10,4,8,4,87.5,87.5,100.0,6.0,14.25,4.25,9.38,0.75,0.85,0.0,0.0
BUR,2023-01-01,8,8,6,8,6,100.0,100.0,66.67,2.0,13.63,4.94,5.13,2.67,0.78,1.17,11.67
BUR,2023-01-01,9,8,7,8,9,87.5,75.0,88.89,8.75,16.63,8.2,15.5,4.22,0.69,4.89,4.0
BUR,2023-01-01,10,7,3,10,5,90.0,80.0,60.0,4.0,17.7,8.91,11.4,3.2,0.64,2.2,6.4
BUR,2023-01-01,11,4,9,6,12,66.67,33.33,58.33,62.83,21.67,13.12,74.5,5.83,3.69,12.0,29.42
BUR,2023-01-01,12,8,7,10,11,70.0,70.0,45.45,25.7,22.8,13.64,37.4,7.27,4.03,17.18,32.27
BUR,2023-01-01,13,6,8,11,10,45.45,36.36,50.0,24.64,22.27,12.97,36.55,5.7,10.84,12.0,22.4
BUR,2023-01-01,14,8,4,10,7,40.0,0.0,14.29,29.7,38.5,29.8,59.1,7.29,8.33,10.71,72.14
BUR,2023-01-01,15,4,7,7,12,14.29,14.29,25.0,71.71,19.29,10.79,82.57,6.83,11.35,11.83,27.17
BUR,2023-01-01,16,8,4,10,5,70.0,10.0,60.0,16.8,27.8,18.82,35.7,6.2,9.02,4.8,12.0
BUR,2023-01-01,17,3,6,6,11,33.33,16.67,36.36,26.0,19.33,10.73,36.67,5.64,1.52,7.0,29.09
BUR,2023-01-01,18,7,5,8,6,75.0,50.0,66.67,12.75,16.38,7.56,18.5,4.33,2.5,1.67,15.33
BUR,2023-01-01,19,6,6,6,6,50.0,50.0,50.0,23.33,11.83,3.93,24.83,2.33,1.12,0.0,22.67
BUR,2023-01-01,20,6,9,7,14,42.86,28.57,57.14,21.0,15.0,6.16,26.86,3.71,1.09,2.93,17.0
BUR,2023-01-01,21,4,12,4,11,50.0,50.0,27.27,29.5,11.75,3.85,31.75,3.55,0.62,0.09,57.09
BUR,2023-01-01,22,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BUR,2023-01-01,23,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BUR,2023-01-02,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BUR,2023-01-02,4,0,0,1,0,100.0,0.0,0.0,0.0,26.0,16.7,17.0,0.0,0.0,0.0,0.0
BUR,2023-01-02,5,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BUR,2023-01-02,6,0,0,1,0,0.0,0.0,0.0,22.0,17.0,7.7,30.0,0.0,0.0,0.0,0.0
BUR,2023-01-02,7,11,2,12,3,83.33,66.67,100.0,23.75,17.67,8.88,31.25,5.0,3.73,5.67,4.67
BUR,2023-01-02,8,7,6,10,8,100.0,100.0,87.5,0.2,14.0,4.97,3.3,2.25,3.21,4.63,10.88
BUR,2023-01-02,9,6,5,10,7,70.0,50.0,57.14,13.1,15.7,6.66,19.1,4.14,0.36,4.86,37.0
BUR,2023-01-02,10,6,2,6,3,50.0,50.0,100.0,24.83,13.83,4.92,29.5,1.67,0.0,3.0,7.33
BUR,2023-01-02,11,3,5,6,7,50.0,33.33,71.43,19.17,16.17,7.33,26.17,2.43,1.51,4.43,10.43
BUR,2023-01-02,12,5,6,10,8,70.0,50.0,87.5,10.4,19.0,9.67,20.0,5.13,2.94,6.13,7.38
BUR,2023-01-02,13,5,6,8,8,75.0,62.5,37.5,9.75,15.25,6.04,15.88,3.13,0.46,6.88,47.5
BUR,2023-01-02,14,7,4,10,5,60.0,50.0,40.0,35.0,13.3,4.56,38.9,2.2,0.5,4.8,40.4
BUR,2023-01-02,15,2,5,3,11,100.0,66.67,36.36,0.0,17.0,8.63,6.0,3.45,2.24,6.91,28.45
BUR,2023-01-02,16,7,4,8,8,75.0,50.0,37.5,11.25,16.25,7.41,18.25,4.63,1.71,7.63,17.5
BUR,2023-01-02,17,3,5,7,5,42.86,42.86,60.0,31.29,15.71,6.9,38.29,4.8,0.44,7.6,21.4
BUR,2023-01-02,18,5,4,7,6,57.14,28.57,83.33,19.86,16.57,7.73,27.29,9.5,0.08,7.17,9.67
BUR,2023-01-02,19,3,4,5,5,80.0,60.0,20.0,21.0,19.8,11.34,29.6,2.4,1.08,7.0,41.0
BUR,2023-01-02,20,6,8,9,11,33.33,33.33,36.36,46.22,12.11,3.44,49.67,4.55,2.3,5.45,51.91
BUR,2023-01-02,21,2,12,1,12,0.0,0.0,41.67,270.0,19.0,11.1,281.0,3.08,0.71,5.58,40.92
BUR,2023-01-02,22,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BUR,2023-01-02,23,0,0,0,1,0.0,0.0,100.0,0.0,0.0,0.0,0.0,1.0,0.5,10.0,4.0
BUR,2023-01-03,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BUR,2023-01-03,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BUR,2023-01-03,2,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BUR,2023-01-03,4,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BUR,2023-01-03,5,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BUR,2023-01-03,6,0,0,1,0,0.0,0.0,0.0,16.0,14.0,4.7,21.0,0.0,0.0,0.0,0.0
BUR,2023-01-03,7,9,4,9,7,100.0,88.89,85.71,0.33,17.44,8.6,6.33,4.43,5.37,7.57,9.29
BUR,2023-01-03,8,9,8,11,11,90.91,72.73,81.82,3.36,19.73,11.0,12.64,5.36,1.38,5.91,9.0
BUR,2023-01-03,9,10,7,15,7,73.33,40.0,71.43,8.8,25.2,16.19,23.6,5.0,2.21,3.29,7.29
BUR,2023-01-03,10,7,3,9,6,55.56,22.22,33.33,25.67,21.67,12.82,36.44,5.17,0.23,8.67,43.5
BUR,2023-01-03,11,3,7,4,10,50.0,25.0,60.0,10.5,18.5,10.25,20.75,6.2,2.94,9.3,17.8
BUR,2023-01-03,12,7,6,10,6,30.0,30.0,66.67,54.9,15.8,7.26,62.2,4.5,2.83,11.33,23.0
BUR,2023-01-03,13,5,10,8,13,62.5,62.5,46.15,13.75,18.88,9.28,23.0,4.46,4.12,7.0,35.15
BUR,2023-01-03,14,10,4,13,7,38.46,30.77,28.57,34.46,15.92,6.8,41.23,7.71,10.33,18.57,28.0
BUR,2023-01-03,15,4,6,9,9,33.33,11.11,44.44,27.33,21.56,12.88,40.33,2.67,7.7,9.0,17.89
BUR,2023-01-03,16,8,4,9,6,66.67,55.56,50.0,14.0,17.33,8.6,21.44,6.33,1.6,4.67,15.83
BUR,2023-01-03,17,3,6,5,9,60.0,60.0,55.56,10.4,20.0,11.54,20.8,4.44,0.62,1.89,23.78
BUR,2023-01-03,18,7,6,8,12,62.5,62.5,58.33,21.25,13.25,4.22,23.75,1.83,0.06,1.33,22.92
BUR,2023-01-03,19,6,7,8,7,25.0,25.0,28.57,36.88,13.0,4.86,41.25,2.71,0.0,2.14,25.57
BUR,2023-01-03,20,6,9,5,13,40.0,20.0,38.46,30.0,13.6,5.04,34.2,5.77,1.45,5.62,26.54
BUR,2023-01-03,21,4,11,4,11,100.0,100.0,36.36,0.0,17.5,9.6,5.75,5.0,1.45,1.73,26.09
BUR,2023-01-03,22,0,0,1,0,0.0,0.0,0.0,37.0,16.0,6.7,44.0,0.0,0.0,0.0,0.0
BUR,2023-01-03,23,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BUR,2023-01-04,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BUR,2023-01-04,2,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BUR,2023-01-04,3,0,0,1,0,0.0,0.0,0.0,31.0,16.0,6.7,38.0,0.0,0.0,0.0,0.0
BUR,2023-01-04,4,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.5,1.0,51.0
BUR,2023-01-04,5,0,0,0,1,0.0,0.0,100.0,0.0,0.0,0.0,0.0,2.0,2.5,3.0,0.0
BUR,2023-01-04,6,0,0,5,0,60.0,40.0,0.0,14.6,21.6,12.3,27.2,0.0,0.0,0.0,0.0
BUR,2023-01-04,7,11,2,13,2,100.0,76.92,100.0,0.38,21.46,12.58,9.38,5.5,0.0,7.0,2.5
BUR,2023-01-04,8,8,7,8,9,87.5,50.0,77.78,5.75,24.75,15.54,20.75,9.44,0.67,7.89,9.0
BUR,2023-01-04,9,6,4,7,5,85.71,57.14,100.0,5.43,20.43,11.93,15.57,4.2,0.0,1.6,0.0
BUR,2023-01-04,10,5,4,8,5,62.5,62.5,60.0,10.5,13.88,4.56,13.0,3.0,0.1,6.6,19.6
BUR,2023-01-04,11,3,7,4,7,50.0,50.0,42.86,14.25,13.75,5.72,19.75,8.86,0.53,3.43,18.43
BUR,2023-01-04,12,7,5,6,8,50.0,50.0,37.5,36.0,10.67,2.33,38.17,19.88,0.43,20.63,40.5
BUR,2023-01-04,13,4,5,5,6,60.0,40.0,66.67,16.2,13.4,4.72,20.0,8.17,0.35,10.83,13.33
BUR,2023-01-04,14,7,5,7,7,42.86,28.57,57.14,27.0,29.0,19.96,45.71,5.29,5.56,13.0,26.29
BUR,2023-01-04,15,4,5,7,7,28.57,28.57,57.14,29.29,14.57,6.07,35.0,3.43,4.5,5.43,17.29
BUR,2023-01-04,16,6,3,7,8,71.43,57.14,12.5,19.57,14.57,5.64,24.29,4.0,2.65,14.38,31.25
BUR,2023-01-04,17,4,7,5,7,60.0,60.0,71.43,16.8,14.0,5.82,20.4,6.29,1.09,4.29,34.29
BUR,2023-01-04,18,5,5,6,13,50.0,50.0,61.54,29.67,11.5,2.5,32.17,73.23,0.45,73.92,26.0
BUR,2023-01-04,19,4,6,7,7,28.57,14.29,28.57,55.57,18.29,9.83,65.0,4.43,1.16,4.71,27.29
BUR,2023-01-04,20,5,9,7,9,57.14,28.57,22.22,17.29,18.14,9.41,25.29,5.56,1.34,6.33,48.22
BUR,2023-01-04,21,4,9,4,10,25.0,25.0,60.0,23.75,9.5,0.83,24.5,4.7,8.55,15.3,23.9
BUR,2023-01-04,22,0,0,1,1,100.0,0.0,100.0,0.0,24.0,14.7,15.0,0.0,0.5,2.0,0.0
BUR,2023-01-04,23,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.5,14.0,73.0
BUR,2023-01-05,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,2.0,15.0
BUR,2023-01-05,4,0,0,0,2,0.0,0.0,50.0,0.0,0.0,0.0,0.0,2.5,3.5,7.0,21.0
BUR,2023-01-05,5,0,0,1,0,0.0,0.0,0.0,35.0,14.0,4.7,40.0,0.0,0.0,0.0,0.0
BUR,2023-01-05,6,0,0,3,0,0.0,0.0,0.0,41.67,16.67,7.37,49.33,0.0,0.0,0.0,0.0
BUR,2023-01-05,7,10,2,13,3,76.92,69.23,66.67,33.08,16.77,7.81,40.23,12.67,6.97,16.67,14.33
BUR,2023-01-05,8,7,6,8,4,62.5,62.5,0.0,40.13,15.5,6.46,46.63,81.75,0.52,76.0,71.25
BUR,2023-01-05,9,8,7,4,5,50.0,50.0,0.0,45.25,13.25,3.48,49.0,40.2,3.26,58.6,103.0
BUR,2023-01-05,10,7,2,6,3,16.67,16.67,0.0,85.5,13.83,4.92,90.5,1.33,0.33,3.0,75.0
BUR,2023-01-05,11,5,9,5,11,0.0,0.0,36.36,57.8,15.6,6.86,64.8,3.73,2.22,6.91,25.27
BUR,2023-01-05,12,7,8,7,8,28.57,14.29,75.0,33.14,16.14,7.63,40.71,3.25,5.04,5.5,8.5
BUR,2023-01-05,13,6,6,8,7,50.0,50.0,57.14,21.88,15.13,6.22,27.75,6.57,3.61,5.57,13.14
BUR,2023-01-05,14,7,5,9,5,55.56,44.44,40.0,18.78,15.11,5.76,23.56,2.4,8.46,7.4,29.2
BUR,2023-01-05,15,3,4,5,7,20.0,20.0,57.14,45.8,17.4,8.94,54.8,8.86,1.4,8.0,15.86
BUR,2023-01-05,16,7,5,11,8,54.55,36.36,87.5,17.27,20.64,11.8,26.82,6.75,3.95,6.0,6.88
BUR,2023-01-05,17,4,7,6,14,66.67,50.0,42.86,26.0,20.33,11.97,35.83,3.43,5.74,7.29,33.79
BUR,2023-01-05,18,6,6,7,9,42.86,42.86,44.44,22.86,11.43,2.46,24.57,1.67,4.52,5.11,45.89
BUR,2023-01-05,19,4,4,7,6,42.86,42.86,50.0,23.86,12.71,4.06,27.57,2.83,1.07,5.83,18.0
BUR,2023-01-05,20,7,10,7,12,71.43,57.14,66.67,8.43,15.29,6.91,13.0,0.42,4.38,2.75,10.0
BUR,2023-01-05,21,3,9,4,11,75.0,75.0,72.73,8.5,15.0,6.75,11.75,3.0,0.39,1.36,12.45
BUR,2023-01-05,22,0,0,0,1,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BUR,2023-01-06,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
