airport,report_date,Hour,Scheduled Departures,Scheduled Arrivals,Departures For Metric Computation,Arrivals For Metric Computation,% On-Time Gate Departures,% On-Time Airport Departures,% On-Time Gate Arrivals,Average Gate Departure Delay,Average Taxi Out Time,Average Taxi Out Delay,Average Airport Departure Delay,Average Airborne Delay,Average Taxi In Delay,Average Block Delay,Average Gate Arrival Delay
CLE,2023-01-01,0,0,5,1,3,0.0,0.0,100.0,69.0,5.0,0.0,56.0,1.67,3.87,0.0,0.0
CLE,2023-01-01,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CLE,2023-01-01,5,2,0,2,0,100.0,100.0,0.0,3.5,8.5,0.25,4.0,0.0,0.0,0.0,0.0
CLE,2023-01-01,6,10,2,11,2,100.0,100.0,50.0,0.09,12.09,1.27,0.73,0.0,0.55,15.0,16.5
CLE,2023-01-01,7,8,1,8,2,62.5,62.5,0.0,26.0,11.75,1.86,27.0,0.0,2.8,2.5,32.5
CLE,2023-01-01,8,9,3,12,4,75.0,75.0,75.0,14.0,11.42,1.42,15.25,1.5,3.0,3.5,4.0
CLE,2023-01-01,9,4,2,4,2,100.0,100.0,100.0,1.0,10.25,0.5,1.5,1.5,8.9,3.0,3.0
CLE,2023-01-01,10,4,6,5,6,80.0,80.0,83.33,5.2,9.0,0.3,4.4,1.5,1.28,0.0,18.0
CLE,2023-01-01,11,3,3,4,3,50.0,50.0,100.0,29.25,14.75,5.13,29.5,0.67,3.67,0.0,0.0
CLE,2023-01-01,12,6,6,7,6,57.14,57.14,100.0,11.29,11.86,1.64,11.43,3.67,3.05,3.33,3.17
CLE,2023-01-01,13,10,6,10,6,90.0,60.0,83.33,9.2,11.7,2.39,10.6,4.0,3.05,0.0,54.0
CLE,2023-01-01,14,3,4,2,6,100.0,100.0,50.0,0.0,15.0,4.15,1.0,5.5,1.57,5.5,13.33
CLE,2023-01-01,15,4,6,5,6,60.0,60.0,50.0,22.6,12.4,2.48,23.6,0.33,1.53,0.0,17.33
CLE,2023-01-01,16,8,3,8,3,62.5,62.5,100.0,14.38,12.5,2.35,15.75,1.0,1.53,0.0,0.0
CLE,2023-01-01,17,2,11,2,11,50.0,50.0,72.73,10.0,9.5,0.75,9.0,1.45,3.9,2.73,7.09
CLE,2023-01-01,18,7,3,7,5,85.71,85.71,80.0,14.0,11.43,2.0,13.71,1.6,0.38,1.6,43.2
CLE,2023-01-01,19,3,4,3,5,66.67,66.67,80.0,61.67,10.33,0.33,61.33,1.4,3.22,4.6,11.8
CLE,2023-01-01,20,1,4,2,5,50.0,100.0,60.0,8.5,11.0,2.75,7.5,2.8,1.66,2.6,30.4
CLE,2023-01-01,21,3,5,3,5,33.33,33.33,100.0,19.0,11.0,1.17,20.33,0.2,1.7,0.0,0.2
CLE,2023-01-01,22,0,6,0,6,0.0,0.0,66.67,0.0,0.0,0.0,0.0,3.67,1.42,3.17,25.83
