airport,report_date,Hour,Scheduled Departures,Scheduled Arrivals,Departures For Metric Computation,Arrivals For Metric Computation,% On-Time Gate Departures,% On-Time Airport Departures,% On-Time Gate Arrivals,Average Gate Departure Delay,Average Taxi Out Time,Average Taxi Out Delay,Average Airport Departure Delay,Average Airborne Delay,Average Taxi In Delay,Average Block Delay,Average Gate Arrival Delay
CVG,2023-01-01,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CVG,2023-01-01,2,0,0,1,0,100.0,100.0,0.0,0.0,13.0,1.4,1.0,0.0,0.0,0.0,0.0
CVG,2023-01-01,3,0,0,0,1,0.0,0.0,100.0,0.0,0.0,0.0,0.0,2.0,1.4,7.0,0.0
CVG,2023-01-01,5,4,1,4,0,75.0,75.0,0.0,9.25,11.25,0.85,8.5,0.0,0.0,0.0,0.0
CVG,2023-01-01,6,5,0,6,1,100.0,100.0,100.0,0.0,13.5,1.95,0.83,266.0,1.4,0.0,0.0
CVG,2023-01-01,7,8,1,8,1,87.5,87.5,100.0,11.25,16.13,4.45,13.0,0.0,4.4,0.0,0.0
CVG,2023-01-01,8,5,0,5,0,80.0,80.0,0.0,11.2,12.4,1.76,12.2,0.0,0.0,0.0,0.0
CVG,2023-01-01,9,2,2,4,4,100.0,100.0,100.0,0.75,14.75,3.45,3.75,1.5,0.9,1.75,0.0
CVG,2023-01-01,10,6,4,5,6,80.0,80.0,66.67,4.4,9.8,0.0,4.2,85.17,0.93,1.5,17.0
CVG,2023-01-01,11,6,8,7,8,85.71,85.71,87.5,4.14,11.57,0.74,3.43,0.75,4.43,2.88,4.25
CVG,2023-01-01,12,8,2,10,2,80.0,70.0,100.0,10.4,14.8,4.2,12.9,0.5,2.6,5.0,10.0
CVG,2023-01-01,13,4,1,6,2,66.67,66.67,100.0,21.67,10.33,0.3,21.33,17.5,1.9,5.0,0.0
CVG,2023-01-01,14,2,5,2,6,50.0,50.0,83.33,9.5,12.0,1.2,10.5,1.33,2.73,3.0,9.33
CVG,2023-01-01,15,5,5,6,7,66.67,66.67,57.14,13.5,9.33,0.0,12.33,1.43,1.21,0.29,20.0
CVG,2023-01-01,16,6,4,8,7,62.5,62.5,57.14,13.13,11.38,0.73,12.13,3.43,1.34,9.43,23.43
CVG,2023-01-01,17,4,8,4,10,100.0,100.0,80.0,0.5,11.25,0.45,0.0,0.2,2.4,1.9,6.0
CVG,2023-01-01,18,5,7,6,10,83.33,66.67,50.0,7.17,19.0,7.93,13.5,1.4,3.46,4.7,24.6
CVG,2023-01-01,19,6,4,6,4,50.0,50.0,75.0,25.33,13.17,2.93,27.0,0.0,1.8,0.0,8.5
CVG,2023-01-01,20,2,8,4,8,50.0,50.0,62.5,11.0,12.5,1.85,11.75,0.0,3.12,5.25,11.13
CVG,2023-01-01,21,2,5,2,6,0.0,0.0,100.0,27.5,13.5,2.7,29.0,1.17,1.67,1.5,1.83
CVG,2023-01-01,22,0,8,0,9,0.0,0.0,66.67,0.0,0.0,0.0,0.0,2.33,2.2,6.0,17.78
CVG,2023-01-01,23,0,7,0,7,0.0,0.0,57.14,0.0,0.0,0.0,0.0,2.14,2.6,3.14,24.71
CVG,2023-01-02,0,0,3,2,1,100.0,100.0,100.0,0.0,18.0,6.7,6.5,0.0,1.4,0.0,0.0
CVG,2023-01-02,1,4,2,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CVG,2023-01-02,2,0,2,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CVG,2023-01-02,3,1,0,1,0,100.0,100.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0
CVG,2023-01-02,4,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CVG,2023-01-02,5,2,1,2,3,100.0,100.0,66.67,0.0,8.5,0.0,0.0,0.0,1.2,3.0,30.0
CVG,2023-01-02,6,16,1,18,4,83.33,83.33,100.0,14.72,12.11,1.26,14.33,1.75,1.4,7.25,4.5
CVG,2023-01-02,7,8,1,9,6,66.67,66.67,100.0,9.67,11.33,0.42,9.11,1.0,1.73,3.0,0.33
CVG,2023-01-02,8,5,2,5,2,100.0,100.0,50.0,1.4,11.6,1.16,2.4,31.0,0.7,24.0,46.5
CVG,2023-01-02,9,5,4,5,6,100.0,100.0,100.0,2.4,10.0,0.08,0.8,0.33,0.5,0.0,2.0
CVG,2023-01-02,10,7,6,10,8,60.0,60.0,50.0,16.9,13.1,2.64,18.3,1.25,2.53,5.38,55.75
CVG,2023-01-02,11,5,10,9,13,66.67,66.67,76.92,40.67,12.0,1.51,40.67,1.92,2.23,4.85,10.62
CVG,2023-01-02,12,10,6,11,9,81.82,72.73,55.56,13.73,14.82,3.85,16.45,0.33,1.11,1.67,32.11
CVG,2023-01-02,13,4,1,5,1,80.0,60.0,100.0,10.4,15.0,4.76,13.4,5.0,0.0,6.0,0.0
CVG,2023-01-02,14,3,6,11,12,72.73,72.73,66.67,24.18,13.91,2.51,25.45,0.17,1.42,6.75,49.0
CVG,2023-01-02,15,6,6,19,7,63.16,63.16,85.71,38.89,13.21,1.98,40.53,0.29,1.0,1.14,4.29
CVG,2023-01-02,16,6,5,10,8,70.0,70.0,50.0,15.4,16.5,4.98,18.9,1.5,1.7,5.88,38.13
CVG,2023-01-02,17,7,10,12,11,58.33,58.33,81.82,27.17,14.83,3.72,30.08,0.18,2.47,4.0,8.0
CVG,2023-01-02,18,7,7,12,14,58.33,50.0,78.57,22.83,13.33,2.42,23.67,2.36,4.47,4.29,11.43
CVG,2023-01-02,19,5,5,8,11,50.0,50.0,54.55,37.25,12.5,1.33,37.88,1.55,4.27,5.73,40.36
CVG,2023-01-02,20,5,9,6,13,66.67,66.67,30.77,25.17,10.5,0.47,25.0,4.0,2.23,11.0,62.77
CVG,2023-01-02,21,2,7,2,7,50.0,50.0,85.71,56.5,10.0,0.0,55.0,1.43,4.4,4.29,9.29
CVG,2023-01-02,22,0,9,4,16,75.0,50.0,43.75,21.25,19.0,7.55,28.5,1.88,1.5,8.94,29.38
CVG,2023-01-02,23,0,7,1,15,0.0,0.0,60.0,52.0,13.0,1.4,53.0,2.8,1.79,8.0,40.27
CVG,2023-01-03,0,0,4,8,8,50.0,50.0,62.5,11.38,14.38,2.85,13.88,1.75,0.6,3.13,13.0
CVG,2023-01-03,1,0,2,6,5,100.0,100.0,80.0,0.0,14.0,2.27,2.0,2.4,1.0,4.6,7.4
CVG,2023-01-03,2,0,2,2,2,100.0,100.0,50.0,0.0,11.5,0.2,0.0,0.0,1.4,3.5,53.0
CVG,2023-01-03,3,0,0,0,1,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,1.4,0.0,0.0
CVG,2023-01-03,4,1,0,7,0,42.86,42.86,0.0,30.29,12.71,1.97,31.29,0.0,0.0,0.0,0.0
CVG,2023-01-03,5,8,1,33,4,51.52,57.58,50.0,27.21,15.27,4.06,30.52,0.5,1.05,4.5,43.25
CVG,2023-01-03,6,14,1,28,5,64.29,57.14,80.0,24.46,16.11,4.45,28.04,1.2,1.12,4.0,11.0
CVG,2023-01-03,7,9,1,12,4,66.67,66.67,75.0,9.58,15.92,4.32,12.08,1.75,2.15,4.5,6.25
CVG,2023-01-03,8,6,1,6,2,83.33,66.67,50.0,7.83,15.83,4.77,11.0,0.0,1.4,0.5,60.0
CVG,2023-01-03,9,5,3,5,6,40.0,40.0,100.0,55.8,15.6,4.0,58.8,0.33,0.27,1.0,0.0
CVG,2023-01-03,10,6,5,5,5,100.0,100.0,100.0,6.6,12.0,1.44,6.2,1.6,0.64,1.8,1.6
CVG,2023-01-03,11,4,9,9,10,55.56,55.56,80.0,33.89,17.0,6.04,38.56,1.3,2.66,0.1,12.9
CVG,2023-01-03,12,9,7,9,10,77.78,55.56,60.0,13.78,13.89,2.78,15.56,1.0,1.4,5.7,50.9
CVG,2023-01-03,13,4,2,5,4,80.0,80.0,25.0,63.0,11.4,0.36,63.2,0.25,1.4,0.75,27.5
CVG,2023-01-03,14,5,5,12,6,58.33,58.33,100.0,14.75,14.75,3.6,16.92,1.5,0.97,2.17,3.33
CVG,2023-01-03,15,6,7,16,10,56.25,56.25,90.0,16.81,12.94,2.15,18.31,3.1,4.5,4.6,3.9
CVG,2023-01-03,16,7,6,6,7,66.67,66.67,100.0,10.83,14.0,3.6,13.67,1.0,1.2,3.14,2.57
