airport,report_date,Hour,Scheduled Departures,Scheduled Arrivals,Departures For Metric Computation,Arrivals For Metric Computation,% On-Time Gate Departures,% On-Time Airport Departures,% On-Time Gate Arrivals,Average Gate Departure Delay,Average Taxi Out Time,Average Taxi Out Delay,Average Airport Departure Delay,Average Airborne Delay,Average Taxi In Delay,Average Block Delay,Average Gate Arrival Delay
DFW,2023-01-01,0,1,4,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,2.9,8.0,31.5
DFW,2023-01-01,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DFW,2023-01-01,2,1,0,1,0,0.0,0.0,0.0,62.0,15.0,3.6,66.0,0.0,0.0,0.0,0.0
DFW,2023-01-01,3,0,0,0,1,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,3.8,0.0,0.0
DFW,2023-01-01,4,0,1,0,2,0.0,0.0,50.0,0.0,0.0,0.0,0.0,1.5,0.9,0.0,31.5
DFW,2023-01-01,5,3,5,4,3,50.0,50.0,33.33,9.5,15.0,3.2,11.75,22.67,3.1,26.67,70.0
DFW,2023-01-01,6,10,4,11,2,72.73,72.73,100.0,10.09,13.82,1.27,10.91,2.0,2.5,3.0,2.0
DFW,2023-01-01,7,11,4,11,10,81.82,72.73,50.0,11.0,23.82,11.99,21.55,30.3,5.8,45.0,44.6
DFW,2023-01-01,8,12,18,14,36,85.71,85.71,38.89,24.0,17.07,5.15,26.64,24.17,6.9,39.72,45.83
DFW,2023-01-01,9,8,89,15,89,33.33,33.33,87.64,89.27,16.0,4.16,93.27,3.88,7.27,4.01,9.17
DFW,2023-01-01,10,98,25,104,26,82.69,72.12,88.46,11.05,18.84,7.43,16.05,2.15,10.07,6.08,6.96
DFW,2023-01-01,11,40,69,49,71,73.47,65.31,78.87,15.47,16.67,5.25,19.63,2.34,7.9,3.28,14.41
DFW,2023-01-01,12,78,34,83,37,80.72,77.11,91.89,9.59,17.66,6.1,13.76,1.86,4.65,1.46,3.62
DFW,2023-01-01,13,29,36,32,39,93.75,93.75,84.62,2.63,16.53,4.96,5.06,1.33,4.98,3.23,7.77
DFW,2023-01-01,14,49,34,51,32,70.59,70.59,87.5,13.1,14.73,3.56,15.22,1.78,3.46,1.78,7.03
DFW,2023-01-01,15,30,61,31,59,83.87,77.42,81.36,7.35,15.65,4.05,10.06,2.9,3.58,1.83,19.73
DFW,2023-01-01,16,57,31,59,36,77.97,71.19,75.0,13.46,16.31,4.65,16.69,1.69,2.57,2.81,22.53
DFW,2023-01-01,17,48,78,50,83,78.0,76.0,79.52,13.26,15.24,3.62,15.04,3.48,5.58,2.78,11.64
DFW,2023-01-01,18,52,43,53,44,73.58,69.81,81.82,20.4,15.66,4.38,23.75,2.14,5.33,2.11,9.68
DFW,2023-01-01,19,69,106,71,107,83.1,73.24,79.44,9.65,18.44,7.03,14.55,3.78,7.52,3.58,13.9
DFW,2023-01-01,20,46,14,47,13,74.47,65.96,76.92,26.51,15.7,4.43,30.26,1.77,7.0,2.08,18.15
DFW,2023-01-01,21,49,66,50,67,78.0,72.0,89.55,23.84,16.64,5.1,27.26,1.73,5.55,1.9,9.09
DFW,2023-01-01,22,45,4,44,4,88.64,81.82,100.0,12.23,15.23,3.72,14.07,0.25,3.6,0.0,0.0
DFW,2023-01-01,23,0,14,1,14,100.0,100.0,42.86,0.0,21.0,9.6,10.0,0.64,2.06,2.36,21.29
DFW,2023-01-02,0,1,5,1,5,100.0,100.0,80.0,0.0,24.0,11.8,2.0,0.2,6.96,6.8,6.2
DFW,2023-01-02,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DFW,2023-01-02,3,0,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.8,24.0,15.0
DFW,2023-01-02,4,0,1,0,1,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,3.8,0.0,0.0
DFW,2023-01-02,5,9,13,9,5,88.89,88.89,80.0,5.78,13.11,1.51,6.56,2.2,4.2,4.0,9.2
DFW,2023-01-02,6,12,4,14,4,92.86,85.71,100.0,2.07,18.0,5.71,6.36,0.0,0.75,0.0,1.25
DFW,2023-01-02,7,18,68,20,65,90.0,85.0,90.77,3.85,14.9,3.14,6.15,4.43,5.22,2.52,23.97
