airport,report_date,Hour,Scheduled Departures,Scheduled Arrivals,Departures For Metric Computation,Arrivals For Metric Computation,% On-Time Gate Departures,% On-Time Airport Departures,% On-Time Gate Arrivals,Average Gate Departure Delay,Average Taxi Out Time,Average Taxi Out Delay,Average Airport Departure Delay,Average Airborne Delay,Average Taxi In Delay,Average Block Delay,Average Gate Arrival Delay
FLL,2023-01-01,0,0,10,0,7,0.0,0.0,71.43,0.0,0.0,0.0,0.0,1.0,2.86,0.14,19.43
FLL,2023-01-01,1,0,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,9.0,83.0
FLL,2023-01-01,2,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FLL,2023-01-01,3,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FLL,2023-01-01,4,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FLL,2023-01-01,5,5,12,6,10,100.0,100.0,60.0,0.0,13.17,1.92,0.33,8.4,4.48,9.5,36.2
FLL,2023-01-01,6,16,11,17,9,82.35,82.35,66.67,6.88,17.41,5.03,10.35,0.11,3.62,9.33,22.0
FLL,2023-01-01,7,25,4,26,4,88.46,80.77,75.0,7.42,16.96,4.14,10.0,0.25,3.4,0.0,10.5
FLL,2023-01-01,8,21,14,21,13,61.9,57.14,84.62,35.24,15.33,2.76,37.38,0.0,6.47,2.92,8.77
FLL,2023-01-01,9,14,19,17,21,64.71,58.82,71.43,58.12,15.94,3.97,61.47,0.38,6.47,3.38,12.76
FLL,2023-01-01,10,27,24,31,24,51.61,45.16,79.17,34.84,16.68,3.83,37.45,1.88,6.81,5.25,17.13
FLL,2023-01-01,11,35,24,36,23,61.11,47.22,69.57,26.33,20.0,7.56,33.0,2.0,6.36,4.61,15.3
FLL,2023-01-01,12,23,13,24,15,41.67,41.67,46.67,37.92,16.92,4.53,41.42,0.67,9.66,7.27,35.07
FLL,2023-01-01,13,16,9,21,9,38.1,38.1,66.67,37.62,16.86,4.38,41.24,0.33,2.72,0.67,24.44
FLL,2023-01-01,14,12,26,17,30,41.18,35.29,73.33,28.76,15.41,2.79,30.71,1.07,3.97,1.63,14.03
FLL,2023-01-01,15,23,16,32,18,62.5,62.5,38.89,28.72,15.97,3.69,31.5,1.72,3.37,6.28,45.56
FLL,2023-01-01,16,14,18,21,26,52.38,42.86,53.85,50.48,17.43,4.82,55.1,1.62,3.74,4.35,28.0
FLL,2023-01-01,17,18,23,21,27,61.9,52.38,51.85,33.29,16.0,3.58,36.62,1.85,4.02,2.0,30.41
FLL,2023-01-01,18,25,31,26,33,50.0,30.77,60.61,23.31,17.31,5.55,28.46,1.39,4.81,2.79,26.09
FLL,2023-01-01,19,27,23,25,25,52.0,36.0,52.0,29.52,16.76,3.97,33.04,0.52,7.06,3.96,29.12
FLL,2023-01-01,20,19,20,18,21,22.22,22.22,61.9,54.67,14.94,2.76,56.61,1.19,4.59,1.9,24.52
FLL,2023-01-01,21,14,11,15,12,46.67,46.67,75.0,36.73,15.93,2.99,39.67,1.83,3.46,1.92,10.67
FLL,2023-01-01,22,5,19,4,20,50.0,25.0,60.0,32.0,14.0,2.55,34.25,1.35,2.9,1.6,57.45
FLL,2023-01-01,23,9,17,9,18,77.78,66.67,66.67,22.56,19.78,6.91,29.44,1.06,1.15,3.06,15.44
FLL,2023-01-02,0,0,9,0,10,0.0,0.0,70.0,0.0,0.0,0.0,0.0,0.9,1.02,0.2,19.8
FLL,2023-01-02,1,0,3,0,3,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.67,1.47,2.0,1.67
FLL,2023-01-02,2,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FLL,2023-01-02,3,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FLL,2023-01-02,4,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FLL,2023-01-02,5,8,14,8,10,75.0,75.0,40.0,5.25,13.5,2.55,6.88,14.3,2.35,13.8,45.5
FLL,2023-01-02,6,20,10,21,9,80.95,76.19,44.44,15.76,15.24,2.76,17.71,0.56,3.63,10.89,35.44
FLL,2023-01-02,7,27,4,27,6,85.19,85.19,50.0,7.26,14.78,2.09,8.15,9.33,2.4,16.33,53.33
FLL,2023-01-02,8,24,14,28,14,67.86,60.71,64.29,17.75,17.89,5.21,22.25,0.86,2.87,2.36,22.36
FLL,2023-01-02,9,17,29,26,29,53.85,42.31,82.76,40.12,22.54,10.13,49.96,0.69,2.98,0.79,11.14
FLL,2023-01-02,10,32,27,34,30,61.76,47.06,90.0,31.56,25.12,12.34,42.59,1.27,5.47,2.13,6.17
FLL,2023-01-02,11,31,23,35,25,74.29,28.57,68.0,29.77,36.17,23.39,52.03,2.08,7.66,2.76,16.52
FLL,2023-01-02,12,22,19,26,22,65.38,15.38,36.36,17.81,61.0,48.79,65.58,2.68,3.6,5.77,54.59
FLL,2023-01-02,13,22,14,28,15,32.14,7.14,60.0,75.32,35.32,22.64,97.75,3.73,2.33,8.87,52.27
FLL,2023-01-02,14,16,23,25,27,64.0,12.0,77.78,30.52,33.6,20.44,50.72,1.96,2.92,5.78,21.22
FLL,2023-01-02,15,20,13,23,19,60.87,13.04,36.84,24.43,30.43,17.67,40.48,1.47,2.39,6.95,52.89
FLL,2023-01-02,16,11,20,13,20,30.77,30.77,20.0,131.69,17.77,4.98,136.69,2.4,4.48,26.05,78.5
FLL,2023-01-02,17,18,25,19,31,21.05,21.05,25.81,83.74,18.74,6.22,88.42,4.0,5.25,5.0,110.9
FLL,2023-01-02,18,28,37,27,34,18.52,18.52,14.71,131.85,17.04,4.93,136.56,5.74,7.45,11.82,125.91
FLL,2023-01-02,19,31,22,29,25,13.79,13.79,20.0,137.93,17.76,4.7,142.34,1.12,8.69,12.44,98.12
