airport,report_date,Hour,Scheduled Departures,Scheduled Arrivals,Departures For Metric Computation,Arrivals For Metric Computation,% On-Time Gate Departures,% On-Time Airport Departures,% On-Time Gate Arrivals,Average Gate Departure Delay,Average Taxi Out Time,Average Taxi Out Delay,Average Airport Departure Delay,Average Airborne Delay,Average Taxi In Delay,Average Block Delay,Average Gate Arrival Delay
IND,2023-01-01,0,0,6,0,2,0.0,0.0,100.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0
IND,2023-01-01,1,0,4,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IND,2023-01-01,3,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IND,2023-01-01,5,4,0,4,0,75.0,100.0,0.0,5.0,11.0,1.2,5.75,0.0,0.0,0.0,0.0
IND,2023-01-01,6,9,1,10,1,70.0,90.0,100.0,11.9,9.6,0.18,11.0,0.0,1.4,0.0,0.0
IND,2023-01-01,7,6,0,6,0,100.0,100.0,0.0,0.33,13.83,2.2,1.83,0.0,0.0,0.0,0.0
IND,2023-01-01,8,6,1,6,1,100.0,100.0,100.0,0.0,12.83,2.43,0.83,0.0,0.8,0.0,0.0
IND,2023-01-01,9,4,3,5,4,80.0,80.0,75.0,5.6,12.4,2.92,8.2,2.75,0.95,3.75,7.75
IND,2023-01-01,10,6,4,7,4,71.43,85.71,100.0,5.86,11.43,1.86,5.71,4.25,3.35,0.25,0.0
IND,2023-01-01,11,8,2,8,2,87.5,87.5,100.0,5.63,11.13,0.68,5.38,0.0,0.0,0.0,5.5
IND,2023-01-01,12,6,4,6,5,83.33,83.33,80.0,10.0,14.5,3.23,11.67,3.0,1.72,0.6,5.8
IND,2023-01-01,13,7,6,7,7,100.0,85.71,100.0,1.14,12.14,2.26,3.0,1.14,2.06,2.0,2.29
IND,2023-01-01,14,5,6,6,7,100.0,100.0,85.71,0.0,11.67,1.23,0.0,0.43,0.86,0.14,13.43
IND,2023-01-01,15,5,3,6,4,66.67,66.67,75.0,21.5,11.67,1.37,21.83,0.75,0.65,0.25,60.75
IND,2023-01-01,16,4,5,4,4,100.0,100.0,100.0,3.25,8.5,0.3,1.0,1.25,0.1,0.0,0.0
IND,2023-01-01,17,6,12,5,11,80.0,80.0,100.0,47.0,13.4,2.56,46.8,1.09,3.35,0.82,0.18
IND,2023-01-01,18,9,4,8,5,87.5,75.0,60.0,6.5,14.38,4.38,8.88,2.4,7.3,2.2,27.4
IND,2023-01-01,19,6,8,6,8,66.67,66.67,50.0,22.17,11.0,1.33,21.5,3.75,1.95,0.88,20.75
IND,2023-01-01,20,1,7,1,8,0.0,0.0,75.0,99.0,7.0,0.0,97.0,1.0,5.72,3.63,6.63
IND,2023-01-01,21,2,7,3,7,66.67,66.67,71.43,30.0,9.0,1.47,31.33,0.86,2.26,2.14,5.86
IND,2023-01-01,22,0,8,0,9,0.0,0.0,66.67,0.0,0.0,0.0,0.0,1.11,0.9,2.67,43.78
IND,2023-01-01,23,1,5,1,5,100.0,100.0,80.0,0.0,10.0,0.4,0.0,2.4,0.5,0.0,17.0
IND,2023-01-02,0,0,8,0,6,0.0,0.0,50.0,0.0,0.0,0.0,0.0,4.33,1.48,0.0,32.83
IND,2023-01-02,1,0,0,0,4,0.0,0.0,50.0,0.0,0.0,0.0,0.0,1.25,0.48,1.5,14.5
IND,2023-01-02,2,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IND,2023-01-02,5,8,0,8,0,62.5,62.5,0.0,40.38,15.0,5.3,44.63,0.0,0.0,0.0,0.0
IND,2023-01-02,6,12,1,12,1,83.33,83.33,100.0,7.67,17.33,6.13,11.75,9.0,0.4,2.0,12.0
IND,2023-01-02,7,7,0,7,0,85.71,85.71,0.0,4.0,16.29,4.2,6.86,0.0,0.0,0.0,0.0
IND,2023-01-02,8,8,3,9,5,77.78,66.67,80.0,10.22,20.11,8.98,16.44,0.4,1.26,1.4,6.4
IND,2023-01-02,9,4,4,7,4,57.14,57.14,75.0,26.14,15.14,4.29,29.29,4.25,2.2,2.75,6.75
IND,2023-01-02,10,8,4,7,4,85.71,71.43,100.0,5.43,16.29,6.11,8.57,8.5,1.7,9.0,4.0
IND,2023-01-02,11,5,7,5,7,80.0,80.0,100.0,36.6,18.0,6.54,41.2,1.29,1.39,0.0,0.0
IND,2023-01-02,12,7,5,7,7,85.71,85.71,57.14,12.57,13.71,2.64,12.71,5.0,1.71,2.71,17.14
IND,2023-01-02,13,6,6,7,6,71.43,57.14,83.33,49.29,20.14,9.34,56.86,4.0,4.13,0.0,25.67
IND,2023-01-02,14,7,7,8,6,87.5,87.5,66.67,23.25,13.38,2.65,25.0,3.0,0.9,5.5,47.83
IND,2023-01-02,15,6,6,7,6,42.86,42.86,66.67,76.57,16.57,6.31,82.14,2.33,2.03,1.0,47.0
IND,2023-01-02,16,5,8,6,11,50.0,50.0,54.55,73.67,11.83,1.77,74.33,3.0,2.45,7.91,23.73
IND,2023-01-02,17,9,8,8,9,75.0,75.0,55.56,26.13,13.38,2.03,26.88,2.22,3.61,1.78,21.22
IND,2023-01-02,18,9,8,9,8,55.56,44.44,62.5,24.33,14.22,3.69,26.78,0.5,4.46,3.5,32.38
