airport,report_date,Hour,Scheduled Departures,Scheduled Arrivals,Departures For Metric Computation,Arrivals For Metric Computation,% On-Time Gate Departures,% On-Time Airport Departures,% On-Time Gate Arrivals,Average Gate Departure Delay,Average Taxi Out Time,Average Taxi Out Delay,Average Airport Departure Delay,Average Airborne Delay,Average Taxi In Delay,Average Block Delay,Average Gate Arrival Delay
LAS,2023-01-01,0,5,9,5,8,40.0,40.0,37.5,21.2,18.0,6.98,24.8,1.25,3.36,3.75,62.75
LAS,2023-01-01,1,1,4,3,2,66.67,66.67,50.0,52.33,12.0,0.27,52.67,2.5,2.4,4.5,12.5
LAS,2023-01-01,3,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LAS,2023-01-01,4,0,0,1,0,0.0,0.0,0.0,32.0,15.0,4.5,37.0,0.0,0.0,0.0,0.0
LAS,2023-01-01,5,18,0,17,0,94.12,88.24,0.0,3.0,12.94,3.56,5.24,0.0,0.0,0.0,0.0
LAS,2023-01-01,6,32,15,33,14,90.91,72.73,85.71,3.7,18.61,7.82,9.76,2.36,3.59,3.0,3.57
LAS,2023-01-01,7,27,23,24,22,66.67,66.67,90.91,10.54,12.88,2.7,12.63,1.82,0.54,1.18,11.23
LAS,2023-01-01,8,26,26,33,20,81.82,78.79,95.0,11.58,13.48,3.37,14.09,2.5,1.43,2.5,10.0
LAS,2023-01-01,9,36,21,38,18,81.58,76.32,77.78,8.76,15.11,4.57,12.42,3.11,0.81,5.67,14.56
LAS,2023-01-01,10,27,26,32,33,75.0,59.38,57.58,10.56,17.34,6.9,16.56,3.21,0.77,3.73,23.55
LAS,2023-01-01,11,32,34,36,40,77.78,61.11,55.0,14.33,18.25,7.72,20.86,3.53,2.41,6.7,26.83
LAS,2023-01-01,12,39,30,42,30,54.76,38.1,53.33,23.74,22.4,11.97,35.24,2.8,1.6,6.67,46.3
LAS,2023-01-01,13,34,27,35,28,42.86,31.43,67.86,31.91,21.23,10.71,41.89,3.0,3.14,3.86,23.29
LAS,2023-01-01,14,31,30,35,36,62.86,37.14,63.89,19.77,20.11,9.85,28.43,3.03,4.79,6.17,26.14
LAS,2023-01-01,15,22,34,26,36,61.54,50.0,55.56,49.15,17.04,6.45,54.92,2.39,3.14,4.31,21.31
LAS,2023-01-01,16,34,23,37,23,48.65,43.24,47.83,28.54,16.43,6.2,34.43,1.78,3.52,2.3,25.04
LAS,2023-01-01,17,24,26,37,36,35.14,29.73,66.67,33.97,16.16,5.78,39.27,2.25,3.62,4.33,20.14
LAS,2023-01-01,18,23,38,25,40,48.0,40.0,57.5,28.72,13.8,3.68,32.2,1.93,2.77,4.93,22.98
LAS,2023-01-01,19,30,23,32,24,46.88,40.63,50.0,36.72,14.78,4.48,40.84,2.54,2.15,2.75,27.83
LAS,2023-01-01,20,16,38,18,41,38.89,33.33,60.98,28.72,14.56,4.74,32.83,1.34,3.48,1.56,26.15
LAS,2023-01-01,21,28,30,27,30,40.74,33.33,60.0,27.48,16.15,5.96,33.07,2.1,3.07,3.37,18.23
