airport,report_date,Hour,Scheduled Departures,Scheduled Arrivals,Departures For Metric Computation,Arrivals For Metric Computation,% On-Time Gate Departures,% On-Time Airport Departures,% On-Time Gate Arrivals,Average Gate Departure Delay,Average Taxi Out Time,Average Taxi Out Delay,Average Airport Departure Delay,Average Airborne Delay,Average Taxi In Delay,Average Block Delay,Average Gate Arrival Delay
MCO,2023-01-01,0,0,16,0,13,0.0,0.0,46.15,0.0,0.0,0.0,0.0,1.15,4.26,3.92,83.85
MCO,2023-01-01,1,0,5,0,2,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,20.65,0.5,44.0
MCO,2023-01-01,2,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MCO,2023-01-01,3,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MCO,2023-01-01,4,0,2,0,3,0.0,0.0,66.67,0.0,0.0,0.0,0.0,0.0,18.73,3.33,36.0
MCO,2023-01-01,5,9,4,9,3,77.78,77.78,33.33,17.44,15.44,3.72,20.78,0.67,5.03,4.0,31.67
MCO,2023-01-01,6,37,6,35,3,85.71,77.14,33.33,5.29,17.89,7.22,10.57,3.33,9.9,15.67,32.67
MCO,2023-01-01,7,37,10,37,11,78.38,67.57,45.45,8.92,18.68,7.81,14.84,4.27,10.0,6.27,17.18
MCO,2023-01-01,8,21,20,21,19,76.19,66.67,84.21,11.9,18.62,7.8,17.86,2.16,8.33,2.16,5.95
MCO,2023-01-01,9,34,25,34,25,82.35,58.82,72.0,12.32,18.53,7.78,18.53,1.24,4.22,2.44,24.16
MCO,2023-01-01,10,29,21,29,22,68.97,68.97,77.27,23.21,15.72,4.42,25.48,1.32,3.35,1.64,19.09
MCO,2023-01-01,11,27,27,31,28,74.19,70.97,82.14,12.74,15.45,4.71,15.81,1.96,5.71,4.18,15.14
MCO,2023-01-01,12,29,25,28,27,78.57,67.86,70.37,13.36,16.04,4.79,16.11,1.56,6.46,5.41,16.48
MCO,2023-01-01,13,24,29,25,30,48.0,36.0,60.0,37.36,18.56,7.14,44.04,1.63,3.71,2.2,45.33
MCO,2023-01-01,14,33,27,35,28,65.71,54.29,78.57,36.97,17.4,6.88,42.71,2.54,8.59,4.18,11.21
MCO,2023-01-01,15,23,31,26,33,57.69,53.85,63.64,22.31,16.08,4.5,25.38,2.91,8.47,9.58,31.48
MCO,2023-01-01,16,30,36,31,33,58.06,48.39,66.67,26.29,18.65,7.53,32.61,1.67,6.0,2.03,20.21
MCO,2023-01-01,17,37,25,36,25,52.78,47.22,56.0,38.11,16.67,5.44,42.78,3.08,6.09,7.52,38.92
MCO,2023-01-01,18,20,31,20,33,55.0,40.0,66.67,46.6,16.85,6.0,50.85,1.82,8.2,4.21,33.0
MCO,2023-01-01,19,33,38,33,39,54.55,51.52,61.54,26.39,17.39,6.36,31.18,0.51,9.89,4.13,39.77
MCO,2023-01-01,20,34,25,35,25,42.86,31.43,64.0,48.74,16.43,5.93,53.31,0.32,6.5,1.48,26.4
MCO,2023-01-01,21,20,27,18,28,33.33,27.78,64.29,48.39,17.89,6.93,54.67,1.46,5.41,0.82,24.75
MCO,2023-01-01,22,16,34,14,35,42.86,35.71,37.14,46.79,14.36,4.12,49.21,2.26,9.26,3.89,36.8
MCO,2023-01-01,23,4,33,5,32,40.0,40.0,50.0,43.8,15.0,3.36,46.6,2.06,7.0,3.41,28.69
MCO,2023-01-02,0,0,14,4,16,100.0,75.0,56.25,0.0,18.5,7.08,6.25,1.13,2.94,0.81,22.81
MCO,2023-01-02,1,0,9,0,5,0.0,0.0,80.0,0.0,0.0,0.0,0.0,0.8,3.7,1.4,9.8
MCO,2023-01-02,2,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MCO,2023-01-02,4,0,2,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.2,5.0,57.5
MCO,2023-01-02,5,12,4,14,6,85.71,85.71,33.33,5.79,15.0,3.39,7.79,1.17,6.73,10.5,54.33
MCO,2023-01-02,6,40,10,37,6,72.97,59.46,16.67,15.14,19.46,8.47,22.11,12.67,5.92,20.17,44.67
MCO,2023-01-02,7,42,14,42,13,90.48,80.95,84.62,7.67,18.21,7.2,12.62,3.69,8.26,7.23,10.69
MCO,2023-01-02,8,27,22,28,21,75.0,75.0,90.48,9.68,15.54,5.15,13.68,0.9,3.77,1.05,6.62
MCO,2023-01-02,9,33,26,34,26,73.53,58.82,92.31,19.47,16.47,5.91,24.29,1.42,5.99,1.92,18.12
MCO,2023-01-02,10,30,31,33,32,69.7,69.7,71.88,14.48,16.58,5.6,18.06,0.53,5.14,3.66,13.5
MCO,2023-01-02,11,32,26,34,29,61.76,52.94,79.31,20.53,18.32,7.18,26.35,1.9,5.51,4.24,7.34
MCO,2023-01-02,12,32,33,38,34,76.32,60.53,79.41,14.71,24.92,13.97,26.63,1.09,7.08,4.06,11.12
MCO,2023-01-02,13,27,26,27,29,44.44,25.93,58.62,46.93,25.85,14.77,61.0,2.14,4.69,6.83,22.34
MCO,2023-01-02,14,30,34,30,36,46.67,20.0,61.11,45.03,23.23,12.22,56.13,2.33,6.66,5.14,29.31
MCO,2023-01-02,15,29,31,31,36,51.61,45.16,33.33,37.97,17.74,6.97,44.32,5.03,7.79,18.42,80.28
MCO,2023-01-02,16,29,39,28,37,28.57,28.57,21.62,81.68,15.57,4.83,86.07,4.7,6.49,8.46,75.65
MCO,2023-01-02,17,36,27,37,28,21.62,18.92,21.43,79.41,15.76,4.32,83.19,2.71,4.5,12.61,107.0
MCO,2023-01-02,18,29,30,28,26,21.43,17.86,15.38,94.18,17.75,7.24,100.82,7.35,4.69,11.27,105.73
