airport,report_date,Hour,Scheduled Departures,Scheduled Arrivals,Departures For Metric Computation,Arrivals For Metric Computation,% On-Time Gate Departures,% On-Time Airport Departures,% On-Time Gate Arrivals,Average Gate Departure Delay,Average Taxi Out Time,Average Taxi Out Delay,Average Airport Departure Delay,Average Airborne Delay,Average Taxi In Delay,Average Block Delay,Average Gate Arrival Delay
MKE,2023-01-01,0,0,2,0,3,0.0,0.0,100.0,0.0,0.0,0.0,0.0,5.0,1.1,0.0,2.67
MKE,2023-01-01,5,4,0,4,0,100.0,100.0,0.0,0.75,13.25,4.8,3.75,0.0,0.0,0.0,0.0
MKE,2023-01-01,6,7,0,7,0,100.0,85.71,0.0,0.86,16.0,4.16,4.43,0.0,0.0,0.0,0.0
MKE,2023-01-01,7,4,0,8,1,87.5,75.0,100.0,3.63,12.63,2.04,5.5,0.0,2.4,0.0,0.0
MKE,2023-01-01,8,6,2,6,2,66.67,66.67,100.0,31.5,10.33,0.8,31.33,2.5,0.65,0.0,0.0
MKE,2023-01-01,9,1,4,1,4,100.0,100.0,100.0,0.0,8.0,0.0,0.0,4.0,2.38,3.75,3.5
MKE,2023-01-01,10,6,3,6,3,83.33,83.33,100.0,5.5,10.33,1.33,5.5,3.33,1.63,1.0,0.0
MKE,2023-01-01,11,3,3,4,3,100.0,100.0,100.0,0.75,14.5,4.13,4.75,5.33,1.93,0.0,0.0
MKE,2023-01-01,12,3,5,3,5,100.0,100.0,100.0,0.0,12.33,1.57,0.0,3.0,1.04,0.0,1.4
MKE,2023-01-01,13,5,6,5,7,80.0,80.0,100.0,10.0,9.0,0.22,9.6,3.0,3.5,1.0,0.0
MKE,2023-01-01,14,8,4,8,4,100.0,100.0,100.0,1.5,9.75,0.56,1.25,2.75,5.05,1.25,0.0
MKE,2023-01-01,15,1,3,1,4,100.0,100.0,100.0,0.0,10.0,0.0,0.0,5.25,1.4,1.75,1.75
MKE,2023-01-01,16,4,6,5,7,60.0,60.0,85.71,20.2,13.2,3.12,21.0,1.14,2.47,0.14,7.14
MKE,2023-01-01,17,5,3,5,3,100.0,100.0,66.67,3.6,12.0,1.24,4.4,1.0,0.63,0.0,18.67
MKE,2023-01-01,18,5,6,5,7,60.0,60.0,71.43,11.0,10.6,1.02,10.8,2.86,1.21,4.14,13.43
MKE,2023-01-01,19,1,4,2,6,50.0,50.0,66.67,29.5,8.5,0.0,28.5,5.17,2.38,3.33,7.83
MKE,2023-01-01,20,0,5,1,5,100.0,100.0,60.0,0.0,10.0,0.0,0.0,2.8,1.62,4.0,13.2
MKE,2023-01-01,21,1,5,1,6,0.0,0.0,50.0,41.0,14.0,4.4,45.0,2.17,2.75,4.17,30.83
MKE,2023-01-01,22,1,3,1,3,0.0,0.0,66.67,21.0,9.0,0.0,20.0,3.67,0.63,0.0,9.0
MKE,2023-01-01,23,0,3,0,3,0.0,0.0,66.67,0.0,0.0,0.0,0.0,3.0,1.63,0.0,19.67
