airport,report_date,Hour,Scheduled Departures,Scheduled Arrivals,Departures For Metric Computation,Arrivals For Metric Computation,% On-Time Gate Departures,% On-Time Airport Departures,% On-Time Gate Arrivals,Average Gate Departure Delay,Average Taxi Out Time,Average Taxi Out Delay,Average Airport Departure Delay,Average Airborne Delay,Average Taxi In Delay,Average Block Delay,Average Gate Arrival Delay
MSY,2023-01-01,0,0,0,0,1,0.0,0.0,100.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,13.0
MSY,2023-01-01,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MSY,2023-01-01,5,4,0,4,0,25.0,0.0,0.0,76.75,90.75,83.65,160.5,0.0,0.0,0.0,0.0
MSY,2023-01-01,6,8,3,8,0,12.5,0.0,0.0,108.13,70.38,61.6,169.5,0.0,0.0,0.0,0.0
MSY,2023-01-01,7,13,4,12,1,41.67,0.0,0.0,69.25,54.58,45.39,113.92,1.0,0.0,0.0,274.0
MSY,2023-01-01,8,7,2,4,2,50.0,25.0,0.0,22.75,30.25,20.23,40.5,0.0,0.8,2.5,177.0
MSY,2023-01-01,9,3,7,3,9,66.67,0.0,0.0,70.0,19.33,10.9,81.0,7.44,1.43,7.89,101.11
MSY,2023-01-01,10,9,10,11,12,18.18,9.09,25.0,107.36,17.64,9.14,115.55,3.58,2.2,2.08,80.5
MSY,2023-01-01,11,10,6,13,7,23.08,0.0,28.57,48.62,21.31,11.68,59.77,0.71,1.39,1.43,37.0
MSY,2023-01-01,12,10,10,13,10,61.54,61.54,80.0,27.92,16.77,7.55,34.08,5.3,0.39,1.4,5.1
MSY,2023-01-01,13,7,11,7,10,28.57,28.57,70.0,150.57,13.14,3.83,153.86,1.4,0.75,0.8,52.2
MSY,2023-01-01,14,10,8,10,11,80.0,80.0,54.55,17.2,11.7,3.04,19.3,2.09,4.48,5.18,43.91
MSY,2023-01-01,15,7,5,7,8,57.14,57.14,62.5,40.0,13.86,5.04,44.86,0.5,1.92,1.88,32.75
MSY,2023-01-01,16,9,12,9,13,55.56,44.44,61.54,25.89,11.67,2.93,27.78,1.69,1.42,0.46,13.92
MSY,2023-01-01,17,12,8,13,9,61.54,53.85,88.89,17.54,15.92,7.27,24.0,4.44,6.48,4.0,6.89
MSY,2023-01-01,18,8,7,8,9,50.0,50.0,66.67,13.38,14.25,5.78,17.25,0.56,0.59,0.56,18.0
MSY,2023-01-01,19,4,5,5,7,60.0,60.0,71.43,32.6,13.4,4.02,34.8,0.71,2.77,0.57,12.0
MSY,2023-01-01,20,4,9,5,8,80.0,80.0,87.5,4.8,10.8,2.1,6.2,2.25,0.48,0.38,5.25
MSY,2023-01-01,21,3,8,5,6,80.0,80.0,33.33,3.6,12.2,4.38,6.8,2.5,0.28,1.83,40.33
MSY,2023-01-01,22,1,7,0,6,0.0,0.0,83.33,0.0,0.0,0.0,0.0,0.5,0.52,0.0,6.67
MSY,2023-01-01,23,0,7,0,7,0.0,0.0,71.43,0.0,0.0,0.0,0.0,0.71,2.14,1.29,12.0
MSY,2023-01-02,0,0,2,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MSY,2023-01-02,5,9,0,8,0,75.0,62.5,0.0,137.25,14.5,6.74,143.0,0.0,0.0,0.0,0.0
MSY,2023-01-02,6,7,4,9,4,88.89,77.78,75.0,8.89,17.56,7.96,15.78,0.5,7.3,5.0,5.0
MSY,2023-01-02,7,12,2,13,3,84.62,69.23,33.33,13.77,14.38,5.88,17.46,12.33,1.33,12.67,60.33
MSY,2023-01-02,8,6,5,6,5,83.33,83.33,80.0,11.67,12.83,3.63,14.17,4.4,0.28,0.0,6.4
MSY,2023-01-02,9,5,9,7,11,71.43,71.43,63.64,13.43,10.86,3.19,15.43,6.09,4.32,7.82,24.55
MSY,2023-01-02,10,11,11,14,13,35.71,28.57,38.46,35.5,16.21,7.11,41.14,11.77,1.75,6.54,20.92
MSY,2023-01-02,11,13,9,16,10,43.75,31.25,50.0,22.63,16.13,6.72,28.94,9.9,4.27,9.6,16.5
MSY,2023-01-02,12,10,10,11,11,54.55,45.45,72.73,40.82,13.18,4.19,44.27,4.45,4.07,5.36,17.0
MSY,2023-01-02,13,9,11,9,13,55.56,55.56,84.62,25.0,15.44,5.96,29.56,1.69,2.61,3.31,22.92
MSY,2023-01-02,14,10,7,13,8,61.54,61.54,87.5,28.31,9.69,1.38,29.15,1.63,2.55,1.63,10.13
MSY,2023-01-02,15,7,8,8,9,62.5,62.5,44.44,40.75,10.88,1.56,42.25,0.67,1.06,5.11,42.0
MSY,2023-01-02,16,8,6,9,7,44.44,44.44,57.14,53.89,11.89,2.78,56.67,5.29,0.53,6.14,21.57
MSY,2023-01-02,17,8,14,8,16,75.0,62.5,56.25,22.38,16.88,7.31,27.88,3.0,0.81,8.06,25.81
MSY,2023-01-02,18,13,10,13,13,46.15,46.15,30.77,34.31,11.92,3.36,37.62,1.31,2.18,7.0,84.15
MSY,2023-01-02,19,12,6,12,8,41.67,41.67,25.0,70.92,12.58,3.67,73.92,1.5,5.88,19.0,70.5
MSY,2023-01-02,20,3,8,6,8,16.67,16.67,37.5,67.17,10.67,1.97,69.17,1.63,1.09,18.13,60.88
MSY,2023-01-02,21,3,9,3,9,0.0,0.0,33.33,145.33,10.67,2.37,147.67,3.0,0.0,17.0,70.22
MSY,2023-01-02,22,0,7,1,5,100.0,100.0,60.0,0.0,8.0,0.0,0.0,1.8,0.36,1.6,26.6
MSY,2023-01-02,23,0,9,0,9,0.0,0.0,44.44,0.0,0.0,0.0,0.0,0.22,1.26,3.33,35.44
MSY,2023-01-03,0,0,0,0,3,0.0,0.0,66.67,0.0,0.0,0.0,0.0,5.0,0.0,5.0,12.0
MSY,2023-01-03,1,0,0,1,1,100.0,100.0,0.0,0.0,26.0,13.4,13.0,0.0,0.3,1.0,44.0
