airport,report_date,Hour,Scheduled Departures,Scheduled Arrivals,Departures For Metric Computation,Arrivals For Metric Computation,% On-Time Gate Departures,% On-Time Airport Departures,% On-Time Gate Arrivals,Average Gate Departure Delay,Average Taxi Out Time,Average Taxi Out Delay,Average Airport Departure Delay,Average Airborne Delay,Average Taxi In Delay,Average Block Delay,Average Gate Arrival Delay
PHL,2023-01-01,0,0,7,0,6,0.0,0.0,50.0,0.0,0.0,0.0,0.0,2.67,4.48,2.0,28.83
PHL,2023-01-01,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PHL,2023-01-01,2,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.9,0.0,39.0
PHL,2023-01-01,3,0,0,1,0,100.0,100.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0
PHL,2023-01-01,4,0,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.5,17.0,29.0
PHL,2023-01-01,5,7,3,9,1,88.89,88.89,100.0,12.0,12.89,1.47,13.11,0.0,0.0,0.0,0.0
PHL,2023-01-01,6,13,3,13,3,76.92,76.92,66.67,25.15,15.85,3.34,26.62,3.33,3.23,2.0,31.33
PHL,2023-01-01,7,11,21,10,25,90.0,90.0,76.0,7.7,14.7,3.2,8.6,4.36,1.95,0.92,42.32
PHL,2023-01-01,8,42,4,42,4,90.48,80.95,50.0,5.9,20.93,8.5,10.98,3.0,1.5,0.0,43.0
PHL,2023-01-01,9,11,32,13,33,92.31,92.31,87.88,3.0,14.92,2.94,4.31,4.79,1.31,1.27,15.73
PHL,2023-01-01,10,33,4,36,7,83.33,80.56,42.86,25.39,17.78,6.44,29.39,2.57,1.84,2.71,19.29
PHL,2023-01-01,11,12,5,13,6,76.92,76.92,66.67,8.54,16.54,4.15,9.92,4.5,1.85,4.5,25.0
PHL,2023-01-01,12,6,32,8,33,62.5,62.5,81.82,9.13,16.13,3.57,11.38,5.39,2.03,1.27,10.76
