airport,report_date,Hour,Scheduled Departures,Scheduled Arrivals,Departures For Metric Computation,Arrivals For Metric Computation,% On-Time Gate Departures,% On-Time Airport Departures,% On-Time Gate Arrivals,Average Gate Departure Delay,Average Taxi Out Time,Average Taxi Out Delay,Average Airport Departure Delay,Average Airborne Delay,Average Taxi In Delay,Average Block Delay,Average Gate Arrival Delay
PHX,2023-01-01,0,6,10,5,6,80.0,80.0,50.0,5.8,12.0,1.08,5.4,3.17,4.72,2.17,31.0
PHX,2023-01-01,1,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PHX,2023-01-01,5,12,1,14,0,92.86,85.71,0.0,3.21,11.86,4.16,6.5,0.0,0.0,0.0,0.0
PHX,2023-01-01,6,18,4,18,3,72.22,72.22,100.0,12.06,11.72,2.17,12.5,4.33,0.03,3.33,1.33
PHX,2023-01-01,7,14,17,18,15,77.78,72.22,86.67,12.94,14.56,5.57,17.17,1.6,1.25,0.53,2.93
PHX,2023-01-01,8,21,18,25,21,84.0,80.0,76.19,5.36,13.12,4.55,9.28,4.57,0.72,5.52,23.81
PHX,2023-01-01,9,25,10,32,12,62.5,50.0,66.67,28.53,14.16,5.2,33.19,3.58,0.89,3.17,38.42
PHX,2023-01-01,10,14,20,21,23,71.43,71.43,73.91,11.05,12.71,2.99,12.33,3.87,1.57,5.09,18.17
PHX,2023-01-01,11,29,28,38,29,57.89,55.26,68.97,25.53,13.32,3.67,27.87,5.38,4.46,8.24,13.72
PHX,2023-01-01,12,31,42,35,46,54.29,51.43,39.13,28.09,13.66,3.95,30.86,7.59,3.13,14.28,52.3
PHX,2023-01-01,13,45,47,47,48,36.17,36.17,27.08,30.89,16.45,6.18,36.45,9.98,2.67,14.92,54.23
PHX,2023-01-01,14,42,23,45,25,31.11,26.67,20.0,44.04,15.93,6.04,49.73,10.24,2.47,14.84,44.56
PHX,2023-01-01,15,27,22,31,24,19.35,19.35,25.0,48.45,15.74,5.97,54.26,12.67,2.45,15.54,36.08
PHX,2023-01-01,16,28,20,28,20,39.29,32.14,45.0,35.82,16.61,6.76,42.0,10.6,2.88,9.25,20.75
PHX,2023-01-01,17,20,34,22,37,31.82,27.27,45.95,38.55,15.14,5.63,43.91,8.84,3.35,13.65,34.19
PHX,2023-01-01,18,35,36,37,37,27.03,16.22,40.54,53.65,17.24,7.96,61.35,10.89,4.71,12.16,33.0
PHX,2023-01-01,19,31,36,32,38,18.75,0.0,26.32,42.16,21.19,11.47,53.81,7.68,8.07,14.71,34.47
PHX,2023-01-01,20,15,52,15,51,6.67,6.67,45.1,51.6,18.6,9.46,61.2,9.59,4.81,12.0,31.63
PHX,2023-01-01,21,34,21,33,21,39.39,18.18,42.86,28.09,19.52,9.6,37.39,2.43,5.39,6.71,28.81
PHX,2023-01-01,22,15,22,15,23,33.33,33.33,60.87,39.2,11.07,2.47,42.0,3.61,3.59,5.43,18.0
PHX,2023-01-01,23,10,16,10,17,80.0,80.0,64.71,11.9,13.2,3.0,13.3,2.94,4.28,3.18,19.65
PHX,2023-01-02,0,8,17,8,11,75.0,75.0,45.45,48.5,14.0,3.08,49.63,1.18,4.71,5.27,36.0
PHX,2023-01-02,1,0,5,2,2,100.0,100.0,50.0,0.0,10.5,0.2,0.0,1.0,0.05,1.5,12.0
PHX,2023-01-02,2,0,0,1,0,100.0,100.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0
PHX,2023-01-02,3,0,0,2,0,50.0,50.0,0.0,11.5,17.0,6.4,13.5,0.0,0.0,0.0,0.0
PHX,2023-01-02,4,0,0,3,0,100.0,100.0,0.0,2.33,13.33,4.8,5.0,0.0,0.0,0.0,0.0
