airport,report_date,Hour,Scheduled Departures,Scheduled Arrivals,Departures For Metric Computation,Arrivals For Metric Computation,% On-Time Gate Departures,% On-Time Airport Departures,% On-Time Gate Arrivals,Average Gate Departure Delay,Average Taxi Out Time,Average Taxi Out Delay,Average Airport Departure Delay,Average Airborne Delay,Average Taxi In Delay,Average Block Delay,Average Gate Arrival Delay
SAT,2023-01-01,0,0,5,1,2,100.0,100.0,50.0,0.0,9.0,0.0,0.0,28.0,0.35,29.5,38.0
SAT,2023-01-01,1,0,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.5,0.0,13.0,36.5
SAT,2023-01-01,2,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SAT,2023-01-01,3,0,0,0,1,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SAT,2023-01-01,4,0,0,1,0,100.0,100.0,0.0,0.0,12.0,2.4,2.0,0.0,0.0,0.0,0.0
SAT,2023-01-01,5,8,0,8,1,100.0,87.5,100.0,3.25,10.63,2.66,5.25,0.0,0.0,0.0,0.0
SAT,2023-01-01,6,8,0,9,0,66.67,66.67,0.0,13.78,11.67,2.69,13.78,0.0,0.0,0.0,0.0
SAT,2023-01-01,7,6,0,7,1,85.71,71.43,0.0,6.86,21.43,11.86,18.29,11.0,0.0,19.0,38.0
SAT,2023-01-01,8,5,5,5,5,100.0,100.0,0.0,1.6,13.4,4.04,3.6,134.6,0.08,135.4,169.4
SAT,2023-01-01,9,8,4,7,4,42.86,42.86,75.0,119.29,11.57,2.87,121.86,14.5,0.4,5.0,18.25
SAT,2023-01-01,10,6,3,6,4,83.33,83.33,50.0,14.17,10.5,1.37,15.0,4.0,1.5,1.75,63.0
SAT,2023-01-01,11,2,9,6,10,83.33,83.33,70.0,30.5,12.33,3.77,34.17,2.6,0.24,1.8,10.3
SAT,2023-01-01,12,12,7,11,8,81.82,81.82,87.5,16.09,11.18,2.02,17.09,2.0,0.39,0.0,2.5
SAT,2023-01-01,13,7,6,8,6,62.5,62.5,83.33,11.25,11.0,2.04,11.63,1.83,2.03,4.17,35.17
SAT,2023-01-01,14,9,4,9,4,55.56,55.56,25.0,39.22,11.11,2.58,40.89,0.5,0.55,0.25,79.0
SAT,2023-01-01,15,1,10,1,13,0.0,0.0,53.85,36.0,6.0,0.0,35.0,1.85,3.16,3.69,24.0
SAT,2023-01-01,16,10,7,11,9,63.64,63.64,55.56,15.73,12.55,3.67,18.55,1.22,1.99,4.78,29.0
SAT,2023-01-01,17,6,4,7,5,57.14,57.14,40.0,34.0,12.71,3.89,36.29,1.8,0.4,4.6,27.6
SAT,2023-01-01,18,3,5,3,5,100.0,100.0,60.0,0.0,15.67,5.33,0.33,0.4,2.48,1.2,13.6
SAT,2023-01-01,19,5,5,7,6,71.43,71.43,100.0,7.29,9.71,1.91,9.0,3.67,1.52,1.83,1.5
SAT,2023-01-01,20,3,8,3,10,100.0,100.0,70.0,0.0,8.33,0.6,0.0,1.3,1.03,2.0,15.6
SAT,2023-01-01,21,1,4,1,6,100.0,100.0,50.0,0.0,9.0,0.0,0.0,1.67,0.0,8.17,18.33
SAT,2023-01-01,22,1,4,1,4,100.0,100.0,75.0,0.0,5.0,0.0,0.0,0.0,0.0,0.75,7.5
SAT,2023-01-01,23,0,9,0,9,0.0,0.0,66.67,0.0,0.0,0.0,0.0,1.56,0.74,2.0,17.56
SAT,2023-01-02,0,0,5,0,5,0.0,0.0,80.0,0.0,0.0,0.0,0.0,0.6,0.08,3.2,3.6
SAT,2023-01-02,1,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SAT,2023-01-02,5,8,0,7,0,85.71,85.71,0.0,25.71,12.43,3.64,27.57,0.0,0.0,0.0,0.0
SAT,2023-01-02,6,13,0,13,0,92.31,92.31,0.0,2.15,12.62,3.4,3.0,0.0,0.0,0.0,0.0
SAT,2023-01-02,7,6,0,7,0,100.0,100.0,0.0,0.0,11.29,2.03,0.0,0.0,0.0,0.0,0.0
SAT,2023-01-02,8,6,5,7,6,85.71,71.43,66.67,5.14,14.14,4.07,7.71,2.67,0.17,6.83,37.67
SAT,2023-01-02,9,5,6,8,8,75.0,75.0,87.5,4.63,13.5,4.88,8.88,4.0,4.33,2.88,4.5
SAT,2023-01-02,10,7,5,7,5,100.0,85.71,60.0,0.43,13.57,5.1,4.71,5.0,0.34,0.0,52.0
SAT,2023-01-02,11,5,9,5,11,40.0,40.0,90.91,55.6,11.4,3.06,55.8,4.55,0.43,3.64,4.55
SAT,2023-01-02,12,10,9,13,9,84.62,76.92,55.56,17.77,13.08,4.08,20.69,3.0,1.6,11.11,29.78
SAT,2023-01-02,13,7,8,10,9,50.0,40.0,55.56,36.9,15.2,5.97,42.4,4.22,4.72,9.33,16.67
SAT,2023-01-02,14,9,4,9,4,55.56,44.44,50.0,24.22,14.44,5.71,29.44,2.5,0.52,12.0,29.75
SAT,2023-01-02,15,3,8,3,10,33.33,33.33,80.0,41.0,17.0,7.27,46.0,4.6,0.59,1.3,12.2
SAT,2023-01-02,16,8,4,9,6,77.78,44.44,66.67,15.67,17.56,8.18,22.22,1.33,0.4,10.67,19.33
SAT,2023-01-02,17,4,10,4,12,50.0,50.0,58.33,26.5,11.25,2.65,28.75,2.5,0.38,3.0,29.67
SAT,2023-01-02,18,9,1,11,1,54.55,54.55,0.0,19.82,10.91,2.29,21.27,0.0,0.4,0.0,173.0
SAT,2023-01-02,19,2,7,3,11,33.33,33.33,27.27,74.67,11.0,2.6,77.33,0.45,0.0,4.64,45.0
SAT,2023-01-02,20,5,4,4,7,25.0,25.0,42.86,60.75,9.25,0.98,61.0,3.86,0.47,9.29,29.71
SAT,2023-01-02,21,3,7,3,8,66.67,66.67,50.0,19.67,8.0,0.47,19.0,2.38,4.65,3.88,21.25
SAT,2023-01-02,22,1,5,5,6,60.0,60.0,50.0,20.6,9.2,0.28,20.4,1.0,0.1,1.17,40.33
