airport,report_date,Hour,Scheduled Departures,Scheduled Arrivals,Departures For Metric Computation,Arrivals For Metric Computation,% On-Time Gate Departures,% On-Time Airport Departures,% On-Time Gate Arrivals,Average Gate Departure Delay,Average Taxi Out Time,Average Taxi Out Delay,Average Airport Departure Delay,Average Airborne Delay,Average Taxi In Delay,Average Block Delay,Average Gate Arrival Delay
SFO,2023-01-01,0,7,8,7,6,14.29,14.29,16.67,38.29,19.14,6.6,45.29,0.83,3.98,2.33,45.33
SFO,2023-01-01,1,0,1,2,1,100.0,50.0,100.0,0.0,27.5,15.0,15.5,0.0,0.0,0.0,0.0
SFO,2023-01-01,2,1,0,1,0,100.0,0.0,0.0,0.0,27.0,14.5,15.0,0.0,0.0,0.0,0.0
SFO,2023-01-01,3,2,0,1,0,100.0,100.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0
SFO,2023-01-01,4,0,1,1,1,0.0,0.0,0.0,22.0,15.0,2.5,25.0,0.0,5.9,0.0,31.0
SFO,2023-01-01,5,6,1,6,1,100.0,100.0,100.0,1.67,13.33,2.05,2.83,2.0,0.0,0.0,0.0
SFO,2023-01-01,6,18,5,19,7,89.47,89.47,85.71,6.05,13.79,2.1,6.95,1.14,2.21,2.43,12.57
SFO,2023-01-01,7,16,15,17,15,88.24,88.24,80.0,6.59,17.24,4.81,9.12,2.53,1.55,0.67,84.27
SFO,2023-01-01,8,30,10,30,7,83.33,73.33,42.86,12.53,17.0,4.26,15.3,6.86,6.66,10.0,33.57
SFO,2023-01-01,9,26,44,28,44,67.86,57.14,88.64,21.18,18.5,6.07,26.32,1.91,3.12,3.3,9.36
SFO,2023-01-01,10,45,13,47,14,57.45,36.17,85.71,20.68,24.94,12.13,31.96,3.64,1.35,6.43,10.93
SFO,2023-01-01,11,26,31,28,34,64.29,39.29,79.41,15.0,23.21,10.49,24.25,1.24,4.66,2.53,7.62
SFO,2023-01-01,12,24,20,27,22,74.07,70.37,77.27,12.26,16.26,4.02,15.74,2.55,1.24,1.64,11.23
SFO,2023-01-01,13,28,18,30,19,60.0,60.0,57.89,21.9,17.2,4.07,25.53,6.0,2.44,6.42,21.42
SFO,2023-01-01,14,22,20,23,23,69.57,56.52,43.48,17.48,17.17,4.61,20.61,3.04,1.85,5.35,24.61
SFO,2023-01-01,15,12,34,14,36,42.86,28.57,61.11,48.21,15.07,3.84,51.07,4.31,1.46,3.0,23.56
SFO,2023-01-01,16,32,16,34,20,61.76,52.94,65.0,24.85,17.35,4.75,28.41,2.85,1.12,4.7,17.3
SFO,2023-01-01,17,10,27,11,26,72.73,63.64,53.85,8.64,18.18,5.79,14.0,2.35,1.9,3.15,32.92
SFO,2023-01-01,18,27,22,27,27,66.67,59.26,62.96,41.33,18.33,5.49,45.67,4.19,5.53,4.85,34.81
SFO,2023-01-01,19,17,17,18,22,50.0,44.44,45.45,29.78,18.17,5.77,34.11,3.95,2.22,5.95,30.09
SFO,2023-01-01,20,10,26,10,32,70.0,50.0,59.38,17.8,20.2,8.21,23.3,2.47,3.76,5.09,23.72
SFO,2023-01-01,21,7,42,9,40,33.33,33.33,72.5,41.11,19.44,7.56,47.67,2.25,3.98,3.28,23.83
SFO,2023-01-01,22,34,26,33,25,72.73,45.45,80.0,28.48,20.79,7.57,34.55,2.12,4.97,2.56,13.6
SFO,2023-01-01,23,24,21,23,21,26.09,26.09,61.9,37.0,17.48,4.68,41.04,2.05,2.92,2.0,19.38
SFO,2023-01-02,0,10,8,10,8,40.0,20.0,75.0,34.2,17.5,5.25,39.7,1.13,3.39,0.13,12.63
SFO,2023-01-02,1,0,2,0,1,0.0,0.0,100.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
SFO,2023-01-02,2,0,0,0,1,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,1.0,11.0,0.0
SFO,2023-01-02,3,2,0,1,0,100.0,100.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0
SFO,2023-01-02,4,0,1,2,1,100.0,100.0,100.0,0.0,12.5,0.25,0.5,0.0,0.9,0.0,13.0
SFO,2023-01-02,5,9,1,8,1,100.0,87.5,0.0,1.63,13.5,2.21,2.25,3.0,0.0,0.0,31.0
SFO,2023-01-02,6,19,4,22,4,90.91,72.73,100.0,3.86,19.86,7.16,9.91,0.0,0.95,0.0,1.25
SFO,2023-01-02,7,19,18,21,19,76.19,71.43,84.21,7.62,16.05,3.61,10.48,1.53,1.39,0.63,9.26
SFO,2023-01-02,8,36,13,38,15,92.11,76.32,80.0,6.26,22.92,10.08,13.87,1.07,6.36,7.6,8.93
SFO,2023-01-02,9,26,52,29,53,72.41,41.38,81.13,13.62,26.21,13.82,26.48,3.6,3.51,4.79,10.09
SFO,2023-01-02,10,44,18,51,20,74.51,15.69,60.0,13.08,40.22,27.47,39.75,7.35,7.08,10.95,17.25
SFO,2023-01-02,11,25,27,28,28,60.71,0.0,71.43,18.96,46.32,33.5,50.64,3.5,10.1,7.36,22.5
SFO,2023-01-02,12,23,22,28,21,64.29,10.71,80.95,33.29,33.82,20.81,53.32,3.19,2.79,3.1,7.38
SFO,2023-01-02,13,26,19,30,19,70.0,43.33,68.42,26.6,25.17,11.99,37.0,5.32,2.13,5.05,16.74
SFO,2023-01-02,14,22,17,23,21,52.17,47.83,52.38,30.13,20.91,8.13,36.74,5.05,3.71,6.14,26.81
SFO,2023-01-02,15,11,33,14,30,64.29,42.86,36.67,29.21,20.79,8.86,36.93,12.5,3.36,16.6,64.73
SFO,2023-01-02,16,30,17,25,23,32.0,24.0,47.83,47.6,22.2,9.16,56.16,5.35,3.41,9.43,36.61
SFO,2023-01-02,17,13,27,13,30,38.46,30.77,30.0,37.38,25.23,12.84,50.54,20.33,4.16,25.13,75.27
SFO,2023-01-02,18,26,22,25,17,40.0,16.0,23.53,88.76,30.36,17.35,105.2,48.18,13.45,49.06,99.59
SFO,2023-01-02,19,22,19,16,18,62.5,18.75,16.67,37.69,33.31,20.44,55.81,54.83,3.32,58.11,103.78
SFO,2023-01-02,20,11,24,6,23,16.67,16.67,21.74,132.83,22.17,9.57,141.5,28.91,2.95,32.13,96.65
SFO,2023-01-02,21,7,42,7,38,28.57,14.29,23.68,88.14,26.29,13.74,102.14,15.11,3.36,15.45,116.24
SFO,2023-01-02,22,34,27,29,30,17.24,10.34,23.33,92.07,25.28,11.93,103.76,13.4,3.05,16.13,94.43
SFO,2023-01-02,23,20,24,17,24,5.88,5.88,20.83,179.41,23.71,10.55,189.82,18.25,7.28,23.96,78.46
SFO,2023-01-03,0,10,9,12,10,8.33,0.0,20.0,58.58,24.58,11.69,70.58,9.9,8.78,10.6,54.3
SFO,2023-01-03,1,0,3,1,2,100.0,0.0,0.0,0.0,27.0,14.5,15.0,6.5,1.7,1.0,78.5
SFO,2023-01-03,2,1,0,2,1,0.0,0.0,0.0,382.5,17.0,4.5,387.5,19.0,1.0,22.0,18.0
SFO,2023-01-03,3,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SFO,2023-01-03,4,0,1,1,2,100.0,100.0,50.0,0.0,17.0,4.5,5.0,3.0,0.0,2.5,57.5
SFO,2023-01-03,5,8,1,8,1,62.5,62.5,100.0,11.25,14.5,2.01,13.13,0.0,3.9,0.0,4.0
SFO,2023-01-03,6,21,5,19,6,89.47,89.47,66.67,12.53,19.53,6.99,17.74,0.67,3.02,2.67,14.33
SFO,2023-01-03,7,18,21,22,16,68.18,54.55,56.25,22.73,18.82,6.05,28.82,2.13,2.33,3.75,44.56
SFO,2023-01-03,8,39,16,36,16,66.67,55.56,56.25,45.22,20.36,7.55,51.53,2.63,1.42,7.94,55.38
SFO,2023-01-03,9,23,50,24,47,62.5,58.33,65.96,22.67,18.29,5.8,27.38,2.68,2.27,5.28,25.49
SFO,2023-01-03,10,45,14,45,23,60.0,35.56,43.48,25.02,21.69,8.87,33.38,4.13,4.9,9.17,32.09
SFO,2023-01-03,11,23,33,25,35,60.0,40.0,51.43,22.08,20.92,8.16,28.76,5.11,4.09,6.49,19.91
SFO,2023-01-03,12,27,23,33,24,48.48,33.33,58.33,36.06,17.79,5.5,41.33,2.92,1.95,5.71,14.33
