airport,report_date,Hour,Scheduled Departures,Scheduled Arrivals,Departures For Metric Computation,Arrivals For Metric Computation,% On-Time Gate Departures,% On-Time Airport Departures,% On-Time Gate Arrivals,Average Gate Departure Delay,Average Taxi Out Time,Average Taxi Out Delay,Average Airport Departure Delay,Average Airborne Delay,Average Taxi In Delay,Average Block Delay,Average Gate Arrival Delay
SMF,2023-01-01,0,1,1,1,0,0.0,0.0,0.0,630.0,19.0,9.9,640.0,0.0,0.0,0.0,0.0
SMF,2023-01-01,1,1,0,1,0,100.0,100.0,0.0,3.0,10.0,0.9,4.0,0.0,0.0,0.0,0.0
SMF,2023-01-01,2,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SMF,2023-01-01,5,6,0,6,0,100.0,100.0,0.0,0.83,11.67,2.8,2.33,0.0,0.0,0.0,0.0
SMF,2023-01-01,6,13,3,13,3,84.62,84.62,100.0,14.15,14.08,4.78,17.0,1.33,0.8,0.0,0.0
SMF,2023-01-01,7,14,5,14,5,100.0,78.57,100.0,2.93,13.86,4.67,5.5,2.8,3.32,1.6,1.4
SMF,2023-01-01,8,7,6,7,7,100.0,85.71,85.71,1.86,13.71,5.5,5.29,1.86,0.17,4.14,9.86
SMF,2023-01-01,9,10,6,11,5,81.82,81.82,100.0,10.36,11.73,3.29,11.73,0.4,0.04,0.8,1.4
SMF,2023-01-01,10,8,9,9,9,88.89,88.89,77.78,7.11,9.33,1.56,8.0,1.33,1.4,0.11,7.89
SMF,2023-01-01,11,9,12,9,12,77.78,77.78,100.0,10.22,12.67,4.46,12.78,1.42,2.82,2.17,4.33
SMF,2023-01-01,12,9,6,9,6,66.67,55.56,66.67,12.67,12.78,4.3,15.78,3.17,1.67,3.5,25.83
SMF,2023-01-01,13,7,11,7,12,71.43,57.14,66.67,27.29,10.71,2.17,29.14,2.75,0.49,3.67,17.42
SMF,2023-01-01,14,10,5,10,5,60.0,40.0,40.0,15.5,12.5,3.73,17.9,2.6,0.72,4.2,19.2
SMF,2023-01-01,15,7,12,7,12,42.86,28.57,58.33,32.86,14.29,6.39,39.0,2.17,0.98,3.75,27.58
SMF,2023-01-01,16,10,7,11,7,45.45,45.45,28.57,35.73,15.09,6.19,41.55,2.14,0.54,2.43,46.43
SMF,2023-01-01,17,8,7,8,6,25.0,12.5,66.67,35.25,18.25,10.26,44.38,3.67,0.07,2.33,19.0
SMF,2023-01-01,18,7,12,7,12,57.14,42.86,66.67,24.29,14.14,5.79,29.43,2.67,1.65,1.33,14.75
SMF,2023-01-01,19,10,9,10,9,70.0,50.0,44.44,17.4,12.0,3.8,20.2,3.78,1.51,2.78,18.78
SMF,2023-01-01,20,7,12,7,12,57.14,42.86,50.0,20.86,11.29,3.59,23.0,2.92,1.18,2.42,32.92
SMF,2023-01-01,21,6,8,6,8,33.33,33.33,75.0,35.83,10.17,2.23,37.67,1.25,1.19,1.88,15.88
SMF,2023-01-01,22,4,16,4,16,100.0,100.0,25.0,0.75,15.25,5.38,2.25,3.25,2.0,7.44,33.5
SMF,2023-01-01,23,5,10,5,10,20.0,20.0,60.0,39.8,16.4,6.34,46.0,2.1,1.16,2.3,12.5
SMF,2023-01-02,0,3,3,3,1,66.67,66.67,0.0,7.33,15.67,6.3,12.67,2.0,1.1,2.0,205.0
SMF,2023-01-02,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SMF,2023-01-02,3,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SMF,2023-01-02,5,9,0,10,0,80.0,70.0,0.0,30.8,15.5,6.59,34.4,0.0,0.0,0.0,0.0
SMF,2023-01-02,6,9,2,9,2,88.89,88.89,100.0,5.67,12.56,2.8,6.89,2.5,0.0,4.0,3.5
SMF,2023-01-02,7,13,5,13,5,92.31,84.62,100.0,3.46,12.85,3.89,5.77,1.6,1.48,4.0,4.8
SMF,2023-01-02,8,9,7,9,7,77.78,55.56,85.71,12.67,14.78,6.27,17.56,0.71,1.6,1.57,12.43
SMF,2023-01-02,9,6,7,7,8,85.71,71.43,75.0,14.57,9.86,1.83,15.86,0.88,1.15,2.13,18.63
SMF,2023-01-02,10,8,8,8,10,87.5,87.5,80.0,11.88,11.25,2.96,13.5,4.6,0.52,2.0,9.1
SMF,2023-01-02,11,9,10,10,10,80.0,80.0,90.0,8.1,12.5,3.65,10.4,2.6,1.41,0.8,7.0
SMF,2023-01-02,12,10,9,11,9,81.82,81.82,77.78,18.55,10.09,1.29,18.55,1.22,0.87,0.89,10.22
SMF,2023-01-02,13,9,11,9,10,55.56,33.33,80.0,16.56,14.78,5.97,22.44,1.8,1.03,5.1,36.5
SMF,2023-01-02,14,11,5,10,5,40.0,30.0,80.0,16.4,13.5,4.61,20.6,3.0,0.04,1.6,4.8
SMF,2023-01-02,15,5,12,5,13,40.0,40.0,46.15,17.2,9.6,1.76,18.6,3.38,2.15,7.23,20.15
SMF,2023-01-02,16,11,8,11,7,54.55,54.55,85.71,16.0,12.82,4.25,19.55,3.43,0.09,1.86,4.29
SMF,2023-01-02,17,8,5,8,5,75.0,62.5,80.0,23.25,12.75,4.56,27.0,3.2,1.52,1.6,4.8
SMF,2023-01-02,18,6,11,6,11,83.33,66.67,63.64,8.67,13.67,5.2,13.33,3.36,1.07,1.27,13.64
SMF,2023-01-02,19,10,9,10,11,50.0,50.0,63.64,24.9,12.6,4.17,27.3,4.82,1.35,7.64,20.82
SMF,2023-01-02,20,6,9,6,9,16.67,16.67,33.33,30.17,12.0,4.07,34.0,4.44,2.97,9.67,44.89
SMF,2023-01-02,21,4,10,7,12,71.43,57.14,66.67,21.71,11.57,3.19,24.57,2.33,3.26,5.08,14.08
SMF,2023-01-02,22,5,15,5,14,40.0,40.0,35.71,31.6,13.8,3.46,34.8,3.57,1.8,3.57,38.36
SMF,2023-01-02,23,6,11,6,12,50.0,33.33,66.67,24.33,13.83,4.12,27.33,5.83,5.84,5.75,15.67
SMF,2023-01-03,0,3,1,3,3,66.67,66.67,0.0,24.0,11.67,2.33,26.33,4.33,0.2,15.33,110.0
SMF,2023-01-03,1,0,0,0,1,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
SMF,2023-01-03,2,0,0,0,1,0.0,0.0,100.0,0.0,0.0,0.0,0.0,2.0,1.0,4.0,0.0
SMF,2023-01-03,3,0,0,1,0,100.0,100.0,0.0,0.0,11.0,1.9,0.0,0.0,0.0,0.0,0.0
SMF,2023-01-03,4,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SMF,2023-01-03,5,6,0,7,0,85.71,85.71,0.0,18.29,11.43,2.27,19.57,0.0,0.0,0.0,0.0
SMF,2023-01-03,6,15,3,14,3,92.86,85.71,100.0,3.21,15.71,6.56,7.57,1.67,0.87,0.0,0.0
SMF,2023-01-03,7,12,5,11,4,100.0,90.91,100.0,1.0,13.0,3.94,3.55,1.5,0.4,0.0,0.0
SMF,2023-01-03,8,8,8,7,8,71.43,71.43,87.5,6.71,17.0,8.46,12.71,6.38,3.08,3.75,6.5
SMF,2023-01-03,9,9,6,11,6,90.91,72.73,100.0,7.55,14.0,5.85,13.0,2.83,1.77,2.17,1.67
SMF,2023-01-03,10,9,10,11,10,81.82,72.73,80.0,12.45,14.0,5.71,17.36,3.7,1.46,1.0,9.2
SMF,2023-01-03,11,9,13,8,14,37.5,25.0,42.86,30.13,18.13,9.59,38.38,3.93,1.31,7.71,29.64
SMF,2023-01-03,12,11,6,14,6,50.0,42.86,66.67,44.21,11.14,1.58,45.0,0.5,1.97,11.5,16.67
SMF,2023-01-03,13,7,12,7,12,14.29,14.29,41.67,50.29,12.86,4.31,54.43,3.67,0.96,8.83,46.33
SMF,2023-01-03,14,9,5,10,5,50.0,30.0,40.0,36.6,14.1,5.46,41.2,0.8,0.24,10.4,22.0
SMF,2023-01-03,15,6,11,6,10,16.67,16.67,50.0,23.17,10.0,1.87,24.83,3.4,2.85,10.1,21.1
SMF,2023-01-03,16,9,7,8,9,50.0,50.0,55.56,28.88,14.13,5.58,33.38,4.22,0.96,10.11,17.44
SMF,2023-01-03,17,9,9,9,14,55.56,55.56,50.0,47.22,11.78,3.57,50.44,1.86,1.14,5.79,31.86
SMF,2023-01-03,18,8,10,8,12,25.0,12.5,33.33,47.88,12.13,3.6,51.25,1.92,2.47,2.42,45.33
SMF,2023-01-03,19,11,10,11,8,72.73,63.64,50.0,26.64,12.27,3.85,29.82,3.75,0.75,2.13,23.38
SMF,2023-01-03,20,7,12,7,11,28.57,28.57,45.45,27.14,10.71,2.91,28.71,3.0,1.63,5.09,35.82
SMF,2023-01-03,21,6,8,6,8,33.33,33.33,62.5,32.83,10.5,2.57,35.17,2.5,0.9,4.25,16.25
SMF,2023-01-03,22,5,15,6,14,83.33,83.33,50.0,8.33,14.0,3.65,11.33,1.07,1.11,3.36,19.21
SMF,2023-01-03,23,5,12,4,14,50.0,50.0,50.0,12.0,11.0,1.3,13.25,2.43,1.46,4.07,24.29
SMF,2023-01-04,0,2,0,2,1,50.0,50.0,0.0,10.5,12.5,3.4,14.0,2.0,2.1,0.0,33.0
SMF,2023-01-04,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SMF,2023-01-04,2,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,31.0
SMF,2023-01-04,4,0,0,1,0,100.0,100.0,0.0,10.0,9.0,0.0,10.0,0.0,0.0,0.0,0.0
SMF,2023-01-04,5,5,0,5,2,100.0,100.0,50.0,0.0,12.0,2.06,0.2,1.0,3.5,3.0,35.5
SMF,2023-01-04,6,16,0,19,0,73.68,73.68,0.0,25.26,13.0,4.09,27.32,0.0,0.0,0.0,0.0
SMF,2023-01-04,7,11,8,11,8,90.91,90.91,100.0,2.91,13.09,3.75,4.64,3.88,0.65,1.88,0.75
SMF,2023-01-04,8,9,6,8,6,75.0,75.0,100.0,19.13,12.5,4.25,22.0,5.83,0.47,2.67,1.0
SMF,2023-01-04,9,7,9,8,9,87.5,87.5,100.0,5.75,12.0,3.79,7.5,4.0,0.52,3.0,1.33
SMF,2023-01-04,10,10,7,11,7,90.91,90.91,100.0,7.18,13.73,5.29,11.18,5.57,2.66,1.57,1.29
SMF,2023-01-04,11,6,9,6,11,83.33,83.33,90.91,4.17,10.67,2.03,4.17,2.27,0.4,1.0,4.64
SMF,2023-01-04,12,9,10,11,11,81.82,81.82,81.82,14.09,11.73,2.93,15.91,1.91,0.97,0.91,19.18
SMF,2023-01-04,13,9,7,9,7,66.67,66.67,57.14,27.89,10.89,2.29,29.22,3.29,0.71,1.43,21.0
SMF,2023-01-04,14,10,7,11,7,45.45,45.45,85.71,22.0,11.0,2.81,24.0,2.0,0.51,1.0,7.71
SMF,2023-01-04,15,7,10,8,11,50.0,50.0,63.64,24.5,10.25,2.01,26.13,4.91,0.49,4.64,22.45
SMF,2023-01-04,16,8,6,8,6,62.5,62.5,50.0,17.5,13.0,4.94,21.75,2.67,0.23,1.5,21.17
SMF,2023-01-04,17,6,11,5,11,40.0,40.0,54.55,20.8,14.0,5.38,26.0,3.0,0.72,3.73,12.45
SMF,2023-01-04,18,11,9,13,8,84.62,84.62,62.5,12.69,12.85,4.58,15.62,2.75,4.93,4.5,21.38
SMF,2023-01-04,19,7,9,7,9,71.43,57.14,55.56,13.71,13.86,5.14,17.29,2.78,1.31,0.56,33.89
SMF,2023-01-04,20,7,11,7,11,71.43,71.43,54.55,18.14,12.0,3.77,19.71,6.82,1.42,4.27,48.0
SMF,2023-01-04,21,6,12,6,13,33.33,33.33,61.54,50.33,10.67,2.97,52.5,6.54,2.35,5.46,19.15
