airport,report_date,Hour,Scheduled Departures,Scheduled Arrivals,Departures For Metric Computation,Arrivals For Metric Computation,% On-Time Gate Departures,% On-Time Airport Departures,% On-Time Gate Arrivals,Average Gate Departure Delay,Average Taxi Out Time,Average Taxi Out Delay,Average Airport Departure Delay,Average Airborne Delay,Average Taxi In Delay,Average Block Delay,Average Gate Arrival Delay
ABQ,2024-01-01,0,0,1,0,1,0.0,0.0,100.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0
ABQ,2024-01-01,2,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABQ,2024-01-01,3,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABQ,2024-01-01,4,0,0,0,1,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.3,3.0,1.0
ABQ,2024-01-01,5,4,0,4,0,100.0,75.0,0.0,4.0,19.0,10.6,12.5,0.0,0.0,0.0,0.0
ABQ,2024-01-01,6,8,1,8,2,100.0,62.5,100.0,0.25,20.88,12.05,10.13,1.5,2.65,0.0,0.0
ABQ,2024-01-01,7,6,1,6,1,83.33,66.67,0.0,45.33,17.83,9.42,52.5,0.0,0.3,4.0,61.0
ABQ,2024-01-01,8,3,1,3,0,100.0,66.67,0.0,0.0,28.33,17.77,7.0,0.0,0.0,0.0,0.0
ABQ,2024-01-01,9,1,2,1,3,100.0,100.0,66.67,0.0,7.0,0.0,0.0,0.33,0.1,1.67,7.33
ABQ,2024-01-01,10,6,6,8,5,100.0,100.0,100.0,0.0,9.38,1.19,0.13,0.8,0.26,0.6,0.0
ABQ,2024-01-01,11,4,8,4,9,100.0,100.0,88.89,0.0,10.5,2.88,2.75,1.44,1.18,4.56,5.22
ABQ,2024-01-01,12,7,5,7,6,100.0,100.0,66.67,0.0,11.86,2.87,0.29,2.67,1.7,2.83,13.33
ABQ,2024-01-01,13,5,5,6,7,83.33,83.33,85.71,8.33,10.0,1.0,9.0,1.57,0.29,1.71,5.71
ABQ,2024-01-01,14,6,6,6,6,100.0,100.0,100.0,2.0,12.33,4.33,3.83,1.0,0.8,0.0,0.0
ABQ,2024-01-01,15,4,2,4,2,100.0,75.0,100.0,3.5,10.75,2.08,3.75,0.5,0.15,0.0,0.0
ABQ,2024-01-01,16,4,3,5,4,60.0,60.0,100.0,43.6,10.4,2.7,46.0,0.5,0.0,2.0,0.0
ABQ,2024-01-01,17,3,7,3,7,100.0,66.67,100.0,3.33,13.33,4.6,5.67,2.0,0.66,0.43,0.43
ABQ,2024-01-01,18,7,4,7,4,100.0,100.0,100.0,0.0,12.14,3.86,1.0,3.0,0.7,2.5,4.0
ABQ,2024-01-01,19,2,3,1,3,100.0,100.0,100.0,0.0,12.0,4.8,0.0,0.0,0.43,0.0,0.0
ABQ,2024-01-01,20,2,2,2,2,100.0,100.0,100.0,0.0,10.0,1.95,0.0,0.0,0.15,0.0,0.0
ABQ,2024-01-01,21,1,5,1,5,100.0,100.0,100.0,0.0,10.0,2.8,0.0,2.0,1.4,0.4,0.0
ABQ,2024-01-01,22,0,7,0,7,0.0,0.0,100.0,0.0,0.0,0.0,0.0,2.29,0.69,1.29,0.29
ABQ,2024-01-01,23,0,5,0,5,0.0,0.0,100.0,0.0,0.0,0.0,0.0,1.8,1.1,0.2,0.0
ABQ,2024-01-02,0,0,1,0,2,0.0,0.0,100.0,0.0,0.0,0.0,0.0,3.0,0.15,0.0,0.0
ABQ,2024-01-02,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABQ,2024-01-02,2,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABQ,2024-01-02,4,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABQ,2024-01-02,5,5,0,5,0,100.0,100.0,0.0,2.4,11.0,2.84,4.4,0.0,0.0,0.0,0.0
ABQ,2024-01-02,6,7,0,9,0,77.78,66.67,0.0,8.11,11.11,2.33,10.11,0.0,0.0,0.0,0.0
