airport,report_date,Hour,Scheduled Departures,Scheduled Arrivals,Departures For Metric Computation,Arrivals For Metric Computation,% On-Time Gate Departures,% On-Time Airport Departures,% On-Time Gate Arrivals,Average Gate Departure Delay,Average Taxi Out Time,Average Taxi Out Delay,Average Airport Departure Delay,Average Airborne Delay,Average Taxi In Delay,Average Block Delay,Average Gate Arrival Delay
AUS,2024-01-01,0,0,6,0,6,0.0,0.0,83.33,0.0,0.0,0.0,0.0,0.67,1.87,0.0,9.67
AUS,2024-01-01,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AUS,2024-01-01,5,7,1,8,1,87.5,87.5,0.0,2.5,13.63,3.49,2.88,5.0,1.5,0.0,16.0
AUS,2024-01-01,6,21,0,22,0,95.45,95.45,0.0,0.91,14.64,4.54,2.27,0.0,0.0,0.0,0.0
AUS,2024-01-01,7,18,4,19,5,94.74,94.74,80.0,2.11,16.68,6.25,4.42,3.2,0.48,4.0,9.0
AUS,2024-01-01,8,12,16,16,16,56.25,56.25,87.5,15.13,15.75,5.68,18.75,2.81,4.41,5.63,3.88
AUS,2024-01-01,9,15,10,21,10,80.95,47.62,90.0,15.43,20.57,10.64,24.38,3.1,3.2,1.7,2.2
AUS,2024-01-01,10,16,15,18,16,77.78,77.78,75.0,7.61,15.33,5.59,11.17,2.69,0.93,3.06,15.0
AUS,2024-01-01,11,10,13,13,14,76.92,69.23,85.71,16.92,14.15,4.02,19.85,2.43,1.2,2.29,7.0
AUS,2024-01-01,12,17,17,18,18,88.89,88.89,83.33,6.06,14.17,4.22,7.67,2.11,1.79,1.78,5.89
AUS,2024-01-01,13,15,16,19,18,78.95,68.42,72.22,7.74,14.26,4.53,11.11,2.0,3.31,3.11,13.39
AUS,2024-01-01,14,18,18,19,22,84.21,73.68,86.36,11.05,15.11,5.23,14.47,4.68,1.36,4.05,10.27
AUS,2024-01-01,15,17,19,20,23,95.0,90.0,78.26,3.3,15.15,5.21,6.75,2.22,3.67,3.48,9.61
AUS,2024-01-01,16,20,13,20,15,85.0,70.0,86.67,9.15,14.7,4.57,12.5,3.8,2.69,1.53,5.4
AUS,2024-01-01,17,14,13,14,13,85.71,85.71,84.62,3.0,12.57,2.94,5.0,2.0,1.14,1.0,9.08
AUS,2024-01-01,18,12,19,12,22,83.33,83.33,86.36,14.83,14.58,4.68,17.5,1.0,2.9,1.09,8.86
AUS,2024-01-01,19,17,13,19,15,84.21,84.21,60.0,5.74,14.95,4.98,8.89,1.93,6.95,5.0,20.07
AUS,2024-01-01,20,11,17,11,17,72.73,72.73,76.47,14.55,12.27,2.73,16.18,1.65,3.54,1.65,14.35
AUS,2024-01-01,21,9,10,10,10,80.0,70.0,100.0,7.5,13.4,4.01,10.2,0.7,3.49,0.7,0.8
AUS,2024-01-01,22,3,11,3,11,100.0,100.0,90.91,0.0,10.67,1.87,0.0,0.64,4.31,1.45,6.82
AUS,2024-01-01,23,0,21,0,21,0.0,0.0,85.71,0.0,0.0,0.0,0.0,2.24,3.01,2.57,6.95
AUS,2024-01-02,0,0,8,0,6,0.0,0.0,100.0,0.0,0.0,0.0,0.0,1.17,2.27,0.0,0.5
AUS,2024-01-02,1,0,2,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.5,9.0,51.5
AUS,2024-01-02,2,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AUS,2024-01-02,3,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,46.0
AUS,2024-01-02,5,10,1,11,1,100.0,100.0,100.0,0.73,12.18,2.24,1.27,5.0,3.5,0.0,0.0
AUS,2024-01-02,6,23,1,24,1,87.5,87.5,0.0,4.21,14.83,4.6,6.13,0.0,0.0,4.0,21.0
AUS,2024-01-02,7,22,7,23,8,91.3,73.91,87.5,5.3,15.78,5.55,9.52,1.25,2.25,3.5,3.0
AUS,2024-01-02,8,16,18,17,19,94.12,94.12,89.47,3.24,12.53,2.47,4.12,0.21,1.85,4.21,4.11
AUS,2024-01-02,9,15,9,19,10,89.47,84.21,80.0,3.26,15.32,5.57,6.89,1.5,0.56,5.1,5.3
AUS,2024-01-02,10,14,16,17,18,76.47,70.59,83.33,5.88,16.53,6.49,10.24,1.17,1.76,4.28,12.17
AUS,2024-01-02,11,11,13,11,19,90.91,90.91,47.37,3.36,16.09,5.97,7.73,2.84,0.91,10.79,33.11
AUS,2024-01-02,12,15,18,17,21,76.47,70.59,80.95,12.59,16.06,5.92,16.71,4.38,1.04,3.95,14.05
AUS,2024-01-02,13,18,18,22,25,72.73,59.09,60.0,8.68,17.14,7.28,14.59,8.6,3.36,18.04,53.68
AUS,2024-01-02,14,16,19,19,24,57.89,47.37,45.83,24.79,16.37,6.49,30.79,8.46,3.55,12.29,31.75
AUS,2024-01-02,15,23,21,25,24,48.0,40.0,58.33,20.76,22.32,12.22,31.2,8.0,8.46,15.5,26.04
AUS,2024-01-02,16,20,13,22,21,27.27,4.55,38.1,39.86,24.14,14.05,53.55,18.43,10.13,38.71,53.76
AUS,2024-01-02,17,13,15,16,19,31.25,18.75,31.58,65.75,26.19,16.11,81.06,21.68,4.87,22.47,43.68
AUS,2024-01-02,18,14,19,19,22,31.58,5.26,22.73,60.05,24.37,14.09,74.05,28.73,11.65,40.32,67.95
AUS,2024-01-02,19,20,17,19,18,5.26,0.0,33.33,85.79,20.68,10.8,96.53,24.78,9.19,36.72,52.33
AUS,2024-01-02,20,11,14,11,16,27.27,18.18,18.75,47.91,19.55,9.84,56.73,8.56,10.47,17.13,48.13
AUS,2024-01-02,21,8,17,11,27,9.09,9.09,51.85,48.64,15.91,6.25,54.73,9.96,5.54,12.78,24.7
AUS,2024-01-02,22,5,7,8,10,37.5,37.5,30.0,37.5,11.13,2.5,39.88,6.8,3.12,8.2,28.2
AUS,2024-01-02,23,0,22,0,23,0.0,0.0,30.43,0.0,0.0,0.0,0.0,2.87,11.73,10.0,18.0
AUS,2024-01-03,0,0,6,0,9,0.0,0.0,77.78,0.0,0.0,0.0,0.0,1.22,2.2,1.11,5.78
AUS,2024-01-03,1,0,0,0,2,0.0,0.0,50.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,30.5
AUS,2024-01-03,2,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,3.0,30.0
AUS,2024-01-03,3,0,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.5,0.25,1.5,78.0
AUS,2024-01-03,4,0,0,1,3,0.0,0.0,66.67,29.0,15.0,4.6,34.0,1.0,1.0,2.67,10.33
AUS,2024-01-03,5,8,1,8,3,100.0,100.0,0.0,0.0,13.88,3.65,1.5,6.67,1.77,12.0,22.0
AUS,2024-01-03,6,23,0,28,0,78.57,67.86,0.0,9.46,17.36,7.17,15.18,0.0,0.0,0.0,0.0
AUS,2024-01-03,7,20,4,25,6,72.0,56.0,83.33,13.72,18.96,8.56,20.48,4.67,2.15,7.83,13.17
AUS,2024-01-03,8,14,18,18,18,94.44,72.22,72.22,4.72,17.44,7.23,11.11,5.11,1.77,5.61,9.83
AUS,2024-01-03,9,15,11,17,13,76.47,64.71,69.23,11.88,14.65,4.82,15.47,4.38,2.57,5.85,9.46
AUS,2024-01-03,10,18,14,21,15,57.14,47.62,86.67,17.52,13.62,3.9,20.9,3.27,0.9,4.4,8.87
AUS,2024-01-03,11,11,14,12,18,91.67,91.67,83.33,7.5,13.83,3.58,10.25,2.56,1.69,4.11,5.22
AUS,2024-01-03,12,17,18,24,23,75.0,70.83,69.57,11.33,14.88,4.91,14.42,4.22,1.33,5.78,25.65
AUS,2024-01-03,13,15,16,18,21,55.56,55.56,66.67,14.56,14.61,4.89,18.83,3.95,2.11,4.19,14.57
AUS,2024-01-03,14,18,19,23,20,73.91,47.83,70.0,11.57,16.39,6.47,17.39,4.0,4.27,5.95,11.65
AUS,2024-01-03,15,18,20,18,25,61.11,44.44,48.0,15.39,15.0,5.01,19.78,3.36,0.59,3.8,26.4
AUS,2024-01-03,16,20,13,23,15,65.22,65.22,73.33,18.83,14.39,4.23,21.65,5.67,1.71,3.13,12.2
AUS,2024-01-03,17,12,17,13,22,76.92,61.54,68.18,10.69,14.92,5.28,14.69,2.73,2.01,2.86,10.64
AUS,2024-01-03,18,16,19,17,21,64.71,58.82,71.43,24.0,14.06,3.8,26.82,2.1,3.15,2.48,9.14
AUS,2024-01-03,19,17,12,17,14,76.47,58.82,64.29,8.59,14.59,4.58,12.0,1.93,7.88,8.29,15.29
AUS,2024-01-03,20,11,17,11,22,63.64,54.55,45.45,11.73,14.64,5.09,15.27,4.36,3.08,5.73,21.27
AUS,2024-01-03,21,9,11,12,14,41.67,41.67,64.29,26.75,13.75,4.19,29.5,3.29,2.54,1.29,11.71
AUS,2024-01-03,22,3,12,5,13,100.0,80.0,76.92,4.6,13.4,4.24,8.2,2.46,2.88,2.54,10.08
AUS,2024-01-03,23,0,21,0,22,0.0,0.0,81.82,0.0,0.0,0.0,0.0,1.86,2.59,2.0,10.36
AUS,2024-01-04,0,0,6,0,6,0.0,0.0,83.33,0.0,0.0,0.0,0.0,0.83,0.0,1.5,14.17
AUS,2024-01-04,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AUS,2024-01-04,2,0,0,0,2,0.0,0.0,100.0,0.0,0.0,0.0,0.0,4.0,1.5,11.0,6.5
AUS,2024-01-04,3,0,0,0,3,0.0,0.0,33.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.67
AUS,2024-01-04,4,0,0,2,2,100.0,100.0,50.0,0.0,10.0,0.0,0.0,0.0,1.75,17.5,19.5
AUS,2024-01-04,5,8,1,9,2,100.0,100.0,50.0,0.0,12.89,2.69,0.0,1.0,4.5,5.0,16.0
AUS,2024-01-04,6,23,0,28,0,92.86,78.57,0.0,1.82,17.04,6.91,6.29,0.0,0.0,0.0,0.0
AUS,2024-01-04,7,19,4,21,5,85.71,76.19,80.0,3.52,19.33,8.94,9.38,1.4,2.8,1.8,5.6
AUS,2024-01-04,8,13,17,15,17,80.0,60.0,76.47,67.6,14.73,4.66,71.27,1.53,8.59,7.71,12.94
AUS,2024-01-04,9,14,11,22,12,68.18,63.64,83.33,16.86,12.73,2.85,18.45,1.5,5.05,1.83,4.5
AUS,2024-01-04,10,17,14,21,15,71.43,66.67,93.33,14.05,13.52,3.81,16.38,1.2,3.67,2.13,4.8
AUS,2024-01-04,11,11,17,16,17,75.0,75.0,94.12,52.63,14.31,4.06,54.75,0.94,5.05,1.94,1.88
AUS,2024-01-04,12,20,16,20,17,100.0,95.0,88.24,1.65,12.1,2.39,2.5,1.88,5.14,1.82,7.76
AUS,2024-01-04,13,14,16,19,20,73.68,73.68,80.0,11.21,12.42,2.75,13.0,2.15,3.71,4.2,6.6
AUS,2024-01-04,14,17,20,20,23,85.0,70.0,82.61,5.25,14.85,5.05,8.65,1.48,3.09,1.61,28.35
AUS,2024-01-04,15,17,19,20,21,65.0,70.0,61.9,34.7,11.85,2.0,36.05,1.57,2.27,0.52,16.57
AUS,2024-01-04,16,21,13,22,16,63.64,59.09,62.5,12.0,15.27,5.22,16.0,2.0,6.56,3.88,41.44
AUS,2024-01-04,17,13,16,14,19,78.57,78.57,94.74,15.29,12.86,3.24,17.93,0.58,2.71,3.32,4.47
AUS,2024-01-04,18,14,20,15,21,86.67,86.67,80.95,5.87,13.33,3.55,8.33,2.81,5.06,3.14,9.14
AUS,2024-01-04,19,16,11,17,15,88.24,70.59,66.67,6.53,14.53,4.61,9.71,3.0,7.9,6.2,26.2
AUS,2024-01-04,20,10,18,13,19,76.92,53.85,68.42,10.69,13.23,3.62,12.92,1.16,10.01,7.37,13.68
AUS,2024-01-04,21,10,11,13,13,92.31,76.92,69.23,4.92,13.92,4.45,8.15,0.23,4.06,2.92,14.92
AUS,2024-01-04,22,3,12,5,12,100.0,100.0,75.0,1.0,12.6,3.24,1.4,0.42,4.01,1.08,9.58
AUS,2024-01-04,23,0,18,1,21,100.0,100.0,76.19,0.0,13.0,2.6,3.0,1.05,4.35,2.05,11.67
AUS,2024-01-05,0,0,6,0,6,0.0,0.0,100.0,0.0,0.0,0.0,0.0,1.83,2.9,2.33,0.33
AUS,2024-01-05,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AUS,2024-01-05,2,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,27.0
AUS,2024-01-05,3,0,0,0,3,0.0,0.0,33.33,0.0,0.0,0.0,0.0,7.0,0.5,1.33,44.67
AUS,2024-01-05,4,0,0,1,2,100.0,100.0,100.0,0.0,10.0,0.0,0.0,2.0,3.5,8.0,4.5
AUS,2024-01-05,5,8,1,9,3,77.78,77.78,100.0,57.0,13.33,3.14,57.67,0.0,3.5,1.33,1.33
AUS,2024-01-05,6,22,0,26,0,92.31,80.77,0.0,2.69,17.85,7.72,7.31,0.0,0.0,0.0,0.0
AUS,2024-01-05,7,20,4,23,5,82.61,65.22,100.0,8.74,16.26,5.87,13.65,4.2,0.44,11.6,6.0
AUS,2024-01-05,8,14,18,15,18,86.67,80.0,83.33,17.8,16.73,6.56,21.67,3.22,0.82,6.94,5.72
AUS,2024-01-05,9,16,11,18,11,83.33,77.78,54.55,6.33,14.28,4.47,8.89,4.91,0.22,15.0,23.0
AUS,2024-01-05,10,18,15,20,16,70.0,50.0,75.0,33.7,14.55,4.79,37.65,5.44,1.26,6.88,15.38
AUS,2024-01-05,11,11,15,14,15,64.29,57.14,80.0,19.57,15.14,4.89,24.07,3.2,6.53,7.0,7.33
AUS,2024-01-05,12,18,15,20,15,80.0,80.0,73.33,9.2,14.85,4.81,12.1,3.27,5.05,10.13,16.67
AUS,2024-01-05,13,14,17,17,20,64.71,58.82,80.0,27.12,13.71,3.93,30.18,2.55,2.93,3.6,14.35
AUS,2024-01-05,14,17,19,20,20,70.0,60.0,80.0,16.45,18.85,8.98,24.45,3.9,4.04,4.95,20.2
AUS,2024-01-05,15,18,21,20,26,85.0,60.0,69.23,18.2,16.3,6.27,23.15,7.85,3.43,11.38,22.27
AUS,2024-01-05,16,21,13,22,15,81.82,72.73,86.67,11.36,15.55,5.36,14.86,4.6,1.25,3.27,10.13
AUS,2024-01-05,17,12,17,12,19,83.33,83.33,78.95,6.67,14.75,5.2,9.42,3.79,2.1,3.47,8.58
AUS,2024-01-05,18,16,19,17,20,70.59,70.59,75.0,15.53,14.59,4.35,18.24,2.5,3.9,3.3,20.9
AUS,2024-01-05,19,16,11,17,15,70.59,70.59,66.67,17.18,16.76,6.79,21.88,2.27,6.13,4.2,11.33
AUS,2024-01-05,20,10,17,10,20,80.0,80.0,60.0,23.4,14.4,4.9,27.0,3.8,3.46,8.35,17.6
AUS,2024-01-05,21,9,13,13,16,53.85,53.85,75.0,20.46,14.77,5.3,23.0,2.63,2.01,4.38,17.31
AUS,2024-01-05,22,3,12,4,12,75.0,75.0,83.33,16.25,12.75,3.65,18.25,2.42,1.07,1.42,4.25
AUS,2024-01-05,23,0,18,0,18,0.0,0.0,88.89,0.0,0.0,0.0,0.0,2.72,1.47,1.39,3.0
AUS,2024-01-06,0,0,2,0,6,0.0,0.0,83.33,0.0,0.0,0.0,0.0,0.5,1.73,0.67,7.5
AUS,2024-01-06,2,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0,22.0
AUS,2024-01-06,4,0,0,1,0,100.0,100.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0
AUS,2024-01-06,5,7,1,7,2,100.0,71.43,0.0,0.71,22.0,11.57,9.86,1.5,3.0,2.5,25.5
AUS,2024-01-06,6,22,0,22,0,90.91,86.36,0.0,13.91,16.41,6.17,17.45,0.0,0.0,0.0,0.0
AUS,2024-01-06,7,23,2,25,2,100.0,88.0,100.0,1.6,16.72,6.52,6.24,1.5,4.9,3.5,0.5
AUS,2024-01-06,8,8,12,11,12,81.82,72.73,83.33,5.91,15.64,4.88,8.27,5.25,1.03,7.33,6.5
AUS,2024-01-06,9,12,10,14,10,71.43,57.14,80.0,13.36,17.21,6.98,18.14,2.4,0.29,3.4,6.7
AUS,2024-01-06,10,13,13,16,13,68.75,50.0,69.23,19.44,15.13,5.29,24.06,4.46,1.45,8.54,17.62
AUS,2024-01-06,11,11,12,13,14,53.85,53.85,71.43,18.54,14.38,4.18,21.85,5.64,1.76,6.57,13.79
AUS,2024-01-06,12,16,16,17,17,64.71,52.94,70.59,18.12,16.53,6.36,23.35,1.88,1.61,3.53,13.41
AUS,2024-01-06,13,15,15,15,16,53.33,53.33,75.0,11.0,15.8,6.21,16.13,1.88,5.66,4.0,13.56
AUS,2024-01-06,14,11,14,13,19,61.54,61.54,63.16,12.31,13.38,3.52,14.92,3.47,0.26,3.32,15.32
AUS,2024-01-06,15,16,18,18,21,66.67,55.56,61.9,11.11,15.78,5.92,15.89,3.71,1.74,10.05,16.48
AUS,2024-01-06,16,19,14,21,17,61.9,42.86,47.06,17.48,15.95,5.87,22.86,3.24,2.04,7.82,30.53
AUS,2024-01-06,17,11,13,11,16,72.73,54.55,75.0,14.36,15.55,5.78,19.27,3.88,1.35,5.94,21.88
AUS,2024-01-06,18,12,16,16,19,81.25,75.0,52.63,13.88,16.31,5.94,18.31,4.53,1.6,4.37,23.89
AUS,2024-01-06,19,14,10,15,12,33.33,33.33,66.67,33.27,16.87,6.98,39.0,2.17,2.68,5.42,11.83
AUS,2024-01-06,20,6,13,6,15,66.67,66.67,46.67,9.5,13.5,3.55,11.67,3.13,4.43,12.8,35.27
AUS,2024-01-06,21,3,13,3,12,66.67,33.33,41.67,17.67,16.67,5.53,23.33,4.67,2.99,17.83,43.67
AUS,2024-01-06,22,0,11,1,11,100.0,100.0,36.36,0.0,21.0,10.6,11.0,3.55,1.77,6.27,82.82
AUS,2024-01-06,23,0,13,0,14,0.0,0.0,57.14,0.0,0.0,0.0,0.0,4.93,8.28,8.29,21.79
AUS,2024-01-07,0,0,6,0,2,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0
AUS,2024-01-07,2,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,4.0,38.0
AUS,2024-01-07,3,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AUS,2024-01-07,4,0,0,1,0,100.0,100.0,0.0,0.0,23.0,12.6,13.0,0.0,0.0,0.0,0.0
