airport,report_date,Hour,Scheduled Departures,Scheduled Arrivals,Departures For Metric Computation,Arrivals For Metric Computation,% On-Time Gate Departures,% On-Time Airport Departures,% On-Time Gate Arrivals,Average Gate Departure Delay,Average Taxi Out Time,Average Taxi Out Delay,Average Airport Departure Delay,Average Airborne Delay,Average Taxi In Delay,Average Block Delay,Average Gate Arrival Delay
BNA,2024-01-01,0,0,4,0,4,0.0,0.0,75.0,0.0,0.0,0.0,0.0,2.75,0.45,2.0,15.0
BNA,2024-01-01,1,0,1,0,1,0.0,0.0,100.0,0.0,0.0,0.0,0.0,2.0,1.2,0.0,0.0
BNA,2024-01-01,2,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BNA,2024-01-01,3,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BNA,2024-01-01,5,15,0,15,0,86.67,86.67,0.0,2.93,15.27,5.56,6.47,0.0,0.0,0.0,0.0
BNA,2024-01-01,6,17,4,17,4,100.0,100.0,100.0,0.06,16.94,6.22,3.0,0.75,0.83,0.0,0.0
BNA,2024-01-01,7,13,12,15,12,86.67,80.0,83.33,3.93,17.4,6.39,7.47,2.17,0.82,1.67,12.17
BNA,2024-01-01,8,19,8,21,9,90.48,85.71,77.78,7.38,17.76,8.8,12.71,2.33,1.24,1.22,35.89
BNA,2024-01-01,9,6,24,7,26,57.14,57.14,96.15,16.29,13.71,4.79,19.71,4.15,0.85,1.23,1.77
BNA,2024-01-01,10,30,10,34,12,91.18,76.47,91.67,5.38,16.53,6.86,9.91,2.83,3.82,3.5,3.5
BNA,2024-01-01,11,11,15,13,15,100.0,84.62,100.0,1.85,15.38,6.11,6.23,3.13,1.65,2.4,2.73
BNA,2024-01-01,12,17,18,17,21,82.35,76.47,80.95,5.18,15.12,6.29,8.88,3.0,1.11,3.14,11.81
BNA,2024-01-01,13,18,14,20,18,85.0,85.0,83.33,7.8,16.05,6.93,11.95,3.83,0.88,4.28,7.83
BNA,2024-01-01,14,14,12,16,14,75.0,75.0,92.86,8.75,15.25,4.85,12.13,3.43,0.73,2.79,7.21
BNA,2024-01-01,15,13,20,15,23,73.33,73.33,69.57,6.93,16.0,7.03,12.6,2.91,0.97,3.0,14.91
BNA,2024-01-01,16,18,18,19,20,78.95,63.16,90.0,7.74,16.42,7.02,13.05,2.25,2.09,1.05,5.9
BNA,2024-01-01,17,16,17,17,22,82.35,70.59,63.64,7.59,16.47,6.45,12.59,3.77,1.7,4.36,13.14
BNA,2024-01-01,18,13,17,16,20,93.75,75.0,80.0,12.0,19.19,9.31,18.06,3.0,0.67,2.75,8.1
BNA,2024-01-01,19,18,16,19,18,84.21,84.21,83.33,13.68,14.16,5.36,17.63,2.0,2.04,0.61,8.83
BNA,2024-01-01,20,14,18,15,18,80.0,66.67,88.89,9.27,16.13,7.47,15.4,0.56,1.22,0.0,5.33
BNA,2024-01-01,21,14,16,14,16,85.71,64.29,68.75,7.21,14.79,6.64,12.14,1.31,1.47,0.81,26.69
BNA,2024-01-01,22,0,12,0,12,0.0,0.0,100.0,0.0,0.0,0.0,0.0,2.25,0.49,1.08,0.58
BNA,2024-01-01,23,0,8,0,9,0.0,0.0,77.78,0.0,0.0,0.0,0.0,0.78,0.63,0.11,8.0
BNA,2024-01-02,0,0,7,0,4,0.0,0.0,100.0,0.0,0.0,0.0,0.0,2.0,0.33,0.0,0.0
BNA,2024-01-02,1,0,2,0,1,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0
BNA,2024-01-02,5,18,0,18,0,100.0,94.44,0.0,0.67,16.61,7.19,5.33,0.0,0.0,0.0,0.0
BNA,2024-01-02,6,16,5,18,5,88.89,77.78,100.0,6.67,17.89,6.84,11.72,0.0,1.54,0.0,0.0
BNA,2024-01-02,7,25,12,29,12,89.66,72.41,91.67,6.24,19.0,8.94,13.07,0.42,0.41,1.08,2.5
BNA,2024-01-02,8,14,13,17,12,70.59,64.71,83.33,14.94,17.41,7.86,21.29,0.33,1.13,4.92,4.75
BNA,2024-01-02,9,13,21,17,22,52.94,41.18,81.82,18.65,15.0,5.91,23.94,0.77,1.44,0.77,29.0
BNA,2024-01-02,10,21,13,23,15,78.26,65.22,86.67,29.7,17.22,7.07,35.22,2.67,1.57,4.6,6.87
BNA,2024-01-02,11,13,26,16,28,62.5,62.5,89.29,17.13,14.75,4.93,21.25,1.57,1.24,1.25,3.36
BNA,2024-01-02,12,21,11,26,11,69.23,61.54,100.0,17.73,15.19,6.19,22.54,0.55,2.67,0.64,1.55
BNA,2024-01-02,13,15,15,18,21,66.67,61.11,66.67,15.89,14.94,5.81,19.72,2.62,2.26,3.38,15.24
BNA,2024-01-02,14,15,12,18,16,88.89,66.67,75.0,7.0,17.72,7.17,12.17,3.88,1.88,2.44,22.88
BNA,2024-01-02,15,12,16,15,19,86.67,73.33,89.47,8.27,15.6,5.86,13.13,3.58,0.72,2.32,6.0
BNA,2024-01-02,16,15,18,18,21,77.78,66.67,76.19,11.83,15.06,5.89,16.39,1.33,2.89,4.48,14.52
BNA,2024-01-02,17,19,20,21,28,66.67,57.14,57.14,15.86,17.0,7.09,21.86,2.68,2.67,5.25,21.5
BNA,2024-01-02,18,16,14,18,17,83.33,61.11,76.47,11.67,17.28,7.75,18.33,2.29,1.19,3.18,11.76
BNA,2024-01-02,19,16,21,18,21,83.33,66.67,80.95,10.72,18.17,8.27,16.0,1.1,1.36,0.1,12.24
BNA,2024-01-02,20,16,12,17,14,52.94,41.18,57.14,21.53,15.06,6.71,27.35,2.0,2.67,3.79,21.29
BNA,2024-01-02,21,9,24,11,26,45.45,36.36,76.92,31.45,15.73,6.99,36.0,1.5,3.31,1.04,10.88
BNA,2024-01-02,22,11,10,14,12,78.57,71.43,58.33,12.29,13.36,4.93,15.29,2.5,1.07,3.08,14.25
BNA,2024-01-02,23,0,11,2,12,100.0,100.0,83.33,0.0,9.0,0.0,0.0,0.83,2.5,1.33,6.25
BNA,2024-01-03,0,0,4,0,9,0.0,0.0,88.89,0.0,0.0,0.0,0.0,1.56,1.09,1.67,5.33
BNA,2024-01-03,1,0,1,0,3,0.0,0.0,33.33,0.0,0.0,0.0,0.0,0.67,0.77,3.0,25.33
BNA,2024-01-03,2,0,0,1,0,100.0,100.0,0.0,0.0,44.0,34.0,9.0,0.0,0.0,0.0,0.0
BNA,2024-01-03,4,0,0,0,2,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.5
BNA,2024-01-03,5,15,0,15,0,93.33,13.33,0.0,2.53,34.33,24.63,25.33,0.0,0.0,0.0,0.0
BNA,2024-01-03,6,20,4,21,4,90.48,9.52,75.0,4.52,42.19,31.58,33.1,0.5,1.07,2.25,3.75
BNA,2024-01-03,7,16,13,19,15,78.95,31.58,86.67,16.58,27.63,16.67,31.53,0.73,0.99,1.6,11.93
BNA,2024-01-03,8,20,12,23,15,82.61,73.91,80.0,8.17,15.04,6.07,13.61,1.87,2.17,4.0,6.73
BNA,2024-01-03,9,8,24,13,27,92.31,76.92,85.19,3.85,14.08,4.34,7.62,3.22,2.25,3.04,5.85
BNA,2024-01-03,10,29,10,34,11,76.47,64.71,63.64,7.91,14.03,4.67,11.85,2.64,1.97,5.73,7.82
BNA,2024-01-03,11,9,18,11,18,81.82,63.64,94.44,13.64,15.73,6.22,18.73,1.17,3.66,1.06,5.28
BNA,2024-01-03,12,18,19,21,21,76.19,71.43,85.71,10.1,12.71,3.67,12.38,2.05,1.51,2.33,13.71
BNA,2024-01-03,13,18,13,19,17,68.42,68.42,64.71,19.79,12.26,3.34,22.21,3.24,2.59,3.82,19.12
BNA,2024-01-03,14,12,13,16,16,75.0,75.0,62.5,9.75,11.63,1.7,10.5,4.44,1.67,4.63,23.56
BNA,2024-01-03,15,15,19,17,24,64.71,58.82,79.17,21.88,14.18,4.97,26.41,3.38,2.73,3.63,10.67
BNA,2024-01-03,16,17,16,18,19,61.11,61.11,73.68,9.39,14.39,5.64,13.11,1.89,3.75,3.0,10.05
BNA,2024-01-03,17,19,17,21,21,71.43,71.43,71.43,19.62,13.05,3.08,20.95,2.1,4.35,3.19,15.0
BNA,2024-01-03,18,13,18,16,22,75.0,68.75,77.27,20.56,13.69,4.25,24.0,2.82,2.1,2.18,12.5
BNA,2024-01-03,19,20,16,21,18,80.95,76.19,61.11,13.76,11.76,2.8,15.43,2.94,2.43,9.5,20.0
BNA,2024-01-03,20,12,17,15,18,66.67,60.0,88.89,15.0,11.27,2.73,17.07,0.72,3.05,0.5,7.39
BNA,2024-01-03,21,14,17,15,19,46.67,53.33,78.95,17.53,11.2,3.2,20.47,0.84,2.42,1.37,6.95
BNA,2024-01-03,22,0,13,1,13,100.0,100.0,69.23,0.0,8.0,0.0,0.0,1.38,5.56,4.69,15.38
BNA,2024-01-03,23,0,10,3,13,100.0,100.0,76.92,0.0,9.33,0.0,0.0,1.08,0.99,1.23,9.62
BNA,2024-01-04,0,0,4,0,5,0.0,0.0,60.0,0.0,0.0,0.0,0.0,1.0,0.64,0.4,16.0
BNA,2024-01-04,1,0,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.2,0.0,45.0
BNA,2024-01-04,2,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.9,9.0,30.0
BNA,2024-01-04,4,0,0,0,2,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,3.0
BNA,2024-01-04,5,15,0,16,0,100.0,100.0,0.0,0.0,15.25,5.63,3.25,0.0,0.0,0.0,0.0
BNA,2024-01-04,6,17,4,17,4,94.12,88.24,100.0,9.65,17.76,7.14,13.18,2.0,0.83,0.0,0.0
BNA,2024-01-04,7,15,15,16,17,93.75,93.75,94.12,1.63,17.56,6.64,4.88,2.76,0.82,1.24,3.29
BNA,2024-01-04,8,23,11,24,15,91.67,62.5,60.0,1.88,22.17,13.07,12.0,4.53,0.77,2.07,23.33
BNA,2024-01-04,9,8,24,9,26,77.78,66.67,88.46,10.44,16.67,6.88,15.89,5.88,0.83,1.62,8.92
BNA,2024-01-04,10,29,10,33,10,87.88,69.7,100.0,8.55,17.12,7.4,13.45,2.9,1.74,0.5,0.3
BNA,2024-01-04,11,12,16,14,17,92.86,85.71,94.12,1.43,15.43,5.71,4.86,2.41,1.61,0.18,2.94
BNA,2024-01-04,12,16,17,19,18,84.21,63.16,88.89,6.95,16.11,7.16,11.79,3.39,0.63,2.39,4.89
BNA,2024-01-04,13,14,15,14,18,85.71,57.14,83.33,5.79,17.86,9.11,12.71,3.33,2.22,3.17,12.06
BNA,2024-01-04,14,15,12,17,13,88.24,76.47,76.92,9.29,15.59,5.39,13.0,2.0,0.27,0.62,13.15
BNA,2024-01-04,15,15,20,17,21,82.35,58.82,90.48,10.88,16.82,7.56,17.29,1.76,1.6,0.43,7.86
