airport,report_date,Hour,Scheduled Departures,Scheduled Arrivals,Departures For Metric Computation,Arrivals For Metric Computation,% On-Time Gate Departures,% On-Time Airport Departures,% On-Time Gate Arrivals,Average Gate Departure Delay,Average Taxi Out Time,Average Taxi Out Delay,Average Airport Departure Delay,Average Airborne Delay,Average Taxi In Delay,Average Block Delay,Average Gate Arrival Delay
BOS,2024-01-01,0,1,12,1,8,100.0,100.0,62.5,1.0,17.0,3.6,5.0,0.88,16.39,11.38,17.63
BOS,2024-01-01,1,0,3,0,2,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,2.3,0.0,4.0
BOS,2024-01-01,3,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BOS,2024-01-01,4,1,2,1,1,100.0,100.0,0.0,0.0,25.0,11.0,11.0,0.0,5.7,3.0,101.0
BOS,2024-01-01,5,12,5,12,3,100.0,100.0,66.67,0.5,13.75,1.45,1.17,48.33,6.53,54.33,91.67
BOS,2024-01-01,6,24,6,24,4,91.67,91.67,100.0,7.75,16.29,2.99,9.13,2.75,2.25,4.25,5.5
BOS,2024-01-01,7,39,11,38,8,86.84,86.84,100.0,6.74,15.5,2.11,7.63,4.75,2.96,2.75,1.5
BOS,2024-01-01,8,27,15,28,12,92.86,92.86,91.67,4.29,14.75,2.14,5.39,2.42,3.03,2.67,4.42
BOS,2024-01-01,9,25,14,26,15,80.77,80.77,86.67,15.27,13.15,1.25,15.96,2.2,3.64,0.47,42.6
BOS,2024-01-01,10,20,19,20,18,95.0,90.0,88.89,6.45,14.65,1.49,6.6,2.0,3.02,2.67,13.39
BOS,2024-01-01,11,20,23,19,25,84.21,84.21,92.0,6.21,12.53,0.58,6.16,2.28,2.76,2.4,2.76
BOS,2024-01-01,12,29,19,31,22,83.87,80.65,90.91,19.06,12.87,1.28,19.58,2.36,4.5,4.36,4.41
BOS,2024-01-01,13,17,30,19,29,78.95,78.95,86.21,12.47,11.53,0.24,12.16,2.72,4.56,3.28,9.41
BOS,2024-01-01,14,21,26,21,31,80.95,76.19,74.19,16.38,13.76,1.54,17.24,3.23,6.19,3.58,28.48
BOS,2024-01-01,15,21,25,26,28,73.08,73.08,75.0,13.35,13.54,1.26,14.23,2.0,3.57,4.96,10.57
BOS,2024-01-01,16,26,27,27,37,66.67,62.96,70.27,20.48,13.63,1.85,20.96,2.86,3.43,7.0,16.76
BOS,2024-01-01,17,35,32,35,32,57.14,45.71,75.0,15.23,18.97,5.27,19.31,2.53,5.52,6.91,19.31
BOS,2024-01-01,18,29,25,30,29,70.0,66.67,68.97,18.17,16.7,3.25,20.7,4.93,5.46,6.62,15.31
BOS,2024-01-01,19,19,16,22,19,68.18,63.64,73.68,19.5,15.32,2.47,20.86,2.74,3.26,6.32,12.05
BOS,2024-01-01,20,11,23,11,23,90.91,81.82,69.57,3.0,14.64,2.11,4.09,3.65,4.12,7.04,11.91
BOS,2024-01-01,21,14,15,12,16,83.33,83.33,81.25,9.75,17.0,3.97,11.83,1.69,4.15,4.38,9.06
BOS,2024-01-01,22,5,23,4,23,75.0,75.0,69.57,36.25,17.25,4.4,37.75,4.39,2.4,7.52,15.48
BOS,2024-01-01,23,3,24,2,24,0.0,0.0,70.83,40.5,15.5,2.5,42.0,2.88,2.15,6.13,18.46
BOS,2024-01-02,0,1,13,1,12,100.0,100.0,50.0,0.0,22.0,8.6,8.0,1.75,2.22,5.08,26.92
BOS,2024-01-02,1,0,3,0,3,0.0,0.0,33.33,0.0,0.0,0.0,0.0,0.0,1.5,0.0,55.67
BOS,2024-01-02,2,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BOS,2024-01-02,4,1,0,1,1,100.0,100.0,100.0,10.0,14.0,0.0,10.0,0.0,1.7,2.0,3.0
BOS,2024-01-02,5,17,6,19,6,78.95,47.37,83.33,8.84,24.95,11.49,17.68,0.17,3.2,8.33,8.5
BOS,2024-01-02,6,26,8,26,7,96.15,57.69,71.43,1.88,29.31,15.19,14.81,2.86,6.39,10.29,20.29
BOS,2024-01-02,7,43,11,45,9,88.89,57.78,77.78,2.8,30.98,16.42,15.89,0.0,4.17,5.67,4.67
BOS,2024-01-02,8,32,20,33,19,84.85,60.61,94.74,26.7,23.67,9.49,34.3,0.63,4.33,3.26,2.58
BOS,2024-01-02,9,24,20,26,19,92.31,84.62,57.89,3.15,18.08,5.3,7.04,1.32,1.86,9.37,16.53
BOS,2024-01-02,10,26,21,27,22,51.85,48.15,72.73,21.33,19.3,5.18,25.7,0.32,3.64,6.86,10.27
BOS,2024-01-02,11,23,26,21,24,80.95,66.67,79.17,9.67,20.62,6.91,14.9,0.38,4.65,4.33,9.33
BOS,2024-01-02,12,29,21,31,23,77.42,67.74,95.65,8.1,18.0,4.65,11.68,3.39,1.38,2.91,4.43
BOS,2024-01-02,13,20,31,24,32,83.33,79.17,81.25,8.75,15.63,3.13,11.25,3.38,4.52,6.5,8.53
BOS,2024-01-02,14,17,30,16,32,62.5,62.5,71.88,12.13,18.44,4.94,16.56,2.5,1.63,6.22,12.59
BOS,2024-01-02,15,25,22,30,26,63.33,56.67,69.23,17.8,19.13,5.63,22.43,2.19,1.82,8.85,16.77
BOS,2024-01-02,16,22,32,25,35,68.0,64.0,57.14,14.68,20.72,6.97,20.84,2.06,2.39,5.86,31.46
BOS,2024-01-02,17,31,35,33,36,63.64,51.52,69.44,34.36,21.27,7.72,40.67,3.36,2.63,3.89,18.53
BOS,2024-01-02,18,37,26,37,31,72.97,45.95,74.19,15.35,22.3,8.28,22.89,3.19,3.06,4.06,13.65
BOS,2024-01-02,19,24,22,25,23,72.0,56.0,69.57,16.0,20.28,5.9,20.44,1.52,4.63,3.17,12.78
BOS,2024-01-02,20,13,23,13,24,76.92,69.23,58.33,10.85,17.23,3.6,13.85,3.17,5.17,8.08,25.58
BOS,2024-01-02,21,15,18,17,19,76.47,76.47,47.37,13.35,18.0,4.36,17.12,4.05,2.74,5.37,32.11
BOS,2024-01-02,22,10,23,15,22,73.33,73.33,59.09,44.87,15.47,2.73,46.73,1.77,1.87,3.91,24.18
