airport,report_date,Hour,Scheduled Departures,Scheduled Arrivals,Departures For Metric Computation,Arrivals For Metric Computation,% On-Time Gate Departures,% On-Time Airport Departures,% On-Time Gate Arrivals,Average Gate Departure Delay,Average Taxi Out Time,Average Taxi Out Delay,Average Airport Departure Delay,Average Airborne Delay,Average Taxi In Delay,Average Block Delay,Average Gate Arrival Delay
CLT,2024-01-01,0,0,4,0,3,0.0,0.0,33.33,0.0,0.0,0.0,0.0,0.0,2.8,0.0,43.0
CLT,2024-01-01,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CLT,2024-01-01,4,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CLT,2024-01-01,5,1,7,1,4,100.0,100.0,100.0,0.0,8.0,0.0,0.0,0.0,1.9,0.0,0.0
CLT,2024-01-01,6,8,8,9,6,88.89,88.89,100.0,21.44,13.89,1.99,22.67,0.5,2.17,0.0,2.0
CLT,2024-01-01,7,14,14,14,14,85.71,85.71,92.86,5.14,13.86,1.47,5.0,1.43,1.37,0.0,1.21
CLT,2024-01-01,8,4,61,5,62,100.0,100.0,83.87,0.0,14.8,2.96,1.6,3.84,4.24,2.0,18.98
CLT,2024-01-01,9,79,21,80,21,95.0,88.75,85.71,1.77,19.68,6.54,5.13,0.81,6.49,1.62,3.48
CLT,2024-01-01,10,13,63,16,64,81.25,81.25,90.63,18.06,16.56,3.7,19.69,3.63,6.77,1.97,8.45
CLT,2024-01-01,11,80,14,84,16,91.67,89.29,93.75,3.56,17.76,4.75,5.87,1.5,6.6,2.19,3.63
CLT,2024-01-01,12,10,39,11,39,81.82,81.82,100.0,7.82,14.55,2.21,9.73,3.59,4.87,0.21,0.23
CLT,2024-01-01,13,56,48,57,50,91.23,82.46,90.0,6.63,20.26,7.25,10.56,2.94,5.0,1.52,19.34
CLT,2024-01-01,14,51,24,51,24,86.27,84.31,87.5,9.76,19.59,6.5,13.43,3.67,4.24,1.88,3.29
CLT,2024-01-01,15,18,55,19,55,84.21,84.21,89.09,7.53,17.95,5.03,9.84,3.6,4.44,0.53,11.18
CLT,2024-01-01,16,65,31,67,32,73.13,62.69,84.38,22.88,19.21,5.98,26.96,2.66,6.13,3.53,4.53
CLT,2024-01-01,17,17,53,19,54,78.95,68.42,92.59,28.74,20.32,7.28,33.37,4.13,6.72,1.96,3.0
CLT,2024-01-01,18,63,26,60,27,83.33,78.33,81.48,15.23,19.3,5.8,18.65,2.48,9.41,3.22,8.52
CLT,2024-01-01,19,14,72,14,72,78.57,71.43,83.33,7.43,20.79,7.46,11.64,4.14,8.13,4.49,11.58
CLT,2024-01-01,20,66,30,68,30,82.35,64.71,70.0,9.99,23.25,9.84,17.63,2.57,12.29,4.5,12.2
CLT,2024-01-01,21,27,67,27,67,70.37,59.26,82.09,11.85,21.52,8.16,17.11,3.88,8.06,3.25,12.09
CLT,2024-01-01,22,60,5,60,6,83.33,80.0,100.0,9.8,17.45,4.54,12.13,0.0,7.47,1.67,1.33
CLT,2024-01-01,23,1,5,1,7,100.0,100.0,85.71,0.0,14.0,0.0,0.0,1.86,1.2,0.86,8.86
CLT,2024-01-02,0,0,2,0,4,0.0,0.0,75.0,0.0,0.0,0.0,0.0,1.0,2.6,0.0,16.75
CLT,2024-01-02,1,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CLT,2024-01-02,2,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CLT,2024-01-02,3,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CLT,2024-01-02,4,0,1,0,1,0.0,0.0,100.0,0.0,0.0,0.0,0.0,3.0,0.4,0.0,0.0
CLT,2024-01-02,5,3,8,5,7,100.0,40.0,71.43,1.8,30.4,16.9,16.2,1.86,1.71,0.86,15.14
CLT,2024-01-02,6,9,33,9,33,88.89,33.33,96.97,12.11,27.44,13.58,25.0,2.48,3.41,1.33,1.42
CLT,2024-01-02,7,56,17,57,17,92.98,68.42,94.12,3.89,25.3,11.51,12.86,0.0,3.33,0.76,3.47
CLT,2024-01-02,8,8,69,8,68,75.0,75.0,89.71,13.38,19.38,5.95,16.88,0.15,8.09,5.15,4.06
CLT,2024-01-02,9,90,25,92,25,93.48,68.48,64.0,3.47,26.23,12.89,13.16,0.32,8.74,7.24,10.84
CLT,2024-01-02,10,14,67,14,66,57.14,64.29,87.88,13.93,20.14,6.9,18.36,0.09,7.05,3.21,14.08
CLT,2024-01-02,11,81,17,84,20,79.76,61.9,75.0,13.83,21.88,8.48,20.56,0.7,4.95,2.55,6.2
CLT,2024-01-02,12,13,48,16,48,81.25,75.0,89.58,10.81,18.44,5.51,14.88,0.25,6.27,2.65,3.96
CLT,2024-01-02,13,55,49,55,52,89.09,76.36,80.77,8.15,20.44,7.31,12.33,2.54,5.05,4.0,20.71
CLT,2024-01-02,14,50,26,51,27,84.31,78.43,88.89,6.51,19.16,5.75,10.24,3.11,4.81,0.89,3.74
CLT,2024-01-02,15,19,57,21,56,80.95,80.95,80.36,8.71,20.14,7.15,12.62,3.98,4.32,2.09,9.91
CLT,2024-01-02,16,65,33,66,34,75.76,57.58,76.47,16.45,21.15,7.98,22.29,4.21,6.07,4.06,16.47
CLT,2024-01-02,17,19,53,18,55,72.22,66.67,87.27,14.39,19.83,6.42,18.28,2.95,8.46,2.51,18.82
CLT,2024-01-02,18,64,24,65,25,75.38,66.15,76.0,18.6,19.25,5.61,22.68,2.24,5.49,4.88,12.32
CLT,2024-01-02,19,13,75,14,78,64.29,64.29,80.77,15.21,18.14,4.67,17.64,5.23,5.12,4.05,8.31
CLT,2024-01-02,20,68,29,69,32,81.16,52.17,81.25,8.86,26.22,12.61,19.33,2.22,13.4,6.16,11.0
CLT,2024-01-02,21,26,67,28,68,75.0,53.57,80.88,32.93,23.36,10.35,40.39,4.97,7.58,4.07,16.85
CLT,2024-01-02,22,60,6,62,6,80.65,70.97,100.0,10.06,18.35,5.31,12.85,2.0,2.97,0.0,0.0
CLT,2024-01-02,23,1,7,1,7,100.0,100.0,57.14,0.0,22.0,7.6,2.0,0.71,1.4,0.0,13.57
CLT,2024-01-03,0,0,3,0,2,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,12.0
CLT,2024-01-03,1,0,0,0,3,0.0,0.0,33.33,0.0,0.0,0.0,0.0,1.33,3.0,5.67,24.67
CLT,2024-01-03,2,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CLT,2024-01-03,3,0,0,1,0,100.0,100.0,0.0,0.0,13.0,0.1,0.0,0.0,0.0,0.0,0.0
CLT,2024-01-03,4,0,1,1,2,100.0,100.0,100.0,0.0,17.0,4.1,4.0,0.0,0.7,0.0,2.0
CLT,2024-01-03,5,3,8,3,11,100.0,66.67,63.64,3.0,31.0,17.1,18.0,1.18,0.98,1.27,9.73
CLT,2024-01-03,6,8,33,8,33,100.0,25.0,87.88,3.13,35.38,21.24,23.0,2.45,2.97,3.24,6.76
CLT,2024-01-03,7,56,17,57,17,92.98,43.86,94.12,4.23,31.96,18.26,20.33,0.94,5.95,4.29,3.06
CLT,2024-01-03,8,9,70,12,71,75.0,66.67,84.51,10.25,18.5,5.9,15.5,2.82,6.16,5.07,17.1
CLT,2024-01-03,9,90,23,91,23,87.91,68.13,82.61,6.82,23.88,10.64,14.43,0.91,7.08,5.26,6.22
CLT,2024-01-03,10,13,67,15,67,80.0,66.67,92.54,14.27,20.8,7.25,19.07,3.69,7.47,1.81,7.15
CLT,2024-01-03,11,81,17,81,18,85.19,53.09,66.67,13.06,24.93,11.54,23.2,2.06,8.74,6.61,41.78
CLT,2024-01-03,12,11,47,12,48,66.67,66.67,85.42,18.25,16.0,3.39,19.5,3.6,7.28,1.58,7.88
CLT,2024-01-03,13,56,49,58,50,87.93,68.97,84.0,4.93,20.76,7.37,10.36,2.86,5.52,1.32,6.5
CLT,2024-01-03,14,50,27,50,28,80.0,72.0,82.14,13.06,18.34,5.13,16.58,4.57,5.12,1.86,25.75
CLT,2024-01-03,15,20,56,20,57,70.0,65.0,84.21,26.95,19.65,7.03,31.5,3.44,5.24,1.63,17.26
CLT,2024-01-03,16,65,32,68,35,73.53,54.41,82.86,16.43,23.07,9.86,24.62,3.03,6.48,2.23,8.77
CLT,2024-01-03,17,18,53,19,57,73.68,63.16,85.96,14.16,21.63,8.29,19.84,4.0,7.29,2.74,7.28
CLT,2024-01-03,18,64,26,67,29,73.13,62.69,72.41,16.99,18.88,5.72,21.13,2.79,5.46,3.28,19.17
CLT,2024-01-03,19,15,74,16,75,68.75,62.5,82.67,15.81,19.94,6.91,21.13,4.73,6.8,3.17,12.81
CLT,2024-01-03,20,67,31,69,28,81.16,57.97,75.0,11.0,23.03,9.66,18.48,3.14,8.04,2.96,19.04
CLT,2024-01-03,21,27,68,29,69,79.31,65.52,73.91,13.24,24.59,11.24,21.24,3.78,7.88,3.46,12.9
CLT,2024-01-03,22,60,5,63,5,79.37,68.25,80.0,11.19,19.29,6.53,14.84,1.0,8.96,0.4,22.2
CLT,2024-01-03,23,1,7,2,7,100.0,100.0,71.43,0.0,15.5,2.3,2.5,0.86,2.4,4.86,10.71
CLT,2024-01-04,0,0,4,0,4,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.25,2.7,0.0,35.5
CLT,2024-01-04,1,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,28.0
CLT,2024-01-04,2,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CLT,2024-01-04,4,0,1,1,2,100.0,100.0,100.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0
CLT,2024-01-04,5,3,8,4,11,100.0,50.0,81.82,0.0,21.75,9.8,8.0,1.82,0.56,4.91,7.27
CLT,2024-01-04,6,8,33,10,33,100.0,60.0,96.97,1.2,32.0,18.11,16.5,4.06,2.05,0.7,1.88
CLT,2024-01-04,7,57,17,58,18,93.1,68.97,94.44,4.93,23.02,9.52,11.95,2.89,4.81,1.89,1.94
CLT,2024-01-04,8,10,70,13,71,76.92,69.23,91.55,12.92,18.69,6.06,16.77,8.75,5.25,4.73,3.82
CLT,2024-01-04,9,92,24,94,24,93.62,75.53,79.17,3.82,23.34,10.06,10.44,3.33,7.7,5.21,6.33
CLT,2024-01-04,10,12,66,12,66,83.33,83.33,83.33,12.5,16.58,3.53,13.83,7.42,7.19,3.95,8.2
CLT,2024-01-04,11,74,18,75,18,88.0,81.33,100.0,10.52,18.19,5.08,13.63,2.17,3.19,0.0,0.06
CLT,2024-01-04,12,12,47,12,49,91.67,91.67,89.8,1.75,14.92,2.26,3.17,5.78,4.93,1.2,7.2
CLT,2024-01-04,13,53,49,55,52,96.36,94.55,92.31,1.69,19.71,6.57,5.05,5.27,5.81,4.35,6.81
CLT,2024-01-04,14,44,27,46,28,89.13,84.78,89.29,7.59,18.54,5.37,10.48,4.14,3.77,0.79,4.57
CLT,2024-01-04,15,15,56,15,58,86.67,86.67,87.93,5.33,19.0,6.08,8.2,3.45,7.34,1.79,7.24
CLT,2024-01-04,16,57,33,60,37,85.0,76.67,83.78,6.85,18.9,5.68,10.42,2.68,9.21,3.76,19.05
CLT,2024-01-04,17,18,54,22,57,100.0,81.82,82.46,1.32,23.5,10.36,8.68,3.86,7.83,2.51,7.25
CLT,2024-01-04,18,68,28,67,29,85.07,68.66,79.31,11.75,22.33,8.74,18.22,2.52,13.58,6.93,9.93
CLT,2024-01-04,19,10,67,11,69,72.73,72.73,81.16,8.55,18.82,5.87,11.64,4.91,11.23,6.13,11.65
CLT,2024-01-04,20,64,6,64,8,75.0,68.75,75.0,12.5,17.69,4.58,15.13,1.63,3.6,0.0,8.38
CLT,2024-01-04,21,20,7,21,7,66.67,57.14,71.43,11.81,17.95,5.06,15.19,2.14,4.0,0.43,11.14
