airport,report_date,Hour,Scheduled Departures,Scheduled Arrivals,Departures For Metric Computation,Arrivals For Metric Computation,% On-Time Gate Departures,% On-Time Airport Departures,% On-Time Gate Arrivals,Average Gate Departure Delay,Average Taxi Out Time,Average Taxi Out Delay,Average Airport Departure Delay,Average Airborne Delay,Average Taxi In Delay,Average Block Delay,Average Gate Arrival Delay
DEN,2024-01-01,0,5,12,5,7,80.0,60.0,71.43,33.6,21.8,11.46,43.6,1.86,4.17,1.71,14.29
DEN,2024-01-01,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DEN,2024-01-01,2,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DEN,2024-01-01,3,0,1,0,1,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,8.2,4.0,0.0
DEN,2024-01-01,4,0,2,0,2,0.0,0.0,100.0,0.0,0.0,0.0,0.0,3.5,3.2,0.0,4.5
DEN,2024-01-01,5,20,0,20,0,95.0,90.0,0.0,14.55,16.95,7.46,19.45,0.0,0.0,0.0,0.0
DEN,2024-01-01,6,27,19,27,19,96.3,62.96,84.21,1.96,25.22,15.17,14.22,2.16,1.14,2.05,17.26
DEN,2024-01-01,7,39,36,40,36,95.0,70.0,97.22,2.03,20.08,9.76,8.95,2.56,1.39,0.75,7.78
DEN,2024-01-01,8,42,64,43,70,95.35,81.4,85.71,4.86,16.95,6.75,9.53,1.84,1.11,1.7,13.64
DEN,2024-01-01,9,62,31,65,32,92.31,78.46,87.5,5.22,18.31,7.83,11.02,2.63,1.59,1.72,4.38
DEN,2024-01-01,10,60,104,61,104,86.89,70.49,92.31,5.56,19.74,9.09,11.87,3.11,6.87,3.46,6.54
DEN,2024-01-01,11,91,36,93,37,89.25,84.95,89.19,6.71,15.35,4.69,9.69,3.54,2.44,1.65,6.3
DEN,2024-01-01,12,36,59,37,61,83.78,81.08,91.8,5.76,12.73,2.47,6.84,1.7,1.16,0.89,4.95
DEN,2024-01-01,13,69,22,72,24,84.72,84.72,91.67,6.89,15.49,4.86,10.26,3.5,0.98,0.21,6.83
DEN,2024-01-01,14,24,69,27,72,74.07,77.78,90.28,7.78,13.22,3.39,9.59,2.49,1.55,1.0,6.08
DEN,2024-01-01,15,58,36,61,36,81.97,75.41,88.89,12.38,15.79,5.25,16.61,1.94,2.19,1.06,8.08
DEN,2024-01-01,16,48,80,48,85,81.25,75.0,91.76,12.85,14.15,3.83,15.5,2.24,2.67,1.74,5.34
DEN,2024-01-01,17,82,61,83,65,81.93,71.08,93.85,7.47,18.45,7.71,13.63,2.49,4.38,1.88,4.22
DEN,2024-01-01,18,44,69,45,69,82.22,75.56,88.41,7.56,16.4,6.02,11.98,2.35,5.21,1.94,7.25
DEN,2024-01-01,19,75,67,76,68,72.37,63.16,89.71,29.39,15.89,5.22,33.74,1.87,4.76,1.43,6.06
