airport,report_date,Hour,Scheduled Departures,Scheduled Arrivals,Departures For Metric Computation,Arrivals For Metric Computation,% On-Time Gate Departures,% On-Time Airport Departures,% On-Time Gate Arrivals,Average Gate Departure Delay,Average Taxi Out Time,Average Taxi Out Delay,Average Airport Departure Delay,Average Airborne Delay,Average Taxi In Delay,Average Block Delay,Average Gate Arrival Delay
DTW,2024-01-01,0,0,6,0,5,0.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,3.4,2.0,29.4
DTW,2024-01-01,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DTW,2024-01-01,2,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DTW,2024-01-01,4,0,1,0,1,0.0,0.0,100.0,0.0,0.0,0.0,0.0,1.0,10.6,5.0,0.0
DTW,2024-01-01,5,7,4,7,4,100.0,100.0,75.0,0.0,20.29,8.11,4.86,0.25,5.63,7.25,10.0
DTW,2024-01-01,6,11,4,12,5,91.67,91.67,100.0,2.42,17.5,4.66,6.17,2.0,1.94,3.4,0.0
DTW,2024-01-01,7,8,30,8,30,100.0,87.5,96.67,2.0,18.75,4.22,3.63,0.87,1.92,2.53,1.93
DTW,2024-01-01,8,38,6,39,7,84.62,79.49,71.43,9.9,18.49,3.92,13.0,3.43,2.34,6.71,78.14
DTW,2024-01-01,9,10,23,10,23,100.0,100.0,86.96,0.6,15.9,1.83,1.5,0.96,1.96,1.61,20.17
DTW,2024-01-01,10,43,11,44,11,100.0,100.0,90.91,1.02,15.64,2.06,1.8,1.09,0.8,2.27,26.27
DTW,2024-01-01,11,9,14,9,14,100.0,100.0,85.71,0.56,15.78,3.52,1.11,0.86,1.23,0.71,12.71
DTW,2024-01-01,12,22,7,22,7,90.91,90.91,71.43,6.95,13.36,1.2,7.05,0.0,0.87,3.0,28.43
DTW,2024-01-01,13,5,16,5,16,100.0,60.0,93.75,4.4,20.4,9.4,11.8,0.38,1.53,0.81,1.13
DTW,2024-01-01,14,11,26,11,26,81.82,81.82,92.31,13.36,16.64,4.0,16.0,1.96,1.29,2.85,8.62
DTW,2024-01-01,15,17,38,19,40,84.21,73.68,87.5,10.42,17.84,3.77,13.11,2.6,2.12,2.48,7.75
DTW,2024-01-01,16,32,11,32,11,90.63,78.13,100.0,2.59,24.5,10.38,10.81,1.55,6.02,2.36,2.0
DTW,2024-01-01,17,10,13,11,13,72.73,63.64,76.92,14.82,15.55,3.34,17.36,3.31,1.43,4.31,14.23
DTW,2024-01-01,18,12,13,12,13,83.33,66.67,100.0,9.0,22.17,8.44,15.92,0.69,0.84,1.23,1.46
DTW,2024-01-01,19,11,32,11,32,90.91,81.82,90.63,3.45,18.09,5.32,7.0,0.72,2.62,1.03,18.0
