airport,report_date,Hour,Scheduled Departures,Scheduled Arrivals,Departures For Metric Computation,Arrivals For Metric Computation,% On-Time Gate Departures,% On-Time Airport Departures,% On-Time Gate Arrivals,Average Gate Departure Delay,Average Taxi Out Time,Average Taxi Out Delay,Average Airport Departure Delay,Average Airborne Delay,Average Taxi In Delay,Average Block Delay,Average Gate Arrival Delay
HNL,2024-01-01,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HNL,2024-01-01,1,0,0,3,2,100.0,100.0,0.0,1.67,14.0,2.8,4.33,0.0,2.7,0.0,407.5
HNL,2024-01-01,2,0,1,1,4,100.0,100.0,0.0,0.0,11.0,0.0,0.0,0.0,0.73,0.0,315.0
HNL,2024-01-01,3,0,0,2,4,50.0,50.0,50.0,15.0,13.5,2.2,17.0,2.5,0.38,5.25,104.25
HNL,2024-01-01,4,0,0,1,1,100.0,100.0,100.0,0.0,13.0,1.4,1.0,0.0,0.5,0.0,0.0
HNL,2024-01-01,5,2,2,5,4,60.0,60.0,75.0,14.0,11.0,0.36,14.0,0.0,1.98,0.0,5.5
HNL,2024-01-01,6,12,8,12,8,91.67,91.67,100.0,2.42,12.67,2.07,2.58,0.63,1.39,0.5,0.38
HNL,2024-01-01,7,11,7,13,9,100.0,84.62,88.89,3.23,15.85,4.79,7.69,0.22,0.97,0.56,3.11
HNL,2024-01-01,8,18,14,15,10,93.33,93.33,90.0,1.0,14.07,2.59,1.67,1.3,0.68,2.1,3.7
HNL,2024-01-01,9,10,19,11,19,100.0,100.0,94.74,0.73,15.0,4.11,3.27,0.47,0.94,0.42,1.79
HNL,2024-01-01,10,7,13,9,12,100.0,100.0,100.0,0.56,12.33,1.67,1.11,0.5,2.61,0.67,0.25
HNL,2024-01-01,11,16,18,20,18,100.0,85.0,88.89,1.9,15.4,4.67,5.55,2.0,3.56,6.06,6.94
HNL,2024-01-01,12,16,17,19,17,100.0,89.47,82.35,2.63,18.79,7.37,8.47,3.71,1.87,2.12,7.71
HNL,2024-01-01,13,16,18,14,18,85.71,71.43,77.78,4.86,17.21,5.91,9.0,2.06,2.07,2.44,7.72
