airport,report_date,Hour,Scheduled Departures,Scheduled Arrivals,Departures For Metric Computation,Arrivals For Metric Computation,% On-Time Gate Departures,% On-Time Airport Departures,% On-Time Gate Arrivals,Average Gate Departure Delay,Average Taxi Out Time,Average Taxi Out Delay,Average Airport Departure Delay,Average Airborne Delay,Average Taxi In Delay,Average Block Delay,Average Gate Arrival Delay
IAD,2024-01-01,0,0,4,0,4,0.0,0.0,100.0,0.0,0.0,0.0,0.0,1.75,1.38,0.0,0.25
IAD,2024-01-01,1,3,1,3,1,100.0,100.0,100.0,0.0,14.67,2.5,0.0,0.0,0.5,0.0,0.0
IAD,2024-01-01,2,0,0,0,1,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,4.5,0.0,0.0
IAD,2024-01-01,3,1,2,1,1,100.0,100.0,100.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0
IAD,2024-01-01,4,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IAD,2024-01-01,5,1,4,2,5,50.0,50.0,80.0,14.5,13.5,1.25,16.0,2.2,2.44,0.0,19.8
IAD,2024-01-01,6,7,6,8,5,87.5,87.5,100.0,3.88,16.0,3.63,5.0,0.8,0.44,1.6,0.0
IAD,2024-01-01,7,2,16,2,17,100.0,100.0,100.0,0.0,13.0,0.0,0.0,2.24,1.61,1.88,0.94
IAD,2024-01-01,8,43,2,44,5,90.91,88.64,60.0,13.25,16.45,4.52,15.89,4.0,0.3,4.2,93.6
IAD,2024-01-01,9,9,2,17,4,76.47,70.59,25.0,12.47,17.88,5.81,16.18,2.75,1.88,6.25,26.75
IAD,2024-01-01,10,3,3,5,5,40.0,40.0,40.0,26.6,15.8,3.4,29.6,3.4,0.2,12.2,24.0
IAD,2024-01-01,11,5,48,11,52,100.0,72.73,76.92,0.55,19.18,7.05,7.64,2.77,1.82,3.35,11.46
IAD,2024-01-01,12,44,2,47,4,85.11,40.43,50.0,9.68,34.77,22.48,29.89,1.0,1.75,1.75,14.0
IAD,2024-01-01,13,8,2,12,3,66.67,66.67,66.67,15.25,20.92,8.61,21.83,0.0,0.33,8.0,20.33
IAD,2024-01-01,14,3,15,8,18,87.5,87.5,83.33,4.63,15.5,2.81,6.88,2.5,1.43,4.89,17.11
IAD,2024-01-01,15,4,36,7,44,71.43,71.43,75.0,17.43,16.29,3.93,20.86,5.34,1.5,6.73,12.07
IAD,2024-01-01,16,6,54,9,60,66.67,66.67,63.33,19.44,19.22,6.94,26.44,7.35,2.7,9.03,15.52
IAD,2024-01-01,17,73,3,76,10,75.0,44.74,50.0,13.22,24.55,12.34,24.38,2.7,2.36,8.3,19.8
IAD,2024-01-01,18,19,8,20,12,75.0,65.0,66.67,8.4,19.25,7.06,13.55,2.42,1.39,3.83,13.92
IAD,2024-01-01,19,7,7,7,11,85.71,85.71,45.45,4.71,12.86,1.43,5.14,1.55,0.65,5.55,30.18
IAD,2024-01-01,20,6,22,5,20,60.0,40.0,90.0,18.0,23.0,10.5,27.6,1.0,1.22,2.2,3.35
IAD,2024-01-01,21,3,20,2,22,50.0,50.0,77.27,12.0,14.5,2.0,12.5,1.86,2.1,3.32,16.0
IAD,2024-01-01,22,23,5,22,6,86.36,77.27,83.33,6.05,16.95,4.82,8.86,1.0,0.83,2.83,4.83
