airport,report_date,Hour,Scheduled Departures,Scheduled Arrivals,Departures For Metric Computation,Arrivals For Metric Computation,% On-Time Gate Departures,% On-Time Airport Departures,% On-Time Gate Arrivals,Average Gate Departure Delay,Average Taxi Out Time,Average Taxi Out Delay,Average Airport Departure Delay,Average Airborne Delay,Average Taxi In Delay,Average Block Delay,Average Gate Arrival Delay
IAH,2024-01-01,0,0,7,0,3,0.0,0.0,66.67,0.0,0.0,0.0,0.0,0.0,2.23,0.0,149.0
IAH,2024-01-01,1,0,1,0,1,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,2.5,0.0,2.0
IAH,2024-01-01,4,0,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0
IAH,2024-01-01,5,7,17,7,15,85.71,85.71,93.33,5.14,13.43,2.07,6.71,0.73,2.18,0.67,1.0
IAH,2024-01-01,6,10,10,10,10,90.0,90.0,80.0,4.6,13.7,2.4,6.0,5.0,2.94,8.1,31.7
IAH,2024-01-01,7,30,8,30,6,90.0,90.0,83.33,21.37,15.57,3.75,23.0,3.83,0.87,4.67,6.5
IAH,2024-01-01,8,10,62,11,62,90.91,90.91,95.16,9.27,15.36,3.32,11.55,3.69,3.35,1.29,5.11
IAH,2024-01-01,9,61,7,61,7,91.8,54.1,71.43,2.74,29.93,18.02,17.15,2.29,2.1,2.0,15.86
IAH,2024-01-01,10,32,45,34,44,76.47,8.82,88.64,16.18,34.74,22.85,35.47,3.86,4.75,3.32,9.11
IAH,2024-01-01,11,26,30,26,31,84.62,76.92,93.55,7.46,20.23,8.22,13.38,4.77,4.38,0.39,3.26
IAH,2024-01-01,12,61,13,61,14,91.8,55.74,92.86,5.44,27.28,15.31,16.74,1.79,0.95,0.64,1.86
IAH,2024-01-01,13,9,48,11,49,100.0,90.91,89.8,2.0,16.82,5.08,5.45,4.63,3.38,2.73,10.37
IAH,2024-01-01,14,53,18,54,19,85.19,68.52,84.21,9.37,22.07,10.06,15.44,2.58,2.26,2.11,11.95
IAH,2024-01-01,15,7,42,7,41,100.0,85.71,92.68,1.57,21.57,9.6,6.86,3.93,2.62,0.83,17.32
IAH,2024-01-01,16,46,25,44,27,84.09,72.73,81.48,11.18,19.02,7.14,16.25,2.59,2.06,1.19,15.56
IAH,2024-01-01,17,6,52,6,51,83.33,83.33,84.31,27.33,16.0,4.13,28.67,3.47,2.82,1.41,9.33
IAH,2024-01-01,18,71,57,71,59,77.46,73.24,100.0,17.59,17.92,6.05,21.32,2.05,7.61,2.54,1.1
IAH,2024-01-01,19,28,26,28,25,75.0,71.43,88.0,17.29,17.64,5.81,21.54,1.92,6.67,1.2,41.88
IAH,2024-01-01,20,47,32,47,32,93.62,89.36,87.5,5.6,17.74,5.9,8.0,0.78,5.24,1.72,5.81
IAH,2024-01-01,21,13,7,12,8,83.33,83.33,75.0,12.17,13.67,2.29,13.17,0.0,2.25,0.0,9.25
IAH,2024-01-01,22,1,6,1,6,0.0,0.0,100.0,51.0,15.0,3.0,54.0,0.0,0.0,0.67,0.67
IAH,2024-01-01,23,1,11,2,11,50.0,50.0,90.91,7.5,16.5,4.6,9.0,0.64,3.72,0.0,4.18
IAH,2024-01-02,0,0,6,0,8,0.0,0.0,87.5,0.0,0.0,0.0,0.0,0.13,1.27,0.0,51.5
IAH,2024-01-02,1,0,0,0,1,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,2.5,0.0,0.0
IAH,2024-01-02,2,0,0,1,0,100.0,100.0,0.0,0.0,14.0,2.0,2.0,0.0,0.0,0.0,0.0
IAH,2024-01-02,3,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IAH,2024-01-02,4,0,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5,3.35,2.5,65.5
IAH,2024-01-02,5,9,17,9,15,100.0,100.0,86.67,0.78,14.89,3.63,3.0,0.47,1.7,0.6,12.0
IAH,2024-01-02,6,10,10,12,10,91.67,75.0,90.0,7.83,16.75,5.4,11.92,0.3,1.27,0.9,4.3
IAH,2024-01-02,7,36,6,36,5,100.0,97.22,100.0,0.61,16.92,5.29,3.78,0.0,2.22,0.4,0.0
IAH,2024-01-02,8,13,72,12,71,75.0,75.0,87.32,32.83,14.33,2.81,33.25,0.17,3.56,4.23,10.35
IAH,2024-01-02,9,69,8,69,7,86.96,65.22,85.71,5.22,20.25,8.36,11.93,2.29,3.41,4.86,8.0
IAH,2024-01-02,10,34,43,36,42,86.11,80.56,90.48,7.19,18.94,7.02,12.08,0.93,3.59,1.14,11.19
IAH,2024-01-02,11,25,35,26,36,73.08,73.08,91.67,11.85,16.85,5.34,16.15,0.97,3.31,1.75,16.56
IAH,2024-01-02,12,60,10,62,12,80.65,75.81,75.0,14.27,19.66,7.91,19.66,2.0,5.36,3.58,46.25
IAH,2024-01-02,13,7,50,7,50,71.43,71.43,92.0,14.0,14.0,3.46,16.43,5.96,3.76,2.98,2.34
IAH,2024-01-02,14,55,26,56,25,92.86,87.5,72.0,3.23,17.11,5.24,6.39,2.04,1.4,2.8,23.64
IAH,2024-01-02,15,9,42,9,42,55.56,55.56,76.19,18.67,16.11,4.66,20.33,4.67,4.05,4.38,19.19
IAH,2024-01-02,16,46,23,46,28,80.43,73.91,60.71,16.0,18.17,6.62,19.35,5.11,2.59,10.29,15.11
IAH,2024-01-02,17,9,51,10,52,40.0,30.0,78.85,27.0,16.0,4.2,30.6,5.25,3.17,3.88,18.08
IAH,2024-01-02,18,72,60,75,65,73.33,40.0,75.38,28.13,23.89,12.01,38.76,6.2,5.69,8.57,12.86
IAH,2024-01-02,19,31,28,32,29,59.38,50.0,72.41,22.53,19.0,7.21,28.44,7.17,4.82,7.07,15.38
IAH,2024-01-02,20,46,33,47,37,80.85,68.09,64.86,8.81,19.13,7.39,14.66,7.84,5.2,8.73,15.3
IAH,2024-01-02,21,14,8,16,10,56.25,50.0,60.0,33.56,18.63,6.64,39.88,5.1,10.66,13.9,23.4
IAH,2024-01-02,22,4,13,10,13,50.0,40.0,69.23,29.5,18.9,7.21,36.7,1.54,7.14,2.0,11.0
IAH,2024-01-02,23,2,12,3,13,33.33,0.0,53.85,18.67,28.67,16.73,35.0,1.85,9.52,5.69,25.85
