airport,report_date,Hour,Scheduled Departures,Scheduled Arrivals,Departures For Metric Computation,Arrivals For Metric Computation,% On-Time Gate Departures,% On-Time Airport Departures,% On-Time Gate Arrivals,Average Gate Departure Delay,Average Taxi Out Time,Average Taxi Out Delay,Average Airport Departure Delay,Average Airborne Delay,Average Taxi In Delay,Average Block Delay,Average Gate Arrival Delay
LAX,2024-01-01,0,6,6,11,4,90.91,81.82,75.0,4.55,19.73,7.68,7.91,9.25,5.68,8.5,13.25
LAX,2024-01-01,1,5,3,7,2,85.71,85.71,100.0,4.43,14.0,2.3,4.57,4.5,4.95,0.0,0.0
LAX,2024-01-01,2,4,2,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1,0.0,93.5
LAX,2024-01-01,4,1,1,3,0,100.0,100.0,0.0,0.0,13.67,2.13,2.0,0.0,0.0,0.0,0.0
LAX,2024-01-01,5,16,5,13,7,100.0,92.31,71.43,0.54,16.77,6.77,3.77,1.29,0.97,3.0,73.86
LAX,2024-01-01,6,25,22,23,21,100.0,95.65,90.48,1.0,15.83,4.51,3.0,2.81,2.45,2.43,3.48
LAX,2024-01-01,7,32,35,36,33,91.67,83.33,84.85,3.19,17.11,4.93,6.08,2.36,3.88,0.55,13.39
LAX,2024-01-01,8,57,35,64,36,87.5,81.25,86.11,5.2,17.98,6.08,9.22,2.69,4.26,1.11,4.81
LAX,2024-01-01,9,59,48,60,50,93.33,78.33,90.0,5.62,20.68,7.97,10.83,2.1,4.29,1.26,5.3
LAX,2024-01-01,10,49,32,50,37,78.0,66.0,78.38,15.3,20.38,8.52,21.74,0.81,4.91,3.92,13.08
LAX,2024-01-01,11,45,46,48,51,77.08,64.58,84.31,8.52,19.13,7.37,14.1,2.2,3.94,3.18,6.57
LAX,2024-01-01,12,41,37,45,37,73.33,66.67,94.59,10.58,17.44,5.48,14.69,2.05,6.27,2.24,2.14
LAX,2024-01-01,13,38,33,43,36,83.72,81.4,94.44,12.53,16.26,4.03,15.21,3.08,4.44,1.86,2.72
LAX,2024-01-01,14,29,30,31,31,87.1,83.87,80.65,15.87,14.94,3.41,18.1,2.65,2.5,2.81,9.13
LAX,2024-01-01,15,30,36,31,35,74.19,67.74,94.29,10.06,15.77,4.18,13.16,0.8,1.47,1.09,1.09
LAX,2024-01-01,16,35,32,38,38,92.11,84.21,86.84,4.34,16.66,5.11,7.05,2.39,1.83,2.16,7.71
LAX,2024-01-01,17,22,42,21,46,100.0,100.0,86.96,1.14,14.19,3.06,2.95,2.93,1.61,2.46,5.57
LAX,2024-01-01,18,37,47,38,54,86.84,84.21,83.33,4.89,14.71,3.03,6.34,3.67,2.7,2.57,10.33
LAX,2024-01-01,19,39,39,40,37,85.0,80.0,97.3,4.7,16.88,5.6,8.55,1.19,5.06,0.46,0.84
LAX,2024-01-01,20,28,42,26,44,92.31,80.77,90.91,8.35,14.69,3.93,10.73,1.43,4.97,1.05,6.86
