airport,report_date,Hour,Scheduled Departures,Scheduled Arrivals,Departures For Metric Computation,Arrivals For Metric Computation,% On-Time Gate Departures,% On-Time Airport Departures,% On-Time Gate Arrivals,Average Gate Departure Delay,Average Taxi Out Time,Average Taxi Out Delay,Average Airport Departure Delay,Average Airborne Delay,Average Taxi In Delay,Average Block Delay,Average Gate Arrival Delay
MCI,2024-01-01,0,0,1,0,1,0.0,0.0,100.0,0.0,0.0,0.0,0.0,3.0,0.6,0.0,0.0
MCI,2024-01-01,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MCI,2024-01-01,5,10,1,10,1,90.0,90.0,0.0,2.2,14.0,4.51,4.5,0.0,4.7,5.0,19.0
MCI,2024-01-01,6,14,0,15,0,93.33,93.33,0.0,6.0,11.8,2.68,7.4,0.0,0.0,0.0,0.0
MCI,2024-01-01,7,9,1,9,1,100.0,66.67,100.0,0.67,22.0,12.36,10.22,0.0,2.6,0.0,0.0
MCI,2024-01-01,8,5,5,5,5,80.0,60.0,100.0,9.6,17.8,9.56,18.6,2.6,0.24,0.0,0.0
MCI,2024-01-01,9,6,7,6,7,100.0,66.67,100.0,0.17,16.83,7.85,7.33,2.0,0.19,0.0,0.0
MCI,2024-01-01,10,7,6,7,6,71.43,71.43,100.0,11.0,11.57,4.04,13.29,2.0,1.52,0.0,0.0
MCI,2024-01-01,11,6,9,6,9,83.33,83.33,100.0,3.5,9.5,1.15,3.67,3.0,1.43,0.0,0.0
MCI,2024-01-01,12,9,4,9,4,88.89,88.89,100.0,2.44,13.0,4.08,5.44,2.25,4.88,0.25,4.25
MCI,2024-01-01,13,8,9,8,9,100.0,87.5,88.89,2.5,14.38,5.14,5.0,5.11,1.3,2.33,16.89
MCI,2024-01-01,14,6,6,7,6,100.0,100.0,83.33,0.14,16.14,7.2,4.57,0.83,0.83,0.0,17.83
MCI,2024-01-01,15,7,8,7,8,85.71,85.71,100.0,17.29,12.71,3.96,19.86,0.25,0.49,0.0,0.0
MCI,2024-01-01,16,8,11,8,11,100.0,87.5,100.0,1.88,13.0,3.91,4.5,1.82,0.33,0.18,1.27
MCI,2024-01-01,17,10,10,10,10,90.0,70.0,100.0,7.6,15.3,6.69,13.3,1.1,0.76,1.4,3.4
MCI,2024-01-01,18,10,9,10,10,70.0,70.0,80.0,10.0,13.4,4.26,11.7,2.5,0.85,0.7,11.3
MCI,2024-01-01,19,7,4,7,4,85.71,85.71,75.0,3.0,12.86,4.67,5.86,2.0,0.15,0.75,7.75
MCI,2024-01-01,20,2,9,2,9,50.0,50.0,100.0,12.0,16.5,8.7,18.5,0.44,0.84,0.11,0.67
MCI,2024-01-01,21,4,4,4,4,100.0,100.0,100.0,0.75,9.5,1.7,1.5,0.0,1.88,0.25,0.0
MCI,2024-01-01,22,0,13,1,13,100.0,100.0,100.0,0.0,7.0,0.0,0.0,1.62,1.21,0.92,2.77
MCI,2024-01-01,23,0,11,0,11,0.0,0.0,90.91,0.0,0.0,0.0,0.0,3.0,0.19,1.0,8.0
MCI,2024-01-02,0,0,6,0,1,0.0,0.0,100.0,0.0,0.0,0.0,0.0,6.0,0.6,1.0,0.0
MCI,2024-01-02,1,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MCI,2024-01-02,5,15,1,15,1,100.0,33.33,100.0,0.27,30.6,21.31,17.73,0.0,2.7,8.0,0.0
MCI,2024-01-02,6,13,1,13,1,92.31,7.69,100.0,10.69,30.69,21.3,29.85,0.0,0.0,0.0,0.0
MCI,2024-01-02,7,9,2,9,2,100.0,44.44,100.0,1.11,28.78,18.39,16.11,0.0,0.0,8.5,5.5
MCI,2024-01-02,8,5,2,6,3,83.33,50.0,33.33,4.67,22.17,13.13,14.67,2.33,0.0,13.0,20.33
MCI,2024-01-02,9,3,12,4,12,75.0,50.0,100.0,10.0,19.5,10.1,19.25,1.0,0.92,2.67,2.25
MCI,2024-01-02,10,15,8,15,8,93.33,80.0,100.0,3.2,13.6,4.99,6.67,1.88,0.91,1.0,0.75
MCI,2024-01-02,11,6,6,6,6,100.0,100.0,83.33,2.33,14.83,5.98,5.5,2.83,1.88,2.0,11.5
MCI,2024-01-02,12,6,8,6,8,83.33,83.33,87.5,11.0,10.83,2.2,12.0,1.38,0.8,1.0,5.5
MCI,2024-01-02,13,8,11,8,13,87.5,87.5,84.62,6.25,13.5,3.74,8.25,2.23,1.0,2.46,8.85
MCI,2024-01-02,14,10,5,11,5,90.91,81.82,100.0,11.64,12.09,3.65,14.73,2.0,0.5,0.8,0.8
MCI,2024-01-02,15,7,7,8,7,75.0,75.0,100.0,9.25,16.25,6.64,14.38,2.43,0.04,0.0,0.71
MCI,2024-01-02,16,4,7,4,8,100.0,100.0,100.0,0.5,12.75,3.6,2.25,2.75,0.3,0.13,2.0
MCI,2024-01-02,17,10,14,10,14,80.0,60.0,64.29,8.0,14.4,5.47,12.2,3.71,0.52,4.14,23.57
MCI,2024-01-02,18,11,8,12,8,83.33,75.0,62.5,10.83,11.83,2.76,11.83,3.0,1.25,1.75,32.63
MCI,2024-01-02,19,7,5,7,5,57.14,57.14,60.0,30.43,11.0,2.41,31.71,1.6,0.12,0.8,21.4
MCI,2024-01-02,20,3,7,4,8,50.0,25.0,100.0,21.75,9.5,1.28,23.0,1.5,0.63,2.0,1.88
MCI,2024-01-02,21,3,8,5,8,60.0,40.0,50.0,8.2,22.2,13.38,20.8,1.38,0.03,1.0,17.75
MCI,2024-01-02,22,5,11,7,11,57.14,57.14,72.73,10.43,10.57,2.29,11.86,1.64,2.64,1.36,7.91
MCI,2024-01-02,23,0,10,0,10,0.0,0.0,80.0,0.0,0.0,0.0,0.0,0.9,0.2,0.9,7.3
MCI,2024-01-03,0,0,1,0,7,0.0,0.0,100.0,0.0,0.0,0.0,0.0,3.29,0.0,3.43,2.71
MCI,2024-01-03,1,0,0,0,3,0.0,0.0,100.0,0.0,0.0,0.0,0.0,2.0,0.47,1.33,0.0
MCI,2024-01-03,2,0,0,1,1,100.0,100.0,100.0,0.0,9.0,0.0,0.0,0.0,0.7,4.0,6.0
MCI,2024-01-03,3,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MCI,2024-01-03,4,0,0,1,4,100.0,100.0,50.0,0.0,9.0,0.0,0.0,0.5,5.7,6.25,11.5
