airport,report_date,Hour,Scheduled Departures,Scheduled Arrivals,Departures For Metric Computation,Arrivals For Metric Computation,% On-Time Gate Departures,% On-Time Airport Departures,% On-Time Gate Arrivals,Average Gate Departure Delay,Average Taxi Out Time,Average Taxi Out Delay,Average Airport Departure Delay,Average Airborne Delay,Average Taxi In Delay,Average Block Delay,Average Gate Arrival Delay
MIA,2024-01-01,0,2,7,3,7,33.33,33.33,100.0,103.33,14.0,2.5,106.0,2.0,5.13,2.57,1.57
MIA,2024-01-01,1,1,1,1,1,100.0,100.0,100.0,0.0,13.0,0.0,0.0,0.0,3.4,0.0,0.0
MIA,2024-01-01,2,3,2,3,1,66.67,33.33,100.0,7.67,21.0,8.0,15.67,0.0,3.4,0.0,0.0
MIA,2024-01-01,3,1,0,0,3,0.0,0.0,33.33,0.0,0.0,0.0,0.0,0.0,4.67,2.67,37.0
MIA,2024-01-01,4,1,4,0,3,0.0,0.0,66.67,0.0,0.0,0.0,0.0,0.0,4.07,0.33,12.0
MIA,2024-01-01,5,6,11,7,15,100.0,100.0,80.0,0.71,15.0,2.57,2.86,0.6,4.39,0.93,14.87
MIA,2024-01-01,6,16,16,21,14,80.95,80.95,92.86,6.67,14.0,1.48,7.48,0.64,5.48,1.43,11.14
MIA,2024-01-01,7,25,18,28,20,82.14,71.43,95.0,12.82,16.68,3.92,15.54,1.7,1.76,1.25,1.25
MIA,2024-01-01,8,46,26,47,26,85.11,76.6,80.77,5.83,20.02,6.91,10.85,0.92,3.94,3.5,14.5
MIA,2024-01-01,9,26,40,33,41,75.76,69.7,95.12,14.12,17.58,4.77,18.06,2.51,4.14,2.46,3.8
MIA,2024-01-01,10,53,32,57,36,68.42,52.63,86.11,13.89,21.44,8.48,20.56,1.75,7.26,5.22,10.44
MIA,2024-01-01,11,21,34,29,36,68.97,58.62,91.67,15.59,22.83,9.68,23.86,1.69,9.13,4.39,2.89
MIA,2024-01-01,12,45,30,52,36,73.08,65.38,86.11,10.38,20.27,7.15,15.58,2.11,4.32,3.08,11.14
MIA,2024-01-01,13,23,28,29,35,58.62,55.17,71.43,17.17,16.66,3.8,20.0,1.71,2.85,4.8,17.57
MIA,2024-01-01,14,38,34,41,43,73.17,65.85,69.77,9.88,18.05,5.02,13.63,3.26,4.57,5.74,15.07
MIA,2024-01-01,15,27,35,32,38,65.63,65.63,71.05,15.91,16.25,3.64,18.34,3.42,2.37,3.95,16.08
MIA,2024-01-01,16,33,44,39,52,53.85,43.59,78.85,30.67,19.41,6.48,36.1,2.46,3.62,3.63,12.92
MIA,2024-01-01,17,36,42,37,44,72.97,54.05,79.55,13.78,23.19,10.25,21.95,2.39,9.17,7.32,7.05
MIA,2024-01-01,18,39,36,39,39,76.92,64.1,69.23,11.08,17.62,4.65,15.18,2.79,10.64,8.15,13.59
MIA,2024-01-01,19,40,35,37,41,64.86,51.35,68.29,21.35,20.76,7.74,27.92,1.95,9.69,8.93,14.51
MIA,2024-01-01,20,24,39,23,43,47.83,43.48,76.74,34.09,20.09,7.42,40.7,3.98,10.1,6.6,6.09
