airport,report_date,Hour,Scheduled Departures,Scheduled Arrivals,Departures For Metric Computation,Arrivals For Metric Computation,% On-Time Gate Departures,% On-Time Airport Departures,% On-Time Gate Arrivals,Average Gate Departure Delay,Average Taxi Out Time,Average Taxi Out Delay,Average Airport Departure Delay,Average Airborne Delay,Average Taxi In Delay,Average Block Delay,Average Gate Arrival Delay
ONT,2024-01-01,0,2,3,2,2,100.0,100.0,100.0,0.0,10.5,2.3,0.0,0.0,1.8,0.0,0.0
ONT,2024-01-01,3,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ONT,2024-01-01,4,0,0,0,1,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0
ONT,2024-01-01,5,5,0,5,0,100.0,100.0,0.0,0.0,10.0,1.28,0.0,0.0,0.0,0.0,0.0
ONT,2024-01-01,6,8,0,8,0,87.5,87.5,0.0,5.25,12.5,3.56,6.38,0.0,0.0,0.0,0.0
ONT,2024-01-01,7,5,2,5,2,100.0,100.0,100.0,0.0,9.6,1.76,0.2,0.0,0.0,0.0,0.0
ONT,2024-01-01,8,3,4,3,4,100.0,100.0,100.0,0.0,7.33,1.47,0.33,0.0,0.13,0.5,0.0
ONT,2024-01-01,9,2,4,2,4,100.0,100.0,100.0,0.0,11.0,2.65,0.0,0.5,0.45,0.0,0.0
ONT,2024-01-01,10,5,5,5,5,80.0,80.0,100.0,3.8,13.0,4.16,5.8,0.0,0.68,0.0,0.0
ONT,2024-01-01,11,4,5,4,5,100.0,100.0,100.0,0.0,12.75,4.25,0.0,1.4,0.16,0.0,1.6
ONT,2024-01-01,12,6,7,6,7,100.0,100.0,100.0,0.17,7.33,0.57,0.5,1.14,0.84,0.0,0.0
ONT,2024-01-01,13,6,2,6,2,100.0,100.0,100.0,0.17,12.0,2.72,1.0,0.0,0.3,0.0,0.0
ONT,2024-01-01,14,2,2,2,2,100.0,100.0,100.0,0.0,12.5,3.9,2.0,0.0,1.25,0.0,0.0
ONT,2024-01-01,15,4,4,4,4,100.0,100.0,75.0,0.5,9.75,2.6,2.0,1.5,0.55,0.0,5.0
ONT,2024-01-01,16,2,4,2,4,50.0,50.0,100.0,15.5,9.5,0.55,15.5,1.25,1.25,0.0,1.25
ONT,2024-01-01,17,3,3,3,3,100.0,100.0,100.0,0.67,8.33,0.37,0.67,0.0,1.17,0.0,0.0
ONT,2024-01-01,18,3,4,3,4,100.0,100.0,100.0,0.0,14.67,4.13,0.33,0.0,1.38,2.0,2.75
ONT,2024-01-01,19,3,4,4,4,100.0,100.0,100.0,0.5,10.5,2.22,0.75,1.25,0.65,0.0,0.25
ONT,2024-01-01,20,4,8,4,8,100.0,100.0,100.0,0.0,7.25,1.7,0.0,0.5,0.9,0.5,1.75
ONT,2024-01-01,21,1,3,2,3,100.0,100.0,100.0,0.0,8.5,0.3,0.0,0.0,0.27,0.33,6.33
ONT,2024-01-01,22,4,10,3,10,100.0,100.0,90.0,3.33,14.0,4.87,6.33,0.0,0.78,5.3,4.7
ONT,2024-01-01,23,3,2,2,2,100.0,100.0,100.0,0.0,15.5,6.3,4.5,1.0,1.05,0.0,0.0
ONT,2024-01-02,0,2,4,1,3,100.0,100.0,100.0,0.0,18.0,9.6,5.0,0.0,10.73,0.0,0.0
ONT,2024-01-02,5,6,0,6,0,100.0,83.33,0.0,2.5,11.17,2.88,3.83,0.0,0.0,0.0,0.0
ONT,2024-01-02,6,9,0,10,0,90.0,90.0,0.0,6.4,11.8,3.08,7.2,0.0,0.0,0.0,0.0
ONT,2024-01-02,7,3,2,4,2,100.0,100.0,100.0,0.0,13.0,3.73,3.25,0.0,0.0,0.0,5.0
ONT,2024-01-02,8,2,4,3,4,100.0,66.67,100.0,4.67,13.67,6.47,11.0,0.25,0.53,0.25,0.0
ONT,2024-01-02,9,4,4,5,4,80.0,80.0,100.0,3.2,9.8,2.14,4.2,0.25,0.55,2.0,0.0
ONT,2024-01-02,10,5,4,5,5,80.0,80.0,100.0,12.4,12.0,3.28,13.6,0.0,0.64,1.4,3.0
ONT,2024-01-02,11,3,5,4,7,50.0,50.0,57.14,34.5,12.25,3.75,36.5,0.43,0.61,3.86,22.29
ONT,2024-01-02,12,5,6,6,7,66.67,66.67,85.71,25.17,12.0,2.95,27.17,0.14,0.66,0.71,2.86
ONT,2024-01-02,13,7,3,11,3,100.0,100.0,100.0,0.73,11.82,3.65,3.09,0.33,1.13,0.33,0.0
