airport,report_date,Hour,Scheduled Departures,Scheduled Arrivals,Departures For Metric Computation,Arrivals For Metric Computation,% On-Time Gate Departures,% On-Time Airport Departures,% On-Time Gate Arrivals,Average Gate Departure Delay,Average Taxi Out Time,Average Taxi Out Delay,Average Airport Departure Delay,Average Airborne Delay,Average Taxi In Delay,Average Block Delay,Average Gate Arrival Delay
RDU,2024-01-01,0,0,3,1,5,100.0,100.0,40.0,0.0,11.0,0.0,0.0,1.0,1.06,1.8,15.8
RDU,2024-01-01,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RDU,2024-01-01,5,8,1,8,0,100.0,100.0,0.0,0.0,15.75,4.63,1.75,0.0,0.0,0.0,0.0
RDU,2024-01-01,6,15,0,15,0,93.33,93.33,0.0,3.33,16.07,5.43,5.67,0.0,0.0,0.0,0.0
RDU,2024-01-01,7,14,0,15,0,93.33,66.67,0.0,15.6,20.2,8.78,22.07,0.0,0.0,0.0,0.0
RDU,2024-01-01,8,10,4,11,4,100.0,90.91,100.0,0.0,17.09,5.99,3.73,1.5,2.33,1.25,0.0
RDU,2024-01-01,9,2,2,4,2,75.0,75.0,100.0,4.25,13.75,2.45,5.0,2.0,0.0,0.0,4.5
RDU,2024-01-01,10,6,12,6,12,100.0,100.0,83.33,0.0,12.33,2.65,0.33,1.75,2.1,0.17,6.25
RDU,2024-01-01,11,11,9,11,10,81.82,72.73,70.0,5.0,15.0,4.07,7.18,2.5,1.15,0.9,8.2
RDU,2024-01-01,12,11,8,12,8,83.33,66.67,87.5,10.83,14.33,3.48,13.75,7.5,1.59,5.63,3.75
RDU,2024-01-01,13,7,12,9,13,100.0,100.0,84.62,0.56,14.67,4.6,2.0,2.38,1.35,2.62,3.31
RDU,2024-01-01,14,8,5,9,7,77.78,77.78,57.14,8.11,19.11,8.76,15.11,3.14,3.81,4.86,17.43
RDU,2024-01-01,15,9,8,11,11,81.82,72.73,81.82,8.82,16.09,5.2,13.45,2.27,4.06,2.0,7.91
RDU,2024-01-01,16,8,11,10,11,60.0,60.0,63.64,21.7,13.3,3.13,24.3,3.82,1.91,4.27,12.73
RDU,2024-01-01,17,10,10,10,13,90.0,60.0,84.62,5.5,18.6,8.19,10.9,3.85,1.47,4.23,4.69
RDU,2024-01-01,18,9,13,10,13,90.0,80.0,84.62,6.3,12.9,2.98,8.8,3.23,6.74,2.46,7.85
RDU,2024-01-01,19,5,7,6,8,66.67,66.67,100.0,6.5,12.5,2.38,6.67,2.88,1.5,1.63,1.25
RDU,2024-01-01,20,5,8,5,8,100.0,100.0,50.0,2.4,10.6,1.18,3.0,2.38,4.39,1.88,13.0
RDU,2024-01-01,21,3,11,2,9,50.0,100.0,66.67,7.5,13.0,2.4,7.0,1.22,3.71,3.89,21.11
RDU,2024-01-01,22,0,10,0,11,0.0,0.0,81.82,0.0,0.0,0.0,0.0,2.0,1.35,1.55,11.18
RDU,2024-01-01,23,0,10,0,10,0.0,0.0,80.0,0.0,0.0,0.0,0.0,0.5,2.11,0.4,9.8
RDU,2024-01-02,0,0,3,0,4,0.0,0.0,75.0,0.0,0.0,0.0,0.0,3.75,1.38,4.5,6.25
RDU,2024-01-02,2,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RDU,2024-01-02,3,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RDU,2024-01-02,5,10,1,10,1,100.0,90.0,100.0,0.0,17.9,7.42,3.5,2.0,0.7,6.0,8.0
RDU,2024-01-02,6,18,0,18,0,88.89,83.33,0.0,12.39,16.39,5.56,15.06,0.0,0.0,0.0,0.0
RDU,2024-01-02,7,17,1,17,0,88.24,64.71,0.0,7.18,20.06,8.96,13.71,0.0,0.0,0.0,0.0
RDU,2024-01-02,8,10,8,11,9,100.0,72.73,88.89,0.0,19.91,8.95,6.82,0.0,1.86,1.11,6.22
RDU,2024-01-02,9,6,3,6,4,66.67,66.67,75.0,7.67,13.67,3.77,10.17,0.0,1.55,7.25,23.0
RDU,2024-01-02,10,9,14,10,14,90.0,90.0,85.71,8.6,14.8,4.36,10.9,0.14,2.75,2.43,5.14
RDU,2024-01-02,11,12,11,15,14,86.67,86.67,85.71,4.6,13.0,2.8,6.73,2.71,1.94,2.57,5.21
RDU,2024-01-02,12,12,8,14,9,78.57,78.57,77.78,12.71,13.14,2.39,14.57,1.11,1.97,3.89,10.44
RDU,2024-01-02,13,5,9,8,13,100.0,87.5,92.31,1.38,19.25,8.35,8.38,2.08,0.94,2.62,2.77
RDU,2024-01-02,14,7,7,9,8,66.67,55.56,100.0,7.56,15.56,5.62,12.33,1.63,1.79,1.13,0.0
RDU,2024-01-02,15,10,10,11,11,100.0,72.73,90.91,1.82,18.64,8.83,8.55,3.73,3.07,5.45,11.0
RDU,2024-01-02,16,8,8,8,8,100.0,87.5,87.5,0.0,18.13,7.19,4.63,1.38,1.6,0.0,3.0
RDU,2024-01-02,17,11,14,12,15,75.0,50.0,53.33,7.75,20.67,9.68,14.17,2.47,1.22,5.47,20.6
RDU,2024-01-02,18,10,9,10,9,50.0,50.0,77.78,26.5,13.1,2.24,28.7,3.22,2.33,1.56,10.67
RDU,2024-01-02,19,4,8,4,11,50.0,50.0,72.73,20.25,10.5,0.95,20.0,2.09,0.78,3.55,25.18
RDU,2024-01-02,20,7,11,6,16,66.67,66.67,75.0,26.33,13.0,3.37,28.83,1.69,1.73,3.63,10.56
RDU,2024-01-02,21,3,8,7,10,100.0,100.0,90.0,0.0,12.29,2.26,0.43,2.1,2.83,2.0,4.1
RDU,2024-01-02,22,0,11,2,13,100.0,100.0,69.23,0.0,7.0,0.0,0.0,0.46,1.96,1.31,9.92
RDU,2024-01-02,23,0,14,1,15,0.0,0.0,80.0,26.0,16.0,4.5,31.0,1.53,2.53,1.13,11.2
RDU,2024-01-03,0,0,4,1,5,0.0,0.0,60.0,16.0,16.0,4.5,21.0,0.8,3.06,0.6,32.8
RDU,2024-01-03,1,0,0,1,0,100.0,100.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0
RDU,2024-01-03,2,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RDU,2024-01-03,3,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.1,4.0,15.0
RDU,2024-01-03,4,0,0,1,1,0.0,0.0,100.0,24.0,18.0,6.5,31.0,0.0,1.1,0.0,0.0
RDU,2024-01-03,5,9,1,11,5,81.82,63.64,80.0,14.0,26.91,15.71,27.09,0.0,0.88,0.8,8.2
RDU,2024-01-03,6,18,0,20,0,90.0,60.0,0.0,2.5,24.15,13.32,12.6,0.0,0.0,0.0,0.0
RDU,2024-01-03,7,18,0,21,0,85.71,47.62,0.0,7.29,28.86,17.3,22.05,0.0,0.0,0.0,0.0
RDU,2024-01-03,8,9,6,12,6,75.0,66.67,83.33,12.33,18.75,7.79,19.92,1.0,0.97,4.5,5.5
RDU,2024-01-03,9,4,2,4,3,50.0,25.0,66.67,10.0,21.75,10.4,19.5,6.0,0.03,5.33,44.67
RDU,2024-01-03,10,7,14,11,15,90.91,90.91,93.33,1.73,16.55,6.05,3.55,2.0,1.43,4.07,3.6
RDU,2024-01-03,11,13,11,15,13,73.33,66.67,84.62,11.0,14.6,3.52,13.47,2.31,1.22,0.15,12.54
