airport,report_date,Hour,Scheduled Departures,Scheduled Arrivals,Departures For Metric Computation,Arrivals For Metric Computation,% On-Time Gate Departures,% On-Time Airport Departures,% On-Time Gate Arrivals,Average Gate Departure Delay,Average Taxi Out Time,Average Taxi Out Delay,Average Airport Departure Delay,Average Airborne Delay,Average Taxi In Delay,Average Block Delay,Average Gate Arrival Delay
SAN,2024-01-01,0,0,1,0,2,0.0,0.0,50.0,0.0,0.0,0.0,0.0,3.0,0.0,10.0,13.0
SAN,2024-01-01,6,20,0,20,0,90.0,80.0,0.0,9.0,20.75,9.61,14.65,0.0,0.0,0.0,0.0
SAN,2024-01-01,7,20,7,21,7,100.0,90.48,85.71,0.9,15.14,4.49,3.52,0.86,1.56,0.71,16.14
SAN,2024-01-01,8,17,13,17,13,76.47,70.59,100.0,15.35,16.41,5.87,18.65,4.54,0.28,3.38,1.38
SAN,2024-01-01,9,17,18,17,19,88.24,88.24,89.47,7.59,18.24,8.2,12.47,1.68,2.86,1.21,3.95
SAN,2024-01-01,10,18,12,20,13,85.0,85.0,92.31,8.2,14.9,4.54,10.6,2.54,1.03,1.69,5.77
SAN,2024-01-01,11,13,19,15,22,80.0,80.0,81.82,9.2,15.07,4.68,11.8,1.32,1.98,1.27,9.23
SAN,2024-01-01,12,17,13,20,14,75.0,65.0,92.86,12.05,18.05,7.17,17.1,0.57,1.14,0.14,2.29
SAN,2024-01-01,13,15,16,17,18,76.47,70.59,88.89,13.53,17.88,6.94,18.41,2.39,0.69,0.39,4.67
SAN,2024-01-01,14,18,16,20,21,90.0,85.0,71.43,13.85,17.1,6.37,18.35,1.33,2.37,2.76,18.05
SAN,2024-01-01,15,14,14,15,15,93.33,86.67,93.33,6.73,14.07,4.03,9.07,2.8,1.67,1.07,1.93
SAN,2024-01-01,16,15,13,18,13,88.89,88.89,84.62,2.56,12.56,2.61,3.56,1.0,0.92,0.0,4.08
SAN,2024-01-01,17,12,12,12,12,83.33,83.33,91.67,5.92,15.58,5.51,8.83,1.25,0.16,0.25,3.75
SAN,2024-01-01,18,15,21,15,22,73.33,60.0,90.91,16.4,18.0,8.61,22.4,0.91,1.23,0.68,13.5
SAN,2024-01-01,19,14,18,13,19,100.0,84.62,84.21,0.23,19.62,9.87,5.38,1.74,1.64,3.16,5.74
SAN,2024-01-01,20,14,25,15,25,86.67,80.0,92.0,5.07,17.73,7.75,9.93,1.36,3.91,2.6,10.72
SAN,2024-01-01,21,9,15,9,15,77.78,66.67,93.33,23.0,15.67,4.27,25.78,0.67,1.65,0.0,35.67
SAN,2024-01-01,22,9,14,9,14,100.0,100.0,92.86,0.0,15.11,3.43,0.67,0.43,2.78,0.0,1.21
SAN,2024-01-01,23,0,9,0,9,0.0,0.0,88.89,0.0,0.0,0.0,0.0,1.78,1.11,0.0,3.56
SAN,2024-01-02,0,0,2,0,1,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,3.6,0.0,0.0
SAN,2024-01-02,6,23,0,24,0,95.83,95.83,0.0,34.17,21.54,10.48,40.54,0.0,0.0,0.0,0.0
SAN,2024-01-02,7,20,10,21,10,100.0,90.48,100.0,0.29,18.76,7.73,5.71,0.2,1.35,0.6,0.3
SAN,2024-01-02,8,21,13,23,13,86.96,65.22,84.62,10.22,20.78,10.5,19.17,0.38,4.92,2.69,3.08
SAN,2024-01-02,9,15,20,17,21,82.35,70.59,95.24,7.18,18.47,8.3,13.47,0.62,2.18,0.71,1.29
SAN,2024-01-02,10,18,17,20,20,80.0,65.0,85.0,15.9,20.15,9.49,22.3,1.2,2.48,2.55,10.25
SAN,2024-01-02,11,16,18,19,21,94.74,63.16,85.71,3.26,20.63,10.37,11.21,1.0,3.68,1.62,7.19
SAN,2024-01-02,12,18,19,19,20,84.21,78.95,80.0,7.11,16.89,6.16,11.16,1.35,4.26,4.35,13.0
SAN,2024-01-02,13,21,19,25,21,68.0,60.0,76.19,16.36,16.48,5.83,20.88,1.57,3.2,2.95,20.81
SAN,2024-01-02,14,19,13,20,16,70.0,55.0,68.75,18.25,20.6,9.85,26.6,1.06,0.61,1.81,25.25
SAN,2024-01-02,15,13,13,16,15,68.75,43.75,80.0,27.06,18.56,8.54,34.0,0.73,1.93,3.33,12.73
SAN,2024-01-02,16,14,16,17,20,64.71,58.82,85.0,21.18,15.71,5.71,25.88,1.1,1.2,2.45,10.6
SAN,2024-01-02,17,12,10,13,13,76.92,61.54,69.23,9.15,17.0,6.85,14.85,1.08,2.85,2.46,12.54
SAN,2024-01-02,18,16,23,17,25,52.94,35.29,72.0,29.53,24.29,14.75,42.65,1.68,3.3,3.0,12.28
SAN,2024-01-02,19,15,19,17,19,64.71,52.94,68.42,10.0,18.76,8.4,17.71,2.32,3.47,8.42,11.05
SAN,2024-01-02,20,14,24,15,24,60.0,46.67,70.83,13.33,20.93,11.01,22.13,1.92,6.79,4.29,11.04
SAN,2024-01-02,21,14,16,14,16,78.57,78.57,62.5,7.93,15.93,5.19,11.71,1.75,3.15,4.88,13.5
SAN,2024-01-02,22,11,18,11,19,90.91,90.91,52.63,2.55,18.64,7.25,6.18,17.21,3.32,15.42,46.95
SAN,2024-01-02,23,0,10,0,10,0.0,0.0,80.0,0.0,0.0,0.0,0.0,1.8,1.07,0.4,5.5
SAN,2024-01-03,0,0,2,0,2,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,1.95,0.0,4.5
SAN,2024-01-03,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SAN,2024-01-03,3,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SAN,2024-01-03,4,0,0,0,1,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0
SAN,2024-01-03,5,0,0,0,3,0.0,0.0,33.33,0.0,0.0,0.0,0.0,2.0,3.8,5.67,15.0
SAN,2024-01-03,6,22,0,25,0,92.0,84.0,0.0,4.16,20.16,9.08,10.2,0.0,0.0,0.0,0.0
SAN,2024-01-03,7,22,8,25,9,92.0,80.0,77.78,2.72,18.68,7.79,8.68,0.56,0.86,1.78,36.22
SAN,2024-01-03,8,18,16,21,17,80.95,57.14,82.35,5.52,20.62,10.08,13.86,2.24,1.39,3.41,5.35
SAN,2024-01-03,9,16,21,18,23,77.78,77.78,60.87,5.39,15.94,5.84,9.94,4.96,1.39,6.09,24.87
SAN,2024-01-03,10,21,13,24,15,62.5,58.33,60.0,22.33,17.96,7.43,28.13,2.33,1.27,7.27,10.73
SAN,2024-01-03,11,14,19,16,20,75.0,31.25,85.0,9.19,20.31,9.87,17.75,2.3,2.51,0.7,4.4
SAN,2024-01-03,12,16,16,17,18,76.47,64.71,66.67,12.0,17.12,6.29,17.24,1.67,2.04,5.44,16.22
SAN,2024-01-03,13,18,16,21,17,71.43,28.57,76.47,17.38,20.19,9.19,26.14,3.0,2.05,2.94,12.24
SAN,2024-01-03,14,18,14,19,15,68.42,52.63,73.33,13.26,18.74,7.92,19.68,3.0,2.5,2.13,10.0
SAN,2024-01-03,15,13,13,13,14,69.23,69.23,78.57,11.08,14.85,4.92,14.15,4.21,0.86,3.5,11.57
SAN,2024-01-03,16,14,16,14,17,85.71,85.71,88.24,4.64,14.93,4.93,7.14,2.88,0.99,1.76,11.35
SAN,2024-01-03,17,13,11,13,15,84.62,84.62,66.67,14.08,13.85,3.72,15.85,1.73,1.15,3.6,13.6
SAN,2024-01-03,18,15,22,17,25,52.94,47.06,84.0,12.76,15.12,5.71,17.0,3.2,1.1,2.04,11.2
SAN,2024-01-03,19,16,17,20,19,85.0,80.0,78.95,7.85,17.0,6.74,11.95,3.05,1.81,3.42,6.37
SAN,2024-01-03,20,13,25,15,25,80.0,66.67,84.0,4.93,18.6,8.61,10.53,2.36,2.3,1.72,10.52
SAN,2024-01-03,21,9,16,9,16,77.78,77.78,75.0,6.11,15.0,3.27,7.89,0.44,2.89,3.19,8.88
SAN,2024-01-03,22,9,13,9,13,100.0,100.0,69.23,1.11,15.0,3.62,3.67,0.92,2.82,0.23,16.54
SAN,2024-01-03,23,0,9,0,9,0.0,0.0,77.78,0.0,0.0,0.0,0.0,1.78,0.93,0.0,4.56
SAN,2024-01-04,0,0,2,0,2,0.0,0.0,100.0,0.0,0.0,0.0,0.0,1.0,1.95,0.0,0.0
SAN,2024-01-04,3,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SAN,2024-01-04,4,0,0,0,2,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,3.3,0.0,6.0
SAN,2024-01-04,5,0,0,0,2,0.0,0.0,50.0,0.0,0.0,0.0,0.0,3.5,3.8,6.0,19.5
SAN,2024-01-04,6,22,0,24,0,91.67,87.5,0.0,3.63,20.92,9.77,9.42,0.0,0.0,0.0,0.0
SAN,2024-01-04,7,23,9,26,9,96.15,92.31,77.78,1.85,17.88,7.05,5.62,1.0,0.79,0.78,4.11
SAN,2024-01-04,8,20,14,21,14,80.95,76.19,78.57,11.57,16.1,5.63,14.9,1.71,1.12,1.57,5.86
SAN,2024-01-04,9,14,21,14,23,71.43,71.43,86.96,10.07,16.57,6.66,14.36,1.96,1.47,0.91,3.17
SAN,2024-01-04,10,19,12,22,14,81.82,81.82,85.71,4.91,16.09,5.52,8.45,2.29,1.57,1.86,4.43
SAN,2024-01-04,11,14,19,17,22,94.12,82.35,77.27,1.88,19.41,8.72,8.35,1.0,1.4,2.18,11.27
SAN,2024-01-04,12,17,18,18,19,77.78,77.78,94.74,14.0,15.0,4.82,16.17,1.95,1.42,1.21,5.74
SAN,2024-01-04,13,19,15,19,16,94.74,89.47,81.25,2.21,17.68,6.74,6.58,3.0,0.66,2.69,7.63
SAN,2024-01-04,14,16,14,16,16,93.75,87.5,93.75,6.13,17.13,6.39,8.56,1.69,1.7,0.5,3.19
SAN,2024-01-04,15,14,15,15,15,100.0,93.33,93.33,1.13,13.93,4.07,2.87,2.13,2.25,0.6,2.07
SAN,2024-01-04,16,12,14,12,17,100.0,100.0,100.0,0.75,15.33,5.52,2.25,1.88,1.15,1.24,0.06
SAN,2024-01-04,17,14,13,14,15,100.0,100.0,80.0,0.07,14.64,4.59,2.36,1.93,0.27,1.73,15.33
SAN,2024-01-04,18,16,20,17,24,76.47,64.71,87.5,15.18,16.29,6.75,19.41,1.29,1.91,1.38,7.38
SAN,2024-01-04,19,13,18,18,18,94.44,94.44,88.89,2.28,17.17,7.33,6.17,9.06,0.96,8.33,10.67
SAN,2024-01-04,20,13,24,14,24,71.43,71.43,75.0,17.93,15.93,6.28,21.57,1.0,5.72,3.25,8.0
SAN,2024-01-04,21,11,14,11,15,81.82,63.64,53.33,8.91,16.36,4.56,11.18,0.67,2.19,1.87,18.4
