airport,report_date,Hour,Scheduled Departures,Scheduled Arrivals,Departures For Metric Computation,Arrivals For Metric Computation,% On-Time Gate Departures,% On-Time Airport Departures,% On-Time Gate Arrivals,Average Gate Departure Delay,Average Taxi Out Time,Average Taxi Out Delay,Average Airport Departure Delay,Average Airborne Delay,Average Taxi In Delay,Average Block Delay,Average Gate Arrival Delay
SJU,2024-01-01,0,3,5,3,6,0.0,0.0,50.0,24.0,14.0,2.67,27.0,1.0,2.95,2.17,12.83
SJU,2024-01-01,1,0,6,0,5,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,10.14,4.8,19.6
SJU,2024-01-01,2,2,7,3,6,100.0,100.0,83.33,0.0,14.0,2.5,2.0,0.5,2.12,1.67,6.17
SJU,2024-01-01,3,2,5,3,5,66.67,66.67,80.0,13.67,14.0,2.5,16.0,0.0,0.96,0.0,7.6
SJU,2024-01-01,4,1,1,1,0,100.0,100.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0
SJU,2024-01-01,5,5,0,7,1,85.71,85.71,100.0,12.14,14.57,3.07,13.29,0.0,0.0,0.0,0.0
SJU,2024-01-01,6,10,0,8,2,87.5,75.0,100.0,73.88,22.38,10.88,81.63,0.5,1.95,0.0,0.0
SJU,2024-01-01,7,11,2,9,2,88.89,88.89,100.0,2.22,15.89,4.83,5.33,1.0,0.0,0.0,0.0
SJU,2024-01-01,8,8,2,9,5,100.0,100.0,100.0,0.0,15.33,5.11,2.22,2.2,0.78,1.2,1.0
SJU,2024-01-01,9,9,12,12,11,100.0,91.67,90.91,1.08,12.42,2.5,2.83,0.64,0.8,0.18,12.82
SJU,2024-01-01,10,12,8,15,8,93.33,80.0,100.0,3.87,13.27,3.07,5.73,0.25,0.11,0.0,0.0
SJU,2024-01-01,11,11,7,12,6,83.33,83.33,66.67,10.17,11.0,2.21,12.25,0.5,0.8,2.17,20.83
SJU,2024-01-01,12,6,18,6,15,66.67,66.67,93.33,22.17,19.0,8.83,29.5,0.87,0.95,4.2,6.53
SJU,2024-01-01,13,17,16,20,17,85.0,75.0,94.12,8.6,15.15,4.1,12.4,0.53,0.8,1.71,5.06
SJU,2024-01-01,14,16,12,17,13,76.47,52.94,100.0,11.06,18.12,7.24,17.29,0.31,2.2,0.54,0.31
SJU,2024-01-01,15,13,18,15,18,100.0,73.33,77.78,1.8,21.0,10.2,9.8,1.17,1.58,5.0,9.44
SJU,2024-01-01,16,20,20,16,19,62.5,50.0,94.74,13.19,20.19,9.56,21.69,0.74,2.74,3.53,3.26
SJU,2024-01-01,17,17,7,21,11,90.48,66.67,81.82,2.0,20.48,9.64,9.95,1.18,1.33,1.09,8.09
SJU,2024-01-01,18,8,17,7,15,42.86,42.86,73.33,20.29,11.43,1.5,21.0,0.33,1.35,2.47,11.4
SJU,2024-01-01,19,9,4,9,4,77.78,77.78,75.0,10.33,19.0,7.5,17.11,0.75,0.23,0.0,17.25
