airport,report_date,Hour,Scheduled Departures,Scheduled Arrivals,Departures For Metric Computation,Arrivals For Metric Computation,% On-Time Gate Departures,% On-Time Airport Departures,% On-Time Gate Arrivals,Average Gate Departure Delay,Average Taxi Out Time,Average Taxi Out Delay,Average Airport Departure Delay,Average Airborne Delay,Average Taxi In Delay,Average Block Delay,Average Gate Arrival Delay
SNA,2024-01-01,6,10,0,10,0,90.0,50.0,0.0,5.2,22.3,13.4,14.3,0.0,0.0,0.0,0.0
SNA,2024-01-01,7,13,3,17,3,88.24,82.35,100.0,4.76,14.71,5.85,8.59,1.67,4.27,1.0,0.0
SNA,2024-01-01,8,7,8,9,9,88.89,77.78,100.0,2.11,15.22,6.38,6.44,2.78,0.24,4.78,1.78
SNA,2024-01-01,9,8,9,10,9,100.0,100.0,100.0,0.0,11.9,3.76,1.6,3.0,0.09,0.56,0.0
SNA,2024-01-01,10,11,8,13,11,76.92,76.92,72.73,10.77,12.85,4.33,13.15,3.82,1.5,5.0,12.18
SNA,2024-01-01,11,5,9,7,13,100.0,85.71,69.23,0.0,17.14,8.01,4.86,3.62,2.6,4.46,15.54
SNA,2024-01-01,12,11,11,13,16,92.31,92.31,81.25,4.08,13.23,4.35,6.54,1.75,5.39,3.06,15.81
SNA,2024-01-01,13,13,11,19,14,68.42,63.16,78.57,22.32,14.21,4.92,24.84,2.57,3.21,3.29,5.64
SNA,2024-01-01,14,9,5,13,9,92.31,92.31,55.56,1.54,10.77,2.22,1.92,4.33,0.61,3.11,14.44
SNA,2024-01-01,15,6,7,7,13,85.71,71.43,53.85,5.71,11.86,3.11,6.86,9.23,0.81,13.69,26.69
SNA,2024-01-01,16,8,9,11,16,90.91,90.91,68.75,5.91,11.09,2.64,7.64,3.69,1.26,3.44,13.88
SNA,2024-01-01,17,6,6,7,7,100.0,100.0,85.71,0.0,11.14,3.07,0.71,1.71,1.76,2.0,5.43
SNA,2024-01-01,18,9,9,9,10,100.0,88.89,90.0,2.56,12.56,4.61,4.67,0.9,0.89,0.1,5.2
SNA,2024-01-01,19,5,5,7,7,85.71,85.71,100.0,8.43,9.43,0.83,8.43,1.71,0.24,0.0,2.57
SNA,2024-01-01,20,4,13,4,13,100.0,100.0,84.62,0.0,8.75,1.75,1.0,1.46,1.17,0.0,8.15
SNA,2024-01-01,21,4,7,4,8,100.0,100.0,100.0,0.0,10.75,1.83,0.0,0.75,2.59,0.75,0.63
SNA,2024-01-01,22,0,9,0,9,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.44,2.57,0.0,0.0
SNA,2024-01-02,6,10,0,12,0,100.0,75.0,0.0,1.17,23.0,14.13,11.17,0.0,0.0,0.0,0.0
SNA,2024-01-02,7,13,3,20,4,75.0,70.0,100.0,13.05,12.7,3.9,15.05,1.5,0.98,2.5,2.0
SNA,2024-01-02,8,8,7,10,8,70.0,60.0,75.0,19.9,12.5,4.0,22.0,2.25,1.56,4.38,18.13
SNA,2024-01-02,9,8,10,13,12,76.92,76.92,83.33,9.54,11.38,3.08,11.92,2.58,1.53,2.25,7.25
SNA,2024-01-02,10,10,10,15,15,73.33,73.33,73.33,9.13,16.07,7.24,14.53,2.4,3.02,7.4,19.6
SNA,2024-01-02,11,8,9,13,15,69.23,61.54,80.0,11.23,16.0,7.22,17.31,3.33,6.06,5.53,14.13
SNA,2024-01-02,12,10,13,16,18,75.0,68.75,77.78,19.5,13.69,4.58,22.94,2.94,5.26,4.44,15.61
SNA,2024-01-02,13,13,8,17,10,76.47,58.82,80.0,11.71,15.53,6.58,17.18,2.7,3.41,5.1,13.2
SNA,2024-01-02,14,8,5,12,11,58.33,50.0,45.45,15.42,14.17,5.54,19.33,2.55,0.91,7.18,19.73
SNA,2024-01-02,15,8,11,11,15,90.91,90.91,66.67,3.36,14.09,5.41,6.27,3.27,1.85,3.47,16.8
SNA,2024-01-02,16,9,8,12,13,50.0,50.0,76.92,18.5,11.25,2.71,20.25,3.69,0.58,5.31,11.23
SNA,2024-01-02,17,6,6,9,11,66.67,66.67,90.91,10.89,12.0,3.46,13.22,3.82,1.07,4.09,6.09
SNA,2024-01-02,18,7,12,8,16,75.0,75.0,68.75,14.0,10.25,2.26,15.88,4.0,1.69,4.44,13.5
