airport,report_date,Hour,Scheduled Departures,Scheduled Arrivals,Departures For Metric Computation,Arrivals For Metric Computation,% On-Time Gate Departures,% On-Time Airport Departures,% On-Time Gate Arrivals,Average Gate Departure Delay,Average Taxi Out Time,Average Taxi Out Delay,Average Airport Departure Delay,Average Airborne Delay,Average Taxi In Delay,Average Block Delay,Average Gate Arrival Delay
TPA,2024-01-01,0,0,7,1,4,0.0,0.0,100.0,28.0,14.0,2.1,30.0,0.0,2.4,0.0,1.75
TPA,2024-01-01,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TPA,2024-01-01,3,0,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0
TPA,2024-01-01,4,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TPA,2024-01-01,5,6,4,6,4,100.0,100.0,100.0,0.0,12.5,3.33,1.5,0.0,10.05,2.0,1.5
TPA,2024-01-01,6,16,1,16,1,93.75,93.75,100.0,2.06,13.81,4.08,4.38,0.0,0.4,0.0,0.0
TPA,2024-01-01,7,27,1,29,1,86.21,86.21,0.0,8.03,14.83,4.8,10.31,0.0,15.0,0.0,26.0
TPA,2024-01-01,8,14,12,14,13,85.71,85.71,84.62,3.07,14.21,4.32,4.43,2.31,0.69,3.31,31.85
TPA,2024-01-01,9,19,13,20,14,85.0,80.0,100.0,14.45,13.5,3.8,16.9,0.64,0.65,0.79,1.29
TPA,2024-01-01,10,14,10,16,12,93.75,87.5,83.33,7.06,13.06,3.17,8.0,2.0,0.97,1.67,5.75
TPA,2024-01-01,11,17,19,20,20,70.0,60.0,80.0,20.75,16.4,6.4,24.8,0.75,1.96,1.55,25.65
TPA,2024-01-01,12,20,14,22,15,81.82,77.27,100.0,25.45,13.68,3.95,28.0,0.8,3.29,2.4,0.53
TPA,2024-01-01,13,11,14,13,19,76.92,76.92,78.95,18.54,13.23,3.8,21.0,0.79,1.37,1.58,15.53
TPA,2024-01-01,14,13,15,17,17,94.12,88.24,82.35,1.29,13.53,3.56,2.65,0.88,2.09,1.47,13.65
TPA,2024-01-01,15,14,16,16,17,68.75,68.75,76.47,12.13,15.31,5.42,16.19,0.65,2.21,2.53,17.71
TPA,2024-01-01,16,19,22,20,25,60.0,55.0,92.0,18.2,16.65,6.36,24.0,0.88,4.57,2.56,2.56
TPA,2024-01-01,17,20,14,22,14,86.36,63.64,85.71,7.77,15.36,5.49,12.64,0.29,1.45,0.14,5.14
TPA,2024-01-01,18,14,9,13,10,92.31,69.23,90.0,5.08,14.23,4.45,8.0,0.6,0.46,2.3,8.1
TPA,2024-01-01,19,11,15,13,17,84.62,76.92,76.47,8.0,14.46,4.85,11.0,1.06,3.11,2.47,10.59
TPA,2024-01-01,20,10,19,13,20,76.92,76.92,80.0,11.0,13.62,3.97,14.31,1.45,2.07,2.55,8.25
TPA,2024-01-01,21,13,18,13,18,84.62,76.92,100.0,12.69,14.46,5.42,17.23,0.67,1.61,0.0,0.06
TPA,2024-01-01,22,5,20,5,20,60.0,40.0,90.0,20.0,14.8,4.1,24.0,0.45,0.86,0.85,18.45
TPA,2024-01-01,23,1,22,1,22,100.0,100.0,86.36,0.0,17.0,5.9,0.0,0.55,2.09,1.41,6.5
TPA,2024-01-02,0,0,12,0,7,0.0,0.0,57.14,0.0,0.0,0.0,0.0,2.14,2.7,3.0,10.71
TPA,2024-01-02,1,0,2,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,10.0,65.0
TPA,2024-01-02,2,0,0,1,0,100.0,0.0,0.0,0.0,27.0,17.1,17.0,0.0,0.0,0.0,0.0
TPA,2024-01-02,3,0,1,0,1,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,1.2,0.0,0.0
TPA,2024-01-02,5,10,4,11,3,100.0,90.91,100.0,0.0,12.27,3.38,2.45,0.0,2.97,0.33,0.0
TPA,2024-01-02,6,18,3,17,3,100.0,94.12,100.0,0.94,13.29,3.48,3.0,2.0,2.07,3.67,4.33
TPA,2024-01-02,7,31,4,32,5,93.75,84.38,60.0,2.41,17.75,7.31,7.47,1.0,8.24,8.6,7.6
TPA,2024-01-02,8,17,13,19,13,78.95,78.95,100.0,19.05,12.63,2.85,20.21,0.31,1.68,0.92,0.62
TPA,2024-01-02,9,19,19,21,19,85.71,85.71,94.74,5.86,13.38,3.77,8.05,0.68,1.89,2.84,2.21
TPA,2024-01-02,10,18,14,18,15,94.44,72.22,73.33,2.39,20.56,10.41,9.44,1.4,1.67,1.33,14.2
TPA,2024-01-02,11,20,17,23,17,78.26,78.26,76.47,8.39,12.13,2.07,9.35,1.18,0.74,1.94,16.53
TPA,2024-01-02,12,15,11,17,14,64.71,58.82,57.14,21.76,13.71,3.82,24.47,1.5,2.03,4.57,18.86
TPA,2024-01-02,13,9,16,10,15,50.0,50.0,86.67,24.1,18.7,8.56,31.7,0.73,1.13,0.67,4.4
TPA,2024-01-02,14,15,15,16,18,87.5,81.25,77.78,5.94,14.25,4.62,9.31,1.0,1.78,1.78,8.28
TPA,2024-01-02,15,15,15,18,20,72.22,72.22,75.0,14.78,13.56,3.93,17.61,1.5,1.1,3.95,20.65
TPA,2024-01-02,16,16,17,18,17,72.22,66.67,88.24,14.78,14.78,4.69,18.17,0.65,2.79,0.65,5.29
