DATE,HourlyDewPointTemperature,HourlyDryBulbTemperature,HourlyPrecipitation,HourlyRelativeHumidity,HourlyVisibility,HourlyWindSpeed,Rain,Drizzle,Snow,Fog,Mist,Thunderstorm,FreezingPrecip,Showers,PrecipOccurred,WindX,WindY
2023-01-01 00:08:00,55.0,56.0,0.0,97.0,0.0,8.0,0,0,0,1,0,0,0,0,0,6.928203230275507,4.0000000000000036
2023-01-01 00:20:00,55.0,56.0,0.0,97.0,0.0,6.0,0,0,0,1,0,0,0,0,0,5.908846518073249,1.0418890660015823
2023-01-01 00:50:00,55.0,55.0,0.0,100.0,0.0,3.0,0,0,0,0,1,0,0,0,0,3.0,5.51091059616309e-16
2023-01-01 00:52:00,55.0,56.0,0.0,97.0,0.0,3.0,0,0,0,0,1,0,0,0,0,2.9544232590366244,-0.5209445330007899
2023-01-01 01:00:00,55.0,56.0,0.0,97.0,0.0,3.0,0,0,0,0,0,0,0,0,0,2.9544232590366244,-0.5209445330007899
2023-01-01 01:52:00,56.0,57.0,0.0,96.0,0.0,6.0,0,0,0,1,0,0,0,0,0,5.908846518073249,-1.0418890660015798
2023-01-01 02:52:00,54.0,55.0,0.0,96.0,0.0,0.0,0,0,0,1,0,0,0,0,0,-0.0,-0.0
2023-01-01 03:17:00,54.0,55.0,0.0,96.0,0.0,0.0,0,0,0,1,0,0,0,0,0,-0.0,-0.0
2023-01-01 03:52:00,53.0,55.0,0.0,93.0,0.0,0.0,0,0,0,1,0,0,0,0,0,-0.0,-0.0
2023-01-01 04:52:00,53.0,54.0,0.0,97.0,0.0,0.0,0,0,0,1,0,0,0,0,0,-0.0,-0.0
2023-01-01 05:12:00,53.0,54.0,0.0,97.0,0.0,0.0,0,0,0,1,0,0,0,0,0,-0.0,-0.0
2023-01-01 05:15:00,53.0,54.0,0.0,97.0,0.25,0.0,0,0,0,1,0,0,0,0,0,-0.0,-0.0
2023-01-01 05:52:00,53.0,54.0,0.0,97.0,0.25,0.0,0,0,0,1,0,0,0,0,0,-0.0,-0.0
2023-01-01 06:07:00,54.0,55.0,0.0,96.0,0.25,0.0,0,0,0,1,0,0,0,0,0,-0.0,-0.0
2023-01-01 06:17:00,54.0,54.0,0.0,100.0,0.25,0.0,0,0,0,1,0,0,0,0,0,-0.0,-0.0
2023-01-01 06:43:00,54.0,54.0,0.0,100.0,0.25,0.0,0,0,0,1,0,0,0,0,0,-0.0,-0.0
2023-01-01 06:52:00,54.0,54.0,0.0,100.0,0.25,0.0,0,0,0,1,0,0,0,0,0,-0.0,-0.0
2023-01-01 07:00:00,54.0,54.0,0.0,100.0,0.25,0.0,0,0,0,1,0,0,0,0,0,-0.0,-0.0
2023-01-01 07:52:00,54.0,54.0,0.0,100.0,0.25,0.0,0,0,0,0,1,0,0,0,0,-0.0,-0.0
2023-01-01 08:49:00,54.0,55.0,0.0,94.0,0.25,3.0,0,0,0,1,0,0,0,0,0,1.026060429977006,2.8190778623577253
2023-01-01 08:52:00,54.0,55.0,0.0,96.0,0.25,3.0,0,0,0,1,0,0,0,0,0,1.5000000000000004,2.598076211353316
2023-01-01 08:59:00,54.0,55.0,0.0,96.0,0.25,5.0,0,0,0,1,0,0,0,0,0,2.5000000000000004,4.330127018922193
2023-01-01 09:37:00,55.0,56.0,0.0,97.0,0.25,7.0,0,0,0,1,0,0,0,0,0,6.893654271085457,1.2155372436685126
2023-01-01 09:50:00,55.0,55.0,0.0,100.0,1.0,6.0,0,0,0,0,1,0,0,0,0,5.908846518073249,1.0418890660015823
2023-01-01 09:52:00,55.0,56.0,0.0,97.0,1.0,7.0,0,0,0,0,1,0,0,0,0,7.0,1.2858791391047208e-15
2023-01-01 10:36:00,56.0,57.0,0.0,96.0,1.5,5.0,0,0,0,0,1,0,0,0,0,4.924038765061041,0.8682408883346517
2023-01-01 10:52:00,56.0,57.0,0.0,96.0,1.5,7.0,0,0,0,0,1,0,0,0,0,6.893654271085457,1.2155372436685126
2023-01-01 11:52:00,57.0,60.0,0.0,90.0,9.0,6.0,0,0,0,0,0,0,0,0,0,5.908846518073249,1.0418890660015823
2023-01-01 12:02:00,57.0,61.0,0.0,87.0,10.0,7.0,0,0,0,0,0,0,0,0,0,6.062177826491069,3.500000000000003
2023-01-01 12:21:00,56.0,63.0,0.0,78.0,10.0,8.0,0,0,0,0,0,0,0,0,0,7.517540966287268,2.736161146605349
2023-01-01 12:37:00,56.0,63.0,0.0,78.0,10.0,8.0,0,0,0,0,0,0,0,0,0,7.517540966287268,2.736161146605349
2023-01-01 12:52:00,56.0,65.0,0.0,73.0,10.0,5.0,0,0,0,0,0,0,0,0,0,4.922456060984276,0.8771694976908224
2023-01-01 13:00:00,56.0,65.0,0.0,73.0,9.94,5.0,0,0,0,0,0,0,0,0,0,4.999991777498277,-0.009067797396289533
2023-01-01 13:10:00,54.0,66.0,0.0,65.0,10.0,8.0,0,0,0,0,0,0,0,0,0,7.878462024097665,-1.3891854213354398
2023-01-01 13:52:00,54.0,67.0,0.0,63.0,10.0,6.0,0,0,0,0,0,0,0,0,0,4.596266658713869,-3.8567256581192355
2023-01-01 14:52:00,52.0,69.0,0.0,55.0,10.0,7.0,0,0,0,0,0,0,0,0,0,6.5778483455013586,-2.394141003279683
2023-01-01 15:52:00,53.0,70.0,0.0,55.0,10.0,6.0,0,0,0,0,0,0,0,0,0,5.79555495773441,-1.552914270615124
2023-01-01 16:52:00,50.0,69.0,0.0,51.0,10.0,5.0,0,0,0,0,0,0,0,0,0,4.924038765061041,-0.8682408883346499
2023-01-01 17:52:00,52.0,64.0,0.0,65.0,10.0,3.0,0,0,0,0,0,0,0,0,0,-3.6739403974420594e-16,3.0
2023-01-01 18:52:00,52.0,62.0,0.0,70.0,10.0,5.0,0,0,0,0,0,0,0,0,0,-6.123233995736766e-16,5.0
2023-01-01 19:00:00,52.0,62.0,0.0,70.0,9.94,5.0,0,0,0,0,0,0,0,0,0,-6.123233995736766e-16,5.0
2023-01-01 19:52:00,51.0,60.0,0.0,72.0,10.0,3.0,0,0,0,0,0,0,0,0,0,-0.5209445330007909,2.9544232590366244
2023-01-01 20:52:00,52.0,59.0,0.0,78.0,10.0,3.0,0,0,0,0,0,0,0,0,0,0.5209445330007914,2.954423259036624
2023-01-01 21:52:00,52.0,58.0,0.0,81.0,10.0,3.0,0,0,0,0,0,0,0,0,0,1.026060429977006,2.8190778623577253
2023-01-01 22:52:00,52.0,57.0,0.0,83.0,10.0,0.0,0,0,0,0,0,0,0,0,0,-0.0,-0.0
2023-01-01 23:52:00,51.0,54.0,0.0,90.0,10.0,3.0,0,0,0,0,0,0,0,0,0,-2.598076211353316,1.4999999999999996
2023-01-02 00:52:00,51.0,53.0,0.0,93.0,10.0,0.0,0,0,0,0,0,0,0,0,0,-0.0,-0.0
2023-01-02 01:00:00,51.0,53.0,0.0,93.0,9.94,0.0,0,0,0,0,0,0,0,0,0,-0.0,-0.0
2023-01-02 01:52:00,50.0,52.0,0.0,93.0,10.0,0.0,0,0,0,0,0,0,0,0,0,-0.0,-0.0
2023-01-02 02:52:00,50.0,52.0,0.0,93.0,10.0,0.0,0,0,0,0,0,0,0,0,0,-0.0,-0.0
