DATE,HourlyDewPointTemperature,HourlyDryBulbTemperature,HourlyPrecipitation,HourlyRelativeHumidity,HourlyVisibility,HourlyWindSpeed,Rain,Drizzle,Snow,Fog,Mist,Thunderstorm,FreezingPrecip,Showers,PrecipOccurred,WindX,WindY
2019-01-01 00:00:00,33.0,34.0,0.0,97.0,9.94,9.0,0,0,0,0,0,0,0,0,0,8.457233587073175,-3.078181289931021
2019-01-01 00:51:00,32.0,34.0,0.0,92.0,10.0,8.0,0,0,0,0,0,0,0,0,0,4.0000000000000036,-6.928203230275507
2019-01-01 01:51:00,31.0,33.0,0.0,92.0,10.0,10.0,0,0,0,0,0,0,0,0,0,6.427876096865396,-7.660444431189778
2019-01-01 02:09:00,31.0,33.0,0.0,92.0,6.0,13.0,0,0,0,0,1,0,0,0,0,8.356238925925014,-9.958577760546712
2019-01-01 02:17:00,31.0,33.0,0.001,92.0,3.0,9.0,0,0,1,0,1,0,0,0,1,5.785088487178856,-6.8943999880708
2019-01-01 02:51:00,31.0,32.0,0.001,96.0,4.0,7.0,0,0,1,0,1,0,0,0,1,3.500000000000003,-6.062177826491069
2019-01-01 03:13:00,31.0,32.0,0.001,96.0,6.0,7.0,0,0,0,0,1,0,0,0,1,3.500000000000003,-6.062177826491069
2019-01-01 03:51:00,30.0,32.0,0.0,92.0,5.0,6.0,0,0,0,0,1,0,0,0,0,2.0521208599540115,-5.638155724715451
2019-01-01 04:19:00,30.0,32.0,0.001,92.0,4.0,10.0,0,0,1,0,1,0,0,0,1,3.420201433256686,-9.396926207859085
2019-01-01 04:49:00,28.0,30.0,0.01,93.0,1.75,11.0,0,0,1,0,1,0,0,0,1,2.6942229581241772e-15,-11.0
2019-01-01 04:51:00,29.0,31.0,0.01,92.0,1.75,11.0,0,0,1,0,1,0,0,0,1,1.9101299543362344,-10.832885283134289
2019-01-01 05:20:00,28.0,30.0,0.001,92.0,5.0,16.0,0,0,1,0,1,0,0,0,1,3.91886975727153e-15,-16.0
2019-01-01 05:51:00,28.0,30.0,0.001,92.0,10.0,11.0,0,0,0,0,0,0,0,0,1,2.6942229581241772e-15,-11.0
2019-01-01 06:00:00,28.0,30.0,0.0,92.0,9.94,11.0,0,0,0,0,0,0,0,0,0,2.6942229581241772e-15,-11.0
2019-01-01 06:32:00,26.0,29.0,0.001,89.0,4.0,9.0,0,0,1,0,1,0,0,0,1,1.5628335990023738,-8.863269777109874
2019-01-01 06:51:00,26.0,29.0,0.001,89.0,4.0,10.0,0,0,1,0,1,0,0,0,1,-1.7364817766693035,-9.848077530122081
2019-01-01 06:55:00,26.0,29.0,0.001,89.0,5.0,13.0,0,0,1,0,1,0,0,0,1,-2.2574263096700946,-12.802500789158707
2019-01-01 07:49:00,25.0,28.0,0.0,86.0,10.0,13.0,0,0,0,0,0,0,0,0,0,-4.446261863233693,-12.21600407021681
2019-01-01 07:51:00,24.0,29.0,0.001,82.0,10.0,11.0,0,0,0,0,0,0,0,0,1,-3.762221576582356,-10.336618828644992
2019-01-01 08:51:00,24.0,28.0,0.0,85.0,10.0,13.0,0,0,0,0,0,0,0,0,0,2.2574263096700955,-12.802500789158707
2019-01-01 09:40:00,24.0,28.0,0.0,85.0,10.0,10.0,0,0,0,0,0,0,0,0,0,1.7364817766693041,-9.848077530122081
2019-01-01 09:51:00,24.0,28.0,0.0,85.0,10.0,10.0,0,0,0,0,0,0,0,0,0,2.4492935982947065e-15,-10.0
2019-01-01 10:51:00,24.0,28.0,0.0,85.0,10.0,9.0,0,0,0,0,0,0,0,0,0,3.0781812899310173,-8.457233587073176
2019-01-01 11:51:00,23.0,28.0,0.0,81.0,10.0,9.0,0,0,0,0,0,0,0,0,0,3.0781812899310173,-8.457233587073176
2019-01-01 12:00:00,23.0,28.0,0.0,81.0,9.94,9.0,0,0,0,0,0,0,0,0,0,3.0781812899310173,-8.457233587073176
2019-01-01 12:51:00,23.0,27.0,0.0,85.0,10.0,9.0,0,0,0,0,0,0,0,0,0,1.5628335990023738,-8.863269777109874
2019-01-01 13:16:00,23.0,27.0,0.001,85.0,10.0,8.0,0,0,0,0,0,0,0,1,1,1.3891854213354433,-7.878462024097665
2019-01-01 13:20:00,23.0,27.0,0.001,85.0,10.0,9.0,0,0,1,0,0,0,0,0,1,2.204364238465236e-15,-9.0
2019-01-01 13:51:00,23.0,27.0,0.001,85.0,9.0,10.0,0,0,1,0,0,0,0,0,1,-1.7364817766693035,-9.848077530122081
2019-01-01 14:51:00,23.0,27.0,0.001,85.0,10.0,9.0,0,0,1,0,0,0,0,0,1,-1.5628335990023732,-8.863269777109874
2019-01-01 15:51:00,22.0,26.0,0.001,84.0,10.0,6.0,0,0,0,0,0,0,0,0,1,1.0418890660015825,-5.908846518073249
2019-01-01 16:17:00,22.0,26.0,0.0,84.0,10.0,6.0,0,0,0,0,0,0,0,0,0,2.0521208599540115,-5.638155724715451
2019-01-01 16:51:00,22.0,26.0,0.0,84.0,10.0,6.0,0,0,0,0,0,0,0,0,0,2.0521208599540115,-5.638155724715451
2019-01-01 17:51:00,22.0,26.0,0.0,84.0,10.0,6.0,0,0,0,0,0,0,0,0,0,3.0000000000000027,-5.19615242270663
2019-01-01 18:00:00,22.0,26.0,0.0,84.0,9.94,6.0,0,0,0,0,0,0,0,0,0,3.0000000000000027,-5.19615242270663
2019-01-01 18:51:00,22.0,26.0,0.0,84.0,10.0,6.0,0,0,0,0,0,0,0,0,0,3.0000000000000027,-5.19615242270663
2019-01-01 19:49:00,21.0,27.0,0.0,80.0,10.0,5.0,0,0,0,0,0,0,0,0,0,2.500000000000002,-4.330127018922192
2019-01-01 19:51:00,22.0,26.0,0.0,84.0,10.0,3.0,0,0,0,0,0,0,0,0,0,1.5000000000000013,-2.598076211353315
2019-01-01 20:51:00,23.0,26.0,0.0,88.0,10.0,5.0,0,0,0,0,0,0,0,0,0,3.8302222155948904,-3.2139380484326963
2019-01-01 21:12:00,23.0,26.0,0.0,88.0,10.0,5.0,0,0,0,0,0,0,0,0,0,0.8682408883346521,-4.924038765061041
2019-01-01 21:39:00,23.0,26.0,0.0,88.0,10.0,5.0,0,0,0,0,0,0,0,0,0,3.213938048432698,-3.830222215594889
2019-01-01 21:51:00,23.0,26.0,0.0,88.0,10.0,5.0,0,0,0,0,0,0,0,0,0,3.213938048432698,-3.830222215594889
2019-01-01 22:39:00,23.0,26.0,0.0,88.0,8.0,0.0,0,0,0,0,0,0,0,0,0,-0.0,-0.0
2019-01-01 22:51:00,23.0,26.0,0.0,88.0,7.0,3.0,0,0,0,0,0,0,0,0,0,0.5209445330007912,-2.9544232590366244
2019-01-01 23:51:00,24.0,26.0,0.0,92.0,8.0,0.0,0,0,0,0,0,0,0,0,0,-0.0,-0.0
2019-01-02 00:00:00,24.0,26.0,0.0,92.0,7.46,0.0,0,0,0,0,0,0,0,0,0,-0.0,-0.0
2019-01-02 00:51:00,24.0,26.0,0.0,92.0,8.0,0.0,0,0,0,0,0,0,0,0,0,-0.0,-0.0
2019-01-02 01:49:00,25.0,27.0,0.0,93.0,8.0,0.0,0,0,0,0,0,0,0,0,0,-0.0,-0.0
2019-01-02 01:51:00,24.0,26.0,0.0,92.0,8.0,0.0,0,0,0,0,0,0,0,0,0,-0.0,-0.0
2019-01-02 02:49:00,25.0,27.0,0.0,93.0,8.0,0.0,0,0,0,0,0,0,0,0,0,-0.0,-0.0
2019-01-02 02:51:00,24.0,27.0,0.0,89.0,8.0,0.0,0,0,0,0,0,0,0,0,0,-0.0,-0.0
2019-01-02 03:51:00,24.0,27.0,0.0,89.0,8.0,3.0,0,0,0,0,0,0,0,0,0,2.598076211353315,1.5000000000000013
2019-01-02 04:51:00,25.0,27.0,0.0,92.0,8.0,5.0,0,0,0,0,0,0,0,0,0,4.330127018922192,2.500000000000002
2019-01-02 05:40:00,25.0,28.0,0.0,88.0,7.0,7.0,0,0,0,0,0,0,0,0,0,4.499513267805775,5.362311101832847
2019-01-02 05:51:00,25.0,28.0,0.001,88.0,6.0,5.0,0,1,0,0,1,0,1,0,1,1.7101007166283433,4.698463103929543
2019-01-02 06:00:00,25.0,28.0,0.0,88.0,5.59,5.0,0,0,0,0,0,0,0,0,0,1.7101007166283433,4.698463103929543
2019-01-02 06:15:00,25.0,28.0,0.001,88.0,7.0,3.0,0,0,0,0,0,0,0,0,1,1.5000000000000004,2.598076211353316
2019-01-02 06:49:00,25.0,28.0,0.0,86.0,7.0,6.0,0,0,0,0,0,0,0,0,0,3.000000000000001,5.196152422706632
2019-01-02 06:51:00,26.0,28.0,0.001,92.0,7.0,5.0,0,0,0,0,0,0,0,0,1,1.7101007166283433,4.698463103929543
2019-01-02 07:11:00,26.0,28.0,0.001,92.0,6.0,7.0,0,1,0,0,1,0,1,0,1,2.394141003279681,6.5778483455013586
2019-01-02 07:51:00,27.0,29.0,0.001,92.0,5.0,5.0,0,1,0,0,1,0,1,0,1,1.7101007166283433,4.698463103929543
2019-01-02 08:13:00,27.0,29.0,0.001,92.0,5.0,7.0,0,0,0,0,1,0,0,0,1,2.394141003279681,6.5778483455013586
2019-01-02 08:41:00,27.0,29.0,0.001,92.0,4.0,7.0,0,1,0,0,1,0,1,0,1,2.394141003279681,6.5778483455013586
2019-01-02 08:49:00,27.0,28.0,0.001,93.0,2.5,5.0,0,1,0,0,1,0,1,0,1,2.5000000000000004,4.330127018922193
2019-01-02 08:51:00,27.0,29.0,0.001,92.0,2.5,5.0,0,1,0,0,1,0,1,0,1,1.7101007166283433,4.698463103929543
2019-01-02 09:26:00,28.0,29.0,0.001,96.0,1.75,7.0,0,1,0,0,1,0,1,0,1,3.500000000000001,6.06217782649107
2019-01-02 09:51:00,28.0,30.0,0.001,92.0,1.75,6.0,1,1,1,0,1,0,1,0,1,3.8567256581192364,4.596266658713869
2019-01-02 10:07:00,28.0,30.0,0.01,92.0,2.5,7.0,1,1,1,0,1,0,1,0,1,3.500000000000001,6.06217782649107
2019-01-02 10:19:00,28.0,30.0,0.01,92.0,1.5,10.0,0,0,1,0,1,0,0,0,1,8.660254037844384,5.000000000000004
2019-01-02 10:26:00,28.0,30.0,0.01,92.0,2.5,9.0,0,0,1,0,1,0,0,0,1,4.500000000000001,7.794228634059947
2019-01-02 10:31:00,28.0,30.0,0.01,92.0,3.0,10.0,0,0,1,0,1,0,0,0,1,6.427876096865393,7.660444431189781
2019-01-02 10:49:00,27.0,30.0,0.01,86.0,5.0,11.0,0,0,1,0,1,0,0,0,1,5.500000000000001,9.526279441628825
2019-01-02 10:51:00,27.0,30.0,0.01,88.0,5.0,13.0,0,0,1,0,1,0,0,0,1,6.500000000000002,11.258330249197702
2019-01-02 11:19:00,27.0,30.0,0.001,88.0,4.0,11.0,0,0,1,0,1,0,0,0,1,9.526279441628823,5.500000000000005
2019-01-02 11:47:00,27.0,28.0,0.001,93.0,5.0,11.0,0,0,1,0,1,0,0,0,1,7.070663706551933,8.42648887430876
2019-01-02 11:51:00,26.0,29.0,0.001,89.0,6.0,14.0,0,0,1,0,1,0,0,0,1,10.72462220366569,8.999026535611552
2019-01-02 12:00:00,26.0,29.0,0.0,89.0,5.59,14.0,0,0,0,0,0,0,0,0,0,10.72462220366569,8.999026535611552
2019-01-02 12:51:00,25.0,29.0,0.001,85.0,6.0,10.0,0,0,1,0,1,0,0,0,1,8.660254037844384,5.000000000000004
2019-01-02 13:05:00,25.0,29.0,0.001,85.0,6.0,10.0,0,0,1,0,1,0,0,0,1,7.660444431189779,6.427876096865395
2019-01-02 13:51:00,25.0,29.0,0.001,85.0,8.0,15.0,0,0,1,0,0,0,0,0,1,11.490666646784668,9.641814145298092
