DATE,HourlyDewPointTemperature,HourlyDryBulbTemperature,HourlyPrecipitation,HourlyPresentWeatherType,HourlyRelativeHumidity,HourlyVisibility,HourlyWindDirection,HourlyWindSpeed
2024-01-01T00:52:00,32.0,43,0.00,,65.0,10.00,230,6.0
2024-01-01T01:00:00,32.0,43,,,65.0,9.94,230,6.0
2024-01-01T01:52:00,32.0,43,0.00,,65.0,10.00,230,6.0
2024-01-01T02:52:00,32.0,42,0.00,,68.0,10.00,230,7.0
2024-01-01T03:52:00,32.0,42,0.00,,68.0,10.00,240,5.0
2024-01-01T04:00:00,32.0,42,,,68.0,9.94,240,5.0
2024-01-01T04:52:00,32.0,43,0.00,,65.0,10.00,250,7.0
2024-01-01T05:52:00,32.0,41,0.00,,70.0,10.00,220,5.0
2024-01-01T06:52:00,32.0,40,0.00,,73.0,10.00,270,6.0
2024-01-01T07:00:00,32.0,40,,,73.0,9.94,270,6.0
2024-01-01T07:52:00,32.0,39,0.00,,76.0,10.00,300,8.0
2024-01-01T08:52:00,33.0,41,0.00,,73.0,10.00,320,9.0
2024-01-01T09:52:00,34.0,45,0.00,,66.0,10.00,310,14.0
2024-01-01T10:00:00,34.0,45,,,66.0,9.94,310,14.0
2024-01-01T10:52:00,34.0,48,0.00,,58.0,10.00,320,10.0
2024-01-01T11:52:00,32.0,46,0.00,,58.0,10.00,320,15.0
2024-01-01T12:52:00,31.0,48,0.00,,52.0,10.00,300,14.0
2024-01-01T13:00:00,31.0,48,,,52.0,9.94,300,14.0
2024-01-01T13:52:00,31.0,49,0.00,,50.0,10.00,320,14.0
2024-01-01T14:52:00,29.0,49,0.00,,46.0,10.00,290,15.0
2024-01-01T15:52:00,27.0,48,0.00,,44.0,10.00,320,17.0
2024-01-01T16:00:00,27.0,48,,,44.0,9.94,320,17.0
2024-01-01T16:52:00,27.0,45,0.00,,49.0,10.00,320,17.0
2024-01-01T17:52:00,25.0,41,0.00,,53.0,10.00,310,9.0
2024-01-01T18:52:00,25.0,41,0.00,,53.0,10.00,320,13.0
2024-01-01T19:00:00,25.0,41,,,53.0,9.94,320,13.0
2024-01-01T19:52:00,24.0,39,0.00,,55.0,10.00,330,13.0
2024-01-01T20:52:00,24.0,38,0.00,,57.0,10.00,340,17.0
2024-01-01T21:52:00,24.0,37,0.00,,59.0,10.00,320,15.0
2024-01-01T22:00:00,24.0,37,,,59.0,9.94,320,15.0
2024-01-01T22:52:00,24.0,36,0.00,,62.0,10.00,340,13.0
2024-01-01T23:52:00,25.0,34,0.00,,70.0,10.00,320,10.0
2024-01-02T00:52:00,25.0,34,0.00,,70.0,10.00,330,9.0
2024-01-02T01:00:00,25.0,34,,,70.0,9.94,330,9.0
2024-01-02T01:52:00,25.0,33,0.00,,72.0,10.00,330,9.0
2024-01-02T02:52:00,25.0,32,0.00,,75.0,10.00,330,6.0
2024-01-02T03:52:00,24.0,31,0.00,,76.0,10.00,310,7.0
2024-01-02T04:00:00,24.0,31,,,76.0,9.94,310,7.0
2024-01-02T04:52:00,25.0,31,0.00,,79.0,10.00,320,8.0
2024-01-02T05:52:00,25.0,31,0.00,,79.0,10.00,320,8.0
2024-01-02T06:52:00,24.0,30,0.00,,79.0,10.00,320,7.0
2024-01-02T07:00:00,24.0,30,,,79.0,9.94,320,7.0
2024-01-02T07:52:00,25.0,31,0.00,,79.0,10.00,330,7.0
2024-01-02T08:52:00,26.0,34,0.00,,73.0,10.00,340,5.0
2024-01-02T09:52:00,27.0,39,0.00,,62.0,10.00,330,5.0
2024-01-02T10:00:00,27.0,39,,,62.0,9.94,330,5.0
2024-01-02T10:52:00,27.0,43,0.00,,53.0,10.00,000,0.0
2024-01-02T11:52:00,26.0,45,0.00,,48.0,10.00,220,6.0
2024-01-02T12:52:00,25.0,48,0.00,,41.0,10.00,240,8.0
2024-01-02T13:00:00,25.0,48,,,41.0,9.94,240,8.0
2024-01-02T13:52:00,26.0,51,0.00,,38.0,10.00,280,7.0
2024-01-02T14:52:00,24.0,52,0.00,,34.0,10.00,280,8.0
2024-01-02T15:52:00,24.0,53,0.00,,32.0,10.00,290,7.0
2024-01-02T16:00:00,24.0,53,,,32.0,9.94,290,7.0
2024-01-02T16:52:00,25.0,52,0.00,,35.0,10.00,270,7.0
2024-01-02T17:52:00,24.0,49,0.00,,38.0,10.00,290,5.0
2024-01-02T18:52:00,25.0,47,0.00,,42.0,10.00,310,5.0
2024-01-02T19:00:00,25.0,47,,,42.0,9.94,310,5.0
2024-01-02T19:52:00,25.0,44,0.00,,47.0,10.00,320,7.0
2024-01-02T20:52:00,27.0,42,0.00,,55.0,10.00,000,0.0
2024-01-02T21:52:00,26.0,41,0.00,,55.0,10.00,310,5.0
2024-01-02T22:00:00,26.0,41,,,55.0,9.94,310,5.0
2024-01-02T22:52:00,26.0,38,0.00,,62.0,10.00,310,7.0
2024-01-02T23:52:00,26.0,38,0.00,,62.0,10.00,310,6.0
2024-01-03T00:52:00,26.0,37,0.00,,65.0,10.00,000,0.0
2024-01-03T01:00:00,26.0,37,,,65.0,9.94,000,0.0
2024-01-03T01:52:00,26.0,35,0.00,,70.0,10.00,280,3.0
2024-01-03T02:52:00,25.0,35,0.00,,67.0,10.00,320,5.0
2024-01-03T03:52:00,26.0,34,0.00,,73.0,10.00,270,3.0
2024-01-03T04:00:00,26.0,34,,,73.0,9.94,270,3.0
2024-01-03T04:52:00,25.0,33,0.00,,72.0,10.00,280,3.0
2024-01-03T05:52:00,25.0,32,0.00,,75.0,10.00,280,3.0
2024-01-03T06:52:00,25.0,31,0.00,,79.0,10.00,310,6.0
2024-01-03T07:00:00,25.0,31,,,79.0,9.94,310,6.0
2024-01-03T07:52:00,26.0,33,0.00,,75.0,10.00,280,5.0
2024-01-03T08:52:00,28.0,36,0.00,,73.0,10.00,310,8.0
2024-01-03T09:52:00,29.0,39,0.00,,67.0,10.00,310,5.0
2024-01-03T10:00:00,29.0,39,,,67.0,9.94,310,5.0
2024-01-03T10:52:00,29.0,42,0.00,,60.0,10.00,260,3.0
2024-01-03T11:52:00,30.0,43,0.00,,60.0,10.00,220,5.0
2024-01-03T12:52:00,30.0,47,0.00,,52.0,10.00,310,8.0
2024-01-03T13:00:00,30.0,47,,,52.0,9.94,310,8.0
2024-01-03T13:52:00,28.0,45,0.00,,52.0,10.00,280,8.0
2024-01-03T14:52:00,28.0,45,0.00,,52.0,10.00,250,7.0
2024-01-03T15:52:00,28.0,45,0.00,,52.0,10.00,270,8.0
2024-01-03T16:00:00,28.0,45,,,52.0,9.94,270,8.0
2024-01-03T16:52:00,33.0,43,T,-RA:02 |RA |RA,68.0,8.00,290,7.0
2024-01-03T17:52:00,36.0,41,0.03,-RA:02 |RA |RA,82.0,9.00,260,5.0
2024-01-03T18:52:00,36.0,40,T,,86.0,10.00,240,5.0
2024-01-03T19:00:00,36.0,40,,,86.0,9.94,240,5.0
2024-01-03T19:52:00,36.0,40,0.00,,86.0,10.00,210,5.0
2024-01-03T20:52:00,36.0,40,0.00,,86.0,10.00,230,3.0
2024-01-03T21:52:00,35.0,40,0.00,,83.0,10.00,240,7.0
2024-01-03T22:00:00,35.0,40,,,83.0,9.94,240,7.0
2024-01-03T22:52:00,35.0,40,0.00,,83.0,10.00,290,9.0
2024-01-03T23:52:00,34.0,39,0.00,,82.0,10.00,270,3.0
2024-01-04T00:52:00,32.0,37,0.00,,82.0,10.00,290,8.0
2024-01-04T01:00:00,32.0,37,,,82.0,9.94,290,8.0
