DATE,HourlyDewPointTemperature,HourlyDryBulbTemperature,HourlyPrecipitation,HourlyPresentWeatherType,HourlyRelativeHumidity,HourlyVisibility,HourlyWindDirection,HourlyWindSpeed
2024-01-01T00:51:00,31,42,0.00,,65.0,10.00,250,11.0
2024-01-01T01:00:00,31,42,,,65.0,9.94,250,11.0
2024-01-01T01:51:00,31,41,0.00,,67.0,10.00,260,9.0
2024-01-01T02:51:00,30,41,0.00,,65.0,10.00,250,8.0
2024-01-01T03:51:00,30,41,0.00,,65.0,10.00,260,6.0
2024-01-01T04:00:00,30,41,,,65.0,9.94,260,6.0
2024-01-01T04:51:00,31,40,0.00,,70.0,10.00,260,5.0
2024-01-01T05:51:00,31,40,0.00,,70.0,10.00,250,5.0
2024-01-01T06:51:00,31,40,T,,70.0,10.00,280,6.0
2024-01-01T07:00:00,31,40,,,70.0,9.94,280,6.0
2024-01-01T07:51:00,34,40,0.00,,79.0,10.00,340,7.0
2024-01-01T08:51:00,35,40,T,,83.0,10.00,340,7.0
2024-01-01T09:51:00,35,42,0.00,,76.0,10.00,360,6.0
2024-01-01T10:00:00,35,42,,,76.0,9.94,360,6.0
2024-01-01T10:51:00,34,42,0.00,,73.0,10.00,010,5.0
2024-01-01T11:11:00,34,43,,,71.0,10.00,000,0.0
2024-01-01T11:51:00,34,43,0.00,,71.0,10.00,320,3.0
2024-01-01T12:51:00,34,46,0.00,,63.0,10.00,320,5.0
2024-01-01T13:00:00,34,46,,,63.0,9.94,320,5.0
2024-01-01T13:51:00,33,45,0.00,,63.0,10.00,000,0.0
2024-01-01T14:51:00,34,44,0.00,,68.0,10.00,220,5.0
2024-01-01T15:51:00,35,43,0.00,,74.0,10.00,210,5.0
2024-01-01T16:00:00,35,43,,,74.0,9.94,210,5.0
2024-01-01T16:51:00,34,42,0.00,,73.0,10.00,000,0.0
2024-01-01T17:51:00,32,43,0.00,,65.0,10.00,010,7.0
2024-01-01T18:51:00,30,42,0.00,,62.0,10.00,350,10.0
2024-01-01T19:00:00,30,42,,,62.0,9.94,350,10.0
2024-01-01T19:51:00,31,41,0.00,,67.0,10.00,340,9.0
2024-01-01T20:51:00,29,39,0.00,,67.0,10.00,350,9.0
2024-01-01T21:51:00,30,38,0.00,,73.0,10.00,360,7.0
2024-01-01T22:00:00,30,38,,,73.0,9.94,360,7.0
2024-01-01T22:51:00,28,37,0.00,,70.0,10.00,350,13.0
2024-01-01T23:51:00,28,35,0.00,,76.0,10.00,360,11.0
2024-01-02T00:51:00,25,34,0.00,,70.0,10.00,350,11.0
2024-01-02T01:00:00,25,34,,,70.0,9.94,350,11.0
2024-01-02T01:51:00,23,32,0.00,,69.0,10.00,360,10.0
2024-01-02T02:51:00,22,31,0.00,,69.0,10.00,360,14.0
2024-01-02T03:51:00,21,30,0.00,,69.0,10.00,350,13.0
2024-01-02T04:00:00,21,30,,,69.0,9.94,350,13.0
2024-01-02T04:51:00,20,30,0.00,,66.0,10.00,340,14.0
2024-01-02T05:51:00,20,29,0.00,,69.0,10.00,350,10.0
2024-01-02T06:51:00,20,28,0.00,,72.0,10.00,350,11.0
2024-01-02T07:00:00,20,28,,,72.0,9.94,350,11.0
2024-01-02T07:51:00,20,29,0.00,,69.0,10.00,350,9.0
2024-01-02T08:51:00,20,31,0.00,,64.0,10.00,350,11.0
2024-01-02T09:51:00,21,34,0.00,,59.0,10.00,320,13.0
2024-01-02T10:00:00,21,34,,,59.0,9.94,320,13.0
2024-01-02T10:51:00,21,36,0.00,,55.0,10.00,330,11.0
2024-01-02T11:51:00,22,38,0.00,,52.0,10.00,330,9.0
2024-01-02T12:51:00,22,40,0.00,,49.0,10.00,320,10.0
2024-01-02T13:00:00,22,40,,,49.0,9.94,320,10.0
2024-01-02T13:51:00,22,41,0.00,,47.0,10.00,320,8.0
2024-01-02T14:51:00,23,42,0.00,,47.0,10.00,300,10.0
2024-01-02T15:51:00,22,42,0.00,,45.0,10.00,330,9.0
