DATE,HourlyDewPointTemperature,HourlyDryBulbTemperature,HourlyPrecipitation,HourlyPresentWeatherType,HourlyRelativeHumidity,HourlyVisibility,HourlyWindDirection,HourlyWindSpeed
2024-01-01T00:00:00,27,32,,,82.0,9.94,330,13.0
2024-01-01T00:51:00,26,32,0.00,,79.0,10.00,340,15.0
2024-01-01T01:51:00,26,32,T,-SN:03 |SN |,79.0,9.00,340,16.0
2024-01-01T02:01:00,26,32,T,,79.0,9.00,340,10.0
2024-01-01T02:32:00,26,32,T,,79.0,10.00,340,15.0
2024-01-01T02:51:00,26,32,0.00,,79.0,10.00,330,13.0
2024-01-01T03:00:00,26,32,,,79.0,9.94,330,13.0
2024-01-01T03:01:00,26,32,,,79.0,10.00,330,10.0
2024-01-01T03:51:00,26,31,0.00,,82.0,10.00,340,14.0
2024-01-01T04:39:00,24,31,,,76.0,10.00,340,16.0
2024-01-01T04:39:00,24,31,,,76.0,10.00,340,16.0
2024-01-01T04:51:00,24,31,0.00,,76.0,10.00,340,11.0
2024-01-01T05:51:00,23,31,0.00,,72.0,10.00,330,10.0
2024-01-01T06:00:00,23,31,,,72.0,9.94,330,10.0
2024-01-01T06:51:00,23,30,0.00,,75.0,10.00,340,8.0
2024-01-01T07:51:00,23,31,0.00,,72.0,10.00,340,8.0
2024-01-01T08:51:00,23,31,0.00,,72.0,10.00,330,10.0
2024-01-01T09:00:00,23,31,,,72.0,9.94,330,10.0
2024-01-01T09:51:00,23,32,0.00,,69.0,10.00,310,10.0
2024-01-01T10:07:00,22,31,,,69.0,10.00,290,10.0
2024-01-01T10:51:00,22,31,0.00,,69.0,10.00,290,8.0
2024-01-01T11:51:00,21,31,0.00,,67.0,7.00,270,7.0
2024-01-01T12:00:00,21,31,,,67.0,6.84,270,7.0
2024-01-01T12:07:00,21,31,T,-SN:03 |SN |,67.0,10.00,280,11.0
2024-01-01T12:26:00,22,31,T,,69.0,9.00,320,7.0
2024-01-01T12:51:00,22,31,T,,69.0,10.00,310,6.0
2024-01-01T13:51:00,22,31,0.00,,69.0,10.00,270,7.0
2024-01-01T14:51:00,22,31,0.00,,69.0,10.00,260,9.0
2024-01-01T15:00:00,22,31,,,69.0,9.94,260,9.0
2024-01-01T15:51:00,21,30,0.00,,69.0,10.00,270,8.0
2024-01-01T16:51:00,22,30,0.00,,72.0,10.00,250,8.0
